tag,count,href,category
Merlin (Kingsman),6132,/tags/Merlin%20(Kingsman),c
Michelle Unwin,877,/tags/Michelle%20Unwin,c
Percival (Kingsman),1247,/tags/Percival%20(Kingsman),c
Amelia (Kingsman),102,/tags/Amelia%20(Kingsman),c
Harry Hart Lives,497,/tags/Harry%20Hart%20Lives,f
Bottom Harry Hart,159,/tags/Bottom%20Harry%20Hart,f
Lee Unwin/Michelle Unwin,37,/tags/Lee%20Unwin*s*Michelle%20Unwin,r
Gazelle (Kingsman),250,/tags/Gazelle%20(Kingsman),c
Lee Unwin,210,/tags/Lee%20Unwin,c
Richmond Valentine,163,/tags/Richmond%20Valentine,c
"Darcy Lewis/Gary ""Eggsy"" Unwin",4,/tags/Darcy%20Lewis*s*Gary%20%22Eggsy%22%20Unwin,r
Kingsman Agents,82,/tags/Kingsman%20Agents,c
JB (Kingsman),360,/tags/JB%20(Kingsman),c
Charlie Hesketh,619,/tags/Charlie%20Hesketh,c
Charlie Hesketh/Original Male Character(s),2,/tags/Charlie%20Hesketh*s*Original%20Male%20Character(s),r
Kingsman Training,81,/tags/Kingsman%20Training,f
Lee Unwin Lives,26,/tags/Lee%20Unwin%20Lives,f
Darcy Lewis/Merlin (Kingsman),3,/tags/Darcy%20Lewis*s*Merlin%20(Kingsman),r
Sub Harry Hart,9,/tags/Sub%20Harry%20Hart,f
Professor Arnold (Kingsman),16,/tags/Professor%20Arnold%20(Kingsman),c
Dark Harry Hart,58,/tags/Dark%20Harry%20Hart,f
Evil Harry Hart,1,/tags/Evil%20Harry%20Hart,f
"Gary ""Eggsy"" Unwin",8364,/tags/Gary%20%22Eggsy%22%20Unwin,c
"Merlin/Gary ""Eggsy"" Unwin",1377,/tags/Merlin*s*Gary%20%22Eggsy%22%20Unwin,r
"Gary ""Eggsy"" Unwin/Other(s)",4,/tags/Gary%20%22Eggsy%22%20Unwin*s*Other(s),r
"Merlin & Gary ""Eggsy"" Unwin",172,/tags/Merlin%20*a*%20Gary%20%22Eggsy%22%20Unwin,r
"Clint Barton/Gary ""Eggsy"" Unwin",0,/tags/Clint%20Barton*s*Gary%20%22Eggsy%22%20Unwin,r
"Arthur Pendragon/Gary ""Eggsy"" Unwin",1,/tags/Arthur%20Pendragon*s*Gary%20%22Eggsy%22%20Unwin,r
"Gary ""Eggsy"" Unwin/Original Female Character(s)",39,/tags/Gary%20%22Eggsy%22%20Unwin*s*Original%20Female%20Character(s),r
"Gary ""Eggsy"" Unwin/Original Male Character(s)",103,/tags/Gary%20%22Eggsy%22%20Unwin*s*Original%20Male%20Character(s),r
"Greg Lestrade/Gary ""Eggsy"" Unwin",0,/tags/Greg%20Lestrade*s*Gary%20%22Eggsy%22%20Unwin,r
"Charlie Hesketh/Gary ""Eggsy"" Unwin",258,/tags/Charlie%20Hesketh*s*Gary%20%22Eggsy%22%20Unwin,r
Merlin (Kingsman)/Alfred Pennyworth,0,/tags/Merlin%20(Kingsman)*s*Alfred%20Pennyworth,r
"James Bond/Gary ""Eggsy"" Unwin",4,/tags/James%20Bond*s*Gary%20%22Eggsy%22%20Unwin,r
Mr. Pickle (Kingsman),45,/tags/Mr*d*%20Pickle%20(Kingsman),c
Jack Harkness/Merlin (Kingsman),0,/tags/Jack%20Harkness*s*Merlin%20(Kingsman),r
Daisy (Kingsman),843,/tags/Daisy%20(Kingsman),c
James | Lancelot (Kingsman),525,/tags/James%20%7C%20Lancelot%20(Kingsman),c
James | Lancelot/Lee Unwin,3,/tags/James%20%7C%20Lancelot*s*Lee%20Unwin,r
Kingsman Family,65,/tags/Kingsman%20Family,f
England (Hetalia) & Merlin (Kingsman),1,/tags/England%20(Hetalia)%20*a*%20Merlin%20(Kingsman),r
Eggsy's Sister,156,/tags/Eggsy's%20Sister,c
BAMF Merlin (Kingsman),6,/tags/BAMF%20Merlin%20(Kingsman),f
Harry Hart is a Little Shit,165,/tags/Harry%20Hart%20is%20a%20Little%20Shit,f
"Grantaire (Les Misérables) & Gary ""Eggsy"" Unwin",0,/tags/Grantaire%20(Les%20Mis%C3%A9rables)%20*a*%20Gary%20%22Eggsy%22%20Unwin,r
Merlin (Kingsman)/Original Male Character(s),11,/tags/Merlin%20(Kingsman)*s*Original%20Male%20Character(s),r
Charlie Hesketh/Merlin (Kingsman),9,/tags/Charlie%20Hesketh*s*Merlin%20(Kingsman),r
JB (Kingsman)/Winston (Hannibal),0,/tags/JB%20(Kingsman)*s*Winston%20(Hannibal),r
Dean Baker,260,/tags/Dean%20Baker,c
"Colin Firth/Gary ""Eggsy"" Unwin",0,/tags/Colin%20Firth*s*Gary%20%22Eggsy%22%20Unwin,r
Jamal (Kingsman),192,/tags/Jamal%20(Kingsman),c
Ryan (Kingsman),118,/tags/Ryan%20(Kingsman),c
Post-Kingsman: The Secret Service,115,/tags/Post-Kingsman:%20The%20Secret%20Service,f
"Fitzwilliam Darcy/Gary ""Eggsy"" Unwin",0,/tags/Fitzwilliam%20Darcy*s*Gary%20%22Eggsy%22%20Unwin,r
Bors (Kingsman),70,/tags/Bors%20(Kingsman),c
Kay (Kingsman),36,/tags/Kay%20(Kingsman),c
Tristan (Kingsman),51,/tags/Tristan%20(Kingsman),c
Merlin/Lee Unwin,5,/tags/Merlin*s*Lee%20Unwin,r
Asexual Harry Hart,7,/tags/Asexual%20Harry%20Hart,f
Merlin & Percival (Kingsman),11,/tags/Merlin%20*a*%20Percival%20(Kingsman),r
"Percival & Gary ""Eggsy"" Unwin",16,/tags/Percival%20*a*%20Gary%20%22Eggsy%22%20Unwin,r
"James | Lancelot/Gary ""Eggsy"" Unwin",3,/tags/James%20%7C%20Lancelot*s*Gary%20%22Eggsy%22%20Unwin,r
"Percival/Gary ""Eggsy"" Unwin",72,/tags/Percival*s*Gary%20%22Eggsy%22%20Unwin,r
"George Falconer/Gary ""Eggsy"" Unwin",1,/tags/George%20Falconer*s*Gary%20%22Eggsy%22%20Unwin,r
Kingsman Spoilers,42,/tags/Kingsman%20Spoilers,f
Tilde (Kingsman),300,/tags/Tilde%20(Kingsman),c
Merlin (Kingsman)/Original Female Character(s),20,/tags/Merlin%20(Kingsman)*s*Original%20Female%20Character(s),r
Young Harry Hart,39,/tags/Young%20Harry%20Hart,f
Gentleman Harry Hart,57,/tags/Gentleman%20Harry%20Hart,f
"Gary ""Eggsy"" Unwin/Original Character(s)",7,/tags/Gary%20%22Eggsy%22%20Unwin*s*Original%20Character(s),r
Lee Unwin/Original Female Character(s),0,/tags/Lee%20Unwin*s*Original%20Female%20Character(s),r
Original Kingsman Character(s),261,/tags/Original%20Kingsman%20Character(s),c
Chester King | Arthur,418,/tags/Chester%20King%20%7C%20Arthur,c
Roxy Morton | Lancelot,2931,/tags/Roxy%20Morton%20%7C%20Lancelot,c
Hugo Higgins,24,/tags/Hugo%20Higgins,c
Digby Barker,43,/tags/Digby%20Barker,c
Rufus Saville,30,/tags/Rufus%20Saville,c
Amelia/Roxy Morton | Lancelot,27,/tags/Amelia*s*Roxy%20Morton%20%7C%20Lancelot,r
Gazelle/Roxy Morton | Lancelot,42,/tags/Gazelle*s*Roxy%20Morton%20%7C%20Lancelot,r
Merlin/Roxy Morton | Lancelot,373,/tags/Merlin*s*Roxy%20Morton%20%7C%20Lancelot,r
"Roxy Morton | Lancelot/Gary ""Eggsy"" Unwin",101,/tags/Roxy%20Morton%20%7C%20Lancelot*s*Gary%20%22Eggsy%22%20Unwin,r
"Roxy Morton | Lancelot & Gary ""Eggsy"" Unwin",338,/tags/Roxy%20Morton%20%7C%20Lancelot%20*a*%20Gary%20%22Eggsy%22%20Unwin,r
Merlin & Roxy Morton | Lancelot,51,/tags/Merlin%20*a*%20Roxy%20Morton%20%7C%20Lancelot,r
"Gazelle/Roxy Morton | Lancelot/Gary ""Eggsy"" Unwin",0,/tags/Gazelle*s*Roxy%20Morton%20%7C%20Lancelot*s*Gary%20%22Eggsy%22%20Unwin,r
"Hugo Higgins/Gary ""Eggsy"" Unwin",0,/tags/Hugo%20Higgins*s*Gary%20%22Eggsy%22%20Unwin,r
"Original Lancelot/Gary ""Eggsy"" Unwin",4,/tags/Original%20Lancelot*s*Gary%20%22Eggsy%22%20Unwin,r
"Merlin/Roxy Morton | Lancelot/Gary ""Eggsy"" Unwin",18,/tags/Merlin*s*Roxy%20Morton%20%7C%20Lancelot*s*Gary%20%22Eggsy%22%20Unwin,r
Roxy Morton | Lancelot/Original Male Character(s),3,/tags/Roxy%20Morton%20%7C%20Lancelot*s*Original%20Male%20Character(s),r
Harry Hart | Galahad,7043,/tags/Harry%20Hart%20%7C%20Galahad,c
"Harry Hart | Galahad & Gary ""Eggsy"" Unwin",329,/tags/Harry%20Hart%20%7C%20Galahad%20*a*%20Gary%20%22Eggsy%22%20Unwin,r
Harry Hart | Galahad & Merlin,271,/tags/Harry%20Hart%20%7C%20Galahad%20*a*%20Merlin,r
Harry Hart | Galahad & Michelle Unwin,4,/tags/Harry%20Hart%20%7C%20Galahad%20*a*%20Michelle%20Unwin,r
Harry Hart | Galahad & Roxy Morton | Lancelot,22,/tags/Harry%20Hart%20%7C%20Galahad%20*a*%20Roxy%20Morton%20%7C%20Lancelot,r
"Harry Hart | Galahad/Gary ""Eggsy"" Unwin",8763,/tags/Harry%20Hart%20%7C%20Galahad*s*Gary%20%22Eggsy%22%20Unwin,r
Harry Hart | Galahad/Merlin,1223,/tags/Harry%20Hart%20%7C%20Galahad*s*Merlin,r
"Harry Hart | Galahad/Merlin/Gary ""Eggsy"" Unwin",912,/tags/Harry%20Hart%20%7C%20Galahad*s*Merlin*s*Gary%20%22Eggsy%22%20Unwin,r
Harry Hart | Galahad/Merlin/Roxy Morton | Lancelot,1,/tags/Harry%20Hart%20%7C%20Galahad*s*Merlin*s*Roxy%20Morton%20%7C%20Lancelot,r
Harry Hart | Galahad/Mycroft Holmes,21,/tags/Harry%20Hart%20%7C%20Galahad*s*Mycroft%20Holmes,r
Harry Hart | Galahad/Original Female Character(s),41,/tags/Harry%20Hart%20%7C%20Galahad*s*Original%20Female%20Character(s),r
Harry Hart | Galahad/Roxy Morton | Lancelot,33,/tags/Harry%20Hart%20%7C%20Galahad*s*Roxy%20Morton%20%7C%20Lancelot,r
Roxy Morton | Lancelot/Original Female Character(s),24,/tags/Roxy%20Morton%20%7C%20Lancelot*s*Original%20Female%20Character(s),r
Harry Hart | Galahad & Chester King | Arthur,3,/tags/Harry%20Hart%20%7C%20Galahad%20*a*%20Chester%20King%20%7C%20Arthur,r
Hugo Higgins/Rufus Saville,0,/tags/Hugo%20Higgins*s*Rufus%20Saville,r
Gawain (Kingsman),52,/tags/Gawain%20(Kingsman),c
Bedivere (Kingsman),18,/tags/Bedivere%20(Kingsman),c
"Harry Hart | Galahad/Gary ""Eggsy"" Unwin/Original Female Character(s)",3,/tags/Harry%20Hart%20%7C%20Galahad*s*Gary%20%22Eggsy%22%20Unwin*s*Original%20Female%20Character(s),r
Harry Hart | Galahad/Original Character(s),5,/tags/Harry%20Hart%20%7C%20Galahad*s*Original%20Character(s),r
Harry Hart | Galahad/Original Male Character(s),27,/tags/Harry%20Hart%20%7C%20Galahad*s*Original%20Male%20Character(s),r
Nick Fury & Harry Hart | Galahad,1,/tags/Nick%20Fury%20*a*%20Harry%20Hart%20%7C%20Galahad,r
James Bond/Harry Hart | Galahad,0,/tags/James%20Bond*s*Harry%20Hart%20%7C%20Galahad,r
George Falconer/Harry Hart | Galahad/Jim,0,/tags/George%20Falconer*s*Harry%20Hart%20%7C%20Galahad*s*Jim,r
Merlin/Percival (Kingsman),41,/tags/Merlin*s*Percival%20(Kingsman),r
Harry Hart | Galahad & Mycroft Holmes,4,/tags/Harry%20Hart%20%7C%20Galahad%20*a*%20Mycroft%20Holmes,r
Harry Hart | Galahad & Original Female Character(s),5,/tags/Harry%20Hart%20%7C%20Galahad%20*a*%20Original%20Female%20Character(s),r
"Clint Barton & Gary ""Eggsy"" Unwin",1,/tags/Clint%20Barton%20*a*%20Gary%20%22Eggsy%22%20Unwin,r
Harry Hart | Galahad/Lee Unwin,4,/tags/Harry%20Hart%20%7C%20Galahad*s*Lee%20Unwin,r
Charlie Eppes/Percival (Kingsman),0,/tags/Charlie%20Eppes*s*Percival%20(Kingsman),r
"Mycroft Holmes/Gary ""Eggsy"" Unwin",33,/tags/Mycroft%20Holmes*s*Gary%20%22Eggsy%22%20Unwin,r
Lydia Martin/Roxy Morton | Lancelot,0,/tags/Lydia%20Martin*s*Roxy%20Morton%20%7C%20Lancelot,r
Villain Harry Hart,7,/tags/Villain%20Harry%20Hart,f
Charlie Hesketh/Roxy Morton | Lancelot,10,/tags/Charlie%20Hesketh*s*Roxy%20Morton%20%7C%20Lancelot,r
"George ""Gog"" Bivin/Charlie Hesketh",1,/tags/George%20%22Gog%22%20Bivin*s*Charlie%20Hesketh,r
James | Lancelot/Percival (Kingsman),205,/tags/James%20%7C%20Lancelot*s*Percival%20(Kingsman),r
Dom Merlin (Kingsman),22,/tags/Dom%20Merlin%20(Kingsman),f
Merlin (Kingsman)/Susan Pevensie,5,/tags/Merlin%20(Kingsman)*s*Susan%20Pevensie,r
Alpha Harry Hart,111,/tags/Alpha%20Harry%20Hart,f
Harry Hart | Galahad/Harry Potter,2,/tags/Harry%20Hart%20%7C%20Galahad*s*Harry%20Potter,r
Harry Hart | Galahad & Lee Unwin,14,/tags/Harry%20Hart%20%7C%20Galahad%20*a*%20Lee%20Unwin,r
Rottweiler (Kingsman),27,/tags/Rottweiler%20(Kingsman),c
"Sherlock Holmes/Gary ""Eggsy"" Unwin",1,/tags/Sherlock%20Holmes*s*Gary%20%22Eggsy%22%20Unwin,r
Mycroft Holmes/Merlin (Kingsman),2,/tags/Mycroft%20Holmes*s*Merlin%20(Kingsman),r
Jealous Harry Hart,10,/tags/Jealous%20Harry%20Hart,f
"Dennis ""Asbo"" Severs/Gary ""Eggsy"" Unwin",0,/tags/Dennis%20%22Asbo%22%20Severs*s*Gary%20%22Eggsy%22%20Unwin,r
Omega Harry Hart,35,/tags/Omega%20Harry%20Hart,f
Merlin (Kingsman)/James Wesley,0,/tags/Merlin%20(Kingsman)*s*James%20Wesley,r
Harry Hart | Galahad/Chester King | Arthur,13,/tags/Harry%20Hart%20%7C%20Galahad*s*Chester%20King%20%7C%20Arthur,r
Female Harry Hart,2,/tags/Female%20Harry%20Hart,f
Poodle (Kingsman),12,/tags/Poodle%20(Kingsman),c
Darcy Lewis/Roxy Morton | Lancelot,0,/tags/Darcy%20Lewis*s*Roxy%20Morton%20%7C%20Lancelot,r
Gazelle & Roxy Morton | Lancelot,1,/tags/Gazelle%20*a*%20Roxy%20Morton%20%7C%20Lancelot,r
Daisy & Percival (Kingsman),3,/tags/Daisy%20*a*%20Percival%20(Kingsman),r
Daisy & Original Lancelot (Kingsman),0,/tags/Daisy%20*a*%20Original%20Lancelot%20(Kingsman),r
Percival & Michelle Unwin,0,/tags/Percival%20*a*%20Michelle%20Unwin,r
"Merlin & Roxy Morton | Lancelot & Gary ""Eggsy"" Unwin",2,/tags/Merlin%20*a*%20Roxy%20Morton%20%7C%20Lancelot%20*a*%20Gary%20%22Eggsy%22%20Unwin,r
"Gary ""Eggsy"" Unwin/Reader",176,/tags/Gary%20%22Eggsy%22%20Unwin*s*Reader,r
Bobbi Morse & Roxy Morton | Lancelot,1,/tags/Bobbi%20Morse%20*a*%20Roxy%20Morton%20%7C%20Lancelot,r
Roxy Morton | Lancelot & Jemma Simmons & Skye | Daisy Johnson,0,/tags/Roxy%20Morton%20%7C%20Lancelot%20*a*%20Jemma%20Simmons%20*a*%20Skye%20%7C%20Daisy%20Johnson,r
"Eventual Harry Hart | Galahad/Gary ""Eggsy"" Unwin",37,/tags/Eventual%20Harry%20Hart%20%7C%20Galahad*s*Gary%20%22Eggsy%22%20Unwin,f
Merlin/Michelle Unwin,2,/tags/Merlin*s*Michelle%20Unwin,r
Sophie Montague-Herring,8,/tags/Sophie%20Montague-Herring,c
"Dean Baker & Gary ""Eggsy"" Unwin",1,/tags/Dean%20Baker%20*a*%20Gary%20%22Eggsy%22%20Unwin,r
Dean Baker/Michelle Unwin,17,/tags/Dean%20Baker*s*Michelle%20Unwin,r
"Dean Baker/Gary ""Eggsy"" Unwin",5,/tags/Dean%20Baker*s*Gary%20%22Eggsy%22%20Unwin,r
"Harry Hart | Galahad/Roxy Morton | Lancelot/Gary ""Eggsy"" Unwin",12,/tags/Harry%20Hart%20%7C%20Galahad*s*Roxy%20Morton%20%7C%20Lancelot*s*Gary%20%22Eggsy%22%20Unwin,r
Sophie Montague-Herring/Roxy Morton | Lancelot,2,/tags/Sophie%20Montague-Herring*s*Roxy%20Morton%20%7C%20Lancelot,r
Charlie Hesketh/Richmond Valentine,0,/tags/Charlie%20Hesketh*s*Richmond%20Valentine,r
Gazelle/Richmond Valentine,11,/tags/Gazelle*s*Richmond%20Valentine,r
"Gazelle/Gary ""Eggsy"" Unwin",5,/tags/Gazelle*s*Gary%20%22Eggsy%22%20Unwin,r
Gawain/Percival (Kingsman),1,/tags/Gawain*s*Percival%20(Kingsman),r
"Alex Rider/Gary ""Eggsy"" Unwin",2,/tags/Alex%20Rider*s*Gary%20%22Eggsy%22%20Unwin,r
Michelle Unwin/Original Male Character(s),4,/tags/Michelle%20Unwin*s*Original%20Male%20Character(s),r
Dom Harry Hart,51,/tags/Dom%20Harry%20Hart,f
"Harry Hart | Galahad/Gary ""Eggsy"" Unwin/Original Male Character(s)",2,/tags/Harry%20Hart%20%7C%20Galahad*s*Gary%20%22Eggsy%22%20Unwin*s*Original%20Male%20Character(s),r
Merlin (Kingsman)/Reader,101,/tags/Merlin%20(Kingsman)*s*Reader,r
Harry Hart | Galahad/Reader,119,/tags/Harry%20Hart%20%7C%20Galahad*s*Reader,r
"Gary ""Eggsy"" Unwin/Everyone",7,/tags/Gary%20%22Eggsy%22%20Unwin*s*Everyone,r
"""Flash"" Harry Cuthbert Edwards/Michelle Unwin",0,/tags/%22Flash%22%20Harry%20Cuthbert%20Edwards*s*Michelle%20Unwin,r
"Background Harry Hart | Galahad/Gary ""Eggsy"" Unwin",7,/tags/Background%20Harry%20Hart%20%7C%20Galahad*s*Gary%20%22Eggsy%22%20Unwin,f
Harry Hart | Galahad/James | Lancelot,14,/tags/Harry%20Hart%20%7C%20Galahad*s*James%20%7C%20Lancelot,r
"James | Lancelot/Percival/Gary ""Eggsy"" Unwin",7,/tags/James%20%7C%20Lancelot*s*Percival*s*Gary%20%22Eggsy%22%20Unwin,r
Harry Hart | Galahad/James | Lancelot/Merlin,0,/tags/Harry%20Hart%20%7C%20Galahad*s*James%20%7C%20Lancelot*s*Merlin,r
Gawain/James | Lancelot/Percival,1,/tags/Gawain*s*James%20%7C%20Lancelot*s*Percival,r
Gazelle/Charlie Hesketh,1,/tags/Gazelle*s*Charlie%20Hesketh,r
Phil Coulson/Harry Hart | Galahad,0,/tags/Phil%20Coulson*s*Harry%20Hart%20%7C%20Galahad,r
Hurt Harry Hart,45,/tags/Hurt%20Harry%20Hart,f
JB/Mr. Pickle (Kingsman),0,/tags/JB*s*Mr*d*%20Pickle%20(Kingsman),r
Harry Hart Has PTSD,2,/tags/Harry%20Hart%20Has%20PTSD,f
"Amelia & Gary ""Eggsy"" Unwin",1,/tags/Amelia%20*a*%20Gary%20%22Eggsy%22%20Unwin,r
"Tilde (Kingsman) & Gary ""Eggsy"" Unwin",12,/tags/Tilde%20(Kingsman)%20*a*%20Gary%20%22Eggsy%22%20Unwin,r
