tag,count,href,category
Rayla (The Dragon Prince),2762,/tags/Rayla%20(The%20Dragon%20Prince),c
Claudia (The Dragon Prince),1111,/tags/Claudia%20(The%20Dragon%20Prince),c
Runaan (The Dragon Prince),1039,/tags/Runaan%20(The%20Dragon%20Prince),c
Callisto (The Dragon Prince),32,/tags/Callisto%20(The%20Dragon%20Prince),c
Claudia/Rayla (The Dragon Prince),116,/tags/Claudia*s*Rayla%20(The%20Dragon%20Prince),r
Marcos/Soren (The Dragon Prince),49,/tags/Marcos*s*Soren%20(The%20Dragon%20Prince),r
Soren (The Dragon Prince),1244,/tags/Soren%20(The%20Dragon%20Prince),c
Callum (The Dragon Prince),2736,/tags/Callum%20(The%20Dragon%20Prince),c
Ezran (The Dragon Prince),1318,/tags/Ezran%20(The%20Dragon%20Prince),c
Gren (The Dragon Prince),456,/tags/Gren%20(The%20Dragon%20Prince),c
Viren (The Dragon Prince),1252,/tags/Viren%20(The%20Dragon%20Prince),c
Runaan (The Dragon Prince)/Reader,8,/tags/Runaan%20(The%20Dragon%20Prince)*s*Reader,r
Callum & Ezran (The Dragon Prince),160,/tags/Callum%20*a*%20Ezran%20(The%20Dragon%20Prince),r
Ellis (The Dragon Prince),98,/tags/Ellis%20(The%20Dragon%20Prince),c
Lujanne (The Dragon Prince),132,/tags/Lujanne%20(The%20Dragon%20Prince),c
Azymondias (The Dragon Prince),430,/tags/Azymondias%20(The%20Dragon%20Prince),c
Callum & Ezran & Rayla (The Dragon Prince),203,/tags/Callum%20*a*%20Ezran%20*a*%20Rayla%20(The%20Dragon%20Prince),r
Callum & Rayla (The Dragon Prince),498,/tags/Callum%20*a*%20Rayla%20(The%20Dragon%20Prince),r
Claudia & Soren (The Dragon Prince),147,/tags/Claudia%20*a*%20Soren%20(The%20Dragon%20Prince),r
Callum/Rayla (The Dragon Prince),2198,/tags/Callum*s*Rayla%20(The%20Dragon%20Prince),r
Amaya (The Dragon Prince),883,/tags/Amaya%20(The%20Dragon%20Prince),c
Corvus (The Dragon Prince),239,/tags/Corvus%20(The%20Dragon%20Prince),c
Callum/Soren (The Dragon Prince),43,/tags/Callum*s*Soren%20(The%20Dragon%20Prince),r
Gren/Runaan (The Dragon Prince),15,/tags/Gren*s*Runaan%20(The%20Dragon%20Prince),r
Rayla & Runaan (The Dragon Prince),146,/tags/Rayla%20*a*%20Runaan%20(The%20Dragon%20Prince),r
Runaan/Soren (The Dragon Prince),3,/tags/Runaan*s*Soren%20(The%20Dragon%20Prince),r
Runaan & Soren (The Dragon Prince),3,/tags/Runaan%20*a*%20Soren%20(The%20Dragon%20Prince),r
Gren & Runaan (The Dragon Prince),35,/tags/Gren%20*a*%20Runaan%20(The%20Dragon%20Prince),r
Bait (The Dragon Prince),268,/tags/Bait%20(The%20Dragon%20Prince),c
Marcos (The Dragon Prince),134,/tags/Marcos%20(The%20Dragon%20Prince),c
Pip (The Dragon Prince),12,/tags/Pip%20(The%20Dragon%20Prince),c
Harrow (The Dragon Prince),649,/tags/Harrow%20(The%20Dragon%20Prince),c
Callum & Harrow (The Dragon Prince),36,/tags/Callum%20*a*%20Harrow%20(The%20Dragon%20Prince),r
Sarai (The Dragon Prince),317,/tags/Sarai%20(The%20Dragon%20Prince),c
Callum/Ezran (The Dragon Prince),14,/tags/Callum*s*Ezran%20(The%20Dragon%20Prince),r
Claudia & Viren (The Dragon Prince),71,/tags/Claudia%20*a*%20Viren%20(The%20Dragon%20Prince),r
Azymondias & Ezran (The Dragon Prince),26,/tags/Azymondias%20*a*%20Ezran%20(The%20Dragon%20Prince),r
Harrow/Sarai (The Dragon Prince),151,/tags/Harrow*s*Sarai%20(The%20Dragon%20Prince),r
Sarai (The Dragon Prince)/Original Character(s),2,/tags/Sarai%20(The%20Dragon%20Prince)*s*Original%20Character(s),r
Runaan (The Dragon Prince)/Original Male Character(s),2,/tags/Runaan%20(The%20Dragon%20Prince)*s*Original%20Male%20Character(s),r
Gren/Soren (The Dragon Prince),24,/tags/Gren*s*Soren%20(The%20Dragon%20Prince),r
Soren/Viren (The Dragon Prince),24,/tags/Soren*s*Viren%20(The%20Dragon%20Prince),r
Callum (The Dragon Prince)/Lance (Voltron),0,/tags/Callum%20(The%20Dragon%20Prince)*s*Lance%20(Voltron),r
Callum/Claudia/Soren (The Dragon Prince),3,/tags/Callum*s*Claudia*s*Soren%20(The%20Dragon%20Prince),r
Amaya & Sarai (The Dragon Prince),42,/tags/Amaya%20*a*%20Sarai%20(The%20Dragon%20Prince),r
Hurt Callum (The Dragon Prince),9,/tags/Hurt%20Callum%20(The%20Dragon%20Prince),f
Amaya & Gren (The Dragon Prince),72,/tags/Amaya%20*a*%20Gren%20(The%20Dragon%20Prince),r
Callum (The Dragon Prince)/Original Male Character(s),4,/tags/Callum%20(The%20Dragon%20Prince)*s*Original%20Male%20Character(s),r
Claudia (The Dragon Prince)/Original Female Character(s),0,/tags/Claudia%20(The%20Dragon%20Prince)*s*Original%20Female%20Character(s),r
Corvus/Gren (The Dragon Prince),8,/tags/Corvus*s*Gren%20(The%20Dragon%20Prince),r
Amaya/Corvus/Gren (The Dragon Prince),1,/tags/Amaya*s*Corvus*s*Gren%20(The%20Dragon%20Prince),r
Corvus & Gren (The Dragon Prince),4,/tags/Corvus%20*a*%20Gren%20(The%20Dragon%20Prince),r
Callum/Claudia (The Dragon Prince),38,/tags/Callum*s*Claudia%20(The%20Dragon%20Prince),r
Runaan/Viren (The Dragon Prince),8,/tags/Runaan*s*Viren%20(The%20Dragon%20Prince),r
Amaya/Gren (The Dragon Prince),54,/tags/Amaya*s*Gren%20(The%20Dragon%20Prince),r
Protective Callum (The Dragon Prince),4,/tags/Protective%20Callum%20(The%20Dragon%20Prince),f
Ezran & Rayla (The Dragon Prince),75,/tags/Ezran%20*a*%20Rayla%20(The%20Dragon%20Prince),r
Soren (The Dragon Prince)/Reader,5,/tags/Soren%20(The%20Dragon%20Prince)*s*Reader,r
Claudia (The Dragon Prince)/Reader,4,/tags/Claudia%20(The%20Dragon%20Prince)*s*Reader,r
Ezran (The Dragon Prince) & Reader,1,/tags/Ezran%20(The%20Dragon%20Prince)%20*a*%20Reader,r
Amaya (The Dragon Prince)/Reader,1,/tags/Amaya%20(The%20Dragon%20Prince)*s*Reader,r
Gren (The Dragon Prince)/Reader,2,/tags/Gren%20(The%20Dragon%20Prince)*s*Reader,r
Amaya & Callum & Ezran (The Dragon Prince),26,/tags/Amaya%20*a*%20Callum%20*a*%20Ezran%20(The%20Dragon%20Prince),r
Ava (The Dragon Prince),38,/tags/Ava%20(The%20Dragon%20Prince),c
Corvus/Soren (The Dragon Prince),35,/tags/Corvus*s*Soren%20(The%20Dragon%20Prince),r
Ava & Ellis (The Dragon Prince),6,/tags/Ava%20*a*%20Ellis%20(The%20Dragon%20Prince),r
Harrow/Viren (The Dragon Prince),185,/tags/Harrow*s*Viren%20(The%20Dragon%20Prince),r
Harrow/Soren (The Dragon Prince),2,/tags/Harrow*s*Soren%20(The%20Dragon%20Prince),r
Viren (The Dragon Prince)/Original Character(s),9,/tags/Viren%20(The%20Dragon%20Prince)*s*Original%20Character(s),r
Soren & Viren (The Dragon Prince),54,/tags/Soren%20*a*%20Viren%20(The%20Dragon%20Prince),r
Harrow & Viren (The Dragon Prince),46,/tags/Harrow%20*a*%20Viren%20(The%20Dragon%20Prince),r
Harrow (The Dragon Prince) & Reader,0,/tags/Harrow%20(The%20Dragon%20Prince)%20*a*%20Reader,r
Episode: s01e06 Through the Ice,2,/tags/Episode:%20s01e06%20Through%20the%20Ice,f
