tag,count,href,category
Diana Spellman,64,/tags/Diana%20Spellman,c
Edward Spellman,172,/tags/Edward%20Spellman,c
Harvey Kinkle,477,/tags/Harvey%20Kinkle,c
Hilda Spellman,1441,/tags/Hilda%20Spellman,c
Sabrina Spellman,1905,/tags/Sabrina%20Spellman,c
Salem Saberhagen,138,/tags/Salem%20Saberhagen,c
Zelda Spellman,2411,/tags/Zelda%20Spellman,c
Harvey Kinkle/Sabrina Spellman,136,/tags/Harvey%20Kinkle*s*Sabrina%20Spellman,r
Jughead Jones & Sabrina Spellman,11,/tags/Jughead%20Jones%20*a*%20Sabrina%20Spellman,r
Bisexual Sabrina Spellman,11,/tags/Bisexual%20Sabrina%20Spellman,f
Ambrose Spellman,879,/tags/Ambrose%20Spellman,c
Luke Chalfant,28,/tags/Luke%20Chalfant,c
Prudence Night,456,/tags/Prudence%20Night,c
"Rosalind ""Roz"" Walker",305,/tags/Rosalind%20%22Roz%22%20Walker,c
Susie Putnam,50,/tags/Susie%20Putnam,c
Harvey Kinkle/Nicholas Scratch,83,/tags/Harvey%20Kinkle*s*Nicholas%20Scratch,r
Tommy Kinkle,29,/tags/Tommy%20Kinkle,c
Bisexual Harvey Kinkle,3,/tags/Bisexual%20Harvey%20Kinkle,f
Inspired by Chilling Adventures of Sabrina,61,/tags/Inspired%20by%20Chilling%20Adventures%20of%20Sabrina,f
The Greendale 13,2,/tags/The%20Greendale%2013,c
Faustus Blackwood,566,/tags/Faustus%20Blackwood,c
Susie Putnam/Reader,0,/tags/Susie%20Putnam*s*Reader,r
Agatha (Chilling Adventures of Sabrina),192,/tags/Agatha%20(Chilling%20Adventures%20of%20Sabrina),c
Dorcas (Chilling Adventures of Sabrina),169,/tags/Dorcas%20(Chilling%20Adventures%20of%20Sabrina),c
Alternate Universe - Chilling Adventures of Sabrina,44,/tags/Alternate%20Universe%20-%20Chilling%20Adventures%20of%20Sabrina,f
