tag,count,href,category
Dick Grayson,80594,/tags/Dick%20Grayson,c
Bruce Wayne,82443,/tags/Bruce%20Wayne,c
Tim Drake,60779,/tags/Tim%20Drake,c
Jason Todd,74875,/tags/Jason%20Todd,c
Barbara Gordon/Dick Grayson,2446,/tags/Barbara%20Gordon*s*Dick%20Grayson,r
Dick Grayson/Roy Harper,964,/tags/Dick%20Grayson*s*Roy%20Harper,r
Dick Grayson/Bruce Wayne,3269,/tags/Dick%20Grayson*s*Bruce%20Wayne,r
Jason Todd/Bruce Wayne,2204,/tags/Jason%20Todd*s*Bruce%20Wayne,r
Tim Drake/Dick Grayson,1579,/tags/Tim%20Drake*s*Dick%20Grayson,r
Tim Drake/Bruce Wayne,789,/tags/Tim%20Drake*s*Bruce%20Wayne,r
Roy Harper/Jason Todd,3313,/tags/Roy%20Harper*s*Jason%20Todd,r
Dana Tan,144,/tags/Dana%20Tan,c
Terry McGinnis/Dana Tan,108,/tags/Terry%20McGinnis*s*Dana%20Tan,r
Dick Grayson/Koriand'r,2544,/tags/Dick%20Grayson*s*Koriand'r,r
Damian Wayne,45110,/tags/Damian%20Wayne,c
Dick Grayson/Damian Wayne,1966,/tags/Dick%20Grayson*s*Damian%20Wayne,r
Barbara Gordon/Dick Grayson/Bruce Wayne,12,/tags/Barbara%20Gordon*s*Dick%20Grayson*s*Bruce%20Wayne,r
Barbara Gordon/Bruce Wayne,220,/tags/Barbara%20Gordon*s*Bruce%20Wayne,r
Dick Grayson/Clark Kent/Bruce Wayne,61,/tags/Dick%20Grayson*s*Clark%20Kent*s*Bruce%20Wayne,r
Tim Drake/Dick Grayson/Bruce Wayne,31,/tags/Tim%20Drake*s*Dick%20Grayson*s*Bruce%20Wayne,r
Connor Hawke/Jason Todd,35,/tags/Connor%20Hawke*s*Jason%20Todd,r
Kyle Rayner/Jason Todd,466,/tags/Kyle%20Rayner*s*Jason%20Todd,r
Jason Todd/Kara Zor-El,117,/tags/Jason%20Todd*s*Kara%20Zor-El,r
Jason Todd/Slade Wilson,1259,/tags/Jason%20Todd*s*Slade%20Wilson,r
Rena/Jason Todd,1,/tags/Rena*s*Jason%20Todd,r
Tim Drake & Clark Kent,76,/tags/Tim%20Drake%20*a*%20Clark%20Kent,r
Jason Todd/Damian Wayne,868,/tags/Jason%20Todd*s*Damian%20Wayne,r
Tim Drake/Jason Todd/Bruce Wayne,32,/tags/Tim%20Drake*s*Jason%20Todd*s*Bruce%20Wayne,r
Dick Grayson & Bruce Wayne,8113,/tags/Dick%20Grayson%20*a*%20Bruce%20Wayne,r
Dick Grayson/Selina Kyle/Bruce Wayne,9,/tags/Dick%20Grayson*s*Selina%20Kyle*s*Bruce%20Wayne,r
Tim Drake/Dick Grayson/Jason Todd/Damian Wayne,186,/tags/Tim%20Drake*s*Dick%20Grayson*s*Jason%20Todd*s*Damian%20Wayne,r
Lois Lane/Bruce Wayne,68,/tags/Lois%20Lane*s*Bruce%20Wayne,r
Dick Grayson/Kara Zor-El,18,/tags/Dick%20Grayson*s*Kara%20Zor-El,r
J'onn J'onzz/Clark Kent/Bruce Wayne,6,/tags/J'onn%20J'onzz*s*Clark%20Kent*s*Bruce%20Wayne,r
Jason Todd/Undisclosed,2,/tags/Jason%20Todd*s*Undisclosed,r
Tim Drake/Undisclosed,1,/tags/Tim%20Drake*s*Undisclosed,r
J'onn J'onzz & Bruce Wayne,44,/tags/J'onn%20J'onzz%20*a*%20Bruce%20Wayne,r
Dick Grayson & Damian Wayne,5731,/tags/Dick%20Grayson%20*a*%20Damian%20Wayne,r
Stephanie Brown/Tim Drake/Jason Todd,35,/tags/Stephanie%20Brown*s*Tim%20Drake*s*Jason%20Todd,r
Bruce Wayne/Other(s),36,/tags/Bruce%20Wayne*s*Other(s),r
Gotham City/Bruce Wayne,14,/tags/Gotham%20City*s*Bruce%20Wayne,r
Raven/Jason Todd,99,/tags/Raven*s*Jason%20Todd,r
