tag,count,href,category
Balloony (Phineas and Ferb),3,/tags/Balloony%20(Phineas%20and%20Ferb),c
Meap (Phineas and Ferb),15,/tags/Meap%20(Phineas%20and%20Ferb),c
"Aloyse ""Rodney"" von Roddenstein",29,/tags/Aloyse%20%22Rodney%22%20von%20Roddenstein,c
"Peter the Panda/Aloyse ""Rodney"" von Roddenstein",1,/tags/Peter%20the%20Panda*s*Aloyse%20%22Rodney%22%20von%20Roddenstein,r
Phineas Flynn/Baljeet Tjinder,7,/tags/Phineas%20Flynn*s*Baljeet%20Tjinder,r
Adyson Sweetwater,64,/tags/Adyson%20Sweetwater,c
Django Brown,43,/tags/Django%20Brown,c
Django Brown/Adyson Sweetwater,5,/tags/Django%20Brown*s*Adyson%20Sweetwater,r
Ginger Hirano/Baljeet Tjinder,36,/tags/Ginger%20Hirano*s*Baljeet%20Tjinder,r
Holly (Phineas and Ferb),40,/tags/Holly%20(Phineas%20and%20Ferb),c
Xavier (Phineas and Ferb),5,/tags/Xavier%20(Phineas%20and%20Ferb),c
Fred (Phineas and Ferb),4,/tags/Fred%20(Phineas%20and%20Ferb),c
Vivian Garcia-Shapiro,36,/tags/Vivian%20Garcia-Shapiro,c
Katie (Phineas and Ferb),34,/tags/Katie%20(Phineas%20and%20Ferb),c
Candace Flynn/Perry the Platypus,2,/tags/Candace%20Flynn*s*Perry%20the%20Platypus,r
Albert (Phineas and Ferb),11,/tags/Albert%20(Phineas%20and%20Ferb),c
Albert (Phineas and Ferb)/Candace Flynn,0,/tags/Albert%20(Phineas%20and%20Ferb)*s*Candace%20Flynn,r
Vanessa Doofenshmirtz/Isabella Garcia-Shapiro,0,/tags/Vanessa%20Doofenshmirtz*s*Isabella%20Garcia-Shapiro,r
Ferb Fletcher/Others,0,/tags/Ferb%20Fletcher*s*Others,r
Ferb Fletcher/Gretchen (Phineas and Ferb),20,/tags/Ferb%20Fletcher*s*Gretchen%20(Phineas%20and%20Ferb),r
Suzy Johnson,19,/tags/Suzy%20Johnson,c
Rodrigo (Phineas and Ferb),5,/tags/Rodrigo%20(Phineas%20and%20Ferb),c
Vanessa Doofenshmirtz/Monty Monogram,25,/tags/Vanessa%20Doofenshmirtz*s*Monty%20Monogram,r
Ginger Hirano/Baljeet Tjinder/Buford van Stomm,1,/tags/Ginger%20Hirano*s*Baljeet%20Tjinder*s*Buford%20van%20Stomm,r
Vanessa Doofenshmirtz & Perry the Platypus,47,/tags/Vanessa%20Doofenshmirtz%20*a*%20Perry%20the%20Platypus,r
Heinz Doofenshmirtz/Perry the Platypus,947,/tags/Heinz%20Doofenshmirtz*s*Perry%20the%20Platypus,r
Roger Doofenshmirtz/Perry the Platypus,0,/tags/Roger%20Doofenshmirtz*s*Perry%20the%20Platypus,r
