tag,count,href,category
Denji (Chainsaw Man),2627,/tags/Denji%20(Chainsaw%20Man),c
Beam (Chainsaw Man),144,/tags/Beam%20(Chainsaw%20Man),c
Angel Devil (Chainsaw Man),1238,/tags/Angel%20Devil%20(Chainsaw%20Man),c
Power (Chainsaw Man),1224,/tags/Power%20(Chainsaw%20Man),c
Pochita (Chainsaw Man),177,/tags/Pochita%20(Chainsaw%20Man),c
Quanxi (Chainsaw Man),224,/tags/Quanxi%20(Chainsaw%20Man),c
Reze (Chainsaw Man),213,/tags/Reze%20(Chainsaw%20Man),c
Kishibe (Chainsaw Man),480,/tags/Kishibe%20(Chainsaw%20Man),c
Himeno (Chainsaw Man),526,/tags/Himeno%20(Chainsaw%20Man),c
Makima (Chainsaw Man),1050,/tags/Makima%20(Chainsaw%20Man),c
Hayakawa Aki,2478,/tags/Hayakawa%20Aki,c
Angel Devil/Hayakawa Aki,1251,/tags/Angel%20Devil*s*Hayakawa%20Aki,r
Denji/Hayakawa Aki,430,/tags/Denji*s*Hayakawa%20Aki,r
Denji & Hayakawa Aki,177,/tags/Denji%20*a*%20Hayakawa%20Aki,r
Angel Devil (Chainsaw Man)/Original Female Character(s),1,/tags/Angel%20Devil%20(Chainsaw%20Man)*s*Original%20Female%20Character(s),r
Beam/Denji (Chainsaw Man),59,/tags/Beam*s*Denji%20(Chainsaw%20Man),r
Denji/Makima (Chainsaw Man),122,/tags/Denji*s*Makima%20(Chainsaw%20Man),r
Denji/Reze (Chainsaw Man),97,/tags/Denji*s*Reze%20(Chainsaw%20Man),r
Makima/Quanxi (Chainsaw Man),78,/tags/Makima*s*Quanxi%20(Chainsaw%20Man),r
Denji (Chainsaw Man)/Other(s),4,/tags/Denji%20(Chainsaw%20Man)*s*Other(s),r
Chainsaw Man Spoilers,144,/tags/Chainsaw%20Man%20Spoilers,f
Hayakawa Aki & Himeno,128,/tags/Hayakawa%20Aki%20*a*%20Himeno,r
Hayakawa Aki/Himeno,199,/tags/Hayakawa%20Aki*s*Himeno,r
Denji (Chainsaw Man)/Everyone,3,/tags/Denji%20(Chainsaw%20Man)*s*Everyone,r
Cosmo (Chainsaw Man),45,/tags/Cosmo%20(Chainsaw%20Man),c
Cosmo/Long/Quanxi/Pingtsi (Chainsaw Man),0,/tags/Cosmo*s*Long*s*Quanxi*s*Pingtsi%20(Chainsaw%20Man),r
Pingtsi (Chainsaw Man),38,/tags/Pingtsi%20(Chainsaw%20Man),c
Long (Chainsaw Man),34,/tags/Long%20(Chainsaw%20Man),c
Denji/Power (Chainsaw Man),58,/tags/Denji*s*Power%20(Chainsaw%20Man),r
Angel Devil & Hayakawa Aki,232,/tags/Angel%20Devil%20*a*%20Hayakawa%20Aki,r
Denji & Power (Chainsaw Man),190,/tags/Denji%20*a*%20Power%20(Chainsaw%20Man),r
Kishibe & Quanxi (Chainsaw Man),37,/tags/Kishibe%20*a*%20Quanxi%20(Chainsaw%20Man),r
Denji & Hayakawa Aki & Power,469,/tags/Denji%20*a*%20Hayakawa%20Aki%20*a*%20Power,r
Hayakawa Aki & Power,59,/tags/Hayakawa%20Aki%20*a*%20Power,r
Hayakawa Aki/Power,13,/tags/Hayakawa%20Aki*s*Power,r
Denji & Makima (Chainsaw Man),84,/tags/Denji%20*a*%20Makima%20(Chainsaw%20Man),r
Higashiyama Kobeni,424,/tags/Higashiyama%20Kobeni,c
Denji/Pochita (Chainsaw Man),6,/tags/Denji*s*Pochita%20(Chainsaw%20Man),r
Denji (Chainsaw Man) & Original Female Character(s),3,/tags/Denji%20(Chainsaw%20Man)%20*a*%20Original%20Female%20Character(s),r
Denji (Chainsaw Man)/Original Female Character(s),14,/tags/Denji%20(Chainsaw%20Man)*s*Original%20Female%20Character(s),r
Hayakawa Aki & Makima,19,/tags/Hayakawa%20Aki%20*a*%20Makima,r
Denji (Chainsaw Man)/Reader,117,/tags/Denji%20(Chainsaw%20Man)*s*Reader,r
Tsugihagi (Chainsaw Man),32,/tags/Tsugihagi%20(Chainsaw%20Man),c
Cosmo (Chainsaw Man) & Midoriya Izuku,0,/tags/Cosmo%20(Chainsaw%20Man)%20*a*%20Midoriya%20Izuku,r
Kishibe/Makima (Chainsaw Man),6,/tags/Kishibe*s*Makima%20(Chainsaw%20Man),r
Yoshida Hirofumi,884,/tags/Yoshida%20Hirofumi,c
Makima/Reze (Chainsaw Man),10,/tags/Makima*s*Reze%20(Chainsaw%20Man),r
War (Chainsaw Man),10,/tags/War%20(Chainsaw%20Man),c
Denji & Pochita (Chainsaw Man),45,/tags/Denji%20*a*%20Pochita%20(Chainsaw%20Man),r
Denji's Father/Hayakawa Aki,1,/tags/Denji's%20Father*s*Hayakawa%20Aki,r
Top Hayakawa Aki,70,/tags/Top%20Hayakawa%20Aki,f
Denji/Hayakawa Aki/Power,24,/tags/Denji*s*Hayakawa%20Aki*s*Power,r
Yoshida Hirofumi/Reader,25,/tags/Yoshida%20Hirofumi*s*Reader,r
Fox Devil/Hayakawa Aki,3,/tags/Fox%20Devil*s*Hayakawa%20Aki,r
Bottom Hayakawa Aki,33,/tags/Bottom%20Hayakawa%20Aki,f
Darkness Devil/Hayakawa Aki,0,/tags/Darkness%20Devil*s*Hayakawa%20Aki,r
Nayuta (Chainsaw Man),333,/tags/Nayuta%20(Chainsaw%20Man),c
Fushiguro Megumi/Octopus Devil,1,/tags/Fushiguro%20Megumi*s*Octopus%20Devil,r
Hayakawa Aki/Reader,245,/tags/Hayakawa%20Aki*s*Reader,r
Nayuta & Power (Chainsaw Man),2,/tags/Nayuta%20*a*%20Power%20(Chainsaw%20Man),r
Hayakawa Aki & Nayuta,0,/tags/Hayakawa%20Aki%20*a*%20Nayuta,r
Denji & Nayuta (Chainsaw Man),143,/tags/Denji%20*a*%20Nayuta%20(Chainsaw%20Man),r
Denji & Hayakawa Aki & Nayuta & Power,1,/tags/Denji%20*a*%20Hayakawa%20Aki%20*a*%20Nayuta%20*a*%20Power,r
Denji & Quanxi (Chainsaw Man),1,/tags/Denji%20*a*%20Quanxi%20(Chainsaw%20Man),r
Fujimoto Tatsuki/Fushiguro Megumi,0,/tags/Fujimoto%20Tatsuki*s*Fushiguro%20Megumi,r
Makima (Chainsaw Man)/Sukuna | Ryoumen Sukuna,0,/tags/Makima%20(Chainsaw%20Man)*s*Sukuna%20%7C%20Ryoumen%20Sukuna,r
Denji & Himeno (Chainsaw Man),14,/tags/Denji%20*a*%20Himeno%20(Chainsaw%20Man),r
Makima & Power (Chainsaw Man),15,/tags/Makima%20*a*%20Power%20(Chainsaw%20Man),r
Quanxi/Yoshida Hirofumi,1,/tags/Quanxi*s*Yoshida%20Hirofumi,r
Hayakawa Aki/Yoshida Hirofumi,19,/tags/Hayakawa%20Aki*s*Yoshida%20Hirofumi,r
Kishibe/Yoshida Hirofumi,34,/tags/Kishibe*s*Yoshida%20Hirofumi,r
Makima (Chainsaw Man)/Original Female Character(s),11,/tags/Makima%20(Chainsaw%20Man)*s*Original%20Female%20Character(s),r
Future Devil/Hayakawa Aki,10,/tags/Future%20Devil*s*Hayakawa%20Aki,r
Chainsaw Man Manga Spoilers,175,/tags/Chainsaw%20Man%20Manga%20Spoilers,f
Higashiyama Kobeni/Power,52,/tags/Higashiyama%20Kobeni*s*Power,r
Power (Chainsaw Man)/Reader,30,/tags/Power%20(Chainsaw%20Man)*s*Reader,r
Higashiyama Kobeni/Reader,12,/tags/Higashiyama%20Kobeni*s*Reader,r
Makima (Chainsaw Man)/Reader,59,/tags/Makima%20(Chainsaw%20Man)*s*Reader,r
Reze (Chainsaw Man)/Reader,7,/tags/Reze%20(Chainsaw%20Man)*s*Reader,r
Quanxi (Chainsaw Man)/Reader,20,/tags/Quanxi%20(Chainsaw%20Man)*s*Reader,r
Angel Devil (Chainsaw Man)/Reader,52,/tags/Angel%20Devil%20(Chainsaw%20Man)*s*Reader,r
Hayakawa Aki is Bad at Feelings,89,/tags/Hayakawa%20Aki%20is%20Bad%20at%20Feelings,f
Doctor (Arknights)/Makima (Chainsaw Man),0,/tags/Doctor%20(Arknights)*s*Makima%20(Chainsaw%20Man),r
Higashiyama Kobeni & Power,20,/tags/Higashiyama%20Kobeni%20*a*%20Power,r
