tag,count,href,category
Community: digifriendship,4,/tags/Community:%20digifriendship,f
Tachikawa Mimi,965,/tags/Tachikawa%20Mimi,c
Minamoto Kouji,391,/tags/Minamoto%20Kouji,c
Takenouchi Sora,1126,/tags/Takenouchi%20Sora,c
Kitagawa Kenta,101,/tags/Kitagawa%20Kenta,c
Ichijouji Ken,1424,/tags/Ichijouji%20Ken,c
Tachikawa Mimi/Takenouchi Sora,46,/tags/Tachikawa%20Mimi*s*Takenouchi%20Sora,r
Kanbara Takuya,332,/tags/Kanbara%20Takuya,c
Kimura Kouichi,335,/tags/Kimura%20Kouichi,c
Motomiya Jun,122,/tags/Motomiya%20Jun,c
Patamon (Digimon),23,/tags/Patamon%20(Digimon),c
Agumon (Digimon),40,/tags/Agumon%20(Digimon),c
Gennai (Digimon),90,/tags/Gennai%20(Digimon),c
Augmon & BlackWarGreymon,1,/tags/Augmon%20*a*%20BlackWarGreymon,r
Oikawa Yukio,48,/tags/Oikawa%20Yukio,c
Kimura Kouichi & Minamoto Kouji,60,/tags/Kimura%20Kouichi%20*a*%20Minamoto%20Kouji,r
Daimon Masaru | Marcus Damon,100,/tags/Daimon%20Masaru%20%7C%20Marcus%20Damon,c
Noguchi Ikuto | Keenan Crier,21,/tags/Noguchi%20Ikuto%20%7C%20Keenan%20Crier,c
Himi Tomoki | Tommy Himi,190,/tags/Himi%20Tomoki%20%7C%20Tommy%20Himi,c
Shibayama Junpei | J.P. Shibayama,206,/tags/Shibayama%20Junpei%20%7C%20J*d*P*d*%20Shibayama,c
Yagami Hikari | Kari Kamiya,1488,/tags/Yagami%20Hikari%20%7C%20Kari%20Kamiya,c
Hida Iori | Cody Hida,497,/tags/Hida%20Iori%20%7C%20Cody%20Hida,c
Motomiya Daisuke | Davis Motomiya,1537,/tags/Motomiya%20Daisuke%20%7C%20Davis%20Motomiya,c
Inoue Miyako | Yolei Inoue,687,/tags/Inoue%20Miyako%20%7C%20Yolei%20Inoue,c
Takaishi Takeru | T.K. Takaishi,1529,/tags/Takaishi%20Takeru%20%7C%20T*d*K*d*%20Takaishi,c
Fladramon | Flamedramon,5,/tags/Fladramon%20%7C%20Flamedramon,c
Makino Ruki | Rika Nonaka,338,/tags/Makino%20Ruki%20%7C%20Rika%20Nonaka,c
Ishida Yamato | Matt Ishida,1688,/tags/Ishida%20Yamato%20%7C%20Matt%20Ishida,c
Wallace | Willis,95,/tags/Wallace%20%7C%20Willis,c
Yagami Taichi | Tai Kamiya,1914,/tags/Yagami%20Taichi%20%7C%20Tai%20Kamiya,c
Izumi Koushirou | Izzy Izumi,986,/tags/Izumi%20Koushirou%20%7C%20Izzy%20Izumi,c
Lee Jianliang | Henry Wong,242,/tags/Lee%20Jianliang%20%7C%20Henry%20Wong,c
Kido Jou | Joe Kido,703,/tags/Kido%20Jou%20%7C%20Joe%20Kido,c
Angemon/Angewomon,5,/tags/Angemon*s*Angewomon,r
Matsuda Takato | Takato Matsuki,354,/tags/Matsuda%20Takato%20%7C%20Takato%20Matsuki,c
Pidmon | Piddomon,2,/tags/Pidmon%20%7C%20Piddomon,c
YukiAgumon | SnowAgumon,1,/tags/YukiAgumon%20%7C%20SnowAgumon,c
Orimoto Izumi | Zoe Orimoto,241,/tags/Orimoto%20Izumi%20%7C%20Zoe%20Orimoto,c
Kimura Kouichi/Lucemon,0,/tags/Kimura%20Kouichi*s*Lucemon,r
Kanbara Takuya/Minamoto Kouji,68,/tags/Kanbara%20Takuya*s*Minamoto%20Kouji,r
Armadimon | Armadillomon,10,/tags/Armadimon%20%7C%20Armadillomon,c
Agumon (Adventure),262,/tags/Agumon%20(Adventure),c
Agumon (Savers | Data Squad),37,/tags/Agumon%20(Savers%20%7C%20Data%20Squad),c
Digimon Kaiser | Digimon Emperor,73,/tags/Digimon%20Kaiser%20%7C%20Digimon%20Emperor,c
Lee Shaochung | Suzie Wong,76,/tags/Lee%20Shaochung%20%7C%20Suzie%20Wong,c
Shiota Hirokazu | Kazu Shioda,105,/tags/Shiota%20Hirokazu%20%7C%20Kazu%20Shioda,c
Terriermon (Tamers),103,/tags/Terriermon%20(Tamers),c
Terriermon (Adventure),35,/tags/Terriermon%20(Adventure),c
Katou Juri | Jeri Katou,158,/tags/Katou%20Juri%20%7C%20Jeri%20Katou,c
Renamon (Tamers),186,/tags/Renamon%20(Tamers),c
Cyberdramon (Tamers),42,/tags/Cyberdramon%20(Tamers),c
Akiyama Ryou | Ryo Akiyama,213,/tags/Akiyama%20Ryou%20%7C%20Ryo%20Akiyama,c
Monodramon (Tamers),13,/tags/Monodramon%20(Tamers),c
MarinAngemon | MarineAngemon (Tamers),31,/tags/MarinAngemon%20%7C%20MarineAngemon%20(Tamers),c
Lopmon (Tamers),26,/tags/Lopmon%20(Tamers),c
Lopmon (Adventure),30,/tags/Lopmon%20(Adventure),c
Leomon (Tamers),31,/tags/Leomon%20(Tamers),c
Guilmon (Tamers),152,/tags/Guilmon%20(Tamers),c
Impmon (Tamers),82,/tags/Impmon%20(Tamers),c
Guardromon (Tamers),28,/tags/Guardromon%20(Tamers),c
Gaomon (Savers | Data Squad),16,/tags/Gaomon%20(Savers%20%7C%20Data%20Squad),c
Lalamon (Savers | Data Squad),14,/tags/Lalamon%20(Savers%20%7C%20Data%20Squad),c
Falcomon (Savers | Data Squad),5,/tags/Falcomon%20(Savers%20%7C%20Data%20Squad),c
Fujieda Yoshino | Yoshi Fujieda,31,/tags/Fujieda%20Yoshino%20%7C%20Yoshi%20Fujieda,c
PaunChessmon | PawnChessmon,5,/tags/PaunChessmon%20%7C%20PawnChessmon,c
Piyomon | Biyomon,26,/tags/Piyomon%20%7C%20Biyomon,c
Piyomon | Biyomon (Adventure),163,/tags/Piyomon%20%7C%20Biyomon%20(Adventure),c
BlackWarGreymon (Adventure),6,/tags/BlackWarGreymon%20(Adventure),c
Angemon (Adventure),52,/tags/Angemon%20(Adventure),c
Angewomon (Adventure),38,/tags/Angewomon%20(Adventure),c
Armadimon | Armadillomon (Adventure),127,/tags/Armadimon%20%7C%20Armadillomon%20(Adventure),c
Fladramon | Flamedramon (Adventure),10,/tags/Fladramon%20%7C%20Flamedramon%20(Adventure),c
Gabumon (Adventure),219,/tags/Gabumon%20(Adventure),c
Gomamon (Adventure),148,/tags/Gomamon%20(Adventure),c
Hawkmon (Adventure),139,/tags/Hawkmon%20(Adventure),c
Palmon (Adventure),141,/tags/Palmon%20(Adventure),c
Patamon (Adventure),283,/tags/Patamon%20(Adventure),c
Patamon (Frontier),11,/tags/Patamon%20(Frontier),c
Betamon (Adventure),17,/tags/Betamon%20(Adventure),c
Bokomon (Frontier),45,/tags/Bokomon%20(Frontier),c
Cherubimon (Frontier),35,/tags/Cherubimon%20(Frontier),c
Duskmon (Frontier),23,/tags/Duskmon%20(Frontier),c
Lucemon (Frontier),26,/tags/Lucemon%20(Frontier),c
Neemon (Frontier),39,/tags/Neemon%20(Frontier),c
Seraphimon (Frontier),24,/tags/Seraphimon%20(Frontier),c
Tentomon (Adventure),156,/tags/Tentomon%20(Adventure),c
Tailmon | Gatomon (Adventure),314,/tags/Tailmon%20%7C%20Gatomon%20(Adventure),c
Wormmon (Adventure),254,/tags/Wormmon%20(Adventure),c
