tag,count,href,category
Ishtar,47,/tags/Ishtar,c
Tohsaka Rin,1480,/tags/Tohsaka%20Rin,c
Waver Velvet,802,/tags/Waver%20Velvet,c
Justeaze Lizrich von Einzbern,9,/tags/Justeaze%20Lizrich%20von%20Einzbern,c
Sherlock Holmes/Original Male Character(s),324,/tags/Sherlock%20Holmes*s*Original%20Male%20Character(s),r
Waver Velvet/Original Character(s),2,/tags/Waver%20Velvet*s*Original%20Character(s),r
Heroic Spirit EMIYA | Archer,1345,/tags/Heroic%20Spirit%20EMIYA%20%7C%20Archer,c
Angra Mainyu | Avenger,104,/tags/Angra%20Mainyu%20%7C%20Avenger,c
Cú Chulainn | Lancer,1109,/tags/C%C3%BA%20Chulainn%20%7C%20Lancer,c
Medusa | Rider,370,/tags/Medusa%20%7C%20Rider,c
Heracles | Berserker,177,/tags/Heracles%20%7C%20Berserker,c
Lancelot of the Lake | Berserker,273,/tags/Lancelot%20of%20the%20Lake%20%7C%20Berserker,c
Diarmuid Ua Duibhne | Lancer,611,/tags/Diarmuid%20Ua%20Duibhne%20%7C%20Lancer,c
Iskandar | Rider,503,/tags/Iskandar%20%7C%20Rider,c
Diarmuid Ua Duibhne | Lancer/Harry Potter,0,/tags/Diarmuid%20Ua%20Duibhne%20%7C%20Lancer*s*Harry%20Potter,r
Gawain | Saber/Kishinami Hakuno,1,/tags/Gawain%20%7C%20Saber*s*Kishinami%20Hakuno,r
Route: Unlimited Blade Works,78,/tags/Route:%20Unlimited%20Blade%20Works,f
Chloe von Einzbern | Kuro/Illyasviel von Einzbern,3,/tags/Chloe%20von%20Einzbern%20%7C%20Kuro*s*Illyasviel%20von%20Einzbern,r
Tamamo-no-Mae | Caster (Fate/Extra),201,/tags/Tamamo-no-Mae%20%7C%20Caster%20(Fate*s*Extra),c
Francis Drake/Kishinami Hakuno | Rider/Kishinami Hakuno,0,/tags/Francis%20Drake*s*Kishinami%20Hakuno%20%7C%20Rider*s*Kishinami%20Hakuno,r
Francis Drake/Shinji | Rider/Shinji (Fate/EXTRA),0,/tags/Francis%20Drake*s*Shinji%20%7C%20Rider*s*Shinji%20(Fate*s*EXTRA),r
Gilgamesh | Archer,1974,/tags/Gilgamesh%20%7C%20Archer,c
Saber Alter/Saber Lily,1,/tags/Saber%20Alter*s*Saber%20Lily,r
Morgan le Fay (Fate),219,/tags/Morgan%20le%20Fay%20(Fate),c
Altera | Saber (Fate/Grand Order),96,/tags/Altera%20%7C%20Saber%20(Fate*s*Grand%20Order),c
Kitano Tatsumi,11,/tags/Kitano%20Tatsumi,c
Beowulf | Berserker/Fujimaru Ritsuka,2,/tags/Beowulf%20%7C%20Berserker*s*Fujimaru%20Ritsuka,r
Alternate Universe - Fate/ Fusion,73,/tags/Alternate%20Universe%20-%20Fate*s*%20Fusion,f
Zhuge Kongming | Caster,53,/tags/Zhuge%20Kongming%20%7C%20Caster,c
Kiyohime | Berserker,85,/tags/Kiyohime%20%7C%20Berserker,c
Jeanne d'Arc Alter | Avenger,371,/tags/Jeanne%20d'Arc%20Alter%20%7C%20Avenger,c
Robin Hood | Archer/Sigurd,0,/tags/Robin%20Hood%20%7C%20Archer*s*Sigurd,r
Jekyll/Kitano Tatsumi,6,/tags/Jekyll*s*Kitano%20Tatsumi,r
Paracelsus Van Hohenheim | Caster,40,/tags/Paracelsus%20Van%20Hohenheim%20%7C%20Caster,c
Jekyll/Male Protagonist (Fate/Grand Order),2,/tags/Jekyll*s*Male%20Protagonist%20(Fate*s*Grand%20Order),r
Cú Chulainn | Caster,309,/tags/C%C3%BA%20Chulainn%20%7C%20Caster,c
Medb | Rider (Fate/Grand Order)/Harry Potter,0,/tags/Medb%20%7C%20Rider%20(Fate*s*Grand%20Order)*s*Harry%20Potter,r
Medea Lily | Caster,34,/tags/Medea%20Lily%20%7C%20Caster,c
Leonardo da Vinci | Caster,419,/tags/Leonardo%20da%20Vinci%20%7C%20Caster,c
Marie Antoinette | Rider,113,/tags/Marie%20Antoinette%20%7C%20Rider,c
Olga Marie Animusphere,149,/tags/Olga%20Marie%20Animusphere,c
Agravain (Fate),61,/tags/Agravain%20(Fate),c
Hassan of Serenity | Assassin,60,/tags/Hassan%20of%20Serenity%20%7C%20Assassin,c
Fate/Grand Order Spoilers,40,/tags/Fate*s*Grand%20Order%20Spoilers,f
Romani Archaman,628,/tags/Romani%20Archaman,c
Gareth (Fate),17,/tags/Gareth%20(Fate),c
Diarmuid Ua Duibhne | Saber,58,/tags/Diarmuid%20Ua%20Duibhne%20%7C%20Saber,c
Cú Chulainn | Lancer (Fate/Prototype),107,/tags/C%C3%BA%20Chulainn%20%7C%20Lancer%20(Fate*s*Prototype),c
Harry Potter/Hassan of Serenity | Assassin,0,/tags/Harry%20Potter*s*Hassan%20of%20Serenity%20%7C%20Assassin,r
Belka | Beruka/Hassan of Serenity | Assassin,0,/tags/Belka%20%7C%20Beruka*s*Hassan%20of%20Serenity%20%7C%20Assassin,r
Scáthach | Lancer,147,/tags/Sc%C3%A1thach%20%7C%20Lancer,c
Minamoto no Yoshitsune | Rider,0,/tags/Minamoto%20no%20Yoshitsune%20%7C%20Rider,c
Ozymandias | Rider,257,/tags/Ozymandias%20%7C%20Rider,c
Artoria Pendragon | Saber,1308,/tags/Artoria%20Pendragon%20%7C%20Saber,c
Kiyohime | Berserker (Fate/Grand Order)/Yazawa Nico,0,/tags/Kiyohime%20%7C%20Berserker%20(Fate*s*Grand%20Order)*s*Yazawa%20Nico,r
Carmilla | Assassin,66,/tags/Carmilla%20%7C%20Assassin,c
Leonidas I | Lancer,20,/tags/Leonidas%20I%20%7C%20Lancer,c
Fujimaru Ritsuka,2048,/tags/Fujimaru%20Ritsuka,c
Fou (Fate),71,/tags/Fou%20(Fate),c
Fionn mac Cumhaill | Lancer,66,/tags/Fionn%20mac%20Cumhaill%20%7C%20Lancer,c
Heroic Spirit EMIYA & Medusa | Rider,3,/tags/Heroic%20Spirit%20EMIYA%20*a*%20Medusa%20%7C%20Rider,r
Cú Chulainn | Lancer/Diarmuid Ua Duibhne | Lancer,25,/tags/C%C3%BA%20Chulainn%20%7C%20Lancer*s*Diarmuid%20Ua%20Duibhne%20%7C%20Lancer,r
Cú Chulainn | Lancer/Heroic Spirit EMIYA | Archer,229,/tags/C%C3%BA%20Chulainn%20%7C%20Lancer*s*Heroic%20Spirit%20EMIYA%20%7C%20Archer,r
Okita Souji | Sakura Saber/Reader,2,/tags/Okita%20Souji%20%7C%20Sakura%20Saber*s*Reader,r
Ozymandias | Rider/Reader,16,/tags/Ozymandias%20%7C%20Rider*s*Reader,r
Jack the Ripper | Assassin of Black,179,/tags/Jack%20the%20Ripper%20%7C%20Assassin%20of%20Black,c
Mash Kyrielight | Shielder,1113,/tags/Mash%20Kyrielight%20%7C%20Shielder,c
Artoria Pendragon | Lancer,193,/tags/Artoria%20Pendragon%20%7C%20Lancer,c
Minamoto no Yorimitsu | Berserker,32,/tags/Minamoto%20no%20Yorimitsu%20%7C%20Berserker,c
Penthesilea | Berserker,42,/tags/Penthesilea%20%7C%20Berserker,c
Berserker (Fate),26,/tags/Berserker%20(Fate),c
Robin Hood | Archer,232,/tags/Robin%20Hood%20%7C%20Archer,c
Altera | Saber (Fate/Grand Order) & Allen Walker,0,/tags/Altera%20%7C%20Saber%20(Fate*s*Grand%20Order)%20*a*%20Allen%20Walker,r
Gilgamesh | Caster,574,/tags/Gilgamesh%20%7C%20Caster,c
Kadoc Zemlupus,99,/tags/Kadoc%20Zemlupus,c
Iskandar | Rider/Waver Velvet,304,/tags/Iskandar%20%7C%20Rider*s*Waver%20Velvet,r
Spartacus | Berserker of Red,26,/tags/Spartacus%20%7C%20Berserker%20of%20Red,c
Wolfgang Amadeus Mozart | Caster,112,/tags/Wolfgang%20Amadeus%20Mozart%20%7C%20Caster,c
Charles-Henri Sanson | Assassin,80,/tags/Charles-Henri%20Sanson%20%7C%20Assassin,c
Heroic Spirit EMIYA | Assassin,46,/tags/Heroic%20Spirit%20EMIYA%20%7C%20Assassin,c
Heroic Spirit EMIYA | Archer & Tohsaka Rin,8,/tags/Heroic%20Spirit%20EMIYA%20%7C%20Archer%20*a*%20Tohsaka%20Rin,r
Cú Chulainn | Lancer/Medusa | Rider,18,/tags/C%C3%BA%20Chulainn%20%7C%20Lancer*s*Medusa%20%7C%20Rider,r
Siduri (Fate),81,/tags/Siduri%20(Fate),c
Juliet Violet,3,/tags/Juliet%20Violet,c
Cain Violet,1,/tags/Cain%20Violet,c
Eva Violet,1,/tags/Eva%20Violet,c
Adamska Violet,1,/tags/Adamska%20Violet,c
Shuten-douji | Assassin/Reader,2,/tags/Shuten-douji%20%7C%20Assassin*s*Reader,r
Heroic Spirit EMIYA | Archer/Reader,24,/tags/Heroic%20Spirit%20EMIYA%20%7C%20Archer*s*Reader,r
Illyasviel von Einzbern/Heracles | Berserker,0,/tags/Illyasviel%20von%20Einzbern*s*Heracles%20%7C%20Berserker,r
Oda Nobunaga | Archer,149,/tags/Oda%20Nobunaga%20%7C%20Archer,c
Caligula | Berserker,19,/tags/Caligula%20%7C%20Berserker,c
Arthur Pendragon | Saber,446,/tags/Arthur%20Pendragon%20%7C%20Saber,c
Alexander | Rider,84,/tags/Alexander%20%7C%20Rider,c
Mordred | Saber of Red/Reader,7,/tags/Mordred%20%7C%20Saber%20of%20Red*s*Reader,r
Ereshkigal | Lancer,194,/tags/Ereshkigal%20%7C%20Lancer,c
Phantom of the Opera | Assassin,32,/tags/Phantom%20of%20the%20Opera%20%7C%20Assassin,c
Gaius Julius Caesar | Saber,29,/tags/Gaius%20Julius%20Caesar%20%7C%20Saber,c
Moses (Fate),16,/tags/Moses%20(Fate),c
Billy the Kid | Archer,62,/tags/Billy%20the%20Kid%20%7C%20Archer,c
Orion | Archer,17,/tags/Orion%20%7C%20Archer,c
Merlin | Caster,664,/tags/Merlin%20%7C%20Caster,c
Yan Qing | Assassin,100,/tags/Yan%20Qing%20%7C%20Assassin,c
Amakusa Shirou Tokisada | Avenger,5,/tags/Amakusa%20Shirou%20Tokisada%20%7C%20Avenger,c
Amakusa Shirou Tokisada | Ruler,124,/tags/Amakusa%20Shirou%20Tokisada%20%7C%20Ruler,c
Sessyoin Kiara,112,/tags/Sessyoin%20Kiara,c
Napoleon Bonaparte | Archer,55,/tags/Napoleon%20Bonaparte%20%7C%20Archer,c
Iris Amicitia/Chiron | Archer of Black,0,/tags/Iris%20Amicitia*s*Chiron%20%7C%20Archer%20of%20Black,r
Angra Mainyu | Avenger/Emiya Kiritsugu,1,/tags/Angra%20Mainyu%20%7C%20Avenger*s*Emiya%20Kiritsugu,r
Lev Lainur Flauros,34,/tags/Lev%20Lainur%20Flauros,c
Emiya Kiritsugu/Emiya Shirou,2,/tags/Emiya%20Kiritsugu*s*Emiya%20Shirou,r
Fujimaru Ritsuka/Other(s),0,/tags/Fujimaru%20Ritsuka*s*Other(s),r
