tag,count,href,category
Princess Ann,9,/tags/Princess%20Ann,c
Hayasaka Chiaki/Loki,0,/tags/Hayasaka%20Chiaki*s*Loki,r
Loki (Shin Megami Tensei),158,/tags/Loki%20(Shin%20Megami%20Tensei),c
Sakamoto Ryuji,9226,/tags/Sakamoto%20Ryuji,c
Persona 5 Protagonist,10933,/tags/Persona%205%20Protagonist,c
Hanamura Yosuke/Persona 5 Protagonist,12,/tags/Hanamura%20Yosuke*s*Persona%205%20Protagonist,r
Narukami Yu/Persona 5 Protagonist,25,/tags/Narukami%20Yu*s*Persona%205%20Protagonist,r
Arisato Minako/Persona 5 Protagonist,9,/tags/Arisato%20Minako*s*Persona%205%20Protagonist,r
Persona 5 Protagonist/Seta Souji,27,/tags/Persona%205%20Protagonist*s*Seta%20Souji,r
Alternate Universe - Persona Fusion,170,/tags/Alternate%20Universe%20-%20Persona%20Fusion,f
Kitagawa Yusuke,6966,/tags/Kitagawa%20Yusuke,c
Arisato Minato/Persona 5 Protagonist,0,/tags/Arisato%20Minato*s*Persona%205%20Protagonist,r
Kitagawa Yusuke/Persona 5 Protagonist,948,/tags/Kitagawa%20Yusuke*s*Persona%205%20Protagonist,r
Arisato Minato/Narukami Yu/Persona 5 Protagonist,1,/tags/Arisato%20Minato*s*Narukami%20Yu*s*Persona%205%20Protagonist,r
Arisato Minato/Persona 5 Protagonist/Seta Souji,0,/tags/Arisato%20Minato*s*Persona%205%20Protagonist*s*Seta%20Souji,r
Hanamura Yosuke/Narukami Yu/Persona 5 Protagonist,0,/tags/Hanamura%20Yosuke*s*Narukami%20Yu*s*Persona%205%20Protagonist,r
Hanamura Yosuke/Persona 5 Protagonist/Seta Souji,0,/tags/Hanamura%20Yosuke*s*Persona%205%20Protagonist*s*Seta%20Souji,r
Takamaki Ann,7814,/tags/Takamaki%20Ann,c
Ichijo Kou/Nagase Daisuke/Takamaki Ann,0,/tags/Ichijo%20Kou*s*Nagase%20Daisuke*s*Takamaki%20Ann,r
Persona 5 Protagonist/Sakamoto Ryuji,1443,/tags/Persona%205%20Protagonist*s*Sakamoto%20Ryuji,r
Persona 5 Protagonist/Sakamoto Ryuji/Takamaki Ann,23,/tags/Persona%205%20Protagonist*s*Sakamoto%20Ryuji*s*Takamaki%20Ann,r
Okumura Haru,5396,/tags/Okumura%20Haru,c
Sakura Futaba,6475,/tags/Sakura%20Futaba,c
Akechi Goro,13284,/tags/Akechi%20Goro,c
Arisato Minako/Yuuki Makoto,1,/tags/Arisato%20Minako*s*Yuuki%20Makoto,r
Persona 5 Protagonist/Sakura Futaba,206,/tags/Persona%205%20Protagonist*s*Sakura%20Futaba,r
Sakura Sojiro,3732,/tags/Sakura%20Sojiro,c
Iwai Munehisa,610,/tags/Iwai%20Munehisa,c
Akechi Goro/Kitagawa Yusuke,244,/tags/Akechi%20Goro*s*Kitagawa%20Yusuke,r
Niijima Makoto,6885,/tags/Niijima%20Makoto,c
Niijima Makoto/Persona 5 Protagonist,1096,/tags/Niijima%20Makoto*s*Persona%205%20Protagonist,r
Takemi Tae,878,/tags/Takemi%20Tae,c
Kitagawa Yusuke/Kurusu Akira,1547,/tags/Kitagawa%20Yusuke*s*Kurusu%20Akira,r
Kurusu Akira,16903,/tags/Kurusu%20Akira,c
Kurusu Akira/Sakamoto Ryuji,2278,/tags/Kurusu%20Akira*s*Sakamoto%20Ryuji,r
Persona 3 Protagonist/Persona 5 Protagonist,28,/tags/Persona%203%20Protagonist*s*Persona%205%20Protagonist,r
Persona 5 Protagonist/Reader,195,/tags/Persona%205%20Protagonist*s*Reader,r
Akechi Goro/Kurusu Akira,9442,/tags/Akechi%20Goro*s*Kurusu%20Akira,r
Sakamoto Ryuji/Sakura Futaba,39,/tags/Sakamoto%20Ryuji*s*Sakura%20Futaba,r
Niijima Makoto/Okumura Haru,574,/tags/Niijima%20Makoto*s*Okumura%20Haru,r
Akechi Goro/Persona 5 Protagonist,9608,/tags/Akechi%20Goro*s*Persona%205%20Protagonist,r
Akechi Goro/Kurusu Akira/Kitagawa Yusuke,6,/tags/Akechi%20Goro*s*Kurusu%20Akira*s*Kitagawa%20Yusuke,r
Akechi Goro/Niijima Sae,14,/tags/Akechi%20Goro*s*Niijima%20Sae,r
Niijima Sae,2078,/tags/Niijima%20Sae,c
Kurusu Akira/Seta Souji,34,/tags/Kurusu%20Akira*s*Seta%20Souji,r
Kurusu Akira/Narukami Yu,87,/tags/Kurusu%20Akira*s*Narukami%20Yu,r
Madarame Ichiryusai,275,/tags/Madarame%20Ichiryusai,c
Phantom Thieves of Hearts,2859,/tags/Phantom%20Thieves%20of%20Hearts,c
Akechi Goro/Kitagawa Yusuke/Persona 5 Protagonist,14,/tags/Akechi%20Goro*s*Kitagawa%20Yusuke*s*Persona%205%20Protagonist,r
Iwai Munehisa/Persona 5 Protagonist,73,/tags/Iwai%20Munehisa*s*Persona%205%20Protagonist,r
Kitagawa Yusuke/Takamaki Ann,58,/tags/Kitagawa%20Yusuke*s*Takamaki%20Ann,r
Kitagawa Yusuke & Okumura Haru,34,/tags/Kitagawa%20Yusuke%20*a*%20Okumura%20Haru,r
Akechi Goro/Takamaki Ann,52,/tags/Akechi%20Goro*s*Takamaki%20Ann,r
Caroline/Justine/Persona 5 Protagonist,9,/tags/Caroline*s*Justine*s*Persona%205%20Protagonist,r
Kitagawa Yusuke/Sakura Futaba,376,/tags/Kitagawa%20Yusuke*s*Sakura%20Futaba,r
Persona 5 Spoilers,996,/tags/Persona%205%20Spoilers,f
Persona 5 Protagonist/Takamaki Ann,530,/tags/Persona%205%20Protagonist*s*Takamaki%20Ann,r
Kurusu Akira/Takamaki Ann,638,/tags/Kurusu%20Akira*s*Takamaki%20Ann,r
Sakamoto Ryuji/Takamaki Ann,637,/tags/Sakamoto%20Ryuji*s*Takamaki%20Ann,r
Goemon (Persona Series),52,/tags/Goemon%20(Persona%20Series),c
Okumura Haru/Persona 5 Protagonist,227,/tags/Okumura%20Haru*s*Persona%205%20Protagonist,r
