tag,count,href,category
Peppermint Cookie (Cookie Run),109,/tags/Peppermint%20Cookie%20(Cookie%20Run),c
Wizard Cookie (Cookie Run),385,/tags/Wizard%20Cookie%20(Cookie%20Run),c
Herb Cookie/Roll Cake Cookie (Cookie Run),1,/tags/Herb%20Cookie*s*Roll%20Cake%20Cookie%20(Cookie%20Run),r
Pancake Cookie (Cookie Run),150,/tags/Pancake%20Cookie%20(Cookie%20Run),c
Roll Cake Cookie (Cookie Run),77,/tags/Roll%20Cake%20Cookie%20(Cookie%20Run),c
Herb Cookie (Cookie Run),684,/tags/Herb%20Cookie%20(Cookie%20Run),c
Cinnamon Cookie (Cookie Run),72,/tags/Cinnamon%20Cookie%20(Cookie%20Run),c
Coffee Cookie (Cookie Run),12,/tags/Coffee%20Cookie%20(Cookie%20Run),c
Apple Cookie (Cookie Run),39,/tags/Apple%20Cookie%20(Cookie%20Run),c
Cotton Candy Cookie (Cookie Run),70,/tags/Cotton%20Candy%20Cookie%20(Cookie%20Run),c
Orange Cookie (Cookie Run),43,/tags/Orange%20Cookie%20(Cookie%20Run),c
Lime Cookie (Cookie Run),43,/tags/Lime%20Cookie%20(Cookie%20Run),c
Cloud Cookie (Cookie Run),4,/tags/Cloud%20Cookie%20(Cookie%20Run),c
Mint Choco Cookie (Cookie Run),377,/tags/Mint%20Choco%20Cookie%20(Cookie%20Run),c
Rockstar Cookie (Cookie Run),114,/tags/Rockstar%20Cookie%20(Cookie%20Run),c
Snow Sugar Cookie (Cookie Run),84,/tags/Snow%20Sugar%20Cookie%20(Cookie%20Run),c
The Witch (Cookie Run),21,/tags/The%20Witch%20(Cookie%20Run),c
Dark Choco Cookie/Whipped Cream Cookie (Cookie Run),46,/tags/Dark%20Choco%20Cookie*s*Whipped%20Cream%20Cookie%20(Cookie%20Run),r
Wind Archer Cookie (Cookie Run),244,/tags/Wind%20Archer%20Cookie%20(Cookie%20Run),c
Dark Choco Cookie (Cookie Run),1117,/tags/Dark%20Choco%20Cookie%20(Cookie%20Run),c
Vampire Cookie (Cookie Run),538,/tags/Vampire%20Cookie%20(Cookie%20Run),c
Cherry Blossom Cookie (Cookie Run),126,/tags/Cherry%20Blossom%20Cookie%20(Cookie%20Run),c
Hero Cookie (Cookie Run),75,/tags/Hero%20Cookie%20(Cookie%20Run),c
Whipped Cream Cookie (Cookie Run),101,/tags/Whipped%20Cream%20Cookie%20(Cookie%20Run),c
Princess Cookie (Cookie Run),246,/tags/Princess%20Cookie%20(Cookie%20Run),c
Pistachio Cookie (Cookie Run),49,/tags/Pistachio%20Cookie%20(Cookie%20Run),c
White Choco Cookie (Cookie Run),65,/tags/White%20Choco%20Cookie%20(Cookie%20Run),c
Knight Cookie (Cookie Run),334,/tags/Knight%20Cookie%20(Cookie%20Run),c
Dark Enchantress Cookie (Cookie Run),575,/tags/Dark%20Enchantress%20Cookie%20(Cookie%20Run),c
Fire Spirit Cookie (Cookie Run),273,/tags/Fire%20Spirit%20Cookie%20(Cookie%20Run),c
Sea Fairy Cookie (Cookie Run),345,/tags/Sea%20Fairy%20Cookie%20(Cookie%20Run),c
Moonlight Cookie (Cookie Run),294,/tags/Moonlight%20Cookie%20(Cookie%20Run),c
Angel Cookie (Cookie Run),127,/tags/Angel%20Cookie%20(Cookie%20Run),c
Lemon Cookie (Cookie Run),69,/tags/Lemon%20Cookie%20(Cookie%20Run),c
Mustard Cookie (Cookie Run),71,/tags/Mustard%20Cookie%20(Cookie%20Run),c
Macaron Cookie (Cookie Run),27,/tags/Macaron%20Cookie%20(Cookie%20Run),c
Gumball Cookie (Cookie Run),122,/tags/Gumball%20Cookie%20(Cookie%20Run),c
Moon Rabbit Cookie (Cookie Run),43,/tags/Moon%20Rabbit%20Cookie%20(Cookie%20Run),c
Cherry Cookie (Cookie Run),96,/tags/Cherry%20Cookie%20(Cookie%20Run),c
Adventurer Cookie (Cookie Run),151,/tags/Adventurer%20Cookie%20(Cookie%20Run),c
Blackberry Cookie (Cookie Run),191,/tags/Blackberry%20Cookie%20(Cookie%20Run),c
Pink Choco Cookie (Cookie Run),34,/tags/Pink%20Choco%20Cookie%20(Cookie%20Run),c
Avocado Cookie (Cookie Run),66,/tags/Avocado%20Cookie%20(Cookie%20Run),c
Ice Candy Cookie (Cookie Run),8,/tags/Ice%20Candy%20Cookie%20(Cookie%20Run),c
Matcha Cookie (Cookie Run),38,/tags/Matcha%20Cookie%20(Cookie%20Run),c
Red Pepper Cookie (Cookie Run),20,/tags/Red%20Pepper%20Cookie%20(Cookie%20Run),c
Choco Drop (Cookie Run),2,/tags/Choco%20Drop%20(Cookie%20Run),c
Light Bros (Cookie Run),2,/tags/Light%20Bros%20(Cookie%20Run),c
Rosette (Cookie Run),1,/tags/Rosette%20(Cookie%20Run),c
Herb Teapot (Cookie Run),2,/tags/Herb%20Teapot%20(Cookie%20Run),c
Dark Spirit Helmet (Cookie Run),1,/tags/Dark%20Spirit%20Helmet%20(Cookie%20Run),c
Paprika Punching Bag (Cookie Run),1,/tags/Paprika%20Punching%20Bag%20(Cookie%20Run),c
Backpacky (Cookie Run),2,/tags/Backpacky%20(Cookie%20Run),c
Ninja Cookie (Cookie Run),42,/tags/Ninja%20Cookie%20(Cookie%20Run),c
Chili Pepper Cookie (Cookie Run),386,/tags/Chili%20Pepper%20Cookie%20(Cookie%20Run),c
Pirate Cookie (Cookie Run),68,/tags/Pirate%20Cookie%20(Cookie%20Run),c
Lucky Dice Bros (Cookie Run),1,/tags/Lucky%20Dice%20Bros%20(Cookie%20Run),c
Strawberry Cookie (Cookie Run),379,/tags/Strawberry%20Cookie%20(Cookie%20Run),c
Pocket Strawberry (Cookie Run),4,/tags/Pocket%20Strawberry%20(Cookie%20Run),c
GingerBrave | Brave Cookie,612,/tags/GingerBrave%20%7C%20Brave%20Cookie,c
Cheese Drop | Cheeseberry,0,/tags/Cheese%20Drop%20%7C%20Cheeseberry,c
Little Ghost | Ginger Ghost,0,/tags/Little%20Ghost%20%7C%20Ginger%20Ghost,c
Mr. Limeguard (Cookie Run),2,/tags/Mr*d*%20Limeguard%20(Cookie%20Run),c
Original Cookie Run Character(s),354,/tags/Original%20Cookie%20Run%20Character(s),c
GingerBrave | Brave Cookie/Hero Cookie,0,/tags/GingerBrave%20%7C%20Brave%20Cookie*s*Hero%20Cookie,r
Space Doughnut (Cookie Run),11,/tags/Space%20Doughnut%20(Cookie%20Run),c
Alchemist Cookie (Cookie Run),243,/tags/Alchemist%20Cookie%20(Cookie%20Run),c
Aloe Cookie (Cookie Run),98,/tags/Aloe%20Cookie%20(Cookie%20Run),c
Adventurer Cookie/Herb Cookie (Cookie Run),1,/tags/Adventurer%20Cookie*s*Herb%20Cookie%20(Cookie%20Run),r
Sparkling Cookie (Cookie Run),616,/tags/Sparkling%20Cookie%20(Cookie%20Run),c
Werewolf Cookie (Cookie Run),145,/tags/Werewolf%20Cookie%20(Cookie%20Run),c
Pomegranate Cookie (Cookie Run),661,/tags/Pomegranate%20Cookie%20(Cookie%20Run),c
Ion Cookie Robot (Cookie Run),22,/tags/Ion%20Cookie%20Robot%20(Cookie%20Run),c
Yoga Cookie (Cookie Run),4,/tags/Yoga%20Cookie%20(Cookie%20Run),c
Milk Cookie (Cookie Run),341,/tags/Milk%20Cookie%20(Cookie%20Run),c
Purple Yam Cookie (Cookie Run),284,/tags/Purple%20Yam%20Cookie%20(Cookie%20Run),c
Cocoa Cookie (Cookie Run),170,/tags/Cocoa%20Cookie%20(Cookie%20Run),c
Cheesecake Cookie (Cookie Run),70,/tags/Cheesecake%20Cookie%20(Cookie%20Run),c
Millennial Tree Cookie (Cookie Run),168,/tags/Millennial%20Tree%20Cookie%20(Cookie%20Run),c
Devil Cookie (Cookie Run),104,/tags/Devil%20Cookie%20(Cookie%20Run),c
AWOL Cracker (Cookie Run),0,/tags/AWOL%20Cracker%20(Cookie%20Run),c
Banana Cookie (Cookie Run),11,/tags/Banana%20Cookie%20(Cookie%20Run),c
Beet Cookie (Cookie Run),65,/tags/Beet%20Cookie%20(Cookie%20Run),c
Bow Tie Bottle (Cookie Run),0,/tags/Bow%20Tie%20Bottle%20(Cookie%20Run),c
Buttercream Choco Cookie (Cookie Run),3,/tags/Buttercream%20Choco%20Cookie%20(Cookie%20Run),c
GingerBright | Bright Cookie,86,/tags/GingerBright%20%7C%20Bright%20Cookie,c
Carol Cookie (Cookie Run),19,/tags/Carol%20Cookie%20(Cookie%20Run),c
Carrot Cookie (Cookie Run),60,/tags/Carrot%20Cookie%20(Cookie%20Run),c
Adventurer Cookie/Blackberry Cookie (Cookie Run),65,/tags/Adventurer%20Cookie*s*Blackberry%20Cookie%20(Cookie%20Run),r
