tag,count,href,category
Charles Xavier,24242,/tags/Charles%20Xavier,c
Scott Summers,6688,/tags/Scott%20Summers,c
Jubilation Lee,1383,/tags/Jubilation%20Lee,c
Jean Grey/Scott Summers,1370,/tags/Jean%20Grey*s*Scott%20Summers,r
Jean Grey,5470,/tags/Jean%20Grey,c
Erik Lehnsherr,21410,/tags/Erik%20Lehnsherr,c
Madelyne Pryor,134,/tags/Madelyne%20Pryor,c
Hank McCoy,7382,/tags/Hank%20McCoy,c
Celeste Cuckoo,32,/tags/Celeste%20Cuckoo,c
Mindee Cuckoo,27,/tags/Mindee%20Cuckoo,c
Phoebe Cuckoo,48,/tags/Phoebe%20Cuckoo,c
Emma Frost,4297,/tags/Emma%20Frost,c
Kitty Pryde,3250,/tags/Kitty%20Pryde,c
Cassandra Nova,23,/tags/Cassandra%20Nova,c
Ororo Munroe,3916,/tags/Ororo%20Munroe,c
Rahne Sinclair,388,/tags/Rahne%20Sinclair,c
Bobby Drake/Rogue,209,/tags/Bobby%20Drake*s*Rogue,r
Bobby Drake/Kitty Pryde,69,/tags/Bobby%20Drake*s*Kitty%20Pryde,r
Bobby Drake,2567,/tags/Bobby%20Drake,c
Wanda Maximoff,40326,/tags/Wanda%20Maximoff,c
Erik Lehnsherr/Charles Xavier,27709,/tags/Erik%20Lehnsherr*s*Charles%20Xavier,r
Victor Creed,1363,/tags/Victor%20Creed,c
Norman Osborn,2650,/tags/Norman%20Osborn,c
Abigail Brand,80,/tags/Abigail%20Brand,c
Grrix,1,/tags/Grrix,c
Pete Wisdom,99,/tags/Pete%20Wisdom,c
Kurt Wagner,4126,/tags/Kurt%20Wagner,c
Jean Grey/Logan,72,/tags/Jean%20Grey*s*Logan,r
Remy LeBeau,3297,/tags/Remy%20LeBeau,c
Jean Grey/Ororo Munroe,93,/tags/Jean%20Grey*s*Ororo%20Munroe,r
Sebastian Shaw,1979,/tags/Sebastian%20Shaw,c
Emma Frost/Scott Summers,299,/tags/Emma%20Frost*s*Scott%20Summers,r
Kitty Pryde/Piotr Rasputin,156,/tags/Kitty%20Pryde*s*Piotr%20Rasputin,r
Piotr Rasputin,1019,/tags/Piotr%20Rasputin,c
Illyana Rasputin,858,/tags/Illyana%20Rasputin,c
Alex Summers,3967,/tags/Alex%20Summers,c
Nathan Summers,1266,/tags/Nathan%20Summers,c
Christopher Summers,68,/tags/Christopher%20Summers,c
Annie Richardson,4,/tags/Annie%20Richardson,c
Logan/Scott Summers,460,/tags/Logan*s*Scott%20Summers,r
John Allerdyce,971,/tags/John%20Allerdyce,c
Warren Worthington III,1350,/tags/Warren%20Worthington%20III,c
Cain Marko,399,/tags/Cain%20Marko,c
community: xmmficathon,32,/tags/community:%20xmmficathon,f
Douglas Ramsey,233,/tags/Douglas%20Ramsey,c
Mutant Alpha,1,/tags/Mutant%20Alpha,c
Logan (X-Men),11650,/tags/Logan%20(X-Men),c
Joseph (X-Men),34,/tags/Joseph%20(X-Men),c
Lorna Dane,1345,/tags/Lorna%20Dane,c
Lilandra Neramani,39,/tags/Lilandra%20Neramani,c
Wade Wilson,16430,/tags/Wade%20Wilson,c
Sean Cassidy,2325,/tags/Sean%20Cassidy,c
Moira MacTaggert,2287,/tags/Moira%20MacTaggert,c
Kevin MacTaggert,26,/tags/Kevin%20MacTaggert,c
Brian Braddock,134,/tags/Brian%20Braddock,c
Elizabeth Braddock,453,/tags/Elizabeth%20Braddock,c
Amara Aquilla,148,/tags/Amara%20Aquilla,c
Nathaniel Essex,326,/tags/Nathaniel%20Essex,c
Paige Guthrie,88,/tags/Paige%20Guthrie,c
Sam Guthrie,428,/tags/Sam%20Guthrie,c
Julio Richter,454,/tags/Julio%20Richter,c
Pietro Maximoff,14142,/tags/Pietro%20Maximoff,c
Rogue (X-Men),3784,/tags/Rogue%20(X-Men),c
Erik Lehnsherr/Rogue,57,/tags/Erik%20Lehnsherr*s*Rogue,r
Kitty Pryde/Rogue,39,/tags/Kitty%20Pryde*s*Rogue,r
Danger Room,45,/tags/Danger%20Room,f
Douglas Ramsey/Illyana Rasputin,5,/tags/Douglas%20Ramsey*s*Illyana%20Rasputin,r
Monet St. Croix,161,/tags/Monet%20St*d*%20Croix,c
Everett Thomas,29,/tags/Everett%20Thomas,c
Angelo Espinosa,58,/tags/Angelo%20Espinosa,c
Alison Blaire,152,/tags/Alison%20Blaire,c
Lee Forrester,5,/tags/Lee%20Forrester,c
Remy LeBeau/Rogue,975,/tags/Remy%20LeBeau*s*Rogue,r
Scott Summers/Warren Worthington III,45,/tags/Scott%20Summers*s*Warren%20Worthington%20III,r
Ruby Summers,9,/tags/Ruby%20Summers,c
Tabitha Smith,240,/tags/Tabitha%20Smith,c
Edwin Jarvis,3481,/tags/Edwin%20Jarvis,c
Roberto da Costa,342,/tags/Roberto%20da%20Costa,c
John Allerdyce/Logan,1,/tags/John%20Allerdyce*s*Logan,r
Remy LeBeau/Scott Summers,29,/tags/Remy%20LeBeau*s*Scott%20Summers,r
Yoshida Shiro,21,/tags/Yoshida%20Shiro,c
Black Tom Cassidy,25,/tags/Black%20Tom%20Cassidy,c
Jean-Paul Beaubier,304,/tags/Jean-Paul%20Beaubier,c
Remy LeBeau/Logan,160,/tags/Remy%20LeBeau*s*Logan,r
Nathan Summers/Wade Wilson,889,/tags/Nathan%20Summers*s*Wade%20Wilson,r
Longshot (X-Men),80,/tags/Longshot%20(X-Men),c
Logan/Kurt Wagner,583,/tags/Logan*s*Kurt%20Wagner,r
Victor Creed/Logan,175,/tags/Victor%20Creed*s*Logan,r
Kitty Pryde/Illyana Rasputin,283,/tags/Kitty%20Pryde*s*Illyana%20Rasputin,r
Rachel Summers,462,/tags/Rachel%20Summers,c
John Allerdyce/Rogue,42,/tags/John%20Allerdyce*s*Rogue,r
Theresa Cassidy,151,/tags/Theresa%20Cassidy,c
Neena Thurman,249,/tags/Neena%20Thurman,c
Ichiki Hisako,37,/tags/Ichiki%20Hisako,c
Lucas Bishop,103,/tags/Lucas%20Bishop,c
James Proudstar,132,/tags/James%20Proudstar,c
Agent Zero,22,/tags/Agent%20Zero,c
Remy LeBeau/Ororo Munroe,23,/tags/Remy%20LeBeau*s*Ororo%20Munroe,r
Kitty Pryde/Kurt Wagner,283,/tags/Kitty%20Pryde*s*Kurt%20Wagner,r
Erik Lehnsherr/Logan,73,/tags/Erik%20Lehnsherr*s*Logan,r
Megan Gwynn,105,/tags/Megan%20Gwynn,c
Logan (X-Men)/Dean Winchester,7,/tags/Logan%20(X-Men)*s*Dean%20Winchester,r
Peter Parker/Johnny Storm,1882,/tags/Peter%20Parker*s*Johnny%20Storm,r
Amelia Voght,19,/tags/Amelia%20Voght,c
Sooraya Qadir,84,/tags/Sooraya%20Qadir,c
Laura Kinney,1227,/tags/Laura%20Kinney,c
Logan (X-Men)/Peter Parker,40,/tags/Logan%20(X-Men)*s*Peter%20Parker,r
The Vanisher,4,/tags/The%20Vanisher,c
Bobby Drake/Remy LeBeau,35,/tags/Bobby%20Drake*s*Remy%20LeBeau,r
Logan (X-Men)/Original Female Character,159,/tags/Logan%20(X-Men)*s*Original%20Female%20Character,r
Julian Keller,170,/tags/Julian%20Keller,c
Terri Pryde,3,/tags/Terri%20Pryde,c
Victor Borkowski,97,/tags/Victor%20Borkowski,c
Frederick Dukes,144,/tags/Frederick%20Dukes,c
Nezhno Abidemi,8,/tags/Nezhno%20Abidemi,c
Andrea Margulies,5,/tags/Andrea%20Margulies,c
Toad (X-Men),338,/tags/Toad%20(X-Men),c
Josh Foley,140,/tags/Josh%20Foley,c
Esme Cuckoo,71,/tags/Esme%20Cuckoo,c
Sophie Cuckoo,37,/tags/Sophie%20Cuckoo,c
Angel Salvadore,1429,/tags/Angel%20Salvadore,c
Stuff (Marvel),7,/tags/Stuff%20(Marvel),c
Justin Pierce,2,/tags/Justin%20Pierce,c
Danielle Moonstar,343,/tags/Danielle%20Moonstar,c
Cessily Kincaid,88,/tags/Cessily%20Kincaid,c
Stepford Cuckoos,119,/tags/Stepford%20Cuckoos,c
Joanne Beaubier,5,/tags/Joanne%20Beaubier,c
Logan/Ororo Munroe,376,/tags/Logan*s*Ororo%20Munroe,r
Leyu Yoshida,2,/tags/Leyu%20Yoshida,c
Leech (Marvel),46,/tags/Leech%20(Marvel),c
Mondo (Generation X),1,/tags/Mondo%20(Generation%20X),c
Armando Muñoz,1199,/tags/Armando%20Mu%C3%B1oz,c
David Alleyne,615,/tags/David%20Alleyne,c
Kevin Ford,48,/tags/Kevin%20Ford,c
Paras Gavaskar,7,/tags/Paras%20Gavaskar,c
Ruth Aldine,71,/tags/Ruth%20Aldine,c
Alternate Universe - Mutants,1076,/tags/Alternate%20Universe%20-%20Mutants,f
William Drake,15,/tags/William%20Drake,c
Erik Lehnsherr/Isabelle (X-Men),1,/tags/Erik%20Lehnsherr*s*Isabelle%20(X-Men),r
Isabelle (X-Men),2,/tags/Isabelle%20(X-Men),c
Hope Summers,159,/tags/Hope%20Summers,c
Rusty Collins,22,/tags/Rusty%20Collins,c
Henry Gyrich,17,/tags/Henry%20Gyrich,c
Annie Ghazikhanian,9,/tags/Annie%20Ghazikhanian,c
Mikhail Rasputin,26,/tags/Mikhail%20Rasputin,c
Ashida Noriko,100,/tags/Ashida%20Noriko,c
Nathaniel Essex/Remy LeBeau,15,/tags/Nathaniel%20Essex*s*Remy%20LeBeau,r
Remy LeBeau/Other(s),2,/tags/Remy%20LeBeau*s*Other(s),r
Emma Frost/Emily Prentiss,30,/tags/Emma%20Frost*s*Emily%20Prentiss,r
Janos Quested,763,/tags/Janos%20Quested,c
X-Men First Class Kink Meme,151,/tags/X-Men%20First%20Class%20Kink%20Meme,f
Moira MacTaggert/Charles Xavier,193,/tags/Moira%20MacTaggert*s*Charles%20Xavier,r
Emma Frost/Charles Xavier,37,/tags/Emma%20Frost*s*Charles%20Xavier,r
Emma Frost/Erik Lehnsherr,77,/tags/Emma%20Frost*s*Erik%20Lehnsherr,r
Armando Muñoz/Alex Summers,491,/tags/Armando%20Mu%C3%B1oz*s*Alex%20Summers,r
Logan (X-Men)/Original Character,12,/tags/Logan%20(X-Men)*s*Original%20Character,r
Erik Lehnsherr/Original Female Character,121,/tags/Erik%20Lehnsherr*s*Original%20Female%20Character,r
Hank McCoy/Alex Summers,718,/tags/Hank%20McCoy*s*Alex%20Summers,r
