tag,count,href,category
Jupiter (Pokemon),144,/tags/Jupiter%20(Pokemon),c
Mars (Pokemon),196,/tags/Mars%20(Pokemon),c
Saturn (Pokemon),230,/tags/Saturn%20(Pokemon),c
Satoshi | Ash Ketchum,7695,/tags/Satoshi%20%7C%20Ash%20Ketchum,c
Takeshi | Brock,1581,/tags/Takeshi%20%7C%20Brock,c
Kasumi | Misty,2244,/tags/Kasumi%20%7C%20Misty,c
Musashi | Jessie,1196,/tags/Musashi%20%7C%20Jessie,c
Kojirou | James,1205,/tags/Kojirou%20%7C%20James,c
Kenji | Tracey Sketchit,361,/tags/Kenji%20%7C%20Tracey%20Sketchit,c
Joui | Nurse Joy,453,/tags/Joui%20%7C%20Nurse%20Joy,c
Akagi | Cyrus,809,/tags/Akagi%20%7C%20Cyrus,c
Haruka | May,1610,/tags/Haruka%20%7C%20May,c
Hikari | Dawn,2259,/tags/Hikari%20%7C%20Dawn,c
Shinji | Paul,488,/tags/Shinji%20%7C%20Paul,c
Nozomi | Zoey,121,/tags/Nozomi%20%7C%20Zoey,c
Sakaki | Giovanni,1244,/tags/Sakaki%20%7C%20Giovanni,c
Kotone | Lyra,667,/tags/Kotone%20%7C%20Lyra,c
Natsume | Sabrina,371,/tags/Natsume%20%7C%20Sabrina,c
Shuu | Drew,339,/tags/Shuu%20%7C%20Drew,c
Erika (Pokemon),222,/tags/Erika%20(Pokemon),c
Matsuba | Morty,303,/tags/Matsuba%20%7C%20Morty,c
Wataru | Lance,956,/tags/Wataru%20%7C%20Lance,c
Mikuri | Wallace,856,/tags/Mikuri%20%7C%20Wallace,c
Asuna | Flannery,148,/tags/Asuna%20%7C%20Flannery,c
Hayato | Falkner,177,/tags/Hayato%20%7C%20Falkner,c
Shirona | Cynthia,1600,/tags/Shirona%20%7C%20Cynthia,c
Natane | Gardenia,118,/tags/Natane%20%7C%20Gardenia,c
Sumomo | Maylene,134,/tags/Sumomo%20%7C%20Maylene,c
Maximum Mask | Crasher Wake,58,/tags/Maximum%20Mask%20%7C%20Crasher%20Wake,c
Melissa | Fantina,89,/tags/Melissa%20%7C%20Fantina,c
Tougan | Byron,98,/tags/Tougan%20%7C%20Byron,c
Suzuna | Candice,171,/tags/Suzuna%20%7C%20Candice,c
Denzi | Volkner,325,/tags/Denzi%20%7C%20Volkner,c
Ryou | Aaron,84,/tags/Ryou%20%7C%20Aaron,c
Kikuno | Bertha,71,/tags/Kikuno%20%7C%20Bertha,c
Jun | Barry,518,/tags/Jun%20%7C%20Barry,c
Ayako | Johanna,145,/tags/Ayako%20%7C%20Johanna,c
Cheren (Pokemon),659,/tags/Cheren%20(Pokemon),c
Aoi | Angie,16,/tags/Aoi%20%7C%20Angie,c
Kouki | Lucas,522,/tags/Kouki%20%7C%20Lucas,c
Pod | Chili,109,/tags/Pod%20%7C%20Chili,c
Corn | Cress,114,/tags/Corn%20%7C%20Cress,c
Dent | Cilan,442,/tags/Dent%20%7C%20Cilan,c
Iris (Pokemon),864,/tags/Iris%20(Pokemon),c
Hiroshi | Ritchie,100,/tags/Hiroshi%20%7C%20Ritchie,c
Kyou | Koga,174,/tags/Kyou%20%7C%20Koga,c
Kotone | Lyra/Silver,136,/tags/Kotone%20%7C%20Lyra*s*Silver,r
Mikan | Jasmine,174,/tags/Mikan%20%7C%20Jasmine,c
Utsugi-hakase | Professor Elm,95,/tags/Utsugi-hakase%20%7C%20Professor%20Elm,c
