tag,count,href,category
Bill Denbrough,10389,/tags/Bill%20Denbrough,c
Beverly Marsh,9751,/tags/Beverly%20Marsh,c
Ben Hanscom,8543,/tags/Ben%20Hanscom,c
Ben Hanscom/Beverly Marsh,3416,/tags/Ben%20Hanscom*s*Beverly%20Marsh,r
Richie Tozier,18217,/tags/Richie%20Tozier,c
Eddie Kaspbrak,16963,/tags/Eddie%20Kaspbrak,c
Mike Hanlon,8890,/tags/Mike%20Hanlon,c
Stanley Uris,9710,/tags/Stanley%20Uris,c
Pennywise (IT),2372,/tags/Pennywise%20(IT),c
Henry Bowers,1546,/tags/Henry%20Bowers,c
Eddie Kaspbrak/Richie Tozier,21045,/tags/Eddie%20Kaspbrak*s*Richie%20Tozier,r
Bill Denbrough/Beverly Marsh,386,/tags/Bill%20Denbrough*s*Beverly%20Marsh,r
Beverly Marsh/Richie Tozier,140,/tags/Beverly%20Marsh*s*Richie%20Tozier,r
Patrick Hockstetter,1065,/tags/Patrick%20Hockstetter,c
Tom Rogan,86,/tags/Tom%20Rogan,c
Beverly Marsh/Tom Rogan,27,/tags/Beverly%20Marsh*s*Tom%20Rogan,r
Trevor Dawson,5,/tags/Trevor%20Dawson,c
Victor Criss,638,/tags/Victor%20Criss,c
Stephen King References,93,/tags/Stephen%20King%20References,f
Bill Denbrough/Richie Tozier,407,/tags/Bill%20Denbrough*s*Richie%20Tozier,r
Bill Denbrough/Original Female Character(s),24,/tags/Bill%20Denbrough*s*Original%20Female%20Character(s),r
Bill Denbrough/Mike Hanlon,1088,/tags/Bill%20Denbrough*s*Mike%20Hanlon,r
Eddie Corcoran/Veronica Grogan,1,/tags/Eddie%20Corcoran*s*Veronica%20Grogan,r
Eddie Corcoran,15,/tags/Eddie%20Corcoran,c
Veronica Grogan,2,/tags/Veronica%20Grogan,c
Avery Hockstetter,30,/tags/Avery%20Hockstetter,c
Kay McCall (IT),110,/tags/Kay%20McCall%20(IT),c
Henry Bowers/Patrick Hockstetter,192,/tags/Henry%20Bowers*s*Patrick%20Hockstetter,r
Freddy Krueger/Pennywise (IT),0,/tags/Freddy%20Krueger*s*Pennywise%20(IT),r
Inspired by Stephen King,82,/tags/Inspired%20by%20Stephen%20King,f
Joyce Byers/Richie Tozier,1,/tags/Joyce%20Byers*s*Richie%20Tozier,r
Eddie Kaspbrak & Richie Tozier,2729,/tags/Eddie%20Kaspbrak%20*a*%20Richie%20Tozier,r
Donald Uris,105,/tags/Donald%20Uris,c
Bill Denbrough/Stanley Uris,2139,/tags/Bill%20Denbrough*s*Stanley%20Uris,r
Bill Denbrough/Eddie Kaspbrak,271,/tags/Bill%20Denbrough*s*Eddie%20Kaspbrak,r
Richie Tozier/Stanley Uris,840,/tags/Richie%20Tozier*s*Stanley%20Uris,r
Tommy Vicananza,1,/tags/Tommy%20Vicananza,c
Maggie Tozier,808,/tags/Maggie%20Tozier,c
Wentworth Tozier,656,/tags/Wentworth%20Tozier,c
Pennywise (IT)/Original Female Character(s),53,/tags/Pennywise%20(IT)*s*Original%20Female%20Character(s),r
Richie Tozier & Stanley Uris,593,/tags/Richie%20Tozier%20*a*%20Stanley%20Uris,r
Patrick Hockstetter/Beverly Marsh,4,/tags/Patrick%20Hockstetter*s*Beverly%20Marsh,r
Henry Bowers/Beverly Marsh,11,/tags/Henry%20Bowers*s*Beverly%20Marsh,r
Mike Hanlon/Beverly Marsh,67,/tags/Mike%20Hanlon*s*Beverly%20Marsh,r
Beverly Marsh/Reader,36,/tags/Beverly%20Marsh*s*Reader,r
Beverly Marsh & Richie Tozier,432,/tags/Beverly%20Marsh%20*a*%20Richie%20Tozier,r
Pennywise (IT) & Original Female Character(s),117,/tags/Pennywise%20(IT)%20*a*%20Original%20Female%20Character(s),r
Stanley Uris & Everyone,23,/tags/Stanley%20Uris%20*a*%20Everyone,r
Bill Denbrough & Stanley Uris,317,/tags/Bill%20Denbrough%20*a*%20Stanley%20Uris,r
Georgie Denbrough,1069,/tags/Georgie%20Denbrough,c
Henry Bowers & Patrick Hockstetter,33,/tags/Henry%20Bowers%20*a*%20Patrick%20Hockstetter,r
Patrick Hockstetter & Beverly Marsh,2,/tags/Patrick%20Hockstetter%20*a*%20Beverly%20Marsh,r
Henry Bowers & Beverly Marsh,11,/tags/Henry%20Bowers%20*a*%20Beverly%20Marsh,r
Pennywise (IT)/Reader,628,/tags/Pennywise%20(IT)*s*Reader,r
Henry Bowers/Victor Criss,60,/tags/Henry%20Bowers*s*Victor%20Criss,r
Victor Criss/Patrick Hockstetter,37,/tags/Victor%20Criss*s*Patrick%20Hockstetter,r
"Oscar ""Butch"" Bowers",138,/tags/Oscar%20%22Butch%22%20Bowers,c
The Losers Club (IT),2058,/tags/The%20Losers%20Club%20(IT),c
Bill Denbrough & Eddie Kaspbrak & Richie Tozier & Stanley Uris,88,/tags/Bill%20Denbrough%20*a*%20Eddie%20Kaspbrak%20*a*%20Richie%20Tozier%20*a*%20Stanley%20Uris,r
Henry Bowers/Original Female Character(s),26,/tags/Henry%20Bowers*s*Original%20Female%20Character(s),r
Patrick Hockstetter/Original Female Character(s),20,/tags/Patrick%20Hockstetter*s*Original%20Female%20Character(s),r
Patrick Hockstetter/Stanley Uris,17,/tags/Patrick%20Hockstetter*s*Stanley%20Uris,r
Victor Criss/Original Female Character(s),8,/tags/Victor%20Criss*s*Original%20Female%20Character(s),r
