tag,count,href,category
Lila | Anabel,204,/tags/Lila%20%7C%20Anabel,c
Handsome | Looker,423,/tags/Handsome%20%7C%20Looker,c
Achroma | Colress,367,/tags/Achroma%20%7C%20Colress,c
Dexio (Pokemon),58,/tags/Dexio%20(Pokemon),c
Sina (Pokemon),61,/tags/Sina%20(Pokemon),c
Ashimari | Popplio,71,/tags/Ashimari%20%7C%20Popplio,c
Nyabby | Litten,84,/tags/Nyabby%20%7C%20Litten,c
Solgaleo (Pokemon),83,/tags/Solgaleo%20(Pokemon),c
Judd (Splatoon)/Nyabby | Litten,0,/tags/Judd%20(Splatoon)*s*Nyabby%20%7C%20Litten,r
Hau (Pokemon),933,/tags/Hau%20(Pokemon),c
Mokuroh | Rowlet,122,/tags/Mokuroh%20%7C%20Rowlet,c
Guzma (Pokemon),1227,/tags/Guzma%20(Pokemon),c
Skull-dan | Team Skull,174,/tags/Skull-dan%20%7C%20Team%20Skull,c
Gladio | Gladion,1454,/tags/Gladio%20%7C%20Gladion,c
Dekaguusu | Gumshoos,4,/tags/Dekaguusu%20%7C%20Gumshoos,c
Sunabaa | Sandygast,7,/tags/Sunabaa%20%7C%20Sandygast,c
Yanguusu | Yungoos,7,/tags/Yanguusu%20%7C%20Yungoos,c
Wicke (Pokemon),271,/tags/Wicke%20(Pokemon),c
Lusamine (Pokemon),770,/tags/Lusamine%20(Pokemon),c
Lusamine/Wicke (Pokemon),10,/tags/Lusamine*s*Wicke%20(Pokemon),r
Hau (Pokemon)/Reader,13,/tags/Hau%20(Pokemon)*s*Reader,r
Azusa | Brigette,2,/tags/Azusa%20%7C%20Brigette,c
Sauboh | Faba,246,/tags/Sauboh%20%7C%20Faba,c
Kapu-Kokeko | Tapu Koko,116,/tags/Kapu-Kokeko%20%7C%20Tapu%20Koko,c
Kapu-Tetefu | Tapu Lele,44,/tags/Kapu-Tetefu%20%7C%20Tapu%20Lele,c
Kapu-Rehire | Tapu Fini,35,/tags/Kapu-Rehire%20%7C%20Tapu%20Fini,c
Gaogaen | Incineroar,160,/tags/Gaogaen%20%7C%20Incineroar,c
Lugarugan | Lycanroc,212,/tags/Lugarugan%20%7C%20Lycanroc,c
Kaki | Kiawe,533,/tags/Kaki%20%7C%20Kiawe,c
Osyamari | Brionne,17,/tags/Osyamari%20%7C%20Brionne,c
Cosmog (Pokemon),37,/tags/Cosmog%20(Pokemon),c
Ilima (Pokemon),176,/tags/Ilima%20(Pokemon),c
Lunala (Pokemon),95,/tags/Lunala%20(Pokemon),c
Acerola (Pokemon),230,/tags/Acerola%20(Pokemon),c
Mohn (Pokemon),63,/tags/Mohn%20(Pokemon),c
Type: Null (Pokemon),68,/tags/Type:%20Null%20(Pokemon),c
Hala (Pokemon),276,/tags/Hala%20(Pokemon),c
Kuchinashi | Nanu,527,/tags/Kuchinashi%20%7C%20Nanu,c
Silvady | Silvally,129,/tags/Silvady%20%7C%20Silvally,c
Nyaheat | Torracat,33,/tags/Nyaheat%20%7C%20Torracat,c
Gladio | Gladion/Hau,185,/tags/Gladio%20%7C%20Gladion*s*Hau,r
Gladio | Gladion/Reader,37,/tags/Gladio%20%7C%20Gladion*s*Reader,r
Gladio | Gladion & Lusamine,10,/tags/Gladio%20%7C%20Gladion%20*a*%20Lusamine,r
Gladio | Gladion/Original Character(s),16,/tags/Gladio%20%7C%20Gladion*s*Original%20Character(s),r
Ilima/Kaki | Kiawe,13,/tags/Ilima*s*Kaki%20%7C%20Kiawe,r
Ilima (Pokemon)/Reader,3,/tags/Ilima%20(Pokemon)*s*Reader,r
Lychee | Olivia,159,/tags/Lychee%20%7C%20Olivia,c
Lusamine/Lychee | Olivia,0,/tags/Lusamine*s*Lychee%20%7C%20Olivia,r
