tag,count,href,category
Elena Gilbert,6586,/tags/Elena%20Gilbert,c
Jeremy Gilbert,2352,/tags/Jeremy%20Gilbert,c
Alaric Saltzman,3337,/tags/Alaric%20Saltzman,c
Klaus Mikaelson,10570,/tags/Klaus%20Mikaelson,c
Klaus Mikaelson/Reader,242,/tags/Klaus%20Mikaelson*s*Reader,r
Hope Mikaelson,5984,/tags/Hope%20Mikaelson,c
Hope Mikaelson & Klaus Mikaelson,248,/tags/Hope%20Mikaelson%20*a*%20Klaus%20Mikaelson,r
Alaric Saltzman/You,6,/tags/Alaric%20Saltzman*s*You,r
Elena Gilbert/Blair Waldorf,0,/tags/Elena%20Gilbert*s*Blair%20Waldorf,r
Elizabeth Forbes & Klaus Mikaelson,4,/tags/Elizabeth%20Forbes%20*a*%20Klaus%20Mikaelson,r
Klaus Mikaelson & Original Character(s),32,/tags/Klaus%20Mikaelson%20*a*%20Original%20Character(s),r
"Jeremy Gilbert/Annabelle ""Anna"" Zhu",83,/tags/Jeremy%20Gilbert*s*Annabelle%20%22Anna%22%20Zhu,r
Lizzie Saltzman,3875,/tags/Lizzie%20Saltzman,c
Josie Saltzman,4550,/tags/Josie%20Saltzman,c
Klaus Mikaelson/Original Salvatore Character(s),3,/tags/Klaus%20Mikaelson*s*Original%20Salvatore%20Character(s),r
Parent Caroline Forbes,38,/tags/Parent%20Caroline%20Forbes,f
Elena Gilbert/Jeremy Gilbert/Katherine Pierce,2,/tags/Elena%20Gilbert*s*Jeremy%20Gilbert*s*Katherine%20Pierce,r
Hope Mikaelson & Josie Saltzman & Lizzie Saltzman,83,/tags/Hope%20Mikaelson%20*a*%20Josie%20Saltzman%20*a*%20Lizzie%20Saltzman,r
"Klaus Mikaelson/Malachai ""Kai"" Parker",4,/tags/Klaus%20Mikaelson*s*Malachai%20%22Kai%22%20Parker,r
Jeremy Gilbert/Sarah Salvatore,1,/tags/Jeremy%20Gilbert*s*Sarah%20Salvatore,r
Aurora de Martel/Tristan de Martel,6,/tags/Aurora%20de%20Martel*s*Tristan%20de%20Martel,r
Hope Mikaelson & Original Female Character(s),20,/tags/Hope%20Mikaelson%20*a*%20Original%20Female%20Character(s),r
Lizzie Saltzman/Original Female Character(s),5,/tags/Lizzie%20Saltzman*s*Original%20Female%20Character(s),r
Elijah Mikaelson/Klaus Mikaelson/Original Female Character(s),20,/tags/Elijah%20Mikaelson*s*Klaus%20Mikaelson*s*Original%20Female%20Character(s),r
Hope Mikaelson/Alaric Saltzman,46,/tags/Hope%20Mikaelson*s*Alaric%20Saltzman,r
Hope Mikaelson/You,4,/tags/Hope%20Mikaelson*s*You,r
Landon Kirby,1910,/tags/Landon%20Kirby,c
Rafael Waithe,947,/tags/Rafael%20Waithe,c
Hayley Marshall & Elijah Mikaelson & Hope Mikaelson,7,/tags/Hayley%20Marshall%20*a*%20Elijah%20Mikaelson%20*a*%20Hope%20Mikaelson,r
Emma Tig,123,/tags/Emma%20Tig,c
Jackson Kenner/Hope Mikaelson,0,/tags/Jackson%20Kenner*s*Hope%20Mikaelson,r
Declan/Hope Mikaelson,0,/tags/Declan*s*Hope%20Mikaelson,r
Elena Gilbert/Draco Malfoy,1,/tags/Elena%20Gilbert*s*Draco%20Malfoy,r
Jeremy Gilbert/Cora Hale,0,/tags/Jeremy%20Gilbert*s*Cora%20Hale,r
Penelope Park,1846,/tags/Penelope%20Park,c
Meredith Fell & Alaric Saltzman,1,/tags/Meredith%20Fell%20*a*%20Alaric%20Saltzman,r
Landon Kirby/Hope Mikaelson,698,/tags/Landon%20Kirby*s*Hope%20Mikaelson,r
Hope Mikaelson & Josie Saltzman,620,/tags/Hope%20Mikaelson%20*a*%20Josie%20Saltzman,r
Penelope Park/Josie Saltzman,1452,/tags/Penelope%20Park*s*Josie%20Saltzman,r
