tag,count,href,category
Kelly Severide,2423,/tags/Kelly%20Severide,c
Matthew Casey/Kelly Severide,723,/tags/Matthew%20Casey*s*Kelly%20Severide,r
Kelly Severide & Leslie Shay,93,/tags/Kelly%20Severide%20*a*%20Leslie%20Shay,r
Matthew Casey & Kelly Severide,218,/tags/Matthew%20Casey%20*a*%20Kelly%20Severide,r
Kim Burgess,1337,/tags/Kim%20Burgess,c
Adam Ruzek,1480,/tags/Adam%20Ruzek,c
Erin Lindsay,710,/tags/Erin%20Lindsay,c
Jay Halstead,3574,/tags/Jay%20Halstead,c
Alvin Olinsky,355,/tags/Alvin%20Olinsky,c
Hank Voight,1548,/tags/Hank%20Voight,c
Kim Burgess/Adam Ruzek,424,/tags/Kim%20Burgess*s*Adam%20Ruzek,r
Jay Halstead/Erin Lindsay,331,/tags/Jay%20Halstead*s*Erin%20Lindsay,r
Erin Lindsay/Kelly Severide,19,/tags/Erin%20Lindsay*s*Kelly%20Severide,r
Jay Halstead/Original Female Character(s),182,/tags/Jay%20Halstead*s*Original%20Female%20Character(s),r
Antonio Dawson,685,/tags/Antonio%20Dawson,c
Edwin Stillwell,3,/tags/Edwin%20Stillwell,c
Jay Halstead & Erin Lindsay,116,/tags/Jay%20Halstead%20*a*%20Erin%20Lindsay,r
Kevin Atwater,1081,/tags/Kevin%20Atwater,c
Wallace Boden,510,/tags/Wallace%20Boden,c
"Brian ""Otis"" Zvonecek",339,/tags/Brian%20%22Otis%22%20Zvonecek,c
Kelly Severide/Original Female Character(s),94,/tags/Kelly%20Severide*s*Original%20Female%20Character(s),r
Antonio Dawson/Jay Halstead,26,/tags/Antonio%20Dawson*s*Jay%20Halstead,r
"James ""Jem"" Coughlin/Erin Lindsay",0,/tags/James%20%22Jem%22%20Coughlin*s*Erin%20Lindsay,r
Krista Coughlin/Erin Lindsay,0,/tags/Krista%20Coughlin*s*Erin%20Lindsay,r
Sylvie Brett/Joe Cruz,6,/tags/Sylvie%20Brett*s*Joe%20Cruz,r
Sheldon Jin,7,/tags/Sheldon%20Jin,c
Kim Burgess & Erin Lindsay,8,/tags/Kim%20Burgess%20*a*%20Erin%20Lindsay,r
Irie Kotoko | Aihara Kotoko/Sheldon Jin,1,/tags/Irie%20Kotoko%20%7C%20Aihara%20Kotoko*s*Sheldon%20Jin,r
Trudy Platt,648,/tags/Trudy%20Platt,c
Jay Halstead/Kelly Severide,17,/tags/Jay%20Halstead*s*Kelly%20Severide,r
Sean Roman,55,/tags/Sean%20Roman,c
Erin Lindsay/Hank Voight,5,/tags/Erin%20Lindsay*s*Hank%20Voight,r
Castiel (Supernatural)/Kelly Severide/Dean Winchester,0,/tags/Castiel%20(Supernatural)*s*Kelly%20Severide*s*Dean%20Winchester,r
Erin Lindsay/Steve Rogers,1,/tags/Erin%20Lindsay*s*Steve%20Rogers,r
Clint Barton/Erin Lindsay,0,/tags/Clint%20Barton*s*Erin%20Lindsay,r
Nadia Decotis,27,/tags/Nadia%20Decotis,c
Nadia Decotis & Erin Lindsay,2,/tags/Nadia%20Decotis%20*a*%20Erin%20Lindsay,r
Erin Lindsay/Grant Ward,1,/tags/Erin%20Lindsay*s*Grant%20Ward,r
Sean Roman/Stiles Stilinski,0,/tags/Sean%20Roman*s*Stiles%20Stilinski,r
Jay Halstead/Lydia Martin,1,/tags/Jay%20Halstead*s*Lydia%20Martin,r
Kelly Severide/April Sexton,2,/tags/Kelly%20Severide*s*April%20Sexton,r
Clint Barton & Erin Lindsay,0,/tags/Clint%20Barton%20*a*%20Erin%20Lindsay,r
Harry Potter/Kelly Severide,2,/tags/Harry%20Potter*s*Kelly%20Severide,r
"Greg ""Mouse"" Gerwitz/Jay Halstead",138,/tags/Greg%20%22Mouse%22%20Gerwitz*s*Jay%20Halstead,r
"Greg ""Mouse"" Gerwitz",367,/tags/Greg%20%22Mouse%22%20Gerwitz,c
"Joe Cruz/Brian ""Otis"" Zvonecek",28,/tags/Joe%20Cruz*s*Brian%20%22Otis%22%20Zvonecek,r
Antonio Dawson/Hank Voight,101,/tags/Antonio%20Dawson*s*Hank%20Voight,r
Matthew Casey/Gabriela Dawson/Kelly Severide,5,/tags/Matthew%20Casey*s*Gabriela%20Dawson*s*Kelly%20Severide,r
Jay Halstead & Will Halstead,401,/tags/Jay%20Halstead%20*a*%20Will%20Halstead,r
Howard Stark & Hank Voight,0,/tags/Howard%20Stark%20*a*%20Hank%20Voight,r
Diego Dawson,17,/tags/Diego%20Dawson,c
Camille Voight,16,/tags/Camille%20Voight,c
Julia Willhite,5,/tags/Julia%20Willhite,c
Laura Dawson,10,/tags/Laura%20Dawson,c
Brianna Logan,0,/tags/Brianna%20Logan,c
Justin Voight,32,/tags/Justin%20Voight,c
Kim Burgess/Sean Roman,8,/tags/Kim%20Burgess*s*Sean%20Roman,r
Adam Ruzek & You,5,/tags/Adam%20Ruzek%20*a*%20You,r
Olivia Benson/Hank Voight,10,/tags/Olivia%20Benson*s*Hank%20Voight,r
Anthony DiNozzo/Kelly Severide,1,/tags/Anthony%20DiNozzo*s*Kelly%20Severide,r
Michelle Sovana,4,/tags/Michelle%20Sovana,c
Daniel Voight,7,/tags/Daniel%20Voight,c
Olive Morgan Voight,8,/tags/Olive%20Morgan%20Voight,c
Anthony DiNozzo/Hank Voight,1,/tags/Anthony%20DiNozzo*s*Hank%20Voight,r
Sylvie Brett/Antonio Dawson,38,/tags/Sylvie%20Brett*s*Antonio%20Dawson,r
Antonio Dawson & Jay Halstead,19,/tags/Antonio%20Dawson%20*a*%20Jay%20Halstead,r
Gabriela Dawson/Jay Halstead,5,/tags/Gabriela%20Dawson*s*Jay%20Halstead,r
Wallace Boden/Original Female Character(s),2,/tags/Wallace%20Boden*s*Original%20Female%20Character(s),r
Justin Voight/Olive Morgan Voight,2,/tags/Justin%20Voight*s*Olive%20Morgan%20Voight,r
Erin Lindsay & Hank Voight,28,/tags/Erin%20Lindsay%20*a*%20Hank%20Voight,r
Antonio Dawson/Nadia Decotis,1,/tags/Antonio%20Dawson*s*Nadia%20Decotis,r
Sylvie Brett/Gabriela Dawson/Erin Lindsay/Natalie Manning,1,/tags/Sylvie%20Brett*s*Gabriela%20Dawson*s*Erin%20Lindsay*s*Natalie%20Manning,r
Antonio Dawson & Hank Voight,9,/tags/Antonio%20Dawson%20*a*%20Hank%20Voight,r
Erin Lindsay & Kelly Severide,3,/tags/Erin%20Lindsay%20*a*%20Kelly%20Severide,r
Gregory Yates,1,/tags/Gregory%20Yates,c
Scott Rice & Kelly Severide,2,/tags/Scott%20Rice%20*a*%20Kelly%20Severide,r
Jay Halstead/Felicity Smoak,2,/tags/Jay%20Halstead*s*Felicity%20Smoak,r
Kelly Severide/Felicity Smoak,1,/tags/Kelly%20Severide*s*Felicity%20Smoak,r
Kelly Severide & Felicity Smoak,0,/tags/Kelly%20Severide%20*a*%20Felicity%20Smoak,r
Alvin Olinsky/Meredith Olinsky,4,/tags/Alvin%20Olinsky*s*Meredith%20Olinsky,r
Kevin Atwater/Kim Burgess,5,/tags/Kevin%20Atwater*s*Kim%20Burgess,r
Erin Lindsay & Natasha Romanov (Marvel),0,/tags/Erin%20Lindsay%20*a*%20Natasha%20Romanov%20(Marvel),r
Alvin Olinsky & Hank Voight,1,/tags/Alvin%20Olinsky%20*a*%20Hank%20Voight,r
Jay Halstead & Hank Voight,90,/tags/Jay%20Halstead%20*a*%20Hank%20Voight,r
Hank Voight/Original Female Character(s),121,/tags/Hank%20Voight*s*Original%20Female%20Character(s),r
Antonio Dawson/Original Female Character(s),29,/tags/Antonio%20Dawson*s*Original%20Female%20Character(s),r
Jay Halstead/Natasha Romanov (Marvel),0,/tags/Jay%20Halstead*s*Natasha%20Romanov%20(Marvel),r
Kevin Hadley/Kelly Severide,1,/tags/Kevin%20Hadley*s*Kelly%20Severide,r
Erin Lindsay/Leslie Shay,3,/tags/Erin%20Lindsay*s*Leslie%20Shay,r
Eva Dawson,17,/tags/Eva%20Dawson,c
Jay Halstead/Will Halstead,9,/tags/Jay%20Halstead*s*Will%20Halstead,r
Antonio Dawson/Gabriela Dawson,4,/tags/Antonio%20Dawson*s*Gabriela%20Dawson,r
Kim Burgess/Nicole Silver,1,/tags/Kim%20Burgess*s*Nicole%20Silver,r
Nicole Silver,7,/tags/Nicole%20Silver,c
Jordan Atwater,15,/tags/Jordan%20Atwater,c
Hailey Upton,2141,/tags/Hailey%20Upton,c
Jay Halstead & Hailey Upton,1138,/tags/Jay%20Halstead%20*a*%20Hailey%20Upton,r
Jay Halstead Whump,197,/tags/Jay%20Halstead%20Whump,f
Adam Ruzek/Original Female Character(s),22,/tags/Adam%20Ruzek*s*Original%20Female%20Character(s),r
Anthony DiNozzo/Jay Halstead,7,/tags/Anthony%20DiNozzo*s*Jay%20Halstead,r
Erin Lindsay/Amanda Rollins,3,/tags/Erin%20Lindsay*s*Amanda%20Rollins,r
Hurt Jay Halstead,159,/tags/Hurt%20Jay%20Halstead,f
Sylvie Brett/Kelly Severide,18,/tags/Sylvie%20Brett*s*Kelly%20Severide,r
Nadia Decotis/Erin Lindsay,0,/tags/Nadia%20Decotis*s*Erin%20Lindsay,r
Jay Halstead/Original Male Character(s),9,/tags/Jay%20Halstead*s*Original%20Male%20Character(s),r
Jay Halstead/Hank Voight,19,/tags/Jay%20Halstead*s*Hank%20Voight,r
"Greg ""Mouse"" Gerwitz & Original Female Character(s)",33,/tags/Greg%20%22Mouse%22%20Gerwitz%20*a*%20Original%20Female%20Character(s),r
Peter Stone/Hank Voight,0,/tags/Peter%20Stone*s*Hank%20Voight,r
"Grey ""Mouse"" Gerwitz & Jay Halstead",1,/tags/Grey%20%22Mouse%22%20Gerwitz%20*a*%20Jay%20Halstead,r
"Greg ""Mouse"" Gerwitz & Jay Halstead",61,/tags/Greg%20%22Mouse%22%20Gerwitz%20*a*%20Jay%20Halstead,r
"Greg ""Mouse"" Gerwitz/Jay Halstead/Erin Lindsay",4,/tags/Greg%20%22Mouse%22%20Gerwitz*s*Jay%20Halstead*s*Erin%20Lindsay,r
Antonio Dawson & Alvin Olinsky,1,/tags/Antonio%20Dawson%20*a*%20Alvin%20Olinsky,r
Alvin Olinsky/Adam Ruzek,1,/tags/Alvin%20Olinsky*s*Adam%20Ruzek,r
Antonio Dawson/Jay Halstead/Hank Voight,1,/tags/Antonio%20Dawson*s*Jay%20Halstead*s*Hank%20Voight,r
"Barbara ""Bunny"" Fletcher",5,/tags/Barbara%20%22Bunny%22%20Fletcher,c
Kevin Atwater/Adam Ruzek,24,/tags/Kevin%20Atwater*s*Adam%20Ruzek,r
Kim Burgess & Jay Halstead,21,/tags/Kim%20Burgess%20*a*%20Jay%20Halstead,r
Kevin Atwater/Original Female Character(s),15,/tags/Kevin%20Atwater*s*Original%20Female%20Character(s),r
Kurt Hollister (Chicago PD),0,/tags/Kurt%20Hollister%20(Chicago%20PD),c
Erin Lindsay/Original Female Character(s),7,/tags/Erin%20Lindsay*s*Original%20Female%20Character(s),r
Kim Burgess/Original Female Character(s),3,/tags/Kim%20Burgess*s*Original%20Female%20Character(s),r
Trudy Platt/Original Male Character(s),0,/tags/Trudy%20Platt*s*Original%20Male%20Character(s),r
Pat Halstead,62,/tags/Pat%20Halstead,c
Worried Jay Halstead,78,/tags/Worried%20Jay%20Halstead,f
Jay Halstead & Alvin Olinsky,9,/tags/Jay%20Halstead%20*a*%20Alvin%20Olinsky,r
Alpha Hank Voight,8,/tags/Alpha%20Hank%20Voight,f
Jay Halstead/Adam Ruzek,56,/tags/Jay%20Halstead*s*Adam%20Ruzek,r
Mark Jefferies,2,/tags/Mark%20Jefferies,c
"Dominick ""Sonny"" Carisi Jr./Kelly Severide",0,/tags/Dominick%20%22Sonny%22%20Carisi%20Jr*d**s*Kelly%20Severide,r
Antonio Dawson & Gabriela Dawson,9,/tags/Antonio%20Dawson%20*a*%20Gabriela%20Dawson,r
Olivia Benson/Erin Lindsay,2,/tags/Olivia%20Benson*s*Erin%20Lindsay,r
Kenny Rixton,10,/tags/Kenny%20Rixton,c
Erin Lindsay & Hank Voight & Justin Voight,5,/tags/Erin%20Lindsay%20*a*%20Hank%20Voight%20*a*%20Justin%20Voight,r
Antonio Dawson & Adam Ruzek,4,/tags/Antonio%20Dawson%20*a*%20Adam%20Ruzek,r
Adam Ruzek/Hailey Upton,33,/tags/Adam%20Ruzek*s*Hailey%20Upton,r
Jay Halstead & Kelly Severide,4,/tags/Jay%20Halstead%20*a*%20Kelly%20Severide,r
Antonio Dawson/You,11,/tags/Antonio%20Dawson*s*You,r
Erin Lindsay/You,1,/tags/Erin%20Lindsay*s*You,r
Hank Voight/You,9,/tags/Hank%20Voight*s*You,r
Jay Halstead & Natalie Manning,6,/tags/Jay%20Halstead%20*a*%20Natalie%20Manning,r
Jay Halstead/You,44,/tags/Jay%20Halstead*s*You,r
Edwin Stillwell/You,1,/tags/Edwin%20Stillwell*s*You,r
Kim Burgess/Antonio Dawson,5,/tags/Kim%20Burgess*s*Antonio%20Dawson,r
Hailey Upton/Hank Voight,1,/tags/Hailey%20Upton*s*Hank%20Voight,r
Kim Burgess/Hank Voight,18,/tags/Kim%20Burgess*s*Hank%20Voight,r
Adam Ruzek/Hank Voight,4,/tags/Adam%20Ruzek*s*Hank%20Voight,r
Kevin Atwater/Hank Voight,2,/tags/Kevin%20Atwater*s*Hank%20Voight,r
Hank Voight/Everyone,1,/tags/Hank%20Voight*s*Everyone,r
Emma Crowley,2,/tags/Emma%20Crowley,c
Antonio Dawson/Laura Dawson,2,/tags/Antonio%20Dawson*s*Laura%20Dawson,r
Kelly Severide/Renee Whaley,4,/tags/Kelly%20Severide*s*Renee%20Whaley,r
Antonio Dawson/Adam Ruzek,3,/tags/Antonio%20Dawson*s*Adam%20Ruzek,r
Kim Burgess/Jay Halstead,48,/tags/Kim%20Burgess*s*Jay%20Halstead,r
Sylvie Brett/Jay Halstead,5,/tags/Sylvie%20Brett*s*Jay%20Halstead,r
Alpha Adam Ruzek,7,/tags/Alpha%20Adam%20Ruzek,f
Omega Jay Halstead,12,/tags/Omega%20Jay%20Halstead,f
Brian Kelton,4,/tags/Brian%20Kelton,c
Erin Lindsay/Natalie Manning,1,/tags/Erin%20Lindsay*s*Natalie%20Manning,r
Jay Halstead/Hailey Upton,2103,/tags/Jay%20Halstead*s*Hailey%20Upton,r
Antonio Dawson/Hiram Lodge,1,/tags/Antonio%20Dawson*s*Hiram%20Lodge,r
Sarah Reese/Hailey Upton,0,/tags/Sarah%20Reese*s*Hailey%20Upton,r
Jay Halstead/Sarah Reese,0,/tags/Jay%20Halstead*s*Sarah%20Reese,r
Randy ''Mouch'' McHolland/Trudy Platt,31,/tags/Randy%20''Mouch''%20McHolland*s*Trudy%20Platt,r
Adres ''Pulpo'' Diaz,0,/tags/Adres%20''Pulpo''%20Diaz,c
Alvin Olinsky/Kelly Severide,0,/tags/Alvin%20Olinsky*s*Kelly%20Severide,r
Kim Burgess & Antonio Dawson,1,/tags/Kim%20Burgess%20*a*%20Antonio%20Dawson,r
Kelly Severide/Anna Turner,2,/tags/Kelly%20Severide*s*Anna%20Turner,r
Renée Royce/Kelly Severide,4,/tags/Ren%C3%A9e%20Royce*s*Kelly%20Severide,r
Jay Halstead/April Sexton,1,/tags/Jay%20Halstead*s*April%20Sexton,r
One Chicago (Chicago Franchise),365,/tags/One%20Chicago%20(Chicago%20Franchise),f
Kim Burgess/Erin Lindsay,9,/tags/Kim%20Burgess*s*Erin%20Lindsay,r
Antonio Dawson/Original Male Character(s),0,/tags/Antonio%20Dawson*s*Original%20Male%20Character(s),r
Erin Lindsay/Original Male Character(s),3,/tags/Erin%20Lindsay*s*Original%20Male%20Character(s),r
Alec Willhite,1,/tags/Alec%20Willhite,c
Alec Willhite/Julia Willhite,0,/tags/Alec%20Willhite*s*Julia%20Willhite,r
Meredith Olinsky,7,/tags/Meredith%20Olinsky,c
Kelly Severide & April Sexton,1,/tags/Kelly%20Severide%20*a*%20April%20Sexton,r
Kevin Atwater & Adam Ruzek,15,/tags/Kevin%20Atwater%20*a*%20Adam%20Ruzek,r
Adam Ruzek & Hailey Upton,8,/tags/Adam%20Ruzek%20*a*%20Hailey%20Upton,r
Hank Voight/Original Character(s),5,/tags/Hank%20Voight*s*Original%20Character(s),r
Antonio Dawson & Jay Halstead & Alvin Olinsky,0,/tags/Antonio%20Dawson%20*a*%20Jay%20Halstead%20*a*%20Alvin%20Olinsky,r
Jay Halstead/Alvin Olinsky,0,/tags/Jay%20Halstead*s*Alvin%20Olinsky,r
Jay Halstead/Other(s),0,/tags/Jay%20Halstead*s*Other(s),r
Kevin Atwater/Jay Halstead,14,/tags/Kevin%20Atwater*s*Jay%20Halstead,r
Kim Burgess/Original Male Character(s),0,/tags/Kim%20Burgess*s*Original%20Male%20Character(s),r
Hank Voight Needs a Hug,9,/tags/Hank%20Voight%20Needs%20a%20Hug,f
Sick Jay Halstead,5,/tags/Sick%20Jay%20Halstead,f
Erin Lindsay/Hailey Upton,13,/tags/Erin%20Lindsay*s*Hailey%20Upton,r
Kim Burgess/Vanessa Rojas,0,/tags/Kim%20Burgess*s*Vanessa%20Rojas,r
Vanessa Rojas,294,/tags/Vanessa%20Rojas,c
Connor Rhodes (Chicago Med) & Kelly Severide,0,/tags/Connor%20Rhodes%20(Chicago%20Med)%20*a*%20Kelly%20Severide,r
Jay Halstead & Connor Rhodes (Chicago Med),21,/tags/Jay%20Halstead%20*a*%20Connor%20Rhodes%20(Chicago%20Med),r
"Joe Cruz & Brian ""Otis"" Zvonecek",18,/tags/Joe%20Cruz%20*a*%20Brian%20%22Otis%22%20Zvonecek,r
Kim Burgess & Natalie Manning,1,/tags/Kim%20Burgess%20*a*%20Natalie%20Manning,r
Matthew Casey & Hank Voight,3,/tags/Matthew%20Casey%20*a*%20Hank%20Voight,r
Natalie Manning & Hailey Upton,1,/tags/Natalie%20Manning%20*a*%20Hailey%20Upton,r
Hurt Hailey Upton,46,/tags/Hurt%20Hailey%20Upton,f
Will Halstead & Hailey Upton,32,/tags/Will%20Halstead%20*a*%20Hailey%20Upton,r
Connor Rhodes & Hailey Upton,1,/tags/Connor%20Rhodes%20*a*%20Hailey%20Upton,r
Ava Bekker & Hailey Upton,0,/tags/Ava%20Bekker%20*a*%20Hailey%20Upton,r
Sylvie Brett & Jay Halstead,8,/tags/Sylvie%20Brett%20*a*%20Jay%20Halstead,r
"Dominick ""Sonny"" Carisi Jr. & Jay Halstead",1,/tags/Dominick%20%22Sonny%22%20Carisi%20Jr*d*%20*a*%20Jay%20Halstead,r
"Sylvie Brett & Dominick ""Sonny"" Carisi Jr. & Jay Halstead & Will Halstead",1,/tags/Sylvie%20Brett%20*a*%20Dominick%20%22Sonny%22%20Carisi%20Jr*d*%20*a*%20Jay%20Halstead%20*a*%20Will%20Halstead,r
"Dominick ""Sonny"" Carisi Jr. & Amanda Rollins & Peter Stone",0,/tags/Dominick%20%22Sonny%22%20Carisi%20Jr*d*%20*a*%20Amanda%20Rollins%20*a*%20Peter%20Stone,r
Wallace Boden & Matthew Casey,16,/tags/Wallace%20Boden%20*a*%20Matthew%20Casey,r
Emily Foster/Hailey Upton,1,/tags/Emily%20Foster*s*Hailey%20Upton,r
Owen Manning/Hailey Upton,1,/tags/Owen%20Manning*s*Hailey%20Upton,r
Kevin Atwater/Vanessa Rojas,54,/tags/Kevin%20Atwater*s*Vanessa%20Rojas,r
Alpha Erin Lindsay,1,/tags/Alpha%20Erin%20Lindsay,f
"James ""Bucky"" Barnes/Erin Lindsay",0,/tags/James%20%22Bucky%22%20Barnes*s*Erin%20Lindsay,r
Natalie Manning/Hailey Upton,0,/tags/Natalie%20Manning*s*Hailey%20Upton,r
Jay Halstead/Owen Manning,0,/tags/Jay%20Halstead*s*Owen%20Manning,r
Hailey Upton/Original Male Character(s),3,/tags/Hailey%20Upton*s*Original%20Male%20Character(s),r
Wendy Seager/Kelly Severide,3,/tags/Wendy%20Seager*s*Kelly%20Severide,r
Adam Ruzek & Original Female Character(s),8,/tags/Adam%20Ruzek%20*a*%20Original%20Female%20Character(s),r
Jay Halstead/Steve McGarrett,3,/tags/Jay%20Halstead*s*Steve%20McGarrett,r
Hailey Upton Whump,4,/tags/Hailey%20Upton%20Whump,f
Steve McGarrett/Kelly Severide,1,/tags/Steve%20McGarrett*s*Kelly%20Severide,r
Jay Halstead/Steve McGarrett/Kelly Severide,0,/tags/Jay%20Halstead*s*Steve%20McGarrett*s*Kelly%20Severide,r
Aelin Ashryver Galathynius | Celaena Sardothien & Hailey Upton,1,/tags/Aelin%20Ashryver%20Galathynius%20%7C%20Celaena%20Sardothien%20*a*%20Hailey%20Upton,r
Aedion Ashryver & Hailey Upton,1,/tags/Aedion%20Ashryver%20*a*%20Hailey%20Upton,r
Mentioned Jay Halstead,3,/tags/Mentioned%20Jay%20Halstead,f
"Greg ""Mouse"" Gerwitz/Original Female Character(s)",16,/tags/Greg%20%22Mouse%22%20Gerwitz*s*Original%20Female%20Character(s),r
Hailey Upton's Mother,22,/tags/Hailey%20Upton's%20Mother,c
Kim Burgess & Trudy Platt,11,/tags/Kim%20Burgess%20*a*%20Trudy%20Platt,r
Protective Adam Ruzek,7,/tags/Protective%20Adam%20Ruzek,f
Zoe Silver,3,/tags/Zoe%20Silver,c
Kelly Severide & Original Character(s),2,/tags/Kelly%20Severide%20*a*%20Original%20Character(s),r
Kelly Severide & Original Female Character(s),17,/tags/Kelly%20Severide%20*a*%20Original%20Female%20Character(s),r
Vanessa Rojas & Hailey Upton,23,/tags/Vanessa%20Rojas%20*a*%20Hailey%20Upton,r
Jay Halstead & Vanessa Rojas,6,/tags/Jay%20Halstead%20*a*%20Vanessa%20Rojas,r
Hailey Upton Needs a Hug,28,/tags/Hailey%20Upton%20Needs%20a%20Hug,f
"Evan ""Buck"" Buckley & Kelly Severide",32,/tags/Evan%20%22Buck%22%20Buckley%20*a*%20Kelly%20Severide,r
Vanessa Rojas/Hailey Upton,17,/tags/Vanessa%20Rojas*s*Hailey%20Upton,r
"Lily/Brian ""Otis"" Zvonecek",1,/tags/Lily*s*Brian%20%22Otis%22%20Zvonecek,r
Kevin Atwater & Kim Burgess & Hailey Upton,1,/tags/Kevin%20Atwater%20*a*%20Kim%20Burgess%20*a*%20Hailey%20Upton,r
Camille Voight/Hank Voight,5,/tags/Camille%20Voight*s*Hank%20Voight,r
Hailey Upton/OA Zidan,1,/tags/Hailey%20Upton*s*OA%20Zidan,r
Jay Halstead & Trudy Platt,20,/tags/Jay%20Halstead%20*a*%20Trudy%20Platt,r
Jay Halstead & Original Female Character(s),60,/tags/Jay%20Halstead%20*a*%20Original%20Female%20Character(s),r
Hank Voight & Original Female Character(s),9,/tags/Hank%20Voight%20*a*%20Original%20Female%20Character(s),r
Mentioned Hank Voight,4,/tags/Mentioned%20Hank%20Voight,f
Hailey Upton & OA Zidan,2,/tags/Hailey%20Upton%20*a*%20OA%20Zidan,r
Jay and Will Halstead's Mother,35,/tags/Jay%20and%20Will%20Halstead's%20Mother,c
Jay Halstead & Jay and Will Halstead's Mother,4,/tags/Jay%20Halstead%20*a*%20Jay%20and%20Will%20Halstead's%20Mother,r
Matthew Casey/Kelly Severide/Original Female Character(s),3,/tags/Matthew%20Casey*s*Kelly%20Severide*s*Original%20Female%20Character(s),r
Trudy Platt & Hank Voight,7,/tags/Trudy%20Platt%20*a*%20Hank%20Voight,r
Kim Burgess & Hank Voight,21,/tags/Kim%20Burgess%20*a*%20Hank%20Voight,r
Kevin Atwater/Original Male Character(s),1,/tags/Kevin%20Atwater*s*Original%20Male%20Character(s),r
Kevin Atwater & Vanessa Rojas,30,/tags/Kevin%20Atwater%20*a*%20Vanessa%20Rojas,r
Vanessa Rojas/Original Female Character(s),1,/tags/Vanessa%20Rojas*s*Original%20Female%20Character(s),r
Jay Halstead/Camila Vega,2,/tags/Jay%20Halstead*s*Camila%20Vega,r
Camila Vega,4,/tags/Camila%20Vega,c
Steve McGarrett/Adam Ruzek,0,/tags/Steve%20McGarrett*s*Adam%20Ruzek,r
Adam Ruzek & Hank Voight,2,/tags/Adam%20Ruzek%20*a*%20Hank%20Voight,r
Kevin Atwater & Hank Voight,1,/tags/Kevin%20Atwater%20*a*%20Hank%20Voight,r
Antonio Dawson/Steve McGarrett,1,/tags/Antonio%20Dawson*s*Steve%20McGarrett,r
"Greg ""Mouse"" Gerwitz/Jay Halstead/Hailey Upton",12,/tags/Greg%20%22Mouse%22%20Gerwitz*s*Jay%20Halstead*s*Hailey%20Upton,r
Kim Burgess/Leslie Shay,0,/tags/Kim%20Burgess*s*Leslie%20Shay,r
"Greg ""Mouse"" Gerwitz/Hailey Upton",0,/tags/Greg%20%22Mouse%22%20Gerwitz*s*Hailey%20Upton,r
Ronald Booth,9,/tags/Ronald%20Booth,c
Jay Halstead/Steve McGarrett/Adam Ruzek,0,/tags/Jay%20Halstead*s*Steve%20McGarrett*s*Adam%20Ruzek,r
Hank Voight/Original Male Character(s),0,/tags/Hank%20Voight*s*Original%20Male%20Character(s),r
Hailey Upton's Father,29,/tags/Hailey%20Upton's%20Father,c
Steffy Forrester/Jay Halstead,4,/tags/Steffy%20Forrester*s*Jay%20Halstead,r
Kim Burgess & Adam Ruzek,65,/tags/Kim%20Burgess%20*a*%20Adam%20Ruzek,r
Jay Halstead & Original Male Character(s),1,/tags/Jay%20Halstead%20*a*%20Original%20Male%20Character(s),r
Kevin Atwater & Hailey Upton,18,/tags/Kevin%20Atwater%20*a*%20Hailey%20Upton,r
Kim Burgess & Sean Roman,1,/tags/Kim%20Burgess%20*a*%20Sean%20Roman,r
Kim Burgess & Jay Halstead & Sean Roman,1,/tags/Kim%20Burgess%20*a*%20Jay%20Halstead%20*a*%20Sean%20Roman,r
Jay Halstead Needs A Hug,44,/tags/Jay%20Halstead%20Needs%20A%20Hug,f
Protective Jay Halstead,82,/tags/Protective%20Jay%20Halstead,f
"Evan ""Buck"" Buckley/Kelly Severide",70,/tags/Evan%20%22Buck%22%20Buckley*s*Kelly%20Severide,r
Jay Halstead & Everyone,13,/tags/Jay%20Halstead%20*a*%20Everyone,r
Jay Halstead & Other(s),0,/tags/Jay%20Halstead%20*a*%20Other(s),r
Jay Halstead & Owen Manning,1,/tags/Jay%20Halstead%20*a*%20Owen%20Manning,r
"Evan ""Buck"" Buckley/Jay Halstead",61,/tags/Evan%20%22Buck%22%20Buckley*s*Jay%20Halstead,r
Margot Robbie/Kelly Severide,1,/tags/Margot%20Robbie*s*Kelly%20Severide,r
Derek Hale/Kelly Severide,1,/tags/Derek%20Hale*s*Kelly%20Severide,r
Derek Hale/Jay Halstead,0,/tags/Derek%20Hale*s*Jay%20Halstead,r
Stella Kidd & Kelly Severide,44,/tags/Stella%20Kidd%20*a*%20Kelly%20Severide,r
Stefan Salvatore/Kelly Severide,1,/tags/Stefan%20Salvatore*s*Kelly%20Severide,r
Tom Avery/Kelly Severide,1,/tags/Tom%20Avery*s*Kelly%20Severide,r
"Evan ""Buck"" Buckley & Jay Halstead",17,/tags/Evan%20%22Buck%22%20Buckley%20*a*%20Jay%20Halstead,r
