tag,count,href,category
Lucas Simms,59,/tags/Lucas%20Simms,c
Moira Brown,133,/tags/Moira%20Brown,c
Sarah Lyons,198,/tags/Sarah%20Lyons,c
Owyn Lyons,32,/tags/Owyn%20Lyons,c
John Henry Eden,23,/tags/John%20Henry%20Eden,c
Augustus Autumn,54,/tags/Augustus%20Autumn,c
Butch DeLoria,659,/tags/Butch%20DeLoria,c
Female Lone Wanderer,1425,/tags/Female%20Lone%20Wanderer,c
Flak/Shrapnel,2,/tags/Flak*s*Shrapnel,r
Shrapnel (Fallout),8,/tags/Shrapnel%20(Fallout),c
Flak (Fallout),8,/tags/Flak%20(Fallout),c
Charon (Fallout),762,/tags/Charon%20(Fallout),c
Charon (Fallout)/Female Lone Wanderer,383,/tags/Charon%20(Fallout)*s*Female%20Lone%20Wanderer,r
Stockholm (Fallout),4,/tags/Stockholm%20(Fallout),c
Male Lone Wanderer,445,/tags/Male%20Lone%20Wanderer,c
Billy Creel,13,/tags/Billy%20Creel,c
Lucy West,9,/tags/Lucy%20West,c
Billy Creel/Male Lone Wanderer,0,/tags/Billy%20Creel*s*Male%20Lone%20Wanderer,r
Murphy (Fallout),20,/tags/Murphy%20(Fallout),c
Fawkes (Fallout),100,/tags/Fawkes%20(Fallout),c
Amata Almodovar,289,/tags/Amata%20Almodovar,c
Amata Almodovar/Butch DeLoria,4,/tags/Amata%20Almodovar*s*Butch%20DeLoria,r
Butch DeLoria/Female Lone Wanderer,319,/tags/Butch%20DeLoria*s*Female%20Lone%20Wanderer,r
Beatrice Armstrong,6,/tags/Beatrice%20Armstrong,c
Butch DeLoria/Male Lone Wanderer,87,/tags/Butch%20DeLoria*s*Male%20Lone%20Wanderer,r
Butch DeLoria/Knight (Fallout: New Vegas),0,/tags/Butch%20DeLoria*s*Knight%20(Fallout:%20New%20Vegas),r
Gob (Fallout),222,/tags/Gob%20(Fallout),c
Gob/Female Lone Wanderer,52,/tags/Gob*s*Female%20Lone%20Wanderer,r
James/Female Lone Wanderer,3,/tags/James*s*Female%20Lone%20Wanderer,r
James (Fallout),335,/tags/James%20(Fallout),c
The Puppet Man,3,/tags/The%20Puppet%20Man,c
Butch DeLoria/Shilo Wallace,1,/tags/Butch%20DeLoria*s*Shilo%20Wallace,r
Graverobber (Repo!)/Female Lone Wanderer,1,/tags/Graverobber%20(Repo!)*s*Female%20Lone%20Wanderer,r
Male Courier/Male Lone Wanderer,3,/tags/Male%20Courier*s*Male%20Lone%20Wanderer,r
Donovan (Fallout),2,/tags/Donovan%20(Fallout),c
Three Dog,57,/tags/Three%20Dog,c
Female Lone Wanderer/Three Dog,0,/tags/Female%20Lone%20Wanderer*s*Three%20Dog,r
Freddie Gomez,74,/tags/Freddie%20Gomez,c
Stevie Mack,18,/tags/Stevie%20Mack,c
Pepper Gomez,6,/tags/Pepper%20Gomez,c
Herman Gomez,13,/tags/Herman%20Gomez,c
Male Lone Wanderer/Crazy Wolfgang,5,/tags/Male%20Lone%20Wanderer*s*Crazy%20Wolfgang,r
Crazy Wolfgang,11,/tags/Crazy%20Wolfgang,c
Reilly (Fallout),18,/tags/Reilly%20(Fallout),c
