tag,count,href,category
Roger Federer/Rafael Nadal,814,/tags/Roger%20Federer*s*Rafael%20Nadal,r
Roger Federer,972,/tags/Roger%20Federer,c
Rafael Nadal,979,/tags/Rafael%20Nadal,c
Novak Djokovic/Rafael Nadal,107,/tags/Novak%20Djokovic*s*Rafael%20Nadal,r
Novak Djokovic,430,/tags/Novak%20Djokovic,c
Feliciano López/Fernando Verdasco,41,/tags/Feliciano%20L%C3%B3pez*s*Fernando%20Verdasco,r
Feliciano López,108,/tags/Feliciano%20L%C3%B3pez,c
David Ferrer,54,/tags/David%20Ferrer,c
David Ferrer/Feliciano López/Rafael Nadal,1,/tags/David%20Ferrer*s*Feliciano%20L%C3%B3pez*s*Rafael%20Nadal,r
Marian Vajda,13,/tags/Marian%20Vajda,c
Jelena Ristic,21,/tags/Jelena%20Ristic,c
Andy Murray/Rafael Nadal,34,/tags/Andy%20Murray*s*Rafael%20Nadal,r
Andy Murray,328,/tags/Andy%20Murray,c
Fernando Verdasco,61,/tags/Fernando%20Verdasco,c
Charlene Federer,23,/tags/Charlene%20Federer,c
Andy Roddick,143,/tags/Andy%20Roddick,c
Marko Djokovic,10,/tags/Marko%20Djokovic,c
Viktor Troicki,5,/tags/Viktor%20Troicki,c
Ana Ivanovic,24,/tags/Ana%20Ivanovic,c
Maribel Nadal,25,/tags/Maribel%20Nadal,c
Mario Ančić,5,/tags/Mario%20An%C4%8Di%C4%87,c
Marat Safin,57,/tags/Marat%20Safin,c
Kim Clijsters,4,/tags/Kim%20Clijsters,c
Lleyton Hewitt,19,/tags/Lleyton%20Hewitt,c
Mario Ancic/Marat Safin,1,/tags/Mario%20Ancic*s*Marat%20Safin,r
Andy Murray/Marat Safin,2,/tags/Andy%20Murray*s*Marat%20Safin,r
Djordje Djokovic,10,/tags/Djordje%20Djokovic,c
Roger Federer/Stéphane Lambiel,0,/tags/Roger%20Federer*s*St%C3%A9phane%20Lambiel,r
Feliciano López/Marat Safin,3,/tags/Feliciano%20L%C3%B3pez*s*Marat%20Safin,r
Carlos Moya,37,/tags/Carlos%20Moya,c
Caroline Wozniacki,19,/tags/Caroline%20Wozniacki,c
David Nalbandian,5,/tags/David%20Nalbandian,c
Dinara Safina,4,/tags/Dinara%20Safina,c
Dmitry Tursunov,5,/tags/Dmitry%20Tursunov,c
Ernests Gulbis,10,/tags/Ernests%20Gulbis,c
Gael Monfils,33,/tags/Gael%20Monfils,c
Gilles Simon,21,/tags/Gilles%20Simon,c
Igor Andreev,0,/tags/Igor%20Andreev,c
Jamie Murray,52,/tags/Jamie%20Murray,c
Janko Tipsarevic,3,/tags/Janko%20Tipsarevic,c
Jelena Jankovic,5,/tags/Jelena%20Jankovic,c
John Isner,20,/tags/John%20Isner,c
Juan Carlos Ferrero,18,/tags/Juan%20Carlos%20Ferrero,c
Juan Martín del Potro,53,/tags/Juan%20Mart%C3%ADn%20del%20Potro,c
Kimiko Date Krumm,2,/tags/Kimiko%20Date%20Krumm,c
Laura Robson,6,/tags/Laura%20Robson,c
