tag,count,href,category
Meg Giry,1040,/tags/Meg%20Giry,c
Christine Daaé,3799,/tags/Christine%20Daa%C3%A9,c
Raoul de Chagny,2034,/tags/Raoul%20de%20Chagny,c
Gilles André,87,/tags/Gilles%20Andr%C3%A9,c
Raoul de Chagny/Meg Giry,41,/tags/Raoul%20de%20Chagny*s*Meg%20Giry,r
Joseph Buquet,59,/tags/Joseph%20Buquet,c
Carlotta Giudicelli,262,/tags/Carlotta%20Giudicelli,c
Ubaldo Piangi,88,/tags/Ubaldo%20Piangi,c
Carlotta Giudicelli/Ubaldo Piangi,23,/tags/Carlotta%20Giudicelli*s*Ubaldo%20Piangi,r
Erik & Nadir Khan,78,/tags/Erik%20*a*%20Nadir%20Khan,r
Christine Daaé/Carlotta Giudicelli,34,/tags/Christine%20Daa%C3%A9*s*Carlotta%20Giudicelli,r
Post-Chandelier,3,/tags/Post-Chandelier,f
Christine Daaé/Hannibal Lecter,1,/tags/Christine%20Daa%C3%A9*s*Hannibal%20Lecter,r
Gustave Daaé,106,/tags/Gustave%20Daa%C3%A9,c
Alternate Universe - Phantom of the Opera Fusion,466,/tags/Alternate%20Universe%20-%20Phantom%20of%20the%20Opera%20Fusion,f
Christine Daaé & Meg Giry,90,/tags/Christine%20Daa%C3%A9%20*a*%20Meg%20Giry,r
Raoul de Chagny/Marius Pontmercy,0,/tags/Raoul%20de%20Chagny*s*Marius%20Pontmercy,r
Ballet Girl/Meg Giry,1,/tags/Ballet%20Girl*s*Meg%20Giry,r
Madame Giry/Sherlock Holmes,0,/tags/Madame%20Giry*s*Sherlock%20Holmes,r
Christine Daaé/Original Male Character(s),6,/tags/Christine%20Daa%C3%A9*s*Original%20Male%20Character(s),r
Meg Giry/Original Male Character(s),10,/tags/Meg%20Giry*s*Original%20Male%20Character(s),r
Meg Giry/Original Character(s),4,/tags/Meg%20Giry*s*Original%20Character(s),r
Christine Daaé/Josh Lambert,1,/tags/Christine%20Daa%C3%A9*s*Josh%20Lambert,r
Gilles André/Meg Giry,1,/tags/Gilles%20Andr%C3%A9*s*Meg%20Giry,r
Christine Daaé/Richard Firmin,1,/tags/Christine%20Daa%C3%A9*s*Richard%20Firmin,r
Raoul de Chagny/Raoul de Chagny,1,/tags/Raoul%20de%20Chagny*s*Raoul%20de%20Chagny,r
Gerard Carriere,31,/tags/Gerard%20Carriere,c
Christine Daaé & Madame Giry,18,/tags/Christine%20Daa%C3%A9%20*a*%20Madame%20Giry,r
The Managers (Phantom of the Opera),49,/tags/The%20Managers%20(Phantom%20of%20the%20Opera),c
de Changny Sisters,4,/tags/de%20Changny%20Sisters,c
Christine Daaé/Comte Philippe de Chagny,4,/tags/Christine%20Daa%C3%A9*s*Comte%20Philippe%20de%20Chagny,r
Opera Staff (Phantom of the Opera),18,/tags/Opera%20Staff%20(Phantom%20of%20the%20Opera),c
Comte Philippe de Chagny/Original Male Character(s),0,/tags/Comte%20Philippe%20de%20Chagny*s*Original%20Male%20Character(s),r
Ballet Girl (Phantom of the Opera),5,/tags/Ballet%20Girl%20(Phantom%20of%20the%20Opera),c
The Persian (Phantom of the Opera),500,/tags/The%20Persian%20(Phantom%20of%20the%20Opera),c
Ballet Girl/The Managers (Phantom of the Opera),0,/tags/Ballet%20Girl*s*The%20Managers%20(Phantom%20of%20the%20Opera),r
Madame Giry/Original Male Character(s),0,/tags/Madame%20Giry*s*Original%20Male%20Character(s),r
Erik | Phantom of the Opera,4077,/tags/Erik%20%7C%20Phantom%20of%20the%20Opera,c
Christine Daaé & Erik | Phantom of the Opera,558,/tags/Christine%20Daa%C3%A9%20*a*%20Erik%20%7C%20Phantom%20of%20the%20Opera,r
Christine Daaé/Erik | Phantom of the Opera,2692,/tags/Christine%20Daa%C3%A9*s*Erik%20%7C%20Phantom%20of%20the%20Opera,r
Christine Daaé/Raoul de Chagny/Erik | Phantom of the Opera,121,/tags/Christine%20Daa%C3%A9*s*Raoul%20de%20Chagny*s*Erik%20%7C%20Phantom%20of%20the%20Opera,r
Erik | Phantom of the Opera/Elphaba Thropp,0,/tags/Erik%20%7C%20Phantom%20of%20the%20Opera*s*Elphaba%20Thropp,r
Erik | Phantom of the Opera/Loki (Marvel),0,/tags/Erik%20%7C%20Phantom%20of%20the%20Opera*s*Loki%20(Marvel),r
Erik | Phantom of the Opera & The Persian,70,/tags/Erik%20%7C%20Phantom%20of%20the%20Opera%20*a*%20The%20Persian,r
Erik | Phantom of the Opera/Reader,83,/tags/Erik%20%7C%20Phantom%20of%20the%20Opera*s*Reader,r
Erik | Phantom of the Opera/Original Female Character(s),172,/tags/Erik%20%7C%20Phantom%20of%20the%20Opera*s*Original%20Female%20Character(s),r
Erik | Phantom of the Opera/Original Character(s),50,/tags/Erik%20%7C%20Phantom%20of%20the%20Opera*s*Original%20Character(s),r
Erik | Phantom of the Opera/Carlotta Giudicelli,11,/tags/Erik%20%7C%20Phantom%20of%20the%20Opera*s*Carlotta%20Giudicelli,r
Erik | Phantom of the Opera/Zuko (Avatar),0,/tags/Erik%20%7C%20Phantom%20of%20the%20Opera*s*Zuko%20(Avatar),r
Erik | Phantom of the Opera/Tori Vega,0,/tags/Erik%20%7C%20Phantom%20of%20the%20Opera*s*Tori%20Vega,r
Erik | Phantom of the Opera/The Persian,167,/tags/Erik%20%7C%20Phantom%20of%20the%20Opera*s*The%20Persian,r
Erik | Phantom of the Opera/Nadir Khan,54,/tags/Erik%20%7C%20Phantom%20of%20the%20Opera*s*Nadir%20Khan,r
Erik | Phantom of the Opera/Meg Giry,129,/tags/Erik%20%7C%20Phantom%20of%20the%20Opera*s*Meg%20Giry,r
Erik | Phantom of the Opera/Madame Valérius,0,/tags/Erik%20%7C%20Phantom%20of%20the%20Opera*s*Madame%20Val%C3%A9rius,r
Erik | Phantom of the Opera/Madame Giry,13,/tags/Erik%20%7C%20Phantom%20of%20the%20Opera*s*Madame%20Giry,r
Raoul de Chagny/Original Female Character(s),13,/tags/Raoul%20de%20Chagny*s*Original%20Female%20Character(s),r
Raoul de Chagny/Original Male Character(s),6,/tags/Raoul%20de%20Chagny*s*Original%20Male%20Character(s),r
Erik | Phantom of the Opera & Madame Giry,33,/tags/Erik%20%7C%20Phantom%20of%20the%20Opera%20*a*%20Madame%20Giry,r
