tag,count,href,category
Ted Lasso,5823,/tags/Ted%20Lasso,c
Keeley Jones,2202,/tags/Keeley%20Jones,c
Roy Kent,2812,/tags/Roy%20Kent,c
Rebecca Welton,3106,/tags/Rebecca%20Welton,c
Jamie Tartt,2299,/tags/Jamie%20Tartt,c
Sam Obisanya,598,/tags/Sam%20Obisanya,c
Leslie Higgins,578,/tags/Leslie%20Higgins,c
Nathan Shelley,339,/tags/Nathan%20Shelley,c
Doug Stashwick,1,/tags/Doug%20Stashwick,c
Rupert Mannion,298,/tags/Rupert%20Mannion,c
Ted Lasso & Rebecca Welton,382,/tags/Ted%20Lasso%20*a*%20Rebecca%20Welton,r
Isaac McAdoo,630,/tags/Isaac%20McAdoo,c
Colin Hughes,936,/tags/Colin%20Hughes,c
Richard Montlaur,145,/tags/Richard%20Montlaur,c
Thierry Zoreaux,118,/tags/Thierry%20Zoreaux,c
Ted Lasso/Rebecca Welton,2611,/tags/Ted%20Lasso*s*Rebecca%20Welton,r
Coach Beard (Ted Lasso),1494,/tags/Coach%20Beard%20(Ted%20Lasso),c
Keeley Jones/Roy Kent,612,/tags/Keeley%20Jones*s*Roy%20Kent,r
Dani Rojas/Jamie Tartt,177,/tags/Dani%20Rojas*s*Jamie%20Tartt,r
Keeley Jones & Rebecca Welton,157,/tags/Keeley%20Jones%20*a*%20Rebecca%20Welton,r
Trent Crimm,1008,/tags/Trent%20Crimm,c
O'Brien (Ted Lasso),12,/tags/O'Brien%20(Ted%20Lasso),c
Keeley Jones/Roy Kent/Jamie Tartt,469,/tags/Keeley%20Jones*s*Roy%20Kent*s*Jamie%20Tartt,r
Maureen (Ted Lasso),2,/tags/Maureen%20(Ted%20Lasso),c
Dani Rojas (Ted Lasso),549,/tags/Dani%20Rojas%20(Ted%20Lasso),c
Keeley Jones/Rebecca Welton,86,/tags/Keeley%20Jones*s*Rebecca%20Welton,r
Phoebe (Ted Lasso),274,/tags/Phoebe%20(Ted%20Lasso),c
Mae (Ted Lasso),97,/tags/Mae%20(Ted%20Lasso),c
Henry Lasso,535,/tags/Henry%20Lasso,c
Nora (Ted Lasso),77,/tags/Nora%20(Ted%20Lasso),c
Roy Kent & Phoebe,57,/tags/Roy%20Kent%20*a*%20Phoebe,r
Sam Obisanya/Rebecca Welton,38,/tags/Sam%20Obisanya*s*Rebecca%20Welton,r
Keeley Jones & Ted Lasso,26,/tags/Keeley%20Jones%20*a*%20Ted%20Lasso,r
Trent Crimm/Ted Lasso,1003,/tags/Trent%20Crimm*s*Ted%20Lasso,r
Dani Rojas/Thierry Zoreaux,1,/tags/Dani%20Rojas*s*Thierry%20Zoreaux,r
Roy Kent & Ted Lasso,73,/tags/Roy%20Kent%20*a*%20Ted%20Lasso,r
Coach Beard & Ted Lasso,190,/tags/Coach%20Beard%20*a*%20Ted%20Lasso,r
Nora & Rebecca Welton,9,/tags/Nora%20*a*%20Rebecca%20Welton,r
Henry Lasso & Ted Lasso,72,/tags/Henry%20Lasso%20*a*%20Ted%20Lasso,r
Episode: s01e09 All Apologies,7,/tags/Episode:%20s01e09%20All%20Apologies,f
Roy Kent & Jamie Tartt,403,/tags/Roy%20Kent%20*a*%20Jamie%20Tartt,r
Episode: s01e07 Make Rebecca Great Again,7,/tags/Episode:%20s01e07%20Make%20Rebecca%20Great%20Again,f
Keeley Jones & Jamie Tartt,116,/tags/Keeley%20Jones%20*a*%20Jamie%20Tartt,r
Leslie Higgins & Rebecca Welton,15,/tags/Leslie%20Higgins%20*a*%20Rebecca%20Welton,r
Keeley Jones/Jamie Tartt,114,/tags/Keeley%20Jones*s*Jamie%20Tartt,r
"Flo ""Sassy"" Collins",214,/tags/Flo%20%22Sassy%22%20Collins,c
The Milk Sisters (Ted Lasso),2,/tags/The%20Milk%20Sisters%20(Ted%20Lasso),c
"Flo ""Sassy"" Collins & Rebecca Welton",26,/tags/Flo%20%22Sassy%22%20Collins%20*a*%20Rebecca%20Welton,r
Michelle Lasso,251,/tags/Michelle%20Lasso,c
Episode: s01e04 For the Children (Ted Lasso),11,/tags/Episode:%20s01e04%20For%20the%20Children%20(Ted%20Lasso),f
Shannon | Soccer Girl (Ted Lasso),6,/tags/Shannon%20%7C%20Soccer%20Girl%20(Ted%20Lasso),c
Warning: Rupert Mannion,67,/tags/Warning:%20Rupert%20Mannion,f
Keeley Jones & Roy Kent,59,/tags/Keeley%20Jones%20*a*%20Roy%20Kent,r
Roy Kent & Sam Obisanya,7,/tags/Roy%20Kent%20*a*%20Sam%20Obisanya,r
Bex (Ted Lasso),51,/tags/Bex%20(Ted%20Lasso),c
Rebecca Welton/John Wingsnight,4,/tags/Rebecca%20Welton*s*John%20Wingsnight,r
John Wingsnight,18,/tags/John%20Wingsnight,c
Michelle Lasso/Ted Lasso,27,/tags/Michelle%20Lasso*s*Ted%20Lasso,r
Rebecca Welton & Original Child Character(s),3,/tags/Rebecca%20Welton%20*a*%20Original%20Child%20Character(s),r
Bex/Rupert Mannion,2,/tags/Bex*s*Rupert%20Mannion,r
Rupert Mannion/Rebecca Welton,32,/tags/Rupert%20Mannion*s*Rebecca%20Welton,r
Roy Kent/Rebecca Welton,33,/tags/Roy%20Kent*s*Rebecca%20Welton,r
Episode: s01e10 The Hope That Kills You,10,/tags/Episode:%20s01e10%20The%20Hope%20That%20Kills%20You,f
Keeley Jones/Ted Lasso/Rebecca Welton,1,/tags/Keeley%20Jones*s*Ted%20Lasso*s*Rebecca%20Welton,r
Baz (Ted Lasso),21,/tags/Baz%20(Ted%20Lasso),c
Paul (Ted Lasso),22,/tags/Paul%20(Ted%20Lasso),c
Jeremy (Ted Lasso),19,/tags/Jeremy%20(Ted%20Lasso),c
Roy Kent/Ted Lasso/Rebecca Welton,2,/tags/Roy%20Kent*s*Ted%20Lasso*s*Rebecca%20Welton,r
Coach Beard & Ted Lasso & Nathan Shelley,2,/tags/Coach%20Beard%20*a*%20Ted%20Lasso%20*a*%20Nathan%20Shelley,r
Coach Beard & Rebecca Welton,27,/tags/Coach%20Beard%20*a*%20Rebecca%20Welton,r
