tag,count,href,category
Dirk Gently,2047,/tags/Dirk%20Gently,c
Detective Sergeant Gilks,2,/tags/Detective%20Sergeant%20Gilks,c
Odin (Dirk Gently),0,/tags/Odin%20(Dirk%20Gently),c
Thor (Dirk Gently),12,/tags/Thor%20(Dirk%20Gently),c
Kate Schechter,3,/tags/Kate%20Schechter,c
Todd Brotzman,1696,/tags/Todd%20Brotzman,c
Dirk Gently's Holistic Detective Agency,75,/tags/Dirk%20Gently's%20Holistic%20Detective%20Agency,f
Amanda Brotzman,796,/tags/Amanda%20Brotzman,c
Farah Black,868,/tags/Farah%20Black,c
Bart Curlish,303,/tags/Bart%20Curlish,c
Bart Curlish/Ken,42,/tags/Bart%20Curlish*s*Ken,r
Todd Brotzman/Bart Curlish,0,/tags/Todd%20Brotzman*s*Bart%20Curlish,r
Todd Brotzman & Dirk Gently,386,/tags/Todd%20Brotzman%20*a*%20Dirk%20Gently,r
Todd Brotzman & Sam Winchester,0,/tags/Todd%20Brotzman%20*a*%20Sam%20Winchester,r
Scott Riggins,136,/tags/Scott%20Riggins,c
Hugo Friedkin,133,/tags/Hugo%20Friedkin,c
Ken (Dirk Gently),169,/tags/Ken%20(Dirk%20Gently),c
Amanda Brotzman & Todd Brotzman,65,/tags/Amanda%20Brotzman%20*a*%20Todd%20Brotzman,r
Farah Black/Amanda Brotzman,72,/tags/Farah%20Black*s*Amanda%20Brotzman,r
Bart Curlish & Ken,35,/tags/Bart%20Curlish%20*a*%20Ken,r
Todd Brotzman/Dirk Gently,1374,/tags/Todd%20Brotzman*s*Dirk%20Gently,r
Farah Black & Dirk Gently,60,/tags/Farah%20Black%20*a*%20Dirk%20Gently,r
Mentioned Amanda Brotzman,1,/tags/Mentioned%20Amanda%20Brotzman,f
Avengers Team & Dirk Gently,0,/tags/Avengers%20Team%20*a*%20Dirk%20Gently,r
Bart Curlish & Dirk Gently,26,/tags/Bart%20Curlish%20*a*%20Dirk%20Gently,r
Bisexual Todd Brotzman,27,/tags/Bisexual%20Todd%20Brotzman,f
Dirk Gently/Thor (Marvel),0,/tags/Dirk%20Gently*s*Thor%20(Marvel),r
Dirk Gently & Thor (Marvel),0,/tags/Dirk%20Gently%20*a*%20Thor%20(Marvel),r
Dirk Gently & Original Female Character(s),4,/tags/Dirk%20Gently%20*a*%20Original%20Female%20Character(s),r
Todd Brotzman & Original Female Character(s),0,/tags/Todd%20Brotzman%20*a*%20Original%20Female%20Character(s),r
The Rowdy 3 (Dirk Gently),415,/tags/The%20Rowdy%203%20(Dirk%20Gently),c
Farah Black & Todd Brotzman,69,/tags/Farah%20Black%20*a*%20Todd%20Brotzman,r
Amanda Brotzman/The Rowdy 3,47,/tags/Amanda%20Brotzman*s*The%20Rowdy%203,r
Gripps (Dirk Gently),214,/tags/Gripps%20(Dirk%20Gently),c
Episode: s01e08 Two Sane Guys Doing Normal Things,1,/tags/Episode:%20s01e08%20Two%20Sane%20Guys%20Doing%20Normal%20Things,f
Martin (Dirk Gently),313,/tags/Martin%20(Dirk%20Gently),c
