tag,count,href,category
Chaol Westfall,465,/tags/Chaol%20Westfall,c
Dorian Havilliard,700,/tags/Dorian%20Havilliard,c
Aedion Ashryver,720,/tags/Aedion%20Ashryver,c
Nehemia Ytger,119,/tags/Nehemia%20Ytger,c
Nox Owen,39,/tags/Nox%20Owen,c
Dorian Havilliard & Chaol Westfall,12,/tags/Dorian%20Havilliard%20*a*%20Chaol%20Westfall,r
Book 2: Crown of Midnight,7,/tags/Book%202:%20Crown%20of%20Midnight,f
Post-Book 3: Heir of Fire,4,/tags/Post-Book%203:%20Heir%20of%20Fire,f
Book 3: Heir of Fire,21,/tags/Book%203:%20Heir%20of%20Fire,f
Sam Cortland,121,/tags/Sam%20Cortland,c
Dorian Havilliard & Nehemia Ytger,0,/tags/Dorian%20Havilliard%20*a*%20Nehemia%20Ytger,r
Rowan Whitethorn,1838,/tags/Rowan%20Whitethorn,c
Ansel of Briarcliff,39,/tags/Ansel%20of%20Briarcliff,c
Lyria (Throne of Glass),63,/tags/Lyria%20(Throne%20of%20Glass),c
Sorscha (Throne of Glass),22,/tags/Sorscha%20(Throne%20of%20Glass),c
Lyria/Rowan Whitethorn,23,/tags/Lyria*s*Rowan%20Whitethorn,r
Kaltain Rompier,30,/tags/Kaltain%20Rompier,c
Arobynn Hamel,116,/tags/Arobynn%20Hamel,c
Manon Blackbeak,609,/tags/Manon%20Blackbeak,c
Abraxos/Manon Blackbeak,1,/tags/Abraxos*s*Manon%20Blackbeak,r
Magnus Bane/Chaol Westfall,1,/tags/Magnus%20Bane*s*Chaol%20Westfall,r
Terrin Westfall,5,/tags/Terrin%20Westfall,c
Dorian Havilliard/Sorscha,17,/tags/Dorian%20Havilliard*s*Sorscha,r
Nesryn Faliq,127,/tags/Nesryn%20Faliq,c
Asterin Blackbeak,141,/tags/Asterin%20Blackbeak,c
Lysandra (Throne Of Glass),678,/tags/Lysandra%20(Throne%20Of%20Glass),c
Manon Blackbeak/Elide Lochan,117,/tags/Manon%20Blackbeak*s*Elide%20Lochan,r
Elide Lochan/Harding,1,/tags/Elide%20Lochan*s*Harding,r
Elide Lochan,970,/tags/Elide%20Lochan,c
Kaltain Rompier/Sorscha,2,/tags/Kaltain%20Rompier*s*Sorscha,r
Dorian Havilliard/Chaol Westfall,68,/tags/Dorian%20Havilliard*s*Chaol%20Westfall,r
Nesryn Faliq/Chaol Westfall,14,/tags/Nesryn%20Faliq*s*Chaol%20Westfall,r
King of Adarlan (Throne of Glass),44,/tags/King%20of%20Adarlan%20(Throne%20of%20Glass),c
Aedion Ashryver/Lysandra,296,/tags/Aedion%20Ashryver*s*Lysandra,r
Book 4: Queen of Shadows,21,/tags/Book%204:%20Queen%20of%20Shadows,f
Post-Book 4: Queen of Shadows,1,/tags/Post-Book%204:%20Queen%20of%20Shadows,f
Nesryn Faliq & Rowan Whitehorn,0,/tags/Nesryn%20Faliq%20*a*%20Rowan%20Whitehorn,r
Lysandra & Rowan Whitehorn,5,/tags/Lysandra%20*a*%20Rowan%20Whitehorn,r
Ren Allsbrook,27,/tags/Ren%20Allsbrook,c
Vernon Lochan,30,/tags/Vernon%20Lochan,c
Manon Blackbeak/Dorian Havilliard,293,/tags/Manon%20Blackbeak*s*Dorian%20Havilliard,r
Aelin Ashryver Galathynius | Celaena Sardothien,1966,/tags/Aelin%20Ashryver%20Galathynius%20%7C%20Celaena%20Sardothien,c
Asterin Blackbeak/Manon Blackbeak,11,/tags/Asterin%20Blackbeak*s*Manon%20Blackbeak,r
Aedion Ashryver/Dorian Havilliard/Chaol Westfall,0,/tags/Aedion%20Ashryver*s*Dorian%20Havilliard*s*Chaol%20Westfall,r
Elide Lochan/Lorcan Salvaterre,696,/tags/Elide%20Lochan*s*Lorcan%20Salvaterre,r
Lorcan Salvaterre,990,/tags/Lorcan%20Salvaterre,c
Evangeline (Throne of Glass),76,/tags/Evangeline%20(Throne%20of%20Glass),c
Nik (Throne of Glass),3,/tags/Nik%20(Throne%20of%20Glass),c
Ombriel (Throne of Glass),6,/tags/Ombriel%20(Throne%20of%20Glass),c
Gavriel (Throne of Glass),240,/tags/Gavriel%20(Throne%20of%20Glass),c
Orlon Galathynius,16,/tags/Orlon%20Galathynius,c
Throne of Glass Mini Bang,3,/tags/Throne%20of%20Glass%20Mini%20Bang,f
Sorrel Blackbeak,37,/tags/Sorrel%20Blackbeak,c
Vesta Blackbeak,26,/tags/Vesta%20Blackbeak,c
Dorian Havilliard & Georgina Havilliard,3,/tags/Dorian%20Havilliard%20*a*%20Georgina%20Havilliard,r
Georgina Havilliard,15,/tags/Georgina%20Havilliard,c
Lord of the North (Throne of Glass),2,/tags/Lord%20of%20the%20North%20(Throne%20of%20Glass),c
Galan Ashryver,9,/tags/Galan%20Ashryver,c
Endymion Whitethorn,18,/tags/Endymion%20Whitethorn,c
Aedion Ashryver/Original Character(s),6,/tags/Aedion%20Ashryver*s*Original%20Character(s),r
Aedion Ashryver/Chaol Westfall,3,/tags/Aedion%20Ashryver*s*Chaol%20Westfall,r
Maeve (Throne of Glass),204,/tags/Maeve%20(Throne%20of%20Glass),c
Aedion Ashryver & Aelin Ashryver Galathynius | Celaena Sardothien,42,/tags/Aedion%20Ashryver%20*a*%20Aelin%20Ashryver%20Galathynius%20%7C%20Celaena%20Sardothien,r
Evalin Ashryver Galathynius,83,/tags/Evalin%20Ashryver%20Galathynius,c
Aelin Ashryver Galathynius | Celaena Sardothien/Dorian Havilliard,19,/tags/Aelin%20Ashryver%20Galathynius%20%7C%20Celaena%20Sardothien*s*Dorian%20Havilliard,r
Aelin Ashryver Galathynius | Celaena Sardothien/Rowan Whitethorn,1282,/tags/Aelin%20Ashryver%20Galathynius%20%7C%20Celaena%20Sardothien*s*Rowan%20Whitethorn,r
Aelin Ashryver Galathynius | Celaena Sardothien & Nehemia Ytger,9,/tags/Aelin%20Ashryver%20Galathynius%20%7C%20Celaena%20Sardothien%20*a*%20Nehemia%20Ytger,r
Aelin Ashryver Galathynius | Celaena Sardothien & Rowan Whitethorn,946,/tags/Aelin%20Ashryver%20Galathynius%20%7C%20Celaena%20Sardothien%20*a*%20Rowan%20Whitethorn,r
Aelin Ashryver Galathynius | Celaena Sardothien/Chaol Westfall,43,/tags/Aelin%20Ashryver%20Galathynius%20%7C%20Celaena%20Sardothien*s*Chaol%20Westfall,r
Aelin Ashryver Galathynius | Celaena Sardothien & Dorian Havilliard,49,/tags/Aelin%20Ashryver%20Galathynius%20%7C%20Celaena%20Sardothien%20*a*%20Dorian%20Havilliard,r
Manon Blackbeak & Elide Lochan,19,/tags/Manon%20Blackbeak%20*a*%20Elide%20Lochan,r
Fleetfoot (Throne of Glass),49,/tags/Fleetfoot%20(Throne%20of%20Glass),c
Aelin Ashryver Galathynius | Celaena Sardothien/Lysandra,21,/tags/Aelin%20Ashryver%20Galathynius%20%7C%20Celaena%20Sardothien*s*Lysandra,r
Aelin Ashryver Galathynius | Celaena Sardothien/Nehemia Ytger,16,/tags/Aelin%20Ashryver%20Galathynius%20%7C%20Celaena%20Sardothien*s*Nehemia%20Ytger,r
Aelin Ashryver Galathynius | Celeana Sardothien/Jon Snow,0,/tags/Aelin%20Ashryver%20Galathynius%20%7C%20Celeana%20Sardothien*s*Jon%20Snow,r
Aedion Ashryver/Aelin Ashryver Galathynius | Celaena Sardothien,6,/tags/Aedion%20Ashryver*s*Aelin%20Ashryver%20Galathynius%20%7C%20Celaena%20Sardothien,r
Aelin Ashryver Galathynius | Celaena Sardothien & Chaol Westfall,22,/tags/Aelin%20Ashryver%20Galathynius%20%7C%20Celaena%20Sardothien%20*a*%20Chaol%20Westfall,r
Asterin Blackbeak/Lorcan Salvaterre,0,/tags/Asterin%20Blackbeak*s*Lorcan%20Salvaterre,r
Rhoe Galathynius,85,/tags/Rhoe%20Galathynius,c
Sellene Whitethorn,25,/tags/Sellene%20Whitethorn,c
Lady Marion Lochan,15,/tags/Lady%20Marion%20Lochan,c
Cairn (Throne of Glass),39,/tags/Cairn%20(Throne%20of%20Glass),c
Vaughan (Throne of Glass),138,/tags/Vaughan%20(Throne%20of%20Glass),c
Ghislaine Blackbeak,18,/tags/Ghislaine%20Blackbeak,c
Lysandra & Aelin Ashryver Galathynius | Celeana Sardothien,34,/tags/Lysandra%20*a*%20Aelin%20Ashryver%20Galathynius%20%7C%20Celeana%20Sardothien,r
Aelin Ashryver Galathynius | Celaena Sardothien/Sam Wilson (Marvel),0,/tags/Aelin%20Ashryver%20Galathynius%20%7C%20Celaena%20Sardothien*s*Sam%20Wilson%20(Marvel),r
Manon Blackbeak & Dorian Havilliard,23,/tags/Manon%20Blackbeak%20*a*%20Dorian%20Havilliard,r
Lorcan Salvaterre/Rowan Whitethorn,47,/tags/Lorcan%20Salvaterre*s*Rowan%20Whitethorn,r
Aedion Ashryver/Gavriel,7,/tags/Aedion%20Ashryver*s*Gavriel,r
Gavriel (Throne of Glass) & Original Female Character(s),6,/tags/Gavriel%20(Throne%20of%20Glass)%20*a*%20Original%20Female%20Character(s),r
Asterin Blackbeak/Lysandra,0,/tags/Asterin%20Blackbeak*s*Lysandra,r
Vaughan (Throne of Glass)/Original Female Character(s),3,/tags/Vaughan%20(Throne%20of%20Glass)*s*Original%20Female%20Character(s),r
Kaltain Rompier/Nehemia Ytger,1,/tags/Kaltain%20Rompier*s*Nehemia%20Ytger,r
Fallon Blackbeak,19,/tags/Fallon%20Blackbeak,c
Emrys (Throne of Glass),38,/tags/Emrys%20(Throne%20of%20Glass),c
Luca (Throne of Glass),37,/tags/Luca%20(Throne%20of%20Glass),c
Phedre (Throne of Glass),2,/tags/Phedre%20(Throne%20of%20Glass),c
Deji Ytger,1,/tags/Deji%20Ytger,c
Kharis Ytger,1,/tags/Kharis%20Ytger,c
Aedion Ashryver/Dorian Havilliard,5,/tags/Aedion%20Ashryver*s*Dorian%20Havilliard,r
Murtaugh Allsbrook,5,/tags/Murtaugh%20Allsbrook,c
Archer Finn,5,/tags/Archer%20Finn,c
Philippa Spindlehead,8,/tags/Philippa%20Spindlehead,c
Molly (Throne of Glass),5,/tags/Molly%20(Throne%20of%20Glass),c
Iskra Yellowlegs,5,/tags/Iskra%20Yellowlegs,c
Ren Allsbrook/Aedion Ashryver,1,/tags/Ren%20Allsbrook*s*Aedion%20Ashryver,r
Aedion Ashryver/Rowan Whitethorn,5,/tags/Aedion%20Ashryver*s*Rowan%20Whitethorn,r
Dorian Havilliard/Original Character(s),13,/tags/Dorian%20Havilliard*s*Original%20Character(s),r
Gavriel (Throne of Glass)/Original Character(s),5,/tags/Gavriel%20(Throne%20of%20Glass)*s*Original%20Character(s),r
Athril (Throne of Glass),0,/tags/Athril%20(Throne%20of%20Glass),c
Alternate Universe - Throne of Glass Fusion,19,/tags/Alternate%20Universe%20-%20Throne%20of%20Glass%20Fusion,f
Manon Blackbeak & Wyverns,0,/tags/Manon%20Blackbeak%20*a*%20Wyverns,r
Nesryn Faliq/Sartaq,39,/tags/Nesryn%20Faliq*s*Sartaq,r
Sartaq (Throne of Glass),37,/tags/Sartaq%20(Throne%20of%20Glass),c
Nesryn Faliq & Sartaq,5,/tags/Nesryn%20Faliq%20*a*%20Sartaq,r
Elide Lochan & Lorcan Salvaterre,67,/tags/Elide%20Lochan%20*a*%20Lorcan%20Salvaterre,r
Brannon Galathynius,5,/tags/Brannon%20Galathynius,c
Manon Blackbeak & The Thirteen,20,/tags/Manon%20Blackbeak%20*a*%20The%20Thirteen,r
The Cadre (Throne of Glass),44,/tags/The%20Cadre%20(Throne%20of%20Glass),c
Remelle (Throne of Glass),26,/tags/Remelle%20(Throne%20of%20Glass),c
Ashryver Princess/Gavriel,2,/tags/Ashryver%20Princess*s*Gavriel,r
Lothian Blackbeak/Crochan Prince,2,/tags/Lothian%20Blackbeak*s*Crochan%20Prince,r
Lothian Blackbeak,3,/tags/Lothian%20Blackbeak,c
Mala Fire-Bringer,3,/tags/Mala%20Fire-Bringer,c
Cal Lochan,10,/tags/Cal%20Lochan,c
Rourke Farran,6,/tags/Rourke%20Farran,c
Chaol Westfall & Rowan Whitethorn,2,/tags/Chaol%20Westfall%20*a*%20Rowan%20Whitethorn,r
Rhiannon Crochan,2,/tags/Rhiannon%20Crochan,c
Lorcan Salvaterre & Rowan Whitethorn,15,/tags/Lorcan%20Salvaterre%20*a*%20Rowan%20Whitethorn,r
Rolfe (Throne of Glass),16,/tags/Rolfe%20(Throne%20of%20Glass),c
Ginny Weasley & Rowan Whitethorn,0,/tags/Ginny%20Weasley%20*a*%20Rowan%20Whitethorn,r
Erawan (Throne of Glass),22,/tags/Erawan%20(Throne%20of%20Glass),c
Manon Blackbeak & Ginny Weasley,0,/tags/Manon%20Blackbeak%20*a*%20Ginny%20Weasley,r
Lysandra (Throne of Glass) & Ginny Weasley,0,/tags/Lysandra%20(Throne%20of%20Glass)%20*a*%20Ginny%20Weasley,r
Aelin Ashryver Galathynius | Celaena Sardothien & Ginny Weasley,0,/tags/Aelin%20Ashryver%20Galathynius%20%7C%20Celaena%20Sardothien%20*a*%20Ginny%20Weasley,r
Aelin Ashryver Galathynius | Celaena Sardothien/Arobynn Hamel,11,/tags/Aelin%20Ashryver%20Galathynius%20%7C%20Celaena%20Sardothien*s*Arobynn%20Hamel,r
Manon Blackbeak/Dorian Havilliard/Elide Lochan,1,/tags/Manon%20Blackbeak*s*Dorian%20Havilliard*s*Elide%20Lochan,r
Elide Lochan & Kaltain Rompier,1,/tags/Elide%20Lochan%20*a*%20Kaltain%20Rompier,r
Faline Blackbeak,18,/tags/Faline%20Blackbeak,c
Imogen Blackbeak,18,/tags/Imogen%20Blackbeak,c
Kaya Blackbeak,17,/tags/Kaya%20Blackbeak,c
Thea Blackbeak,17,/tags/Thea%20Blackbeak,c
Edda Blackbeak,20,/tags/Edda%20Blackbeak,c
