tag,count,href,category
Colin Bridgerton/Penelope Featherington,3421,/tags/Colin%20Bridgerton*s*Penelope%20Featherington,r
Colin Bridgerton,3488,/tags/Colin%20Bridgerton,c
Penelope Featherington,3001,/tags/Penelope%20Featherington,c
Anthony Bridgerton,4691,/tags/Anthony%20Bridgerton,c
Benedict Bridgerton,2923,/tags/Benedict%20Bridgerton,c
Daphne Bridgerton,1789,/tags/Daphne%20Bridgerton,c
Eloise Bridgerton,2620,/tags/Eloise%20Bridgerton,c
Francesca Bridgerton,1013,/tags/Francesca%20Bridgerton,c
Gregory Bridgerton,1083,/tags/Gregory%20Bridgerton,c
Phillip Crane,322,/tags/Phillip%20Crane,c
Simon Basset,1214,/tags/Simon%20Basset,c
Sophie Beckett,879,/tags/Sophie%20Beckett,c
George III of the United Kingdom,923,/tags/George%20III%20of%20the%20United%20Kingdom,c
Michael Stirling,316,/tags/Michael%20Stirling,c
Francesca Bridgerton/Michael Stirling,148,/tags/Francesca%20Bridgerton*s*Michael%20Stirling,r
Violet Bridgerton,2074,/tags/Violet%20Bridgerton,c
Eloise Bridgerton/Phillip Crane,270,/tags/Eloise%20Bridgerton*s*Phillip%20Crane,r
Hyacinth Bridgerton,1158,/tags/Hyacinth%20Bridgerton,c
Nigel Berbrooke,45,/tags/Nigel%20Berbrooke,c
Eloise Bridgerton/Penelope Featherington,70,/tags/Eloise%20Bridgerton*s*Penelope%20Featherington,r
Sophie Beckett/Benedict Bridgerton,723,/tags/Sophie%20Beckett*s*Benedict%20Bridgerton,r
Edmund Bridgerton/Violet Bridgerton,107,/tags/Edmund%20Bridgerton*s*Violet%20Bridgerton,r
Andrew Rokesby,12,/tags/Andrew%20Rokesby,c
Edmund Bridgerton,259,/tags/Edmund%20Bridgerton,c
Sybil Crawley & Original Female Character(s),1,/tags/Sybil%20Crawley%20*a*%20Original%20Female%20Character(s),r
Daphne Bridgerton/Prince Friedrich,8,/tags/Daphne%20Bridgerton*s*Prince%20Friedrich,r
Marina Thompson,222,/tags/Marina%20Thompson,c
Anthony Bridgerton/Siena Rosso,73,/tags/Anthony%20Bridgerton*s*Siena%20Rosso,r
Siena Rosso,164,/tags/Siena%20Rosso,c
Benedict Bridgerton/Henry Granville,93,/tags/Benedict%20Bridgerton*s*Henry%20Granville,r
Henry Granville,144,/tags/Henry%20Granville,c
Lucy Granville,55,/tags/Lucy%20Granville,c
Simon Basset/Anthony Bridgerton,71,/tags/Simon%20Basset*s*Anthony%20Bridgerton,r
Simon Basset/Anthony Bridgerton/Daphne Bridgerton,3,/tags/Simon%20Basset*s*Anthony%20Bridgerton*s*Daphne%20Bridgerton,r
Caroline Basset,28,/tags/Caroline%20Basset,c
Simon Basset/Siena Rosso,0,/tags/Simon%20Basset*s*Siena%20Rosso,r
Anthony Bridgerton/Daphne Bridgerton,33,/tags/Anthony%20Bridgerton*s*Daphne%20Bridgerton,r
Colin Bridgerton/Phillip Crane,4,/tags/Colin%20Bridgerton*s*Phillip%20Crane,r
Genevieve Delacroix,132,/tags/Genevieve%20Delacroix,c
Benedict Bridgerton/Genevieve Delacroix,12,/tags/Benedict%20Bridgerton*s*Genevieve%20Delacroix,r
John Stirling II,16,/tags/John%20Stirling%20II,c
Francesca Bridgerton/John Stirling I,63,/tags/Francesca%20Bridgerton*s*John%20Stirling%20I,r
Elizabeth Bennet/Anthony Bridgerton,0,/tags/Elizabeth%20Bennet*s*Anthony%20Bridgerton,r
Anthony Bridgerton/Original Character(s),9,/tags/Anthony%20Bridgerton*s*Original%20Character(s),r
Anthony Bridgerton/Original Female Character(s),45,/tags/Anthony%20Bridgerton*s*Original%20Female%20Character(s),r
Colin Bridgerton/Marina Thompson,61,/tags/Colin%20Bridgerton*s*Marina%20Thompson,r
Portia Featherington,424,/tags/Portia%20Featherington,c
Simon Basset/Reader,17,/tags/Simon%20Basset*s*Reader,r
Benedict Bridgerton/Eloise Bridgerton,26,/tags/Benedict%20Bridgerton*s*Eloise%20Bridgerton,r
Simon Basset & Daphne Bridgerton,46,/tags/Simon%20Basset%20*a*%20Daphne%20Bridgerton,r
Will Mondrich,59,/tags/Will%20Mondrich,c
Benedict Bridgerton/Original Male Character(s),19,/tags/Benedict%20Bridgerton*s*Original%20Male%20Character(s),r
Eloise Bridgerton/Original Character(s),4,/tags/Eloise%20Bridgerton*s*Original%20Character(s),r
Simon Basset/Daphne Bridgerton,471,/tags/Simon%20Basset*s*Daphne%20Bridgerton,r
Albert of Saxe-Coburg and Gotha/Simon Basset,0,/tags/Albert%20of%20Saxe-Coburg%20and%20Gotha*s*Simon%20Basset,r
Inspired by Bridgerton (TV),383,/tags/Inspired%20by%20Bridgerton%20(TV),f
Alternate Universe - Bridgerton (TV) Fusion,287,/tags/Alternate%20Universe%20-%20Bridgerton%20(TV)%20Fusion,f
Jealous Colin Bridgerton,238,/tags/Jealous%20Colin%20Bridgerton,f
Benedict Bridgerton & Eloise Bridgerton,66,/tags/Benedict%20Bridgerton%20*a*%20Eloise%20Bridgerton,r
Anthony Bridgerton/Marina Thompson,4,/tags/Anthony%20Bridgerton*s*Marina%20Thompson,r
Anthony Bridgerton/Benedict Bridgerton,0,/tags/Anthony%20Bridgerton*s*Benedict%20Bridgerton,r
Cressida Cowper,191,/tags/Cressida%20Cowper,c
Anthony Bridgerton/Original Male Character(s),1,/tags/Anthony%20Bridgerton*s*Original%20Male%20Character(s),r
Benedict Bridgerton & Colin Bridgerton,56,/tags/Benedict%20Bridgerton%20*a*%20Colin%20Bridgerton,r
Lord Wetherby (Bridgerton),15,/tags/Lord%20Wetherby%20(Bridgerton),c
Bridgertons Being Bridgertons,335,/tags/Bridgertons%20Being%20Bridgertons,f
Mentioned Anthony Bridgerton,1,/tags/Mentioned%20Anthony%20Bridgerton,f
Anthony Bridgerton/Georgiana Darcy,0,/tags/Anthony%20Bridgerton*s*Georgiana%20Darcy,r
Alice Mondrich,35,/tags/Alice%20Mondrich,c
Benedict Bridgerton/Lucy Granville,8,/tags/Benedict%20Bridgerton*s*Lucy%20Granville,r
Bridgerton Ensemble,114,/tags/Bridgerton%20Ensemble,c
Mary Bennet/Anthony Bridgerton,0,/tags/Mary%20Bennet*s*Anthony%20Bridgerton,r
Anthony Bridgerton & Benedict Bridgerton,112,/tags/Anthony%20Bridgerton%20*a*%20Benedict%20Bridgerton,r
Colin Bridgerton/Original Female Character(s),15,/tags/Colin%20Bridgerton*s*Original%20Female%20Character(s),r
Eloise Bridgerton & Henry Granville,1,/tags/Eloise%20Bridgerton%20*a*%20Henry%20Granville,r
Eloise Bridgerton/Other(s),1,/tags/Eloise%20Bridgerton*s*Other(s),r
