tag,count,href,category
Lex Luthor,11115,/tags/Lex%20Luthor,c
Roy Harper,13037,/tags/Roy%20Harper,c
Bruce Wayne,82433,/tags/Bruce%20Wayne,c
Elseworlds,135,/tags/Elseworlds,f
Oliver Queen,23673,/tags/Oliver%20Queen,c
Connor Hawke,624,/tags/Connor%20Hawke,c
Clark Kent/Lex Luthor,6641,/tags/Clark%20Kent*s*Lex%20Luthor,r
Helena Bertinelli,1697,/tags/Helena%20Bertinelli,c
John Constantine,5730,/tags/John%20Constantine,c
Slade Wilson,8094,/tags/Slade%20Wilson,c
Ray Palmer,5363,/tags/Ray%20Palmer,c
Dinah Lance/Oliver Queen,686,/tags/Dinah%20Lance*s*Oliver%20Queen,r
Ted Grant,256,/tags/Ted%20Grant,c
Amanda Waller,921,/tags/Amanda%20Waller,c
Roy Harper/Connor Hawke,16,/tags/Roy%20Harper*s*Connor%20Hawke,r
Roy Harper/Oliver Queen,139,/tags/Roy%20Harper*s*Oliver%20Queen,r
Roy Harper/Jason Todd,3313,/tags/Roy%20Harper*s*Jason%20Todd,r
Oliver Queen/Kara Zor-El,82,/tags/Oliver%20Queen*s*Kara%20Zor-El,r
Talia al Ghul,5042,/tags/Talia%20al%20Ghul,c
Joseph Wilson,680,/tags/Joseph%20Wilson,c
Helena Bertinelli/Vic Sage,68,/tags/Helena%20Bertinelli*s*Vic%20Sage,r
Jake Simmons,11,/tags/Jake%20Simmons,c
Clock King,29,/tags/Clock%20King,c
John Constantine/Dream of the Endless,2,/tags/John%20Constantine*s*Dream%20of%20the%20Endless,r
Floyd Lawton,649,/tags/Floyd%20Lawton,c
Ra's al Ghul,3655,/tags/Ra's%20al%20Ghul,c
John Constantine/Zatanna Zatara,386,/tags/John%20Constantine*s*Zatanna%20Zatara,r
Tim Drake/Dick Grayson/Bruce Wayne,31,/tags/Tim%20Drake*s*Dick%20Grayson*s*Bruce%20Wayne,r
Tatsu Yamashiro,231,/tags/Tatsu%20Yamashiro,c
Dinah Drake,542,/tags/Dinah%20Drake,c
William Tockman,21,/tags/William%20Tockman,c
Ryan Choi,63,/tags/Ryan%20Choi,c
Noah Kuttler,119,/tags/Noah%20Kuttler,c
Eobard Thawne,1286,/tags/Eobard%20Thawne,c
Robert Queen,466,/tags/Robert%20Queen,c
Connor Hawke/Jason Todd,35,/tags/Connor%20Hawke*s*Jason%20Todd,r
Adeline Kane Wilson/Slade Wilson,104,/tags/Adeline%20Kane%20Wilson*s*Slade%20Wilson,r
Barbara Gordon/Kate Kane,16,/tags/Barbara%20Gordon*s*Kate%20Kane,r
Stephanie Brown/Kate Kane,7,/tags/Stephanie%20Brown*s*Kate%20Kane,r
Barbara Gordon/Kate Kane/Dinah Lance,0,/tags/Barbara%20Gordon*s*Kate%20Kane*s*Dinah%20Lance,r
Shado/Kara Zor-El,0,/tags/Shado*s*Kara%20Zor-El,r
Jason Todd/Slade Wilson,1259,/tags/Jason%20Todd*s*Slade%20Wilson,r
"George ""Digger"" Harkness",578,/tags/George%20%22Digger%22%20Harkness,c
Oliver Queen/Shado,39,/tags/Oliver%20Queen*s*Shado,r
Shado (DCU),200,/tags/Shado%20(DCU),c
Diana (Wonder Woman)/Kate Kane,35,/tags/Diana%20(Wonder%20Woman)*s*Kate%20Kane,r
Brion Markov,96,/tags/Brion%20Markov,c
Adrian Chase,1417,/tags/Adrian%20Chase,c
Clark Kent & Chloe Sullivan,94,/tags/Clark%20Kent%20*a*%20Chloe%20Sullivan,r
Ra's al Ghul/Talia al Ghul,6,/tags/Ra's%20al%20Ghul*s*Talia%20al%20Ghul,r
Lois Lane & Oliver Queen,14,/tags/Lois%20Lane%20*a*%20Oliver%20Queen,r
Laurel Lance,4967,/tags/Laurel%20Lance,c
Thea Queen,5348,/tags/Thea%20Queen,c
Oliver Queen/Dean Winchester,4,/tags/Oliver%20Queen*s*Dean%20Winchester,r
Quentin Lance,2138,/tags/Quentin%20Lance,c
Tommy Merlyn/Oliver Queen,417,/tags/Tommy%20Merlyn*s*Oliver%20Queen,r
Tommy Merlyn,3117,/tags/Tommy%20Merlyn,c
Moira Queen,1636,/tags/Moira%20Queen,c
Oliver Queen/Nolan Ross,1,/tags/Oliver%20Queen*s*Nolan%20Ross,r
Oliver Queen/Thea Queen,133,/tags/Oliver%20Queen*s*Thea%20Queen,r
Quentin Lance/Tommy Merlyn,3,/tags/Quentin%20Lance*s*Tommy%20Merlyn,r
Quentin Lance/Oliver Queen,50,/tags/Quentin%20Lance*s*Oliver%20Queen,r
Laurel Lance/Tommy Merlyn/Oliver Queen,28,/tags/Laurel%20Lance*s*Tommy%20Merlyn*s*Oliver%20Queen,r
John Diggle/Oliver Queen,161,/tags/John%20Diggle*s*Oliver%20Queen,r
Walter Steele,491,/tags/Walter%20Steele,c
Helena Bertinelli/Dick Grayson,41,/tags/Helena%20Bertinelli*s*Dick%20Grayson,r
