tag,count,href,category
Alex Rider,2837,/tags/Alex%20Rider,c
Jack Starbright,331,/tags/Jack%20Starbright,c
Alan Blunt,227,/tags/Alan%20Blunt,c
Tulip Jones,315,/tags/Tulip%20Jones,c
John Crawley,95,/tags/John%20Crawley,c
Alex Rider/Wolf,26,/tags/Alex%20Rider*s*Wolf,r
Ian Rider,278,/tags/Ian%20Rider,c
Yassen Gregorovich,1375,/tags/Yassen%20Gregorovich,c
Sabina Pleasure,170,/tags/Sabina%20Pleasure,c
"Ben ""Fox"" Daniels",314,/tags/Ben%20%22Fox%22%20Daniels,c
Paul Drevin,6,/tags/Paul%20Drevin,c
Yassen Gregorovich/Alex Rider,760,/tags/Yassen%20Gregorovich*s*Alex%20Rider,r
Community: flash_rider,3,/tags/Community:%20flash_rider,f
Ian Rider/Jack Starbright,0,/tags/Ian%20Rider*s*Jack%20Starbright,r
Wolf (Alex Rider),279,/tags/Wolf%20(Alex%20Rider),c
"Anthony Sean ""Ash"" Howell",37,/tags/Anthony%20Sean%20%22Ash%22%20Howell,c
Alexei Sarov,13,/tags/Alexei%20Sarov,c
Herod Sayle,11,/tags/Herod%20Sayle,c
John Rider,155,/tags/John%20Rider,c
Julia Rothman,77,/tags/Julia%20Rothman,c
Winston Yu,14,/tags/Winston%20Yu,c
Damian Cray,12,/tags/Damian%20Cray,c
Nile (Alex Rider),87,/tags/Nile%20(Alex%20Rider),c
Tanner (Alex Rider),0,/tags/Tanner%20(Alex%20Rider),c
Eagle (Alex Rider),176,/tags/Eagle%20(Alex%20Rider),c
Yassen Gregorovich/John Rider,29,/tags/Yassen%20Gregorovich*s*John%20Rider,r
"Anthony Sean ""Ash"" Howell/Ian Rider",0,/tags/Anthony%20Sean%20%22Ash%22%20Howell*s*Ian%20Rider,r
Helen Rider/John Rider,44,/tags/Helen%20Rider*s*John%20Rider,r
Helen Rider,78,/tags/Helen%20Rider,c
Snake (Alex Rider),177,/tags/Snake%20(Alex%20Rider),c
Community: alexrider100,0,/tags/Community:%20alexrider100,f
"Ben ""Fox"" Daniels/Jack Starbright",2,/tags/Ben%20%22Fox%22%20Daniels*s*Jack%20Starbright,r
Yassen Gregorovich/Alex Rider/Wolf,1,/tags/Yassen%20Gregorovich*s*Alex%20Rider*s*Wolf,r
Yassen Gregorovich & Alex Rider,414,/tags/Yassen%20Gregorovich%20*a*%20Alex%20Rider,r
James Bond/Alex Rider,4,/tags/James%20Bond*s*Alex%20Rider,r
Alex Rider/James Sprintz,6,/tags/Alex%20Rider*s*James%20Sprintz,r
James Sprintz,28,/tags/James%20Sprintz,c
Alex Rider & Wolf,67,/tags/Alex%20Rider%20*a*%20Wolf,r
Alex Rider & Snake,27,/tags/Alex%20Rider%20*a*%20Snake,r
Dr. Three (Alex Rider),63,/tags/Dr*d*%20Three%20(Alex%20Rider),c
K-Unit & Alex Rider,113,/tags/K-Unit%20*a*%20Alex%20Rider,r
Eagle & Alex Rider,19,/tags/Eagle%20*a*%20Alex%20Rider,r
"Ben ""Fox"" Daniels & Alex Rider",103,/tags/Ben%20%22Fox%22%20Daniels%20*a*%20Alex%20Rider,r
Sabina Pleasure/Alex Rider,22,/tags/Sabina%20Pleasure*s*Alex%20Rider,r
Harry Potter & Alex Rider,9,/tags/Harry%20Potter%20*a*%20Alex%20Rider,r
"Ben ""Fox"" Daniels/Alex Rider",7,/tags/Ben%20%22Fox%22%20Daniels*s*Alex%20Rider,r
Ivan Sharkovsky,1,/tags/Ivan%20Sharkovsky,c
Vladimir Sharkovsky,15,/tags/Vladimir%20Sharkovsky,c
Yassen Gregorovich/Ian Rider,70,/tags/Yassen%20Gregorovich*s*Ian%20Rider,r
Edward Pleasure,33,/tags/Edward%20Pleasure,c
Derek Smithers,115,/tags/Derek%20Smithers,c
Harry Potter/Alex Rider,7,/tags/Harry%20Potter*s*Alex%20Rider,r
Liz Pleasure,24,/tags/Liz%20Pleasure,c
Ed Shulsky,1,/tags/Ed%20Shulsky,c
Tamara Knight,6,/tags/Tamara%20Knight,c
"James ""Bucky"" Barnes/Yassen Gregorovich",1,/tags/James%20%22Bucky%22%20Barnes*s*Yassen%20Gregorovich,r
Tom Harris & Alex Rider,154,/tags/Tom%20Harris%20*a*%20Alex%20Rider,r
Tom Harris/Sabina Pleasure/Alex Rider,1,/tags/Tom%20Harris*s*Sabina%20Pleasure*s*Alex%20Rider,r
Draco Malfoy/Harry Potter/Alex Rider,0,/tags/Draco%20Malfoy*s*Harry%20Potter*s*Alex%20Rider,r
Tom Harris/Alex Rider,69,/tags/Tom%20Harris*s*Alex%20Rider,r
Tom Harris/Sabina Pleasure,2,/tags/Tom%20Harris*s*Sabina%20Pleasure,r
Alex Rider/Tamara Knight,0,/tags/Alex%20Rider*s*Tamara%20Knight,r
BAMF Alex Rider,47,/tags/BAMF%20Alex%20Rider,f
Nile/Alex Rider,6,/tags/Nile*s*Alex%20Rider,r
"Alex Rider/Gary ""Eggsy"" Unwin",2,/tags/Alex%20Rider*s*Gary%20%22Eggsy%22%20Unwin,r
Artemis Fowl II/Alex Rider,60,/tags/Artemis%20Fowl%20II*s*Alex%20Rider,r
Yassen Gregorovich & K-Unit,2,/tags/Yassen%20Gregorovich%20*a*%20K-Unit,r
Bisexual Alex Rider,5,/tags/Bisexual%20Alex%20Rider,f
Yassen Gregorovich Lives,131,/tags/Yassen%20Gregorovich%20Lives,f
Dima (Alex Rider),7,/tags/Dima%20(Alex%20Rider),c
Eagle/Tom Harris,1,/tags/Eagle*s*Tom%20Harris,r
