tag,count,href,category
Spencer Reid,25740,/tags/Spencer%20Reid,c
Emily Prentiss,14975,/tags/Emily%20Prentiss,c
Penelope Garcia,12392,/tags/Penelope%20Garcia,c
Elle Greenaway,1399,/tags/Elle%20Greenaway,c
David Rossi,10955,/tags/David%20Rossi,c
Aaron Hotchner/Emily Prentiss/David Rossi,20,/tags/Aaron%20Hotchner*s*Emily%20Prentiss*s*David%20Rossi,r
Aaron Hotchner,18963,/tags/Aaron%20Hotchner,c
Derek Morgan/Spencer Reid,5961,/tags/Derek%20Morgan*s*Spencer%20Reid,r
Anthony DiNozzo/Spencer Reid,105,/tags/Anthony%20DiNozzo*s*Spencer%20Reid,r
Aaron Hotchner/Emily Prentiss/Spencer Reid,31,/tags/Aaron%20Hotchner*s*Emily%20Prentiss*s*Spencer%20Reid,r
Penelope Garcia/Derek Morgan,611,/tags/Penelope%20Garcia*s*Derek%20Morgan,r
Nathan Harris,53,/tags/Nathan%20Harris,c
Lila Archer,67,/tags/Lila%20Archer,c
Jason Gideon,2133,/tags/Jason%20Gideon,c
Aaron Hotchner/Spencer Reid,7281,/tags/Aaron%20Hotchner*s*Spencer%20Reid,r
Derek Morgan/David Rossi,15,/tags/Derek%20Morgan*s*David%20Rossi,r
George Foyet,289,/tags/George%20Foyet,c
Aaron Hotchner/Derek Morgan,447,/tags/Aaron%20Hotchner*s*Derek%20Morgan,r
Spencer Reid/David Rossi,220,/tags/Spencer%20Reid*s*David%20Rossi,r
Emily Prentiss/David Rossi,237,/tags/Emily%20Prentiss*s*David%20Rossi,r
Jason Gideon/Aaron Hotchner,35,/tags/Jason%20Gideon*s*Aaron%20Hotchner,r
Elle Greenaway/David Rossi,1,/tags/Elle%20Greenaway*s*David%20Rossi,r
Diana Reid,707,/tags/Diana%20Reid,c
Sean Hotchner,216,/tags/Sean%20Hotchner,c
Derek Morgan/Emily Prentiss,202,/tags/Derek%20Morgan*s*Emily%20Prentiss,r
Spencer Reid/Nick Stokes,0,/tags/Spencer%20Reid*s*Nick%20Stokes,r
Aaron Hotchner/Emily Prentiss,1921,/tags/Aaron%20Hotchner*s*Emily%20Prentiss,r
Penelope Garcia/Spencer Reid,101,/tags/Penelope%20Garcia*s*Spencer%20Reid,r
Elle Greenaway/Spencer Reid,175,/tags/Elle%20Greenaway*s*Spencer%20Reid,r
Emily Prentiss/Spencer Reid,421,/tags/Emily%20Prentiss*s*Spencer%20Reid,r
Jason Gideon/Toby Ziegler,1,/tags/Jason%20Gideon*s*Toby%20Ziegler,r
Zack Addy/Spencer Reid,67,/tags/Zack%20Addy*s*Spencer%20Reid,r
Haley Hotchner,840,/tags/Haley%20Hotchner,c
Jordan Todd,131,/tags/Jordan%20Todd,c
"Jennifer ""JJ"" Jareau",13043,/tags/Jennifer%20%22JJ%22%20Jareau,c
Penelope Garcia & Derek Morgan,318,/tags/Penelope%20Garcia%20*a*%20Derek%20Morgan,r
Emily Prentiss/John Sheppard,1,/tags/Emily%20Prentiss*s*John%20Sheppard,r
Penelope Garcia/Derek Morgan/Spencer Reid,59,/tags/Penelope%20Garcia*s*Derek%20Morgan*s*Spencer%20Reid,r
John Blackwolf,33,/tags/John%20Blackwolf,c
John Blackwolf/Aaron Hotchner,18,/tags/John%20Blackwolf*s*Aaron%20Hotchner,r
Kevin Lynch/Spencer Reid,0,/tags/Kevin%20Lynch*s*Spencer%20Reid,r
Kevin Lynch,225,/tags/Kevin%20Lynch,c
Elle Greenaway/Emily Prentiss,85,/tags/Elle%20Greenaway*s*Emily%20Prentiss,r
Aaron Hotchner/Haley Hotchner,457,/tags/Aaron%20Hotchner*s*Haley%20Hotchner,r
Olivia Dunham/Emily Prentiss,6,/tags/Olivia%20Dunham*s*Emily%20Prentiss,r
Rachel Maddow/Emily Prentiss,3,/tags/Rachel%20Maddow*s*Emily%20Prentiss,r
Erin Strauss,1384,/tags/Erin%20Strauss,c
Penelope Garcia/Emily Prentiss,145,/tags/Penelope%20Garcia*s*Emily%20Prentiss,r
Ronon Dex/Aaron Hotchner,0,/tags/Ronon%20Dex*s*Aaron%20Hotchner,r
Matthew Benton,25,/tags/Matthew%20Benton,c
Spencer Reid/Spencer Smith,1,/tags/Spencer%20Reid*s*Spencer%20Smith,r
Jack Hotchner,2792,/tags/Jack%20Hotchner,c
Henry LaMontagne,1038,/tags/Henry%20LaMontagne,c
Aaron Hotchner/Derek Morgan/Spencer Reid,156,/tags/Aaron%20Hotchner*s*Derek%20Morgan*s*Spencer%20Reid,r
Aaron Hotchner/David Rossi,518,/tags/Aaron%20Hotchner*s*David%20Rossi,r
Derek Morgan/Emily Prentiss/Spencer Reid,28,/tags/Derek%20Morgan*s*Emily%20Prentiss*s*Spencer%20Reid,r
Jack Harkness/Aaron Hotchner,1,/tags/Jack%20Harkness*s*Aaron%20Hotchner,r
Penelope Garcia/Kevin Lynch,107,/tags/Penelope%20Garcia*s*Kevin%20Lynch,r
Rodney McKay/Spencer Reid/John Sheppard,0,/tags/Rodney%20McKay*s*Spencer%20Reid*s*John%20Sheppard,r
Spencer Reid/Abby Sciuto,6,/tags/Spencer%20Reid*s*Abby%20Sciuto,r
Emily Prentiss/Abby Sciuto,0,/tags/Emily%20Prentiss*s*Abby%20Sciuto,r
Elizabeth Prentiss,332,/tags/Elizabeth%20Prentiss,c
Emily Prentiss/Dean Winchester,3,/tags/Emily%20Prentiss*s*Dean%20Winchester,r
Kate Harper/Emily Prentiss,1,/tags/Kate%20Harper*s*Emily%20Prentiss,r
Emily Prentiss/Jordan Todd,34,/tags/Emily%20Prentiss*s*Jordan%20Todd,r
Tamara Barnes,6,/tags/Tamara%20Barnes,c
Emily Prentiss/Mick Rawson,9,/tags/Emily%20Prentiss*s*Mick%20Rawson,r
Spencer Reid/Jordan Todd,3,/tags/Spencer%20Reid*s*Jordan%20Todd,r
Jason Gideon/Derek Morgan,2,/tags/Jason%20Gideon*s*Derek%20Morgan,r
Olivia Dunham/Rachel Maddow/Emily Prentiss,1,/tags/Olivia%20Dunham*s*Rachel%20Maddow*s*Emily%20Prentiss,r
Penelope Garcia/Aaron Hotchner,184,/tags/Penelope%20Garcia*s*Aaron%20Hotchner,r
John Blackwolf/Aaron Hotchner/Spencer Reid,0,/tags/John%20Blackwolf*s*Aaron%20Hotchner*s*Spencer%20Reid,r
Kingsley Shacklebolt/Nymphadora Tonks,42,/tags/Kingsley%20Shacklebolt*s*Nymphadora%20Tonks,r
Vincent Perotta,12,/tags/Vincent%20Perotta,c
Roy Colson,2,/tags/Roy%20Colson,c
Zack Addy/Spencer Reid/Connor Temple,0,/tags/Zack%20Addy*s*Spencer%20Reid*s*Connor%20Temple,r
Anthony DiNozzo/Aaron Hotchner,242,/tags/Anthony%20DiNozzo*s*Aaron%20Hotchner,r
George Foyet/Emily Prentiss,4,/tags/George%20Foyet*s*Emily%20Prentiss,r
George Foyet/Haley Hotchner,2,/tags/George%20Foyet*s*Haley%20Hotchner,r
Jason Gideon/Aaron Hotchner/Spencer Reid,10,/tags/Jason%20Gideon*s*Aaron%20Hotchner*s*Spencer%20Reid,r
David Rossi/Erin Strauss,443,/tags/David%20Rossi*s*Erin%20Strauss,r
Tobias Hankel/Spencer Reid,29,/tags/Tobias%20Hankel*s*Spencer%20Reid,r
Lila Archer/Spencer Reid,42,/tags/Lila%20Archer*s*Spencer%20Reid,r
Tobias Hankel,219,/tags/Tobias%20Hankel,c
James Thomas,3,/tags/James%20Thomas,c
Jessica Brooks,437,/tags/Jessica%20Brooks,c
Jethro Gibbs/Spencer Reid,7,/tags/Jethro%20Gibbs*s*Spencer%20Reid,r
Aaron Hotchner/Carlton Lassiter,1,/tags/Aaron%20Hotchner*s*Carlton%20Lassiter,r
