tag,count,href,category
Sheldon Cooper,2298,/tags/Sheldon%20Cooper,c
Sheldon Cooper/Penny,1761,/tags/Sheldon%20Cooper*s*Penny,r
Penny (Big Bang Theory),1633,/tags/Penny%20(Big%20Bang%20Theory),c
Rajesh Koothrappali/Howard Wolowitz,146,/tags/Rajesh%20Koothrappali*s*Howard%20Wolowitz,r
Rajesh Koothrappali,788,/tags/Rajesh%20Koothrappali,c
Howard Wolowitz,719,/tags/Howard%20Wolowitz,c
Leonard Hofstadter,1181,/tags/Leonard%20Hofstadter,c
Leonard Hofstadter/Penny,300,/tags/Leonard%20Hofstadter*s*Penny,r
Beverly Hofstadter,32,/tags/Beverly%20Hofstadter,c
Community: sheldon_penny,36,/tags/Community:%20sheldon_penny,f
Sheldon Cooper/Leonard Hofstadter/Penny,16,/tags/Sheldon%20Cooper*s*Leonard%20Hofstadter*s*Penny,r
Community: paradox_drabble,1,/tags/Community:%20paradox_drabble,f
Sheldon Cooper/Rodney McKay,2,/tags/Sheldon%20Cooper*s*Rodney%20McKay,r
Missy Cooper,113,/tags/Missy%20Cooper,c
Sheldon Cooper/Leslie Winkle,6,/tags/Sheldon%20Cooper*s*Leslie%20Winkle,r
Leonard Hofstadter/Leslie Winkle,13,/tags/Leonard%20Hofstadter*s*Leslie%20Winkle,r
Leslie Winkle,71,/tags/Leslie%20Winkle,c
Rajesh Koothrappali/Penny,17,/tags/Rajesh%20Koothrappali*s*Penny,r
Sheldon Cooper/Leonard Hofstadter,313,/tags/Sheldon%20Cooper*s*Leonard%20Hofstadter,r
Penny/Leslie Winkle,10,/tags/Penny*s*Leslie%20Winkle,r
Sheldon Cooper/Eleventh Doctor,1,/tags/Sheldon%20Cooper*s*Eleventh%20Doctor,r
Wil Wheaton,52,/tags/Wil%20Wheaton,c
Community: bbt_eclectic,0,/tags/Community:%20bbt_eclectic,f
Barry Kripke,38,/tags/Barry%20Kripke,c
Penny/Wil Wheaton,2,/tags/Penny*s*Wil%20Wheaton,r
Community: bigbangbigbang,10,/tags/Community:%20bigbangbigbang,f
Eric Gablehauser,10,/tags/Eric%20Gablehauser,c
Barry Kripke/Leslie Winkle,1,/tags/Barry%20Kripke*s*Leslie%20Winkle,r
Sheldon Cooper/Amy Farrah Fowler,471,/tags/Sheldon%20Cooper*s*Amy%20Farrah%20Fowler,r
Amy Farrah Fowler,672,/tags/Amy%20Farrah%20Fowler,c
Ramona Nowitzki,4,/tags/Ramona%20Nowitzki,c
Stephanie Barnett,5,/tags/Stephanie%20Barnett,c
Sheldon Cooper/Wil Wheaton,12,/tags/Sheldon%20Cooper*s*Wil%20Wheaton,r
Leonard Hofstadter/Original Female Character,0,/tags/Leonard%20Hofstadter*s*Original%20Female%20Character,r
Kelly Kapoor/Howard Wolowitz,1,/tags/Kelly%20Kapoor*s*Howard%20Wolowitz,r
