tag,count,href,category
Community: swooping_is_bad,7,/tags/Community:%20swooping_is_bad,f
Zevran Arainai,6391,/tags/Zevran%20Arainai,c
Fergus Cousland,538,/tags/Fergus%20Cousland,c
Bryce Cousland,236,/tags/Bryce%20Cousland,c
Eleanor Cousland,214,/tags/Eleanor%20Cousland,c
Oriana Cousland,66,/tags/Oriana%20Cousland,c
Oren Cousland,68,/tags/Oren%20Cousland,c
Cailan Theirin,330,/tags/Cailan%20Theirin,c
Alistair/Zevran Arainai,394,/tags/Alistair*s*Zevran%20Arainai,r
Rendon Howe,215,/tags/Rendon%20Howe,c
Aeducan/Zevran Arainai,15,/tags/Aeducan*s*Zevran%20Arainai,r
Female Warden (Dragon Age),3194,/tags/Female%20Warden%20(Dragon%20Age),c
Anora Mac Tir,1006,/tags/Anora%20Mac%20Tir,c
Shale (Dragon Age),592,/tags/Shale%20(Dragon%20Age),c
Alistair/Female Warden (Dragon Age),2432,/tags/Alistair*s*Female%20Warden%20(Dragon%20Age),r
Morrigan (Dragon Age),4053,/tags/Morrigan%20(Dragon%20Age),c
Alistair/Anora Mac Tir,182,/tags/Alistair*s*Anora%20Mac%20Tir,r
Anora Mac Tir/Cailan Theirin,59,/tags/Anora%20Mac%20Tir*s*Cailan%20Theirin,r
Ser Cauthrien/Anora Mac Tir,21,/tags/Ser%20Cauthrien*s*Anora%20Mac%20Tir,r
Alistair (Dragon Age),8598,/tags/Alistair%20(Dragon%20Age),c
Zevran Arainai/Fergus Cousland,1,/tags/Zevran%20Arainai*s*Fergus%20Cousland,r
Male Amell/Zevran Arainai,124,/tags/Male%20Amell*s*Zevran%20Arainai,r
Male Warden (Dragon Age),892,/tags/Male%20Warden%20(Dragon%20Age),c
Amell/Zevran Arainai,41,/tags/Amell*s*Zevran%20Arainai,r
Male Amell/Zevran Arainai/Morrigan,3,/tags/Male%20Amell*s*Zevran%20Arainai*s*Morrigan,r
Zevran Arainai/Male Warden,841,/tags/Zevran%20Arainai*s*Male%20Warden,r
Zevran Arainai/Tabris,90,/tags/Zevran%20Arainai*s*Tabris,r
Zevran Arainai/Cousland,23,/tags/Zevran%20Arainai*s*Cousland,r
Zevran Arainai/Female Warden,1295,/tags/Zevran%20Arainai*s*Female%20Warden,r
Duncan (Dragon Age),815,/tags/Duncan%20(Dragon%20Age),c
Zevran Arainai/Riordan,0,/tags/Zevran%20Arainai*s*Riordan,r
Zevran Arainai/Master Ignacio,1,/tags/Zevran%20Arainai*s*Master%20Ignacio,r
Rica Brosca,131,/tags/Rica%20Brosca,c
Endrin Aeducan,32,/tags/Endrin%20Aeducan,c
Nathaniel Howe,1925,/tags/Nathaniel%20Howe,c
Alistair/Male Warden (Dragon Age),148,/tags/Alistair*s*Male%20Warden%20(Dragon%20Age),r
Leske (Dragon Age),80,/tags/Leske%20(Dragon%20Age),c
The Maker (Dragon Age),38,/tags/The%20Maker%20(Dragon%20Age),c
Zevran Arainai/Female Brosca,75,/tags/Zevran%20Arainai*s*Female%20Brosca,r
Sigrun (Dragon Age),525,/tags/Sigrun%20(Dragon%20Age),c
Cousland/Anora Mac Tir,19,/tags/Cousland*s*Anora%20Mac%20Tir,r
Zevran Arainai/Mahariel,151,/tags/Zevran%20Arainai*s*Mahariel,r
Zevran Arainai/Male Tabris,160,/tags/Zevran%20Arainai*s*Male%20Tabris,r
Community: landofferelden,4,/tags/Community:%20landofferelden,f
