tag,count,href,category
Chloe Price (Life is Strange),5101,/tags/Chloe%20Price%20(Life%20is%20Strange),c
Juliet Watson,269,/tags/Juliet%20Watson,c
Dana Ward/Juliet Watson,35,/tags/Dana%20Ward*s*Juliet%20Watson,r
Victoria Chase/Nathan Prescott,53,/tags/Victoria%20Chase*s*Nathan%20Prescott,r
Victoria Chase (Life is Strange),2161,/tags/Victoria%20Chase%20(Life%20is%20Strange),c
Rachel Amber/Chloe Price,1329,/tags/Rachel%20Amber*s*Chloe%20Price,r
Rachel Amber,2389,/tags/Rachel%20Amber,c
David Madsen,780,/tags/David%20Madsen,c
Kate Marsh,2082,/tags/Kate%20Marsh,c
Mark Jefferson,903,/tags/Mark%20Jefferson,c
Warren Graham,1267,/tags/Warren%20Graham,c
Mark Jefferson/Ray Wells,1,/tags/Mark%20Jefferson*s*Ray%20Wells,r
Dana Ward (Life is Strange),500,/tags/Dana%20Ward%20(Life%20is%20Strange),c
Brooke Scott,301,/tags/Brooke%20Scott,c
Taylor Christensen,442,/tags/Taylor%20Christensen,c
Courtney Wagner,306,/tags/Courtney%20Wagner,c
Warren Graham/Brooke Scott,48,/tags/Warren%20Graham*s*Brooke%20Scott,r
Alyssa Anderson,150,/tags/Alyssa%20Anderson,c
Ray Wells,98,/tags/Ray%20Wells,c
Frank Bowers,383,/tags/Frank%20Bowers,c
Rachel Amber/Frank Bowers,64,/tags/Rachel%20Amber*s*Frank%20Bowers,r
Joyce Price,932,/tags/Joyce%20Price,c
Stella Hill,142,/tags/Stella%20Hill,c
Nathan Prescott,873,/tags/Nathan%20Prescott,c
Alyssa Anderson/Stella Hill,3,/tags/Alyssa%20Anderson*s*Stella%20Hill,r
Richard Marsh,16,/tags/Richard%20Marsh,c
Michelle Grant,30,/tags/Michelle%20Grant,c
Alyssa Anderson/Kate Marsh,3,/tags/Alyssa%20Anderson*s*Kate%20Marsh,r
Rachel Amber/Nathan Prescott,41,/tags/Rachel%20Amber*s*Nathan%20Prescott,r
Warren Graham/Nathan Prescott,431,/tags/Warren%20Graham*s*Nathan%20Prescott,r
Victoria Chase/Taylor Christensen,40,/tags/Victoria%20Chase*s*Taylor%20Christensen,r
Rachel Amber & Chloe Price,316,/tags/Rachel%20Amber%20*a*%20Chloe%20Price,r
Lynn Marsh,31,/tags/Lynn%20Marsh,c
Daniel DaCosta,35,/tags/Daniel%20DaCosta,c
