tag,count,href,category
Cosima Niehaus,2086,/tags/Cosima%20Niehaus,c
Aldous Leekie,150,/tags/Aldous%20Leekie,c
Luke Callaghan/Allison Hendrix,1,/tags/Luke%20Callaghan*s*Allison%20Hendrix,r
Chad Norris,7,/tags/Chad%20Norris,c
Sarah Manning,1816,/tags/Sarah%20Manning,c
Helena (Orphan Black),976,/tags/Helena%20(Orphan%20Black),c
Paul Dierden,148,/tags/Paul%20Dierden,c
Felix Dawkins,558,/tags/Felix%20Dawkins,c
Alison Hendrix,735,/tags/Alison%20Hendrix,c
Delphine Cormier,1702,/tags/Delphine%20Cormier,c
Beth Childs,550,/tags/Beth%20Childs,c
Alison Hendrix/Donnie Hendrix,31,/tags/Alison%20Hendrix*s*Donnie%20Hendrix,r
Donnie Hendrix,114,/tags/Donnie%20Hendrix,c
Colin (Orphan Black),18,/tags/Colin%20(Orphan%20Black),c
Sarah Manning/Cosima Niehaus,214,/tags/Sarah%20Manning*s*Cosima%20Niehaus,r
Rachel Duncan,586,/tags/Rachel%20Duncan,c
Alison Hendrix/Chad Norris,1,/tags/Alison%20Hendrix*s*Chad%20Norris,r
Beth Childs/Alison Hendrix,244,/tags/Beth%20Childs*s*Alison%20Hendrix,r
Delphine Cormier/Cosima Niehaus,1689,/tags/Delphine%20Cormier*s*Cosima%20Niehaus,r
Delphine Cormier/Aldous Leekie,18,/tags/Delphine%20Cormier*s*Aldous%20Leekie,r
Delphine Cormier/Original Male Character(s),2,/tags/Delphine%20Cormier*s*Original%20Male%20Character(s),r
Colin/Felix Dawkins,16,/tags/Colin*s*Felix%20Dawkins,r
Paul Dierden/Gail Peck,0,/tags/Paul%20Dierden*s*Gail%20Peck,r
Helena & Sarah Manning,544,/tags/Helena%20*a*%20Sarah%20Manning,r
Beth Childs/Sarah Manning,66,/tags/Beth%20Childs*s*Sarah%20Manning,r
Helena/Sarah Manning,31,/tags/Helena*s*Sarah%20Manning,r
Paul Dierden/Sarah Manning,49,/tags/Paul%20Dierden*s*Sarah%20Manning,r
Katja Obinger,31,/tags/Katja%20Obinger,c
Art Bell,125,/tags/Art%20Bell,c
Maggie Chen,15,/tags/Maggie%20Chen,c
Evil Queen | Regina Mills/Cosima Niehaus,0,/tags/Evil%20Queen%20%7C%20Regina%20Mills*s*Cosima%20Niehaus,r
Alison Hendrix/Sarah Manning,22,/tags/Alison%20Hendrix*s*Sarah%20Manning,r
Tomas (Orphan Black),19,/tags/Tomas%20(Orphan%20Black),c
Danielle Fournier,18,/tags/Danielle%20Fournier,c
"Siobhan ""Mrs. S"" Sadler",288,/tags/Siobhan%20%22Mrs*d*%20S%22%20Sadler,c
Rachel Duncan/Sarah Manning,209,/tags/Rachel%20Duncan*s*Sarah%20Manning,r
Cosima Niehaus/Original Female Character(s),5,/tags/Cosima%20Niehaus*s*Original%20Female%20Character(s),r
Kira Manning,267,/tags/Kira%20Manning,c
Sarah Manning & Family,16,/tags/Sarah%20Manning%20*a*%20Family,r
Helena & Alison Hendrix,15,/tags/Helena%20*a*%20Alison%20Hendrix,r
Alison Hendrix & Kira Manning,2,/tags/Alison%20Hendrix%20*a*%20Kira%20Manning,r
Beth Childs/Paul Dierden,32,/tags/Beth%20Childs*s*Paul%20Dierden,r
Rachel Berry & Alison Hendrix,0,/tags/Rachel%20Berry%20*a*%20Alison%20Hendrix,r
Kira Manning & Sarah Manning,33,/tags/Kira%20Manning%20*a*%20Sarah%20Manning,r
"Sarah Manning & Siobhan ""Mrs. S"" Sadler",26,/tags/Sarah%20Manning%20*a*%20Siobhan%20%22Mrs*d*%20S%22%20Sadler,r
Helena/Cosima Niehaus,2,/tags/Helena*s*Cosima%20Niehaus,r
Art Bell & Sarah Manning,4,/tags/Art%20Bell%20*a*%20Sarah%20Manning,r
Alison Hendrix/Aynsley Norris,3,/tags/Alison%20Hendrix*s*Aynsley%20Norris,r
Alison Hendrix/Cosima Niehaus,3,/tags/Alison%20Hendrix*s*Cosima%20Niehaus,r
Beth Childs/Cosima Niehaus,6,/tags/Beth%20Childs*s*Cosima%20Niehaus,r
Sarah Manning & Cosima Niehaus,52,/tags/Sarah%20Manning%20*a*%20Cosima%20Niehaus,r
Felix Dawkins & Sarah Manning,27,/tags/Felix%20Dawkins%20*a*%20Sarah%20Manning,r
Raj Singh,4,/tags/Raj%20Singh,c
Felix Dawkins & Alison Hendrix,12,/tags/Felix%20Dawkins%20*a*%20Alison%20Hendrix,r
Amelia (Orphan Black),7,/tags/Amelia%20(Orphan%20Black),c
Aynsley Norris,14,/tags/Aynsley%20Norris,c
Delphine Cormier/Alison Hendrix,4,/tags/Delphine%20Cormier*s*Alison%20Hendrix,r
Janika Zingler,8,/tags/Janika%20Zingler,c
Aryanna Giordano,8,/tags/Aryanna%20Giordano,c
Rachel Duncan/Cosima Niehaus,18,/tags/Rachel%20Duncan*s*Cosima%20Niehaus,r
Rachel Duncan/Alison Hendrix,4,/tags/Rachel%20Duncan*s*Alison%20Hendrix,r
Delphine Cormier/Rachel Duncan,20,/tags/Delphine%20Cormier*s*Rachel%20Duncan,r
Art Bell/Sarah Manning,1,/tags/Art%20Bell*s*Sarah%20Manning,r
Beth Childs/Adam Milligan,0,/tags/Beth%20Childs*s*Adam%20Milligan,r
Felix Dawkins & Kira Manning,7,/tags/Felix%20Dawkins%20*a*%20Kira%20Manning,r
Olivier Duval,4,/tags/Olivier%20Duval,c
Anita Bowers,1,/tags/Anita%20Bowers,c
Alison Hendrix & Cosima Niehaus,15,/tags/Alison%20Hendrix%20*a*%20Cosima%20Niehaus,r
Helena & Kira Manning,10,/tags/Helena%20*a*%20Kira%20Manning,r
