tag,count,href,category
Leonardo (TMNT),19159,/tags/Leonardo%20(TMNT),c
Donatello (TMNT),18594,/tags/Donatello%20(TMNT),c
Michelangelo (TMNT),17231,/tags/Michelangelo%20(TMNT),c
Raphael (TMNT),17629,/tags/Raphael%20(TMNT),c
Michelangelo/Raphael (TMNT),443,/tags/Michelangelo*s*Raphael%20(TMNT),r
Leonardo/Raphael (TMNT),1161,/tags/Leonardo*s*Raphael%20(TMNT),r
Hamato Yoshi,187,/tags/Hamato%20Yoshi,c
Donatello/Raphael (TMNT),560,/tags/Donatello*s*Raphael%20(TMNT),r
Donatello/Michelangelo (TMNT),575,/tags/Donatello*s*Michelangelo%20(TMNT),r
Hamato Yoshi | Splinter,1699,/tags/Hamato%20Yoshi%20%7C%20Splinter,c
Oroku Saki | Shredder,694,/tags/Oroku%20Saki%20%7C%20Shredder,c
Donatello & Leonardo (TMNT),1835,/tags/Donatello%20*a*%20Leonardo%20(TMNT),r
Donatello/Casey Jones (TMNT),438,/tags/Donatello*s*Casey%20Jones%20(TMNT),r
Leonardo (TMNT)/Original Female Character(s),214,/tags/Leonardo%20(TMNT)*s*Original%20Female%20Character(s),r
Karai (TMNT),1746,/tags/Karai%20(TMNT),c
The Foot Clan (TMNT),476,/tags/The%20Foot%20Clan%20(TMNT),c
The Purple Dragons (TMNT),261,/tags/The%20Purple%20Dragons%20(TMNT),c
Splinter (TMNT),5746,/tags/Splinter%20(TMNT),c
Raphael (TMNT)/Original Female Character(s),267,/tags/Raphael%20(TMNT)*s*Original%20Female%20Character(s),r
Tang Shen,221,/tags/Tang%20Shen,c
April O'Neil (TMNT),7679,/tags/April%20O'Neil%20(TMNT),c
Donatello (TMNT)/Original Female Character(s),250,/tags/Donatello%20(TMNT)*s*Original%20Female%20Character(s),r
Leonardo & Michelangelo (TMNT),1372,/tags/Leonardo%20*a*%20Michelangelo%20(TMNT),r
Leonardo (TMNT)/Reader,725,/tags/Leonardo%20(TMNT)*s*Reader,r
Donatello (TMNT)/Leonardo (TMNT)/Michelangelo (TMNT)/Raphael (TMNT)/Reader,42,/tags/Donatello%20(TMNT)*s*Leonardo%20(TMNT)*s*Michelangelo%20(TMNT)*s*Raphael%20(TMNT)*s*Reader,r
Casey Jones (TMNT),5265,/tags/Casey%20Jones%20(TMNT),c
Michelangelo (TMNT)/Original Female Character(s),124,/tags/Michelangelo%20(TMNT)*s*Original%20Female%20Character(s),r
Michelangelo & Raphael (TMNT),864,/tags/Michelangelo%20*a*%20Raphael%20(TMNT),r
Foot Soldiers (TMNT),21,/tags/Foot%20Soldiers%20(TMNT),c
Donatello (TMNT)/Reader,744,/tags/Donatello%20(TMNT)*s*Reader,r
Donatello & Michelangelo (TMNT),1364,/tags/Donatello%20*a*%20Michelangelo%20(TMNT),r
Donatello & Raphael (TMNT),924,/tags/Donatello%20*a*%20Raphael%20(TMNT),r
Leonardo/Lotus Blossom (TMNT),22,/tags/Leonardo*s*Lotus%20Blossom%20(TMNT),r
Leonardo & Lotus Blossom (TMNT),3,/tags/Leonardo%20*a*%20Lotus%20Blossom%20(TMNT),r
Lotus Blossom & Raphael (TMNT),1,/tags/Lotus%20Blossom%20*a*%20Raphael%20(TMNT),r
Donatello & Leonardo & Michelangelo & Raphael (TMNT),3590,/tags/Donatello%20*a*%20Leonardo%20*a*%20Michelangelo%20*a*%20Raphael%20(TMNT),r
Leonardo & Mr. Murakami (TMNT),3,/tags/Leonardo%20*a*%20Mr*d*%20Murakami%20(TMNT),r
Leonardo & Pigeon Pete (TMNT),1,/tags/Leonardo%20*a*%20Pigeon%20Pete%20(TMNT),r
Karai & Raphael (TMNT),21,/tags/Karai%20*a*%20Raphael%20(TMNT),r
Donatello (TMNT)/Original Male Character(s),54,/tags/Donatello%20(TMNT)*s*Original%20Male%20Character(s),r
Michelangelo (TMNT) & Original Female Character(s),74,/tags/Michelangelo%20(TMNT)%20*a*%20Original%20Female%20Character(s),r
Donatello/Irma Langinstein,5,/tags/Donatello*s*Irma%20Langinstein,r
Michelangelo & April O'Neil (TMNT),211,/tags/Michelangelo%20*a*%20April%20O'Neil%20(TMNT),r
Agent John Bishop/Donatello (TMNT),4,/tags/Agent%20John%20Bishop*s*Donatello%20(TMNT),r
April O'Neil (TMNT)/Original Character(s),1,/tags/April%20O'Neil%20(TMNT)*s*Original%20Character(s),r
Repo Mantis (TMNT)/Reader,15,/tags/Repo%20Mantis%20(TMNT)*s*Reader,r
Repo Mantis (TMNT),105,/tags/Repo%20Mantis%20(TMNT),c
Baron Draxum (TMNT),2138,/tags/Baron%20Draxum%20(TMNT),c
Warren Stone/Reader,4,/tags/Warren%20Stone*s*Reader,r
Warren Stone,186,/tags/Warren%20Stone,c
Donatello & Casey Jones & April O'Neil (TMNT),29,/tags/Donatello%20*a*%20Casey%20Jones%20*a*%20April%20O'Neil%20(TMNT),r
Donatello/Casey Jones/April O'Neil (TMNT),91,/tags/Donatello*s*Casey%20Jones*s*April%20O'Neil%20(TMNT),r
Leonardo (TMNT)/Raphael (TMNT)/Original Female Character(s),4,/tags/Leonardo%20(TMNT)*s*Raphael%20(TMNT)*s*Original%20Female%20Character(s),r
Raphael & Spike | Slash (TMNT),21,/tags/Raphael%20*a*%20Spike%20%7C%20Slash%20(TMNT),r
Donatello/Venus de Milo (TMNT),1,/tags/Donatello*s*Venus%20de%20Milo%20(TMNT),r
Michelangelo/Michelangelo/Raphael (TMNT),0,/tags/Michelangelo*s*Michelangelo*s*Raphael%20(TMNT),r
Donatello (TMNT)/Leo Dooley,1,/tags/Donatello%20(TMNT)*s*Leo%20Dooley,r
Donatello & Mutagen Man (TMNT),0,/tags/Donatello%20*a*%20Mutagen%20Man%20(TMNT),r
Donatello/Mutagen Man (TMNT),0,/tags/Donatello*s*Mutagen%20Man%20(TMNT),r
Donatello (TMNT)/Michelangelo (TMNT)/Original Character(s),1,/tags/Donatello%20(TMNT)*s*Michelangelo%20(TMNT)*s*Original%20Character(s),r
Donatello & Shadow Jones,3,/tags/Donatello%20*a*%20Shadow%20Jones,r
Agent John Bishop/Donatello/Leonardo/Michelangelo/Raphael (TMNT),1,/tags/Agent%20John%20Bishop*s*Donatello*s*Leonardo*s*Michelangelo*s*Raphael%20(TMNT),r
