tag,count,href,category
Majima Goro,3260,/tags/Majima%20Goro,c
Akiyama Shun,356,/tags/Akiyama%20Shun,c
Saejima Taiga (Yakuza),527,/tags/Saejima%20Taiga%20(Yakuza),c
Shimano Futoshi,175,/tags/Shimano%20Futoshi,c
Kiryu Kazuma/Majima Goro,1619,/tags/Kiryu%20Kazuma*s*Majima%20Goro,r
Kiryu Kazuma,3087,/tags/Kiryu%20Kazuma,c
Tachibana Tetsu,287,/tags/Tachibana%20Tetsu,c
Majima Goro/Nishitani Homare,177,/tags/Majima%20Goro*s*Nishitani%20Homare,r
Majima Goro/Sagawa Tsukasa,136,/tags/Majima%20Goro*s*Sagawa%20Tsukasa,r
Nishitani Homare,326,/tags/Nishitani%20Homare,c
Sagawa Tsukasa,305,/tags/Sagawa%20Tsukasa,c
Mine Yoshitaka,326,/tags/Mine%20Yoshitaka,c
Kuze Daisaku,42,/tags/Kuze%20Daisaku,c
Kiryu Kazuma/Shimabukuro Rikiya,26,/tags/Kiryu%20Kazuma*s*Shimabukuro%20Rikiya,r
Shimabukuro Rikiya,50,/tags/Shimabukuro%20Rikiya,c
Nishikiyama Akira,919,/tags/Nishikiyama%20Akira,c
Saejima Yasuko,94,/tags/Saejima%20Yasuko,c
Shinada Tatsuo,147,/tags/Shinada%20Tatsuo,c
Dojima Daigo,685,/tags/Dojima%20Daigo,c
Sawamura Haruka,509,/tags/Sawamura%20Haruka,c
Baba Shigeki,54,/tags/Baba%20Shigeki,c
Oda Jun,184,/tags/Oda%20Jun,c
Tanimura Masayoshi,86,/tags/Tanimura%20Masayoshi,c
Sugiuchi Junji,3,/tags/Sugiuchi%20Junji,c
Kiryu Kazuma/Nishikiyama Akira,429,/tags/Kiryu%20Kazuma*s*Nishikiyama%20Akira,r
Sawamura Yumi,114,/tags/Sawamura%20Yumi,c
Kashiwagi Osamu,260,/tags/Kashiwagi%20Osamu,c
Akiyama Shun/Hana,28,/tags/Akiyama%20Shun*s*Hana,r
Ryuu ga Gotoku | Yakuza 4 (Video Game),23,/tags/Ryuu%20ga%20Gotoku%20%7C%20Yakuza%204%20(Video%20Game),f
Ryuu ga Gotoku | Yakuza 0 (Video Game),185,/tags/Ryuu%20ga%20Gotoku%20%7C%20Yakuza%200%20(Video%20Game),f
Ryuu ga Gotoku | Yakuza 3 (Video Game),54,/tags/Ryuu%20ga%20Gotoku%20%7C%20Yakuza%203%20(Video%20Game),f
Ryuu ga Gotoku | Yakuza 1 (Video Game),94,/tags/Ryuu%20ga%20Gotoku%20%7C%20Yakuza%201%20(Video%20Game),f
Ryuu ga Gotoku | Yakuza 2 (Video Game),40,/tags/Ryuu%20ga%20Gotoku%20%7C%20Yakuza%202%20(Video%20Game),f
Majima Goro/Makimura Makoto,269,/tags/Majima%20Goro*s*Makimura%20Makoto,r
Majima Goro/Yuki,13,/tags/Majima%20Goro*s*Yuki,r
Majima Goro/Mana,1,/tags/Majima%20Goro*s*Mana,r
Makimura Makoto,370,/tags/Makimura%20Makoto,c
Post-Ryuu ga Gotoku | Yakuza 0 (Video Game),112,/tags/Post-Ryuu%20ga%20Gotoku%20%7C%20Yakuza%200%20(Video%20Game),f
Miracle Johnson,1,/tags/Miracle%20Johnson,c
Areshi (Yakuza),0,/tags/Areshi%20(Yakuza),c
Awano Hiroki | Daiki,32,/tags/Awano%20Hiroki%20%7C%20Daiki,c
Minami Daisaku,107,/tags/Minami%20Daisaku,c
Goda Ryuji/Kiryu Kazuma,18,/tags/Goda%20Ryuji*s*Kiryu%20Kazuma,r
Nishitani Homare/Sagawa Tsukasa,35,/tags/Nishitani%20Homare*s*Sagawa%20Tsukasa,r
Kamiya Dolce,0,/tags/Kamiya%20Dolce,c
Youda (Yakuza),33,/tags/Youda%20(Yakuza),c
Date Makoto,147,/tags/Date%20Makoto,c
Akiyama Shun/Kido Takeshi,3,/tags/Akiyama%20Shun*s*Kido%20Takeshi,r
Dojima Daigo/Majima Goro,41,/tags/Dojima%20Daigo*s*Majima%20Goro,r
Kiryu Kazuma/Marina,1,/tags/Kiryu%20Kazuma*s*Marina,r
Rina (Yakuza),18,/tags/Rina%20(Yakuza),c
Sayama Kaoru,81,/tags/Sayama%20Kaoru,c
Nishikiyama Akira/Reader,30,/tags/Nishikiyama%20Akira*s*Reader,r
Kiryu Kazuma/Sayama Kaoru,39,/tags/Kiryu%20Kazuma*s*Sayama%20Kaoru,r
Akiyama Shun/Reader,13,/tags/Akiyama%20Shun*s*Reader,r
Miss Tatsu (Yakuza),8,/tags/Miss%20Tatsu%20(Yakuza),c
Hibiki (Yakuza),16,/tags/Hibiki%20(Yakuza),c
Ai (Yakuza),38,/tags/Ai%20(Yakuza),c
Etsuko (Yakuza),10,/tags/Etsuko%20(Yakuza),c
Saki (Yakuza),20,/tags/Saki%20(Yakuza),c
Chika (Yakuza),15,/tags/Chika%20(Yakuza),c
Mana (Yakuza),14,/tags/Mana%20(Yakuza),c
Shinada Tatsuo/Other(s),2,/tags/Shinada%20Tatsuo*s*Other(s),r
Someya Takumi,29,/tags/Someya%20Takumi,c
Aragaki Mikio,14,/tags/Aragaki%20Mikio,c
Kazama Shintaro | Fuma,144,/tags/Kazama%20Shintaro%20%7C%20Fuma,c
Dojima Sohei,51,/tags/Dojima%20Sohei,c
Dojima Daigo/Goda Ryuji,113,/tags/Dojima%20Daigo*s*Goda%20Ryuji,r
Dojima Daigo/Mine Yoshitaka,251,/tags/Dojima%20Daigo*s*Mine%20Yoshitaka,r
Akiyama Shun/Majima Goro/Saejima Taiga,1,/tags/Akiyama%20Shun*s*Majima%20Goro*s*Saejima%20Taiga,r
Kiryu Kazuma/Majima Goro/Nishikiyama Akira,16,/tags/Kiryu%20Kazuma*s*Majima%20Goro*s*Nishikiyama%20Akira,r
Majima Goro/Majima Goro,4,/tags/Majima%20Goro*s*Majima%20Goro,r
Majima Goro/Undisclosed,0,/tags/Majima%20Goro*s*Undisclosed,r
Majima Goro/Shimano Futoshi,9,/tags/Majima%20Goro*s*Shimano%20Futoshi,r
Majima Goro/Other(s),2,/tags/Majima%20Goro*s*Other(s),r
Majima Goro/Park Mirei,9,/tags/Majima%20Goro*s*Park%20Mirei,r
Sato Yuki (Yakuza),3,/tags/Sato%20Yuki%20(Yakuza),c
Amon Noa,2,/tags/Amon%20Noa,c
Mack Shinozuka,1,/tags/Mack%20Shinozuka,c
Kazuki (Yakuza),19,/tags/Kazuki%20(Yakuza),c
Yuya (Yakuza),21,/tags/Yuya%20(Yakuza),c
Il Yu Jin (Yakuza),1,/tags/Il%20Yu%20Jin%20(Yakuza),c
Kiryu Kazuma/Someya Takumi,12,/tags/Kiryu%20Kazuma*s*Someya%20Takumi,r
Usami Yuta,26,/tags/Usami%20Yuta,c
Nagumo Tsuyoshi,8,/tags/Nagumo%20Tsuyoshi,c
Sagawa Tsukasa/Reader,9,/tags/Sagawa%20Tsukasa*s*Reader,r
Akiyama Shun/Dojima Daigo,1,/tags/Akiyama%20Shun*s*Dojima%20Daigo,r
