tag,count,href,category
Lucina (Fire Emblem),2925,/tags/Lucina%20(Fire%20Emblem),c
Liz | Lissa,1579,/tags/Liz%20%7C%20Lissa,c
Chrom (Fire Emblem),3685,/tags/Chrom%20(Fire%20Emblem),c
Sumia (Fire Emblem),847,/tags/Sumia%20(Fire%20Emblem),c
Velvet | Panne,248,/tags/Velvet%20%7C%20Panne,c
Serena | Severa,1193,/tags/Serena%20%7C%20Severa,c
Tiamo | Cordelia,875,/tags/Tiamo%20%7C%20Cordelia,c
Chrom/Tiamo | Cordelia,42,/tags/Chrom*s*Tiamo%20%7C%20Cordelia,r
Henry (Fire Emblem),701,/tags/Henry%20(Fire%20Emblem),c
Miriel (Fire Emblem),297,/tags/Miriel%20(Fire%20Emblem),c
Callum | Kellam,153,/tags/Callum%20%7C%20Kellam,c
Henry/Miriel (Fire Emblem),10,/tags/Henry*s*Miriel%20(Fire%20Emblem),r
Emerina | Emmeryn,499,/tags/Emerina%20%7C%20Emmeryn,c
Sumia/Tiamo | Cordelia,114,/tags/Sumia*s*Tiamo%20%7C%20Cordelia,r
Riviera | Libra,392,/tags/Riviera%20%7C%20Libra,c
Guire | Gaius,639,/tags/Guire%20%7C%20Gaius,c
Marc | Morgan,1080,/tags/Marc%20%7C%20Morgan,c
Fauder | Validar,218,/tags/Fauder%20%7C%20Validar,c
Gimurei | Grima,1005,/tags/Gimurei%20%7C%20Grima,c
Azur | Inigo,1147,/tags/Azur%20%7C%20Inigo,c
Azur | Inigo/Lucina,63,/tags/Azur%20%7C%20Inigo*s*Lucina,r
Maribelle (Fire Emblem),723,/tags/Maribelle%20(Fire%20Emblem),c
Olivia (Fire Emblem),777,/tags/Olivia%20(Fire%20Emblem),c
Henry & Serena | Severa,1,/tags/Henry%20*a*%20Serena%20%7C%20Severa,r
Henry/Tiamo | Cordelia,6,/tags/Henry*s*Tiamo%20%7C%20Cordelia,r
Serge | Cherche,356,/tags/Serge%20%7C%20Cherche,c
Denis | Donnel,156,/tags/Denis%20%7C%20Donnel,c
Gerome (Fire Emblem),511,/tags/Gerome%20(Fire%20Emblem),c
Degel | Kjelle,313,/tags/Degel%20%7C%20Kjelle,c
Nn | Nah,294,/tags/Nn%20%7C%20Nah,c
Noire (Fire Emblem),459,/tags/Noire%20(Fire%20Emblem),c
Nono | Nowi,297,/tags/Nono%20%7C%20Nowi,c
Eudes | Owain,1007,/tags/Eudes%20%7C%20Owain,c
Licht | Ricken,236,/tags/Licht%20%7C%20Ricken,c
Sort | Stahl,361,/tags/Sort%20%7C%20Stahl,c
Sallya | Tharja,881,/tags/Sallya%20%7C%20Tharja,c
Wyck | Vaike,280,/tags/Wyck%20%7C%20Vaike,c
Viaur | Virion,296,/tags/Viaur%20%7C%20Virion,c
Chambray | Yarne,248,/tags/Chambray%20%7C%20Yarne,c
Cynthia (Fire Emblem),578,/tags/Cynthia%20(Fire%20Emblem),c
Cynthia/Gerome (Fire Emblem),24,/tags/Cynthia*s*Gerome%20(Fire%20Emblem),r
Henry/Olivia (Fire Emblem),83,/tags/Henry*s*Olivia%20(Fire%20Emblem),r
Gregor (Fire Emblem),185,/tags/Gregor%20(Fire%20Emblem),c
Soiree | Sully,408,/tags/Soiree%20%7C%20Sully,c
Frederick (Fire Emblem),1285,/tags/Frederick%20(Fire%20Emblem),c
Brady (Fire Emblem),433,/tags/Brady%20(Fire%20Emblem),c
Say'ri (Fire Emblem),171,/tags/Say'ri%20(Fire%20Emblem),c
Inverse | Aversa,253,/tags/Inverse%20%7C%20Aversa,c
Cheine | Xane,38,/tags/Cheine%20%7C%20Xane,c
Gangrel (Fire Emblem),201,/tags/Gangrel%20(Fire%20Emblem),c
Fire Emblem: Kakusei | Fire Emblem: Awakening Ensemble,38,/tags/Fire%20Emblem:%20Kakusei%20%7C%20Fire%20Emblem:%20Awakening%20Ensemble,c
Philein | Phila,97,/tags/Philein%20%7C%20Phila,c
Lenha | Yen'fay,56,/tags/Lenha%20%7C%20Yen'fay,c
Paris | Priam,96,/tags/Paris%20%7C%20Priam,c
Ragnell (Fire Emblem),1,/tags/Ragnell%20(Fire%20Emblem),c
Basilio (Fire Emblem),164,/tags/Basilio%20(Fire%20Emblem),c
Flavia (Fire Emblem),141,/tags/Flavia%20(Fire%20Emblem),c
Hope Estheim/Lucina (Fire Emblem),0,/tags/Hope%20Estheim*s*Lucina%20(Fire%20Emblem),r
Exceli | Excellus,16,/tags/Exceli%20%7C%20Excellus,c
Frederick/Henry (Fire Emblem),5,/tags/Frederick*s*Henry%20(Fire%20Emblem),r
Fels | Pheros,12,/tags/Fels%20%7C%20Pheros,c
Chrom (Fire Emblem)/Original Character(s),1,/tags/Chrom%20(Fire%20Emblem)*s*Original%20Character(s),r
Lucina (Fire Emblem)/Original Character(s),3,/tags/Lucina%20(Fire%20Emblem)*s*Original%20Character(s),r
Chrom (Fire Emblem)/Higurashi Kagome,0,/tags/Chrom%20(Fire%20Emblem)*s*Higurashi%20Kagome,r
Chiki | Tiki,594,/tags/Chiki%20%7C%20Tiki,c
Cervantes (Fire Emblem),4,/tags/Cervantes%20(Fire%20Emblem),c
Denis | Donnel/Original Character(s),1,/tags/Denis%20%7C%20Donnel*s*Original%20Character(s),r
Chrom/Denis | Donnel,1,/tags/Chrom*s*Denis%20%7C%20Donnel,r
Chrom (Fire Emblem)/Cia (Legend of Zelda),0,/tags/Chrom%20(Fire%20Emblem)*s*Cia%20(Legend%20of%20Zelda),r
Lon'qu (Fire Emblem),446,/tags/Lon'qu%20(Fire%20Emblem),c
Aglio | Orton,1,/tags/Aglio%20%7C%20Orton,c
Musis | Mustafa,19,/tags/Musis%20%7C%20Mustafa,c
Raimi (Fire Emblem),11,/tags/Raimi%20(Fire%20Emblem),c
Chambray | Yarne/Original Character(s),0,/tags/Chambray%20%7C%20Yarne*s*Original%20Character(s),r
Dark Pit (Kid Icarus)/Lucina (Fire Emblem)/Reyn (Xenoblade Chronicles),8,/tags/Dark%20Pit%20(Kid%20Icarus)*s*Lucina%20(Fire%20Emblem)*s*Reyn%20(Xenoblade%20Chronicles),r
Cia (Legend of Zelda)/Lucina (Fire Emblem),3,/tags/Cia%20(Legend%20of%20Zelda)*s*Lucina%20(Fire%20Emblem),r
