tag,count,href,category
Machete Cortez,10,/tags/Machete%20Cortez,c
Franklin Clinton,710,/tags/Franklin%20Clinton,c
Michael De Santa,1519,/tags/Michael%20De%20Santa,c
Trevor Philips,1638,/tags/Trevor%20Philips,c
Tracey De Santa,372,/tags/Tracey%20De%20Santa,c
Mrs. Philips (Grand Theft Auto),27,/tags/Mrs*d*%20Philips%20(Grand%20Theft%20Auto),c
Wade Hebert,194,/tags/Wade%20Hebert,c
Ron Jakowski,207,/tags/Ron%20Jakowski,c
Wade Hebert/Trevor Philips,30,/tags/Wade%20Hebert*s*Trevor%20Philips,r
Amanda De Santa,545,/tags/Amanda%20De%20Santa,c
Chop (Grand Theft Auto),48,/tags/Chop%20(Grand%20Theft%20Auto),c
Michael De Santa/Trevor Philips,952,/tags/Michael%20De%20Santa*s*Trevor%20Philips,r
Amanda De Santa/Michael De Santa,344,/tags/Amanda%20De%20Santa*s*Michael%20De%20Santa,r
Patricia Madrazo,61,/tags/Patricia%20Madrazo,c
Michael De Santa & Trevor Philips,180,/tags/Michael%20De%20Santa%20*a*%20Trevor%20Philips,r
Wade Hebert & Ron Jakowski & Trevor Philips,0,/tags/Wade%20Hebert%20*a*%20Ron%20Jakowski%20*a*%20Trevor%20Philips,r
Jimmy De Santa,320,/tags/Jimmy%20De%20Santa,c
Franklin Clinton/Michael De Santa,17,/tags/Franklin%20Clinton*s*Michael%20De%20Santa,r
Michael De Santa & Ron Jakowski,1,/tags/Michael%20De%20Santa%20*a*%20Ron%20Jakowski,r
Ron Jakowski & Trevor Philips,3,/tags/Ron%20Jakowski%20*a*%20Trevor%20Philips,r
Dave Norton,103,/tags/Dave%20Norton,c
Ending C: The Third Way,41,/tags/Ending%20C:%20The%20Third%20Way,f
Amanda De Santa/Michael De Santa/Trevor Philips,15,/tags/Amanda%20De%20Santa*s*Michael%20De%20Santa*s*Trevor%20Philips,r
Grand Theft Auto Online,35,/tags/Grand%20Theft%20Auto%20Online,f
Trevor Philips/Original Female Character(s),236,/tags/Trevor%20Philips*s*Original%20Female%20Character(s),r
Lamar Davis,370,/tags/Lamar%20Davis,c
Lester Crest,266,/tags/Lester%20Crest,c
Brad Snider,96,/tags/Brad%20Snider,c
Michael De Santa/You,42,/tags/Michael%20De%20Santa*s*You,r
Michael De Santa/Reader,38,/tags/Michael%20De%20Santa*s*Reader,r
Floyd Hebert,37,/tags/Floyd%20Hebert,c
Michael De Santa/Other(s),4,/tags/Michael%20De%20Santa*s*Other(s),r
Denise Clinton,9,/tags/Denise%20Clinton,c
Lazlow Jones,10,/tags/Lazlow%20Jones,c
Tracey De Santa/Lazlow Jones,0,/tags/Tracey%20De%20Santa*s*Lazlow%20Jones,r
Patricia Madrazo/Trevor Philips,28,/tags/Patricia%20Madrazo*s*Trevor%20Philips,r
Franklin Clinton/Tracey De Santa,38,/tags/Franklin%20Clinton*s*Tracey%20De%20Santa,r
Packie McReary,93,/tags/Packie%20McReary,c
Tracey De Santa/Trevor Philips,3,/tags/Tracey%20De%20Santa*s*Trevor%20Philips,r
Michael De Santa/Tracey De Santa,3,/tags/Michael%20De%20Santa*s*Tracey%20De%20Santa,r
U.L. Paper,0,/tags/U*d*L*d*%20Paper,c
North Yankton,47,/tags/North%20Yankton,f
Franklin Clinton/Trevor Philips,9,/tags/Franklin%20Clinton*s*Trevor%20Philips,r
Mr. Raspberry Jam,3,/tags/Mr*d*%20Raspberry%20Jam,c
Trevor Philips/Mr. Raspberry Jam,3,/tags/Trevor%20Philips*s*Mr*d*%20Raspberry%20Jam,r
Trevor Philips/Original Male Character(s),17,/tags/Trevor%20Philips*s*Original%20Male%20Character(s),r
Franklin Clinton/Lamar Davis,134,/tags/Franklin%20Clinton*s*Lamar%20Davis,r
Tanisha Jackson,35,/tags/Tanisha%20Jackson,c
Franklin Clinton & Michael De Santa,23,/tags/Franklin%20Clinton%20*a*%20Michael%20De%20Santa,r
Franklin Clinton/Jimmy De Santa,5,/tags/Franklin%20Clinton*s*Jimmy%20De%20Santa,r
Trevor Philips/Reader,207,/tags/Trevor%20Philips*s*Reader,r
Trevor Philips/You,160,/tags/Trevor%20Philips*s*You,r
Grand Senora Desert,1,/tags/Grand%20Senora%20Desert,f
Wade Hebert/Ron Jakowski,2,/tags/Wade%20Hebert*s*Ron%20Jakowski,r
Los Santos,103,/tags/Los%20Santos,f
Liberty City,5,/tags/Liberty%20City,f
Franklin Clinton/Original Female Character(s),17,/tags/Franklin%20Clinton*s*Original%20Female%20Character(s),r
Wade Hebert/Original Male Character(s),1,/tags/Wade%20Hebert*s*Original%20Male%20Character(s),r
Wade Hebert/Ron Jakowski/Trevor Philips,1,/tags/Wade%20Hebert*s*Ron%20Jakowski*s*Trevor%20Philips,r
Floyd Hebert/Trevor Philips,4,/tags/Floyd%20Hebert*s*Trevor%20Philips,r
Michael De Santa/Dave Norton,12,/tags/Michael%20De%20Santa*s*Dave%20Norton,r
Steve Haines,78,/tags/Steve%20Haines,c
Devin Weston,63,/tags/Devin%20Weston,c
Trevor Philips & Original Female Character(s),54,/tags/Trevor%20Philips%20*a*%20Original%20Female%20Character(s),r
Amanda De Santa/Original Male Character(s),3,/tags/Amanda%20De%20Santa*s*Original%20Male%20Character(s),r
San Andreas,6,/tags/San%20Andreas,f
Michael De Santa/Original Female Character(s),81,/tags/Michael%20De%20Santa*s*Original%20Female%20Character(s),r
Ludendorff,5,/tags/Ludendorff,f
Michael De Santa/Original Character(s),17,/tags/Michael%20De%20Santa*s*Original%20Character(s),r
Chef (Grand Theft Auto)/Reader,1,/tags/Chef%20(Grand%20Theft%20Auto)*s*Reader,r
Chef (Grand Theft Auto),33,/tags/Chef%20(Grand%20Theft%20Auto),c
Isiah Friedlander,12,/tags/Isiah%20Friedlander,c
Franklin Clinton/Ursula,1,/tags/Franklin%20Clinton*s*Ursula,r
Lamar Davis/Wade Hebert,0,/tags/Lamar%20Davis*s*Wade%20Hebert,r
Ursula (Grand Theft Auto),12,/tags/Ursula%20(Grand%20Theft%20Auto),c
Lester Crest & Michael De Santa,0,/tags/Lester%20Crest%20*a*%20Michael%20De%20Santa,r
Dave Norton/Reader,1,/tags/Dave%20Norton*s*Reader,r
Rickie Lukens,1,/tags/Rickie%20Lukens,c
Trevor Philips/Original Character(s),41,/tags/Trevor%20Philips*s*Original%20Character(s),r
Dave Norton/Original Female Character(s),0,/tags/Dave%20Norton*s*Original%20Female%20Character(s),r
Michael De Santa/Molly Schultz,4,/tags/Michael%20De%20Santa*s*Molly%20Schultz,r
Franklin Clinton/Amanda De Santa,3,/tags/Franklin%20Clinton*s*Amanda%20De%20Santa,r
Molly Schultz,22,/tags/Molly%20Schultz,c
Mary-Ann Quinn,10,/tags/Mary-Ann%20Quinn,c
Tracey De Santa/Mary-Ann Quinn,1,/tags/Tracey%20De%20Santa*s*Mary-Ann%20Quinn,r
Chef/Tracey De Santa,1,/tags/Chef*s*Tracey%20De%20Santa,r
Jimmy De Santa/Original Female Character(s),2,/tags/Jimmy%20De%20Santa*s*Original%20Female%20Character(s),r
Michael De Santa/Wade Hebert,2,/tags/Michael%20De%20Santa*s*Wade%20Hebert,r
