tag,count,href,category
Alina Starkov,6939,/tags/Alina%20Starkov,c
Mal Oretsev,2285,/tags/Mal%20Oretsev,c
Mal Oretsev/Alina Starkov,884,/tags/Mal%20Oretsev*s*Alina%20Starkov,r
Nikolai Lantsov,2669,/tags/Nikolai%20Lantsov,c
Genya Safin,2599,/tags/Genya%20Safin,c
Ivan (The Grisha Trilogy),1564,/tags/Ivan%20(The%20Grisha%20Trilogy),c
Baghra (The Grisha Trilogy),887,/tags/Baghra%20(The%20Grisha%20Trilogy),c
David Kostyk,1095,/tags/David%20Kostyk,c
Marie (The Grisha Trilogy),239,/tags/Marie%20(The%20Grisha%20Trilogy),c
Genya Safin/Alina Starkov,177,/tags/Genya%20Safin*s*Alina%20Starkov,r
Zoya Nazyalensky/Alina Starkov,177,/tags/Zoya%20Nazyalensky*s*Alina%20Starkov,r
Zoya Nazyalensky,2609,/tags/Zoya%20Nazyalensky,c
Jesper Fahey,5940,/tags/Jesper%20Fahey,c
Wylan Van Eck,4868,/tags/Wylan%20Van%20Eck,c
Kaz Brekker,7244,/tags/Kaz%20Brekker,c
Inej Ghafa,6356,/tags/Inej%20Ghafa,c
Matthias Helvar,2831,/tags/Matthias%20Helvar,c
Pekka Rollins,388,/tags/Pekka%20Rollins,c
Nina Zenik,3970,/tags/Nina%20Zenik,c
Tamar Kir-Bataar,638,/tags/Tamar%20Kir-Bataar,c
Tolya Yul-Bataar,597,/tags/Tolya%20Yul-Bataar,c
Ana Kuya,118,/tags/Ana%20Kuya,c
David Kostyk/Genya Safin,561,/tags/David%20Kostyk*s*Genya%20Safin,r
The Apparat (The Grisha Trilogy),122,/tags/The%20Apparat%20(The%20Grisha%20Trilogy),c
Nina Zenik/Other(s),0,/tags/Nina%20Zenik*s*Other(s),r
Nikolai Lantsov/Zoya Nazyalensky/Alina Starkov,6,/tags/Nikolai%20Lantsov*s*Zoya%20Nazyalensky*s*Alina%20Starkov,r
Fedyor Kaminsky,1204,/tags/Fedyor%20Kaminsky,c
Aditi Hilli,53,/tags/Aditi%20Hilli,c
Alina Starkov/Original Character(s),14,/tags/Alina%20Starkov*s*Original%20Character(s),r
Adrik Zhabin,106,/tags/Adrik%20Zhabin,c
Nadia Zhabin,431,/tags/Nadia%20Zhabin,c
The Darkling | Aleksander Morozova,6349,/tags/The%20Darkling%20%7C%20Aleksander%20Morozova,c
The Darkling | Aleksander Morozova/Alina Starkov,8388,/tags/The%20Darkling%20%7C%20Aleksander%20Morozova*s*Alina%20Starkov,r
The Darkling | Aleksander Morozova/Mal Oretsev,57,/tags/The%20Darkling%20%7C%20Aleksander%20Morozova*s*Mal%20Oretsev,r
The Darkling | Aleksander Morozova/Zoya Nazyalensky,66,/tags/The%20Darkling%20%7C%20Aleksander%20Morozova*s*Zoya%20Nazyalensky,r
Baghra & The Darkling | Aleksander Morozova,60,/tags/Baghra%20*a*%20The%20Darkling%20%7C%20Aleksander%20Morozova,r
Kaz Brekker/Jesper Fahey/Inej Ghafa,77,/tags/Kaz%20Brekker*s*Jesper%20Fahey*s*Inej%20Ghafa,r
Inej Ghafa/Aravis Tarkheena,0,/tags/Inej%20Ghafa*s*Aravis%20Tarkheena,r
Tante Heleen (Six of Crows),164,/tags/Tante%20Heleen%20(Six%20of%20Crows),c
Jesper Fahey & Alina Starkov,3,/tags/Jesper%20Fahey%20*a*%20Alina%20Starkov,r
The Darkling | Aleksander Morozova/Nikolai Lantsov/Zoya Nazyalensky,8,/tags/The%20Darkling%20%7C%20Aleksander%20Morozova*s*Nikolai%20Lantsov*s*Zoya%20Nazyalensky,r
The Darkling | Aleksander Morozova/Mal Oretsev/Alina Starkov,63,/tags/The%20Darkling%20%7C%20Aleksander%20Morozova*s*Mal%20Oretsev*s*Alina%20Starkov,r
Zoya Nazyalensky & Mal Oretsev,15,/tags/Zoya%20Nazyalensky%20*a*%20Mal%20Oretsev,r
Zoya Nazyalensky/Nina Zenik,2,/tags/Zoya%20Nazyalensky*s*Nina%20Zenik,r
Kaz Brekker & Marya Hendriks,5,/tags/Kaz%20Brekker%20*a*%20Marya%20Hendriks,r
Kaz Brekker/Pekka Rollins,6,/tags/Kaz%20Brekker*s*Pekka%20Rollins,r
Kaz Brekker/Other(s),0,/tags/Kaz%20Brekker*s*Other(s),r
Inej Ghafa/Other(s),0,/tags/Inej%20Ghafa*s*Other(s),r
Jesper Fahey/Other(s),2,/tags/Jesper%20Fahey*s*Other(s),r
Matthias Helvar/Other(s),0,/tags/Matthias%20Helvar*s*Other(s),r
Anika/Nina Zenik,0,/tags/Anika*s*Nina%20Zenik,r
Anika & Nina Zenik,0,/tags/Anika%20*a*%20Nina%20Zenik,r
David Kostyk & Zoya Nazyalensky,2,/tags/David%20Kostyk%20*a*%20Zoya%20Nazyalensky,r
David Kostyk & Nikolai Lantsov,8,/tags/David%20Kostyk%20*a*%20Nikolai%20Lantsov,r
Genya Safin & Wylan Van Eck,6,/tags/Genya%20Safin%20*a*%20Wylan%20Van%20Eck,r
David Kostyk & Wylan Van Eck,4,/tags/David%20Kostyk%20*a*%20Wylan%20Van%20Eck,r
Inej Ghafa & Jan Van Eck,1,/tags/Inej%20Ghafa%20*a*%20Jan%20Van%20Eck,r
Inej Ghafa/Original Female Character(s),10,/tags/Inej%20Ghafa*s*Original%20Female%20Character(s),r
Jesper Fahey & Original Female Character(s),7,/tags/Jesper%20Fahey%20*a*%20Original%20Female%20Character(s),r
Kaz Brekker/The Darkling | Aleksander Morozova,57,/tags/Kaz%20Brekker*s*The%20Darkling%20%7C%20Aleksander%20Morozova,r
Jesper Fahey & Milo the Goat,16,/tags/Jesper%20Fahey%20*a*%20Milo%20the%20Goat,r
Ivan/Fedyor Kaminsky,675,/tags/Ivan*s*Fedyor%20Kaminsky,r
General Kirigan/Alina Starkov,388,/tags/General%20Kirigan*s*Alina%20Starkov,r
Inej Ghafa/Alina Starkov,34,/tags/Inej%20Ghafa*s*Alina%20Starkov,r
Kaz Brekker/Wylan Van Eck,63,/tags/Kaz%20Brekker*s*Wylan%20Van%20Eck,r
Kaz Brekker/Alina Starkov,10,/tags/Kaz%20Brekker*s*Alina%20Starkov,r
The Darkling | Aleksander Morozova/Inej Ghafa,19,/tags/The%20Darkling%20%7C%20Aleksander%20Morozova*s*Inej%20Ghafa,r
The Darkling | Aleksander Morozova & Other(s),1,/tags/The%20Darkling%20%7C%20Aleksander%20Morozova%20*a*%20Other(s),r
Fedyor Kaminsky & Zoya Nazyalensky,7,/tags/Fedyor%20Kaminsky%20*a*%20Zoya%20Nazyalensky,r
Billy Russo/Alina Starkov,13,/tags/Billy%20Russo*s*Alina%20Starkov,r
Jesper Fahey/Reader,42,/tags/Jesper%20Fahey*s*Reader,r
Fedyor Kaminsky & Nina Zenik,24,/tags/Fedyor%20Kaminsky%20*a*%20Nina%20Zenik,r
Ivan & Nina Zenik,16,/tags/Ivan%20*a*%20Nina%20Zenik,r
Mal Oretsev/Reader,8,/tags/Mal%20Oretsev*s*Reader,r
Ravka (Grishaverse),184,/tags/Ravka%20(Grishaverse),f
Ketterdam (Grishaverse),262,/tags/Ketterdam%20(Grishaverse),f
Fjerda (Grishaverse),55,/tags/Fjerda%20(Grishaverse),f
Morozova's Stag (The Grisha Trilogy),37,/tags/Morozova's%20Stag%20(The%20Grisha%20Trilogy),c
Arken Visser,26,/tags/Arken%20Visser,c
The Darkling | Aleksander Morozova/Alina Starkov/Original Female Character(s),8,/tags/The%20Darkling%20%7C%20Aleksander%20Morozova*s*Alina%20Starkov*s*Original%20Female%20Character(s),r
Darklina Week 2021,35,/tags/Darklina%20Week%202021,f
Kaz Brekker/Inej Ghafa/Alina Starkov,7,/tags/Kaz%20Brekker*s*Inej%20Ghafa*s*Alina%20Starkov,r
Azriel (ACoTaR) & The Darkling | Aleksander Morozova & Rhysand (ACoTaR),0,/tags/Azriel%20(ACoTaR)%20*a*%20The%20Darkling%20%7C%20Aleksander%20Morozova%20*a*%20Rhysand%20(ACoTaR),r
Azriel (ACoTaR)/The Darkling | Aleksander Morozova/Rhysand (ACoTaR),0,/tags/Azriel%20(ACoTaR)*s*The%20Darkling%20%7C%20Aleksander%20Morozova*s*Rhysand%20(ACoTaR),r
Kaz Brekker & Milo the Goat,1,/tags/Kaz%20Brekker%20*a*%20Milo%20the%20Goat,r
Inej Ghafa & Milo the Goat,1,/tags/Inej%20Ghafa%20*a*%20Milo%20the%20Goat,r
Tamar Kir-Bataar & Alina Starkov & Tolya Yul-Bataar,7,/tags/Tamar%20Kir-Bataar%20*a*%20Alina%20Starkov%20*a*%20Tolya%20Yul-Bataar,r
The Darkling | Aleksander Morozova/Luda,117,/tags/The%20Darkling%20%7C%20Aleksander%20Morozova*s*Luda,r
