tag,count,href,category
Frodo Baggins,8258,/tags/Frodo%20Baggins,c
Sam Gamgee,5277,/tags/Sam%20Gamgee,c
Fourth Age,1544,/tags/Fourth%20Age,f
Pre-Quest,301,/tags/Pre-Quest,f
Hobbits,1135,/tags/Hobbits,f
Arwen Undómiel,2862,/tags/Arwen%20Und%C3%B3miel,c
Frodo Baggins/Rose Cotton/Sam Gamgee,92,/tags/Frodo%20Baggins*s*Rose%20Cotton*s*Sam%20Gamgee,r
Lobelia Sackville-Baggins,652,/tags/Lobelia%20Sackville-Baggins,c
Bilbo Baggins,20023,/tags/Bilbo%20Baggins,c
Otho Sackville-Baggins,141,/tags/Otho%20Sackville-Baggins,c
Back to Middle-Earth Month 2009,1,/tags/Back%20to%20Middle-Earth%20Month%202009,f
Haradrim,63,/tags/Haradrim,c
Thorin Oakenshield,21351,/tags/Thorin%20Oakenshield,c
The Shire,573,/tags/The%20Shire,f
Third Age,991,/tags/Third%20Age,f
Blue Wizards,45,/tags/Blue%20Wizards,c
Community: hobbit_smut,14,/tags/Community:%20hobbit_smut,f
Primula Brandybuck,319,/tags/Primula%20Brandybuck,c
Drogo Baggins/Primula Brandybuck,63,/tags/Drogo%20Baggins*s*Primula%20Brandybuck,r
Elanor Gardner,187,/tags/Elanor%20Gardner,c
Frodo Baggins/Rose Cotton,17,/tags/Frodo%20Baggins*s*Rose%20Cotton,r
Hamfast Gamgee,443,/tags/Hamfast%20Gamgee,c
Esmeralda Took,66,/tags/Esmeralda%20Took,c
Frodo Baggins/Undisclosed,2,/tags/Frodo%20Baggins*s*Undisclosed,r
Community: tolkien_weekly,9,/tags/Community:%20tolkien_weekly,f
Back to Middle-Earth Month,266,/tags/Back%20to%20Middle-Earth%20Month,f
The One Ring,271,/tags/The%20One%20Ring,c
Bell Goodchild,27,/tags/Bell%20Goodchild,c
My Slashy Valentine,49,/tags/My%20Slashy%20Valentine,f
Will Whitfoot,8,/tags/Will%20Whitfoot,c
Valinor,1223,/tags/Valinor,f
Erebor,751,/tags/Erebor,f
Dáin Ironfoot,874,/tags/D%C3%A1in%20Ironfoot,c
Bag End,113,/tags/Bag%20End,f
My Slashy Valentine 2011,3,/tags/My%20Slashy%20Valentine%202011,f
Rory Brandybuck,19,/tags/Rory%20Brandybuck,c
Thorin III Stonehelm,115,/tags/Thorin%20III%20Stonehelm,c
Bilbo Baggins/Smaug,503,/tags/Bilbo%20Baggins*s*Smaug,r
Legolas Greenleaf,12899,/tags/Legolas%20Greenleaf,c
Cumbersmaug,20,/tags/Cumbersmaug,f
Lindir (Tolkien),1493,/tags/Lindir%20(Tolkien),c
Frodo Baggins/The One Ring,7,/tags/Frodo%20Baggins*s*The%20One%20Ring,r
Celebrían/Witch-King of Angmar,0,/tags/Celebr%C3%ADan*s*Witch-King%20of%20Angmar,r
Rings of Power,178,/tags/Rings%20of%20Power,f
Lothlórien,188,/tags/Lothl%C3%B3rien,f
War of Wrath,257,/tags/War%20of%20Wrath,f
Annatar/Bilbo Baggins,0,/tags/Annatar*s*Bilbo%20Baggins,r
Mirkwood,771,/tags/Mirkwood,f
Bungo Baggins,513,/tags/Bungo%20Baggins,c
Belladonna Took,726,/tags/Belladonna%20Took,c
Middle Earth,1138,/tags/Middle%20Earth,f
Bilbo Baggins/Thorin Oakenshield,23015,/tags/Bilbo%20Baggins*s*Thorin%20Oakenshield,r
Kíli/Thorin Oakenshield,355,/tags/K%C3%ADli*s*Thorin%20Oakenshield,r
Bilbo Baggins/Thranduil,108,/tags/Bilbo%20Baggins*s*Thranduil,r
Bilbo Baggins/Kíli,439,/tags/Bilbo%20Baggins*s*K%C3%ADli,r
Dwarf/Hobbit Sex,49,/tags/Dwarf*s*Hobbit%20Sex,f
Thorin Oakenshield/Thranduil,1062,/tags/Thorin%20Oakenshield*s*Thranduil,r
Bilbo Baggins/Bofur,840,/tags/Bilbo%20Baggins*s*Bofur,r
Bilbo Baggins/Fíli,438,/tags/Bilbo%20Baggins*s*F%C3%ADli,r
One Ring to Rule Them All,30,/tags/One%20Ring%20to%20Rule%20Them%20All,f
Fíli and Kíli Brotherly Love,145,/tags/F%C3%ADli%20and%20K%C3%ADli%20Brotherly%20Love,f
Fíli/Thorin Oakenshield,132,/tags/F%C3%ADli*s*Thorin%20Oakenshield,r
Poor Bilbo,271,/tags/Poor%20Bilbo,f
Bilbo Baggins & Thorin Oakenshield,984,/tags/Bilbo%20Baggins%20*a*%20Thorin%20Oakenshield,r
Thorin's Company,5331,/tags/Thorin's%20Company,c
Lake-town,84,/tags/Lake-town,f
Bilbo Baggins/Fíli/Kíli,197,/tags/Bilbo%20Baggins*s*F%C3%ADli*s*K%C3%ADli,r
Amused Gandalf,67,/tags/Amused%20Gandalf,f
Post-Hobbit,116,/tags/Post-Hobbit,f
Implied Fíli/Kíli,6,/tags/Implied%20F%C3%ADli*s*K%C3%ADli,f
Azog/Bilbo Baggins,58,/tags/Azog*s*Bilbo%20Baggins,r
Bilbo Baggins/Ori,98,/tags/Bilbo%20Baggins*s*Ori,r
Fíli/Kíli/Thorin Oakenshield,130,/tags/F%C3%ADli*s*K%C3%ADli*s*Thorin%20Oakenshield,r
Bilbo Baggins/Fíli/Kíli/Thorin Oakenshield,27,/tags/Bilbo%20Baggins*s*F%C3%ADli*s*K%C3%ADli*s*Thorin%20Oakenshield,r
Poor Kíli,37,/tags/Poor%20K%C3%ADli,f
Fíli & Thorin Oakenshield,115,/tags/F%C3%ADli%20*a*%20Thorin%20Oakenshield,r
Kíli & Thorin Oakenshield,162,/tags/K%C3%ADli%20*a*%20Thorin%20Oakenshield,r
Fíli & Kíli & Thorin Oakenshield,536,/tags/F%C3%ADli%20*a*%20K%C3%ADli%20*a*%20Thorin%20Oakenshield,r
Tooks,16,/tags/Tooks,f
Dís & Thorin Oakenshield,160,/tags/D%C3%ADs%20*a*%20Thorin%20Oakenshield,r
Sassy Gandalf,12,/tags/Sassy%20Gandalf,f
Elrond Peredhel,7834,/tags/Elrond%20Peredhel,c
Bilbo Baggins/Dwalin,501,/tags/Bilbo%20Baggins*s*Dwalin,r
Dwalin/Thorin Oakenshield,652,/tags/Dwalin*s*Thorin%20Oakenshield,r
Bilbo Baggins & Bofur,130,/tags/Bilbo%20Baggins%20*a*%20Bofur,r
Bilbo Baggins/Nori,158,/tags/Bilbo%20Baggins*s*Nori,r
Bilbo Baggins/Óin,11,/tags/Bilbo%20Baggins*s*%C3%93in,r
Bilbo Baggins/Dwalin/Fíli,0,/tags/Bilbo%20Baggins*s*Dwalin*s*F%C3%ADli,r
Fíli and Kíli Are Little Shits,220,/tags/F%C3%ADli%20and%20K%C3%ADli%20Are%20Little%20Shits,f
Sad Bofur,9,/tags/Sad%20Bofur,f
Khuzdul,204,/tags/Khuzdul,f
Thranduil's Wife,575,/tags/Thranduil's%20Wife,c
Bilbo Baggins/Undisclosed,1,/tags/Bilbo%20Baggins*s*Undisclosed,r
Community: hobbit_kink,245,/tags/Community:%20hobbit_kink,f
Gandalf Ships It,65,/tags/Gandalf%20Ships%20It,f
Balin & Thorin Oakenshield,52,/tags/Balin%20*a*%20Thorin%20Oakenshield,r
Balin/Thorin Oakenshield,9,/tags/Balin*s*Thorin%20Oakenshield,r
Bottom Thorin,191,/tags/Bottom%20Thorin,f
Top Bilbo,67,/tags/Top%20Bilbo,f
Thorin Feels,283,/tags/Thorin%20Feels,f
Dwalin & Thorin Oakenshield,190,/tags/Dwalin%20*a*%20Thorin%20Oakenshield,r
Bilbo Baggins/Bombur,21,/tags/Bilbo%20Baggins*s*Bombur,r
Bilbo Baggins/Bifur,51,/tags/Bilbo%20Baggins*s*Bifur,r
Creepy Elves,4,/tags/Creepy%20Elves,f
Young Dwarves,25,/tags/Young%20Dwarves,f
Bofur/Thorin Oakenshield,78,/tags/Bofur*s*Thorin%20Oakenshield,r
Frodo Baggins/Kíli,9,/tags/Frodo%20Baggins*s*K%C3%ADli,r
Bilbo Baggins & Fíli & Kíli,166,/tags/Bilbo%20Baggins%20*a*%20F%C3%ADli%20*a*%20K%C3%ADli,r
