tag,count,href,category
Lalisa Manoban | Lisa,2903,/tags/Lalisa%20Manoban%20%7C%20Lisa,c
Jennie Kim,3060,/tags/Jennie%20Kim,c
Kim Hanbin | B.I/Lalisa Manoban | Lisa,0,/tags/Kim%20Hanbin%20%7C%20B*d*I*s*Lalisa%20Manoban%20%7C%20Lisa,r
Jennie Kim/Lalisa Manoban | Lisa,956,/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa,r
Kim Jisoo (BLACKPINK),2559,/tags/Kim%20Jisoo%20(BLACKPINK),c
BLACKPINK Ensemble,268,/tags/BLACKPINK%20Ensemble,c
Park Chaeyoung | Rosé,2428,/tags/Park%20Chaeyoung%20%7C%20Ros%C3%A9,c
Kim Jisoo/Lalisa Manoban | Lisa,256,/tags/Kim%20Jisoo*s*Lalisa%20Manoban%20%7C%20Lisa,r
Jennie Kim/Togami Byakuya,0,/tags/Jennie%20Kim*s*Togami%20Byakuya,r
Jeon Jungkook/Lalisa Manoban | Lisa,95,/tags/Jeon%20Jungkook*s*Lalisa%20Manoban%20%7C%20Lisa,r
Jennie Kim/Kim Jisoo,501,/tags/Jennie%20Kim*s*Kim%20Jisoo,r
Jennie Kim/Min Yoongi | Suga,31,/tags/Jennie%20Kim*s*Min%20Yoongi%20%7C%20Suga,r
Jennie Kim/Kwon Jiyong | G-Dragon,8,/tags/Jennie%20Kim*s*Kwon%20Jiyong%20%7C%20G-Dragon,r
Jennie Kim/Reader,83,/tags/Jennie%20Kim*s*Reader,r
Jeon Jungkook/Jennie Kim,26,/tags/Jeon%20Jungkook*s*Jennie%20Kim,r
Kim Jisoo (BLACKPINK)/Kim Seokjin | Jin,43,/tags/Kim%20Jisoo%20(BLACKPINK)*s*Kim%20Seokjin%20%7C%20Jin,r
Lalisa Manoban | Lisa/Park Jimin (BTS),4,/tags/Lalisa%20Manoban%20%7C%20Lisa*s*Park%20Jimin%20(BTS),r
Jung Hoseok | J-Hope/Lalisa Manoban | Lisa,18,/tags/Jung%20Hoseok%20%7C%20J-Hope*s*Lalisa%20Manoban%20%7C%20Lisa,r
Kunpimook Bhuwakul | BamBam/Lalisa Manoban | Lisa,29,/tags/Kunpimook%20Bhuwakul%20%7C%20BamBam*s*Lalisa%20Manoban%20%7C%20Lisa,r
Lalisa Manoban | Lisa/Reader,45,/tags/Lalisa%20Manoban%20%7C%20Lisa*s*Reader,r
Kim Jisoo (BLACKPINK)/Xu Ming Hao | The8,0,/tags/Kim%20Jisoo%20(BLACKPINK)*s*Xu%20Ming%20Hao%20%7C%20The8,r
Jung Hoseok | J-Hope/Kim Jisoo (BLACKPINK),18,/tags/Jung%20Hoseok%20%7C%20J-Hope*s*Kim%20Jisoo%20(BLACKPINK),r
Lee Seunghyun | Seungri/Lalisa Manoban | Lisa,0,/tags/Lee%20Seunghyun%20%7C%20Seungri*s*Lalisa%20Manoban%20%7C%20Lisa,r
