tag,count,href,category
Aang (Avatar),14012,/tags/Aang%20(Avatar),c
Zuko (Avatar),29946,/tags/Zuko%20(Avatar),c
Community: maiko100,2,/tags/Community:%20maiko100,f
Community: theavatar100,38,/tags/Community:%20theavatar100,f
Jet (Avatar),2237,/tags/Jet%20(Avatar),c
Hama (Avatar),326,/tags/Hama%20(Avatar),c
Xin Fu (Avatar),25,/tags/Xin%20Fu%20(Avatar),c
Mai (Avatar),6308,/tags/Mai%20(Avatar),c
Iroh (Avatar),9138,/tags/Iroh%20(Avatar),c
Suki (Avatar),7204,/tags/Suki%20(Avatar),c
Ty Lee (Avatar),5395,/tags/Ty%20Lee%20(Avatar),c
Sokka (Avatar),17058,/tags/Sokka%20(Avatar),c
Katara (Avatar),18959,/tags/Katara%20(Avatar),c
Azula (Avatar),10823,/tags/Azula%20(Avatar),c
Hakoda (Avatar),3181,/tags/Hakoda%20(Avatar),c
Cabbage Man (Avatar),157,/tags/Cabbage%20Man%20(Avatar),c
Momo (Avatar),784,/tags/Momo%20(Avatar),c
Lu Ten,1099,/tags/Lu%20Ten,c
Azula/Mai/Ty Lee,121,/tags/Azula*s*Mai*s*Ty%20Lee,r
Teo (Avatar),392,/tags/Teo%20(Avatar),c
Shyu (Avatar),38,/tags/Shyu%20(Avatar),c
Sela (Avatar),37,/tags/Sela%20(Avatar),c
Mung (Avatar),1,/tags/Mung%20(Avatar),c
Jin (Avatar),595,/tags/Jin%20(Avatar),c
How (Avatar),26,/tags/How%20(Avatar),c
Hahn (Avatar),172,/tags/Hahn%20(Avatar),c
Boulder (Avatar),4,/tags/Boulder%20(Avatar),c
Azula/Zuko (Avatar),463,/tags/Azula*s*Zuko%20(Avatar),r
Longshot (Avatar),436,/tags/Longshot%20(Avatar),c
Katara/Zuko (Avatar),9383,/tags/Katara*s*Zuko%20(Avatar),r
Sokka/Suki (Avatar),2864,/tags/Sokka*s*Suki%20(Avatar),r
Yue (Avatar),1939,/tags/Yue%20(Avatar),c
Sokka/Yue (Avatar),543,/tags/Sokka*s*Yue%20(Avatar),r
Sokka/Zuko (Avatar),9999,/tags/Sokka*s*Zuko%20(Avatar),r
Ursa (Avatar),2693,/tags/Ursa%20(Avatar),c
