tag,count,href,category
Allison Hargreeves/Luther Hargreeves,392,/tags/Allison%20Hargreeves*s*Luther%20Hargreeves,r
Allison Hargreeves,7332,/tags/Allison%20Hargreeves,c
Luther Hargreeves,7164,/tags/Luther%20Hargreeves,c
Diego Hargreeves,9604,/tags/Diego%20Hargreeves,c
Klaus Hargreeves,13051,/tags/Klaus%20Hargreeves,c
Allison Hargreeves/Klaus Hargreeves,21,/tags/Allison%20Hargreeves*s*Klaus%20Hargreeves,r
Cha-Cha (Umbrella Academy),386,/tags/Cha-Cha%20(Umbrella%20Academy),c
Dr. Pogo (Umbrella Academy),1489,/tags/Dr*d*%20Pogo%20(Umbrella%20Academy),c
Hazel (Umbrella Academy),476,/tags/Hazel%20(Umbrella%20Academy),c
Reginald Hargreeves,2742,/tags/Reginald%20Hargreeves,c
Claire (Umbrella Academy),294,/tags/Claire%20(Umbrella%20Academy),c
Allison Hargreeves/Original Character(s),5,/tags/Allison%20Hargreeves*s*Original%20Character(s),r
Klaus Hargreeves/Luther Hargreeves,52,/tags/Klaus%20Hargreeves*s*Luther%20Hargreeves,r
Diego Hargreeves & Klaus Hargreeves,1667,/tags/Diego%20Hargreeves%20*a*%20Klaus%20Hargreeves,r
Grace Hargreeves,2527,/tags/Grace%20Hargreeves,c
Diego Hargreeves Needs A Hug,468,/tags/Diego%20Hargreeves%20Needs%20A%20Hug,f
Allison Hargreeves & Klaus Hargreeves,509,/tags/Allison%20Hargreeves%20*a*%20Klaus%20Hargreeves,r
Klaus Hargreeves & Luther Hargreeves,396,/tags/Klaus%20Hargreeves%20*a*%20Luther%20Hargreeves,r
Episode: s01e06 The Day That Wasn't,16,/tags/Episode:%20s01e06%20The%20Day%20That%20Wasn't,f
Stuttering Diego Hargreeves,224,/tags/Stuttering%20Diego%20Hargreeves,f
Number Five | The Boy (Umbrella Academy),10186,/tags/Number%20Five%20%7C%20The%20Boy%20(Umbrella%20Academy),c
Klaus Hargreeves & Original Character(s),39,/tags/Klaus%20Hargreeves%20*a*%20Original%20Character(s),r
Klaus Hargreeves & Reginald Hargreeves,92,/tags/Klaus%20Hargreeves%20*a*%20Reginald%20Hargreeves,r
Number Five | The Boy (Umbrella Academy)/Original Character(s),34,/tags/Number%20Five%20%7C%20The%20Boy%20(Umbrella%20Academy)*s*Original%20Character(s),r
Eudora Patch,956,/tags/Eudora%20Patch,c
Klaus Hargreeves Deserves Better,777,/tags/Klaus%20Hargreeves%20Deserves%20Better,f
Dolores (Umbrella Academy),523,/tags/Dolores%20(Umbrella%20Academy),c
Luther Hargreeves & Reginald Hargreeves,42,/tags/Luther%20Hargreeves%20*a*%20Reginald%20Hargreeves,r
Diego Hargreeves/Eudora Patch,587,/tags/Diego%20Hargreeves*s*Eudora%20Patch,r
Episode: s01e08 I Heard A Rumor,7,/tags/Episode:%20s01e08%20I%20Heard%20A%20Rumor,f
Episode: s01e09 Changes,8,/tags/Episode:%20s01e09%20Changes,f
Mute Allison Hargreeves,24,/tags/Mute%20Allison%20Hargreeves,f
Hurt Allison Hargreeves,20,/tags/Hurt%20Allison%20Hargreeves,f
Caring Diego Hargreeves,7,/tags/Caring%20Diego%20Hargreeves,f
Diego Hargreeves & Eudora Patch,136,/tags/Diego%20Hargreeves%20*a*%20Eudora%20Patch,r
Diego Hargreeves/Klaus Hargreeves,1010,/tags/Diego%20Hargreeves*s*Klaus%20Hargreeves,r
Protective Diego Hargreeves,765,/tags/Protective%20Diego%20Hargreeves,f
The Handler (Umbrella Academy),835,/tags/The%20Handler%20(Umbrella%20Academy),c
Klaus Hargreeves Needs A Hug,1939,/tags/Klaus%20Hargreeves%20Needs%20A%20Hug,f
Allison Hargreeves & Luther Hargreeves,279,/tags/Allison%20Hargreeves%20*a*%20Luther%20Hargreeves,r
Agnes Rofa,138,/tags/Agnes%20Rofa,c
Protective Klaus Hargreeves,361,/tags/Protective%20Klaus%20Hargreeves,f
Klaus Hargreeves/Nathan Young,1,/tags/Klaus%20Hargreeves*s*Nathan%20Young,r
Klaus Hargreeves & Eudora Patch,39,/tags/Klaus%20Hargreeves%20*a*%20Eudora%20Patch,r
Diego Hargreeves & Luther Hargreeves,281,/tags/Diego%20Hargreeves%20*a*%20Luther%20Hargreeves,r
Allison Hargreeves/Patrick,96,/tags/Allison%20Hargreeves*s*Patrick,r
Diego Hargreeves & Grace Hargreeves,146,/tags/Diego%20Hargreeves%20*a*%20Grace%20Hargreeves,r
Sick Klaus Hargreeves,128,/tags/Sick%20Klaus%20Hargreeves,f
Patrick (Umbrella Academy),111,/tags/Patrick%20(Umbrella%20Academy),c
Allison Hargreeves & Diego Hargreeves,181,/tags/Allison%20Hargreeves%20*a*%20Diego%20Hargreeves,r
Leonard Peabody,336,/tags/Leonard%20Peabody,c
Omega Diego Hargreeves,8,/tags/Omega%20Diego%20Hargreeves,f
Omega Klaus Hargreeves,73,/tags/Omega%20Klaus%20Hargreeves,f
Number Five | The Boy/Klaus Hargreeves,335,/tags/Number%20Five%20%7C%20The%20Boy*s*Klaus%20Hargreeves,r
Number Five | The Boy & Luther Hargreeves,408,/tags/Number%20Five%20%7C%20The%20Boy%20*a*%20Luther%20Hargreeves,r
Number Five | The Boy & Klaus Hargreeves,1638,/tags/Number%20Five%20%7C%20The%20Boy%20*a*%20Klaus%20Hargreeves,r
