tag,count,href,category
Kim Jonghyun | JR,1904,/tags/Kim%20Jonghyun%20%7C%20JR,c
Kang Dongho | Baekho,1305,/tags/Kang%20Dongho%20%7C%20Baekho,c
Choi Minki | Ren,1171,/tags/Choi%20Minki%20%7C%20Ren,c
Aaron Kwak | Aron,855,/tags/Aaron%20Kwak%20%7C%20Aron,c
Hwang Minhyun,3742,/tags/Hwang%20Minhyun,c
Choi Minki | Ren/Lee Taemin,1,/tags/Choi%20Minki%20%7C%20Ren*s*Lee%20Taemin,r
Choi Minki | Ren/Park Chanyeol,0,/tags/Choi%20Minki%20%7C%20Ren*s*Park%20Chanyeol,r
Kang Dongho | Baekho/Original Female Character(s),9,/tags/Kang%20Dongho%20%7C%20Baekho*s*Original%20Female%20Character(s),r
Hwang Minhyun/Aaron Kwak | Aron,120,/tags/Hwang%20Minhyun*s*Aaron%20Kwak%20%7C%20Aron,r
Hwang Minhyun/Kang Dongho | Baekho,300,/tags/Hwang%20Minhyun*s*Kang%20Dongho%20%7C%20Baekho,r
Choi Minki | Ren/Kang Dongho | Baekho,114,/tags/Choi%20Minki%20%7C%20Ren*s*Kang%20Dongho%20%7C%20Baekho,r
Choi Minki | Ren/Kim Jonghyun | JR,201,/tags/Choi%20Minki%20%7C%20Ren*s*Kim%20Jonghyun%20%7C%20JR,r
Kim Jonghyun | JR/Original Female Character(s),7,/tags/Kim%20Jonghyun%20%7C%20JR*s*Original%20Female%20Character(s),r
Kang Dongho | Baekho/Kim Jonghyun | JR,161,/tags/Kang%20Dongho%20%7C%20Baekho*s*Kim%20Jonghyun%20%7C%20JR,r
Hwang Minhyun/Original Female Character(s),9,/tags/Hwang%20Minhyun*s*Original%20Female%20Character(s),r
Choi Minki | Ren/Reader,4,/tags/Choi%20Minki%20%7C%20Ren*s*Reader,r
Hwang Minhyun/Undisclosed,0,/tags/Hwang%20Minhyun*s*Undisclosed,r
Aaron Kwak | Aron/Lee Yooyoung,1,/tags/Aaron%20Kwak%20%7C%20Aron*s*Lee%20Yooyoung,r
Aaron Kwak | Aron/Choi Minki | Ren,108,/tags/Aaron%20Kwak%20%7C%20Aron*s*Choi%20Minki%20%7C%20Ren,r
Kim Jonghyun | JR/Original Male Character(s),3,/tags/Kim%20Jonghyun%20%7C%20JR*s*Original%20Male%20Character(s),r
Choi Minki | Ren/Hwang Minhyun,32,/tags/Choi%20Minki%20%7C%20Ren*s*Hwang%20Minhyun,r
Kim Jonghyun | JR/Aaron Kwak | Aron,84,/tags/Kim%20Jonghyun%20%7C%20JR*s*Aaron%20Kwak%20%7C%20Aron,r
Choi Minki | Ren/Yoon Jeonghan,2,/tags/Choi%20Minki%20%7C%20Ren*s*Yoon%20Jeonghan,r
Choi Minki | Ren/Everyone,10,/tags/Choi%20Minki%20%7C%20Ren*s*Everyone,r
Kang Dongho | Baekho/Aaron Kwak | Aron,59,/tags/Kang%20Dongho%20%7C%20Baekho*s*Aaron%20Kwak%20%7C%20Aron,r
Fu Long Fei | Jason,26,/tags/Fu%20Long%20Fei%20%7C%20Jason,c
Fu Long Fei | Jason/Kang Dongho | Baekho,1,/tags/Fu%20Long%20Fei%20%7C%20Jason*s*Kang%20Dongho%20%7C%20Baekho,r
NU'EST Ensemble,170,/tags/NU'EST%20Ensemble,c
Kang Dongho | Baekho/Lee Jihoon | Woozi,1,/tags/Kang%20Dongho%20%7C%20Baekho*s*Lee%20Jihoon%20%7C%20Woozi,r
Choi Minki | Ren/Kim Minseok | Xiumin,1,/tags/Choi%20Minki%20%7C%20Ren*s*Kim%20Minseok%20%7C%20Xiumin,r
Choi Minki | Ren/Original Character(s),4,/tags/Choi%20Minki%20%7C%20Ren*s*Original%20Character(s),r
Choi Minki | Ren/Kim Wonshik | Ravi,0,/tags/Choi%20Minki%20%7C%20Ren*s*Kim%20Wonshik%20%7C%20Ravi,r
Hwang Minhyun/Kang Yebin | Rena,0,/tags/Hwang%20Minhyun*s*Kang%20Yebin%20%7C%20Rena,r
Hwang Minhyun/Min Yoongi | Suga,1,/tags/Hwang%20Minhyun*s*Min%20Yoongi%20%7C%20Suga,r
Hwang Minhyun/Kim Jonghyun | JR,1016,/tags/Hwang%20Minhyun*s*Kim%20Jonghyun%20%7C%20JR,r
Im Nayoung & Kim Jonghyun | JR,1,/tags/Im%20Nayoung%20*a*%20Kim%20Jonghyun%20%7C%20JR,r
Kim Jonghyun | JR/Park Jihoon,9,/tags/Kim%20Jonghyun%20%7C%20JR*s*Park%20Jihoon,r
Kim Jonghyun | JR/Kim Taemin,3,/tags/Kim%20Jonghyun%20%7C%20JR*s*Kim%20Taemin,r
Kang Dongho | Baekho/Lee Daehwi,61,/tags/Kang%20Dongho%20%7C%20Baekho*s*Lee%20Daehwi,r
Hwang Minhyun & Kim Jonghyun | JR,269,/tags/Hwang%20Minhyun%20*a*%20Kim%20Jonghyun%20%7C%20JR,r
Hwang Minhyun & Kwon Hyunbin,6,/tags/Hwang%20Minhyun%20*a*%20Kwon%20Hyunbin,r
Kang Dongho | Baekho/Lai Guanlin,13,/tags/Kang%20Dongho%20%7C%20Baekho*s*Lai%20Guanlin,r
Kang Dongho | Baekho/Shim Hyunseong,0,/tags/Kang%20Dongho%20%7C%20Baekho*s*Shim%20Hyunseong,r
Hwang Minhyun/Kwon Hyunbin,20,/tags/Hwang%20Minhyun*s*Kwon%20Hyunbin,r
Fu Long Fei | Jason/Kim Jonghyun | JR,10,/tags/Fu%20Long%20Fei%20%7C%20Jason*s*Kim%20Jonghyun%20%7C%20JR,r
Huang Minghao | Justin/Kang Dongho | Baekho,0,/tags/Huang%20Minghao%20%7C%20Justin*s*Kang%20Dongho%20%7C%20Baekho,r
Kang Dongho | Baekho/Oh Hyerin | Raina,0,/tags/Kang%20Dongho%20%7C%20Baekho*s*Oh%20Hyerin%20%7C%20Raina,r
Choi Minki | Ren & Hwang Minhyun,10,/tags/Choi%20Minki%20%7C%20Ren%20*a*%20Hwang%20Minhyun,r
Hwang Minhyun/Yoo Seonho,33,/tags/Hwang%20Minhyun*s*Yoo%20Seonho,r
Kim Jonghyun | JR/Lai Guanlin,3,/tags/Kim%20Jonghyun%20%7C%20JR*s*Lai%20Guanlin,r
Kang Daniel/Kang Dongho | Baekho,21,/tags/Kang%20Daniel*s*Kang%20Dongho%20%7C%20Baekho,r
Hwang Minhyun/Lee Woojin,0,/tags/Hwang%20Minhyun*s*Lee%20Woojin,r
Choi Minki | Ren/Kang Dongho | Baekho/Kim Jonghyun | JR,1,/tags/Choi%20Minki%20%7C%20Ren*s*Kang%20Dongho%20%7C%20Baekho*s*Kim%20Jonghyun%20%7C%20JR,r
Hwang Minhyun & Yoo Seonho,10,/tags/Hwang%20Minhyun%20*a*%20Yoo%20Seonho,r
Hwang Minhyun & Kang Dongho | Baekho,67,/tags/Hwang%20Minhyun%20*a*%20Kang%20Dongho%20%7C%20Baekho,r
Kim Jonghyun | JR/Kim Taehyung | V,0,/tags/Kim%20Jonghyun%20%7C%20JR*s*Kim%20Taehyung%20%7C%20V,r
Kang Dongho | Baekho/Kim Samuel | Punch/Lee Daehwi,0,/tags/Kang%20Dongho%20%7C%20Baekho*s*Kim%20Samuel%20%7C%20Punch*s*Lee%20Daehwi,r
Kim Jonghyun | JR & Yoon Jisung,2,/tags/Kim%20Jonghyun%20%7C%20JR%20*a*%20Yoon%20Jisung,r
Kim Jonghyun | JR & Kim Samuel | Punch,0,/tags/Kim%20Jonghyun%20%7C%20JR%20*a*%20Kim%20Samuel%20%7C%20Punch,r
Kang Dongho | Baekho/Park Jihoon,2,/tags/Kang%20Dongho%20%7C%20Baekho*s*Park%20Jihoon,r
Kim Samuel | Punch & NU'EST Ensemble,3,/tags/Kim%20Samuel%20%7C%20Punch%20*a*%20NU'EST%20Ensemble,r
Kim Jonghyun | JR & Lai Guanlin,0,/tags/Kim%20Jonghyun%20%7C%20JR%20*a*%20Lai%20Guanlin,r
