tag,count,href,category
Clark Kent,32559,/tags/Clark%20Kent,c
Bruce Wayne,82443,/tags/Bruce%20Wayne,c
Martha Kent,3029,/tags/Martha%20Kent,c
Lois Lane,8196,/tags/Lois%20Lane,c
Alfred Pennyworth,28417,/tags/Alfred%20Pennyworth,c
Clark Kent/Bruce Wayne,17003,/tags/Clark%20Kent*s*Bruce%20Wayne,r
Diana (Wonder Woman),10506,/tags/Diana%20(Wonder%20Woman),c
Clark Kent/Lois Lane,4253,/tags/Clark%20Kent*s*Lois%20Lane,r
Mercy Graves,449,/tags/Mercy%20Graves,c
Thomas Wayne,1023,/tags/Thomas%20Wayne,c
Martha Wayne,889,/tags/Martha%20Wayne,c
Diana (Wonder Woman)/Lois Lane,145,/tags/Diana%20(Wonder%20Woman)*s*Lois%20Lane,r
Tim Drake/Dick Grayson/Bruce Wayne,31,/tags/Tim%20Drake*s*Dick%20Grayson*s*Bruce%20Wayne,r
Diana (Wonder Woman)/Clark Kent/Bruce Wayne,289,/tags/Diana%20(Wonder%20Woman)*s*Clark%20Kent*s*Bruce%20Wayne,r
Diana (Wonder Woman)/Clark Kent,342,/tags/Diana%20(Wonder%20Woman)*s*Clark%20Kent,r
Tim Drake & Clark Kent,76,/tags/Tim%20Drake%20*a*%20Clark%20Kent,r
Lois Lane/Bruce Wayne,68,/tags/Lois%20Lane*s*Bruce%20Wayne,r
Bruce Wayne/Other(s),36,/tags/Bruce%20Wayne*s*Other(s),r
Bruce Wayne/Bruce Wayne,46,/tags/Bruce%20Wayne*s*Bruce%20Wayne,r
Diana (Wonder Woman)/Original Female Character(s),31,/tags/Diana%20(Wonder%20Woman)*s*Original%20Female%20Character(s),r
Anatoli Knyazev,201,/tags/Anatoli%20Knyazev,c
Bruce Wayne/You,240,/tags/Bruce%20Wayne*s*You,r
Diana (Wonder Woman) & Bruce Wayne,309,/tags/Diana%20(Wonder%20Woman)%20*a*%20Bruce%20Wayne,r
Stephanie Brown & Bruce Wayne,698,/tags/Stephanie%20Brown%20*a*%20Bruce%20Wayne,r
Bruce Wayne/Reader,1261,/tags/Bruce%20Wayne*s*Reader,r
Barry Allen/Clark Kent,52,/tags/Barry%20Allen*s*Clark%20Kent,r
Bruce Wayne/Original Female Character(s),412,/tags/Bruce%20Wayne*s*Original%20Female%20Character(s),r
Barbara Gordon & Bruce Wayne,245,/tags/Barbara%20Gordon%20*a*%20Bruce%20Wayne,r
Alfred Pennyworth/Martha Wayne/Thomas Wayne,82,/tags/Alfred%20Pennyworth*s*Martha%20Wayne*s*Thomas%20Wayne,r
Diana (Wonder Woman)/Mari Jiwe McCabe,7,/tags/Diana%20(Wonder%20Woman)*s*Mari%20Jiwe%20McCabe,r
Clark Kent/Reader,254,/tags/Clark%20Kent*s*Reader,r
Kon-El | Conner Kent/Bruce Wayne,18,/tags/Kon-El%20%7C%20Conner%20Kent*s*Bruce%20Wayne,r
Barry Allen & Clark Kent,32,/tags/Barry%20Allen%20*a*%20Clark%20Kent,r
Batman v Superman: Dawn of Justice Spoilers,36,/tags/Batman%20v%20Superman:%20Dawn%20of%20Justice%20Spoilers,f
Post-Batman v Superman: Dawn of Justice,145,/tags/Post-Batman%20v%20Superman:%20Dawn%20of%20Justice,f
Batman v Superman Kink Meme,0,/tags/Batman%20v%20Superman%20Kink%20Meme,f
Lois Lane/Original Character(s),6,/tags/Lois%20Lane*s*Original%20Character(s),r
Bruce Wayne & Other(s),4,/tags/Bruce%20Wayne%20*a*%20Other(s),r
Clark Kent/Original Female Character(s),98,/tags/Clark%20Kent*s*Original%20Female%20Character(s),r
Mark Watney/Bruce Wayne,3,/tags/Mark%20Watney*s*Bruce%20Wayne,r
Clark Kent/Christian Wolff,1,/tags/Clark%20Kent*s*Christian%20Wolff,r
Bruce Wayne/Christian Wolff,2,/tags/Bruce%20Wayne*s*Christian%20Wolff,r
Clark Kent/Lex Luthor Jr. (DCEU),3,/tags/Clark%20Kent*s*Lex%20Luthor%20Jr*d*%20(DCEU),r
Diana (Wonder Woman)/Other(s),0,/tags/Diana%20(Wonder%20Woman)*s*Other(s),r
Bruce Wayne & Everyone,153,/tags/Bruce%20Wayne%20*a*%20Everyone,r
Martha Kent/Bruce Wayne,8,/tags/Martha%20Kent*s*Bruce%20Wayne,r
Alfred Pennyworth & Original Female Character(s),20,/tags/Alfred%20Pennyworth%20*a*%20Original%20Female%20Character(s),r
Alfred Pennyworth & Original Character(s),18,/tags/Alfred%20Pennyworth%20*a*%20Original%20Character(s),r
Mercy Graves/Lex Luthor Jr. (DCEU),0,/tags/Mercy%20Graves*s*Lex%20Luthor%20Jr*d*%20(DCEU),r
Justice League & Bruce Wayne,291,/tags/Justice%20League%20*a*%20Bruce%20Wayne,r
Gotham City & Bruce Wayne,96,/tags/Gotham%20City%20*a*%20Bruce%20Wayne,r
Senator Barrows (DCEU),0,/tags/Senator%20Barrows%20(DCEU),c
Lex Luthor Jr. (DCEU),128,/tags/Lex%20Luthor%20Jr*d*%20(DCEU),c
Mike Howell/Lex Luthor Jr. (DCEU),3,/tags/Mike%20Howell*s*Lex%20Luthor%20Jr*d*%20(DCEU),r
Justice League & Lois Lane,0,/tags/Justice%20League%20*a*%20Lois%20Lane,r
Cassandra Cain & Tim Drake & Dick Grayson & Duke Thomas & Jason Todd & Bruce Wayne & Damian Wayne,593,/tags/Cassandra%20Cain%20*a*%20Tim%20Drake%20*a*%20Dick%20Grayson%20*a*%20Duke%20Thomas%20*a*%20Jason%20Todd%20*a*%20Bruce%20Wayne%20*a*%20Damian%20Wayne,r
Tim Drake & Dick Grayson & Alfred Pennyworth & Jason Todd & Bruce Wayne & Damian Wayne,288,/tags/Tim%20Drake%20*a*%20Dick%20Grayson%20*a*%20Alfred%20Pennyworth%20*a*%20Jason%20Todd%20*a*%20Bruce%20Wayne%20*a*%20Damian%20Wayne,r
Bruce Wayne & You,18,/tags/Bruce%20Wayne%20*a*%20You,r
Henry Cavill/Clark Kent,4,/tags/Henry%20Cavill*s*Clark%20Kent,r
Diana (Wonder Woman) & Original Character(s),4,/tags/Diana%20(Wonder%20Woman)%20*a*%20Original%20Character(s),r
Jesse Eisenberg/Bruce Wayne,0,/tags/Jesse%20Eisenberg*s*Bruce%20Wayne,r
Martha Kent & Everyone,1,/tags/Martha%20Kent%20*a*%20Everyone,r
Dick Grayson & Alfred Pennyworth & Jason Todd & Bruce Wayne,16,/tags/Dick%20Grayson%20*a*%20Alfred%20Pennyworth%20*a*%20Jason%20Todd%20*a*%20Bruce%20Wayne,r
Lois Lane & Other(s),1,/tags/Lois%20Lane%20*a*%20Other(s),r
Barry Allen & Arthur Curry & Diana (Wonder Woman) & Victor Stone & Bruce Wayne,5,/tags/Barry%20Allen%20*a*%20Arthur%20Curry%20*a*%20Diana%20(Wonder%20Woman)%20*a*%20Victor%20Stone%20*a*%20Bruce%20Wayne,r
Clark Kent & You,5,/tags/Clark%20Kent%20*a*%20You,r
Mercy Graves/Faora Hu-Ul,0,/tags/Mercy%20Graves*s*Faora%20Hu-Ul,r
Diana (Wonder Woman)/Chris Pine,0,/tags/Diana%20(Wonder%20Woman)*s*Chris%20Pine,r
Mercy Graves & Lex Luthor Jr. (DCEU),0,/tags/Mercy%20Graves%20*a*%20Lex%20Luthor%20Jr*d*%20(DCEU),r
Robin/Bruce Wayne,3,/tags/Robin*s*Bruce%20Wayne,r
Flash/Bruce Wayne,1,/tags/Flash*s*Bruce%20Wayne,r
Arthur Curry & Diana (Wonder Woman),10,/tags/Arthur%20Curry%20*a*%20Diana%20(Wonder%20Woman),r
Batfamily Members & Bruce Wayne,486,/tags/Batfamily%20Members%20*a*%20Bruce%20Wayne,r
Anatoli Knyazev/You,1,/tags/Anatoli%20Knyazev*s*You,r
Anatoli Knyazev/Reader,1,/tags/Anatoli%20Knyazev*s*Reader,r
Harvey Bullock/Clark Kent,1,/tags/Harvey%20Bullock*s*Clark%20Kent,r
Clark Kent & Clark Kent,7,/tags/Clark%20Kent%20*a*%20Clark%20Kent,r
Dean | Milan (Power)/Anatoli Knyazev,1,/tags/Dean%20%7C%20Milan%20(Power)*s*Anatoli%20Knyazev,r
Tommy Merlyn & Bruce Wayne,4,/tags/Tommy%20Merlyn%20*a*%20Bruce%20Wayne,r
