tag,count,href,category
Kaidan Alenko,8022,/tags/Kaidan%20Alenko,c
Urdnot Wrex,2239,/tags/Urdnot%20Wrex,c
Liara T'Soni,5387,/tags/Liara%20T'Soni,c
Garrus Vakarian,10672,/tags/Garrus%20Vakarian,c
Tali'Zorah nar Rayya,4405,/tags/Tali'Zorah%20nar%20Rayya,c
Sovereign (Mass Effect),81,/tags/Sovereign%20(Mass%20Effect),c
Jacob Taylor,1044,/tags/Jacob%20Taylor,c
Mordin Solus,1292,/tags/Mordin%20Solus,c
Miranda Lawson,3224,/tags/Miranda%20Lawson,c
Kelly Chambers,519,/tags/Kelly%20Chambers,c
Thane Krios,2298,/tags/Thane%20Krios,c
Zaeed Massani,1289,/tags/Zaeed%20Massani,c
"EDI/Jeff ""Joker"" Moreau",454,/tags/EDI*s*Jeff%20%22Joker%22%20Moreau,r
"Jeff ""Joker"" Moreau",3963,/tags/Jeff%20%22Joker%22%20Moreau,c
Kasumi Goto,1310,/tags/Kasumi%20Goto,c
Aria T'Loak,879,/tags/Aria%20T'Loak,c
Kolyat Krios,370,/tags/Kolyat%20Krios,c
Kolyat Krios/Oriana Lawson,27,/tags/Kolyat%20Krios*s*Oriana%20Lawson,r
Oriana Lawson,194,/tags/Oriana%20Lawson,c
Thane Krios/Female Shepard,1320,/tags/Thane%20Krios*s*Female%20Shepard,r
Saren Arterius,712,/tags/Saren%20Arterius,c
Tela Vasir,60,/tags/Tela%20Vasir,c
Hannah Shepard,679,/tags/Hannah%20Shepard,c
Miranda Lawson/Liara T'Soni,29,/tags/Miranda%20Lawson*s*Liara%20T'Soni,r
Preitor Gavorn,19,/tags/Preitor%20Gavorn,c
Jack | Subject Zero,2378,/tags/Jack%20%7C%20Subject%20Zero,c
Female Shepard/Aria T'Loak,95,/tags/Female%20Shepard*s*Aria%20T'Loak,r
Kolyat Krios/Thane Krios,5,/tags/Kolyat%20Krios*s*Thane%20Krios,r
Kaidan Alenko/Female Shepard,3447,/tags/Kaidan%20Alenko*s*Female%20Shepard,r
Female Shepard/Liara T'Soni,2080,/tags/Female%20Shepard*s*Liara%20T'Soni,r
