tag,count,href,category
Steve Rogers/Tony Stark,77731,/tags/Steve%20Rogers*s*Tony%20Stark,r
Steve Rogers,224297,/tags/Steve%20Rogers,c
Steve Rogers/Sam Wilson,3972,/tags/Steve%20Rogers*s*Sam%20Wilson,r
Peggy Carter,19972,/tags/Peggy%20Carter,c
Linda Carter (Night Nurse),28,/tags/Linda%20Carter%20(Night%20Nurse),c
Guy Gardner/Steve Rogers,0,/tags/Guy%20Gardner*s*Steve%20Rogers,r
Rikki Barnes,64,/tags/Rikki%20Barnes,c
Sharon Carter/Steve Rogers,1266,/tags/Sharon%20Carter*s*Steve%20Rogers,r
"James ""Bucky"" Barnes",162118,/tags/James%20%22Bucky%22%20Barnes,c
Arnie Roth,92,/tags/Arnie%20Roth,c
Jacqueline Falsworth-Crichton,46,/tags/Jacqueline%20Falsworth-Crichton,c
Steve Rogers (Ultimates),451,/tags/Steve%20Rogers%20(Ultimates),c
"James ""Bucky"" Barnes/Synthia Schmidt",0,/tags/James%20%22Bucky%22%20Barnes*s*Synthia%20Schmidt,r
"James ""Bucky"" Barnes/Steve Rogers",92579,/tags/James%20%22Bucky%22%20Barnes*s*Steve%20Rogers,r
Steve Rogers/Bernie Rosenthal,21,/tags/Steve%20Rogers*s*Bernie%20Rosenthal,r
Bernie Rosenthal,50,/tags/Bernie%20Rosenthal,c
Johann Schmidt,944,/tags/Johann%20Schmidt,c
Rikki Barnes/Anya Sofia Corazon,17,/tags/Rikki%20Barnes*s*Anya%20Sofia%20Corazon,r
Faith Bradley,14,/tags/Faith%20Bradley,c
Leila Taylor,32,/tags/Leila%20Taylor,c
Steve Rogers & Tony Stark,6293,/tags/Steve%20Rogers%20*a*%20Tony%20Stark,r
"James ""Bucky"" Barnes/Natasha Romanov",6313,/tags/James%20%22Bucky%22%20Barnes*s*Natasha%20Romanov,r
"James ""Bucky"" Barnes/Nick Fury",5,/tags/James%20%22Bucky%22%20Barnes*s*Nick%20Fury,r
"James ""Bucky"" Barnes/Sam Wilson",14360,/tags/James%20%22Bucky%22%20Barnes*s*Sam%20Wilson,r
"James ""Bucky"" Barnes/Thomas ""Toro"" Raymond",51,/tags/James%20%22Bucky%22%20Barnes*s*Thomas%20%22Toro%22%20Raymond,r
Peggy Carter/Gabe Jones,60,/tags/Peggy%20Carter*s*Gabe%20Jones,r
Aleksander Lukin,109,/tags/Aleksander%20Lukin,c
Dennis Dunphy,24,/tags/Dennis%20Dunphy,c
Isaiah Bradley,123,/tags/Isaiah%20Bradley,c
"Jack ""Nomad"" Monroe",30,/tags/Jack%20%22Nomad%22%20Monroe,c
"William ""Steve Rogers"" Burnside",17,/tags/William%20%22Steve%20Rogers%22%20Burnside,c
Jim Hammond,184,/tags/Jim%20Hammond,c
"James ""Bucky"" Barnes/Eli Bradley",0,/tags/James%20%22Bucky%22%20Barnes*s*Eli%20Bradley,r
"James ""Bucky"" Barnes/Kate Bishop",63,/tags/James%20%22Bucky%22%20Barnes*s*Kate%20Bishop,r
Brian Braddock/Steve Rogers,2,/tags/Brian%20Braddock*s*Steve%20Rogers,r
Ann Raymond,9,/tags/Ann%20Raymond,c
"James ""Bucky"" Barnes & Steve Rogers",13405,/tags/James%20%22Bucky%22%20Barnes%20*a*%20Steve%20Rogers,r
"James ""Bucky"" Barnes/Sharon Carter/Thomas ""Toro"" Raymond/Steve Rogers/Natasha Romanov/Sam Wilson",1,/tags/James%20%22Bucky%22%20Barnes*s*Sharon%20Carter*s*Thomas%20%22Toro%22%20Raymond*s*Steve%20Rogers*s*Natasha%20Romanov*s*Sam%20Wilson,r
"Ann Raymond/Thomas ""Toro"" Raymond",13,/tags/Ann%20Raymond*s*Thomas%20%22Toro%22%20Raymond,r
Peter Parker & Steve Rogers,2424,/tags/Peter%20Parker%20*a*%20Steve%20Rogers,r
Steve Rogers/Wade Wilson,48,/tags/Steve%20Rogers*s*Wade%20Wilson,r
Anna Kapplebaum,2,/tags/Anna%20Kapplebaum,c
Howling Commandos,2639,/tags/Howling%20Commandos,c
Steve Rogers/Helmut Zemo,26,/tags/Steve%20Rogers*s*Helmut%20Zemo,r
Paul Wilson,63,/tags/Paul%20Wilson,c
Rikki Barnes/Kate Bishop,1,/tags/Rikki%20Barnes*s*Kate%20Bishop,r
