tag,count,href,category
Hitachiin Kaoru/Suoh Tamaki,18,/tags/Hitachiin%20Kaoru*s*Suoh%20Tamaki,r
Nekozawa Umehito/Suoh Tamaki,7,/tags/Nekozawa%20Umehito*s*Suoh%20Tamaki,r
Haruhi/Mitsukuni/Hikaru/Kaoru/Takashi/Kyouya/Tamaki,7,/tags/Haruhi*s*Mitsukuni*s*Hikaru*s*Kaoru*s*Takashi*s*Kyouya*s*Tamaki,r
Fujioka Haruhi & Fujioka Ryouji | Ranka,11,/tags/Fujioka%20Haruhi%20*a*%20Fujioka%20Ryouji%20%7C%20Ranka,r
Haruhi & Mitsukuni & Hikaru & Kaoru & Takashi & Kyouya & Tamaki,23,/tags/Haruhi%20*a*%20Mitsukuni%20*a*%20Hikaru%20*a*%20Kaoru%20*a*%20Takashi%20*a*%20Kyouya%20*a*%20Tamaki,r
Fujioka Haruhi/Morinozuka Takashi,241,/tags/Fujioka%20Haruhi*s*Morinozuka%20Takashi,r
Hitachiin Kaoru/Ootori Kyouya,279,/tags/Hitachiin%20Kaoru*s*Ootori%20Kyouya,r
Haninozuka Mitsukuni/Morinozuka Takashi,119,/tags/Haninozuka%20Mitsukuni*s*Morinozuka%20Takashi,r
Arai/Morinozuka Takashi,9,/tags/Arai*s*Morinozuka%20Takashi,r
Houshakuji Renge/Ootori Kyouya,21,/tags/Houshakuji%20Renge*s*Ootori%20Kyouya,r
Haninozuka Mitsukuni/Kanazuki Reiko,43,/tags/Haninozuka%20Mitsukuni*s*Kanazuki%20Reiko,r
Hitachiin Kaoru/Kinoshita Hideyoshi,2,/tags/Hitachiin%20Kaoru*s*Kinoshita%20Hideyoshi,r
Morinozuka Takashi/Ootori Kyouya,23,/tags/Morinozuka%20Takashi*s*Ootori%20Kyouya,r
Hitachiin Hikaru/Hitachiin Kaoru/Suoh Tamaki,12,/tags/Hitachiin%20Hikaru*s*Hitachiin%20Kaoru*s*Suoh%20Tamaki,r
Morinozuka Takashi/Suoh Tamaki,4,/tags/Morinozuka%20Takashi*s*Suoh%20Tamaki,r
Sakurazuka Kimiko,5,/tags/Sakurazuka%20Kimiko,c
Morinozuka Takashi/Harry Potter,38,/tags/Morinozuka%20Takashi*s*Harry%20Potter,r
Kurt Hummel/Morinozuka Takashi/Harry Potter,0,/tags/Kurt%20Hummel*s*Morinozuka%20Takashi*s*Harry%20Potter,r
Higurashi Kagome/Suoh Tamaki,2,/tags/Higurashi%20Kagome*s*Suoh%20Tamaki,r
Ootori Yuuichi,40,/tags/Ootori%20Yuuichi,c
Ootori Akito,45,/tags/Ootori%20Akito,c
Fujioka Haruhi/Nekozawa Umehito,13,/tags/Fujioka%20Haruhi*s*Nekozawa%20Umehito,r
Ootori Kyouya & Suoh Tamaki,108,/tags/Ootori%20Kyouya%20*a*%20Suoh%20Tamaki,r
Haninozuka Mitsukuni & Morinozuka Takashi,33,/tags/Haninozuka%20Mitsukuni%20*a*%20Morinozuka%20Takashi,r
Gokudera Hayato & Morinozuka Takashi,0,/tags/Gokudera%20Hayato%20*a*%20Morinozuka%20Takashi,r
Suoh Shizue,30,/tags/Suoh%20Shizue,c
Harry Potter/Suoh Tamaki,2,/tags/Harry%20Potter*s*Suoh%20Tamaki,r
Ootori Kyouya/Ewan Remington,0,/tags/Ootori%20Kyouya*s*Ewan%20Remington,r
Suoh Tamaki/Éclair Tonnerre,9,/tags/Suoh%20Tamaki*s*%C3%89clair%20Tonnerre,r
Fujioka Haruhi/Kasugazaki Kanako,3,/tags/Fujioka%20Haruhi*s*Kasugazaki%20Kanako,r
Kasugazaki Kanako,9,/tags/Kasugazaki%20Kanako,c
Higurashi Kagome/Nekozawa Umehito,1,/tags/Higurashi%20Kagome*s*Nekozawa%20Umehito,r
Houshakuji Renge/Suoh Tamaki,2,/tags/Houshakuji%20Renge*s*Suoh%20Tamaki,r
Higurashi Kagome/Hitachiin Hikaru/Hitachiin Kaoru,1,/tags/Higurashi%20Kagome*s*Hitachiin%20Hikaru*s*Hitachiin%20Kaoru,r
Fujioka Haruhi/Hitachiin Hikaru/Hitachiin Kaoru/Ootori Kyouya/Suoh Tamaki,7,/tags/Fujioka%20Haruhi*s*Hitachiin%20Hikaru*s*Hitachiin%20Kaoru*s*Ootori%20Kyouya*s*Suoh%20Tamaki,r
Hitachiin Hikaru/Ciel Phantomhive,0,/tags/Hitachiin%20Hikaru*s*Ciel%20Phantomhive,r
Sebastian Michaelis/Suoh Tamaki,0,/tags/Sebastian%20Michaelis*s*Suoh%20Tamaki,r
Haninozuka Mitsukuni/Original Character(s),10,/tags/Haninozuka%20Mitsukuni*s*Original%20Character(s),r
Haninozuka Mitsukuni/Suoh Tamaki,6,/tags/Haninozuka%20Mitsukuni*s*Suoh%20Tamaki,r
Beelzenef/Nekozawa Umehito,1,/tags/Beelzenef*s*Nekozawa%20Umehito,r
Higurashi Kagome/Morinozuka Takashi,4,/tags/Higurashi%20Kagome*s*Morinozuka%20Takashi,r
