tag,count,href,category
Zevran Arainai,6391,/tags/Zevran%20Arainai,c
Alistair/Zevran Arainai,394,/tags/Alistair*s*Zevran%20Arainai,r
Anora Mac Tir,1006,/tags/Anora%20Mac%20Tir,c
Alistair/Female Warden (Dragon Age),2432,/tags/Alistair*s*Female%20Warden%20(Dragon%20Age),r
Morrigan (Dragon Age),4053,/tags/Morrigan%20(Dragon%20Age),c
Alistair/Anora Mac Tir,182,/tags/Alistair*s*Anora%20Mac%20Tir,r
Anora Mac Tir/Cailan Theirin,59,/tags/Anora%20Mac%20Tir*s*Cailan%20Theirin,r
Alistair (Dragon Age),8598,/tags/Alistair%20(Dragon%20Age),c
Amell/Zevran Arainai,41,/tags/Amell*s*Zevran%20Arainai,r
Alistair/Male Warden (Dragon Age),148,/tags/Alistair*s*Male%20Warden%20(Dragon%20Age),r
Anders (Dragon Age),10481,/tags/Anders%20(Dragon%20Age),c
Anders/Nathaniel Howe,357,/tags/Anders*s*Nathaniel%20Howe,r
Zevran Arainai/Female Cousland,155,/tags/Zevran%20Arainai*s*Female%20Cousland,r
Zevran Arainai/Surana,44,/tags/Zevran%20Arainai*s*Surana,r
Zevran Arainai/Brosca,42,/tags/Zevran%20Arainai*s*Brosca,r
Loghain Mac Tir,1236,/tags/Loghain%20Mac%20Tir,c
Teagan Guerrin/Leliana,1,/tags/Teagan%20Guerrin*s*Leliana,r
Fiona/Maric Theirin,21,/tags/Fiona*s*Maric%20Theirin,r
Fiona (Dragon Age),342,/tags/Fiona%20(Dragon%20Age),c
Hawke (Dragon Age),3926,/tags/Hawke%20(Dragon%20Age),c
Female Cousland/Loghain Mac Tir,97,/tags/Female%20Cousland*s*Loghain%20Mac%20Tir,r
Female Cousland/Cailan Theirin,26,/tags/Female%20Cousland*s*Cailan%20Theirin,r
Female Cousland/Teagan Guerrin,46,/tags/Female%20Cousland*s*Teagan%20Guerrin,r
Varric Tethras,15900,/tags/Varric%20Tethras,c
Male Hawke (Dragon Age),2171,/tags/Male%20Hawke%20(Dragon%20Age),c
Alistair/Warden (Dragon Age),1298,/tags/Alistair*s*Warden%20(Dragon%20Age),r
Leliana/Warden (Dragon Age),223,/tags/Leliana*s*Warden%20(Dragon%20Age),r
Merrill (Dragon Age),4737,/tags/Merrill%20(Dragon%20Age),c
Isabela (Dragon Age),5791,/tags/Isabela%20(Dragon%20Age),c
Cassandra Pentaghast,10784,/tags/Cassandra%20Pentaghast,c
Saemus Dumar,124,/tags/Saemus%20Dumar,c
Fade Shenanigans,82,/tags/Fade%20Shenanigans,f
Hawke/Varric Tethras,333,/tags/Hawke*s*Varric%20Tethras,r
Female Hawke/Varric Tethras,918,/tags/Female%20Hawke*s*Varric%20Tethras,r
Female Hawke & Sebastian Vael,19,/tags/Female%20Hawke%20*a*%20Sebastian%20Vael,r
Carver Hawke/Female Hawke,49,/tags/Carver%20Hawke*s*Female%20Hawke,r
Alistair/Zevran Arainai/Female Cousland,9,/tags/Alistair*s*Zevran%20Arainai*s*Female%20Cousland,r
Female Cousland/Carver Hawke,19,/tags/Female%20Cousland*s*Carver%20Hawke,r
Isabela/Sebastian Vael,31,/tags/Isabela*s*Sebastian%20Vael,r
Male Hawke/Varric Tethras,149,/tags/Male%20Hawke*s*Varric%20Tethras,r
Female Hawke/Meredith Stannard,42,/tags/Female%20Hawke*s*Meredith%20Stannard,r
Female Hawke/Sebastian Vael,576,/tags/Female%20Hawke*s*Sebastian%20Vael,r
Male Hawke/Sebastian Vael,102,/tags/Male%20Hawke*s*Sebastian%20Vael,r
Bianca/Male Hawke/Varric Tethras,0,/tags/Bianca*s*Male%20Hawke*s*Varric%20Tethras,r
Hawke/Sebastian Vael,55,/tags/Hawke*s*Sebastian%20Vael,r
Carver Hawke/Merrill,304,/tags/Carver%20Hawke*s*Merrill,r
Zevran Arainai/Female Hawke/Isabela,3,/tags/Zevran%20Arainai*s*Female%20Hawke*s*Isabela,r
Leliana/Sebastian Vael,1,/tags/Leliana*s*Sebastian%20Vael,r
Carver Hawke/Male Hawke,55,/tags/Carver%20Hawke*s*Male%20Hawke,r
Fenris/Female Hawke/Sebastian Vael,14,/tags/Fenris*s*Female%20Hawke*s*Sebastian%20Vael,r
Fenris/Female Hawke/Varric Tethras,2,/tags/Fenris*s*Female%20Hawke*s*Varric%20Tethras,r
Nathaniel Howe/Leliana,4,/tags/Nathaniel%20Howe*s*Leliana,r
Amell/Fergus Cousland,0,/tags/Amell*s*Fergus%20Cousland,r
Carver Hawke/Male Hawke/Nathaniel Howe,0,/tags/Carver%20Hawke*s*Male%20Hawke*s*Nathaniel%20Howe,r
Zevran Arainai/Male Hawke,12,/tags/Zevran%20Arainai*s*Male%20Hawke,r
Zevran Arainai/Male Hawke/Isabela,2,/tags/Zevran%20Arainai*s*Male%20Hawke*s*Isabela,r
Bethany Hawke/Carver Hawke,26,/tags/Bethany%20Hawke*s*Carver%20Hawke,r
Female Hawke/Nathaniel Howe,29,/tags/Female%20Hawke*s*Nathaniel%20Howe,r
Carver Hawke/Female Hawke/Nathaniel Howe,1,/tags/Carver%20Hawke*s*Female%20Hawke*s*Nathaniel%20Howe,r
Female Cousland/Sebastian Vael,7,/tags/Female%20Cousland*s*Sebastian%20Vael,r
Male Hawke/Aveline Vallen,14,/tags/Male%20Hawke*s*Aveline%20Vallen,r
Bethany Hawke/Male Hawke,22,/tags/Bethany%20Hawke*s*Male%20Hawke,r
Anders/Female Hawke/Nathaniel Howe,9,/tags/Anders*s*Female%20Hawke*s*Nathaniel%20Howe,r
Chantry Issues,70,/tags/Chantry%20Issues,f
Lyrium,189,/tags/Lyrium,f
