tag,count,href,category
Obi-Wan Kenobi,52285,/tags/Obi-Wan%20Kenobi,c
Anakin Skywalker,34853,/tags/Anakin%20Skywalker,c
Darth Sidious,593,/tags/Darth%20Sidious,c
Mace Windu,7625,/tags/Mace%20Windu,c
Shaak Ti,1617,/tags/Shaak%20Ti,c
Ahsoka Tano,20323,/tags/Ahsoka%20Tano,c
Dooku/Qui-Gon Jinn,68,/tags/Dooku*s*Qui-Gon%20Jinn,r
Anakin Skywalker/Ahsoka Tano,481,/tags/Anakin%20Skywalker*s*Ahsoka%20Tano,r
Dooku | Darth Tyranus,2665,/tags/Dooku%20%7C%20Darth%20Tyranus,c
Anakin Skywalker | Darth Vader,10615,/tags/Anakin%20Skywalker%20%7C%20Darth%20Vader,c
Plo Koon,3610,/tags/Plo%20Koon,c
Anakin Skywalker & Original Character(s),134,/tags/Anakin%20Skywalker%20*a*%20Original%20Character(s),r
Anakin Skywalker/Original Character(s),45,/tags/Anakin%20Skywalker*s*Original%20Character(s),r
Wullf Yularen,323,/tags/Wullf%20Yularen,c
Ziro Desilijic Tiure | Ziro the Hutt,17,/tags/Ziro%20Desilijic%20Tiure%20%7C%20Ziro%20the%20Hutt,c
Saesee Tiin,207,/tags/Saesee%20Tiin,c
Obi-Wan Kenobi & Original Female Character(s),192,/tags/Obi-Wan%20Kenobi%20*a*%20Original%20Female%20Character(s),r
Hego Damask | Darth Plagueis & Dooku | Darth Tyranus,1,/tags/Hego%20Damask%20%7C%20Darth%20Plagueis%20*a*%20Dooku%20%7C%20Darth%20Tyranus,r
CC-2224 | Cody/Obi-Wan Kenobi,7141,/tags/CC-2224%20%7C%20Cody*s*Obi-Wan%20Kenobi,r
Dooku | Darth Tyranus & Palpatine | Darth Sidious,57,/tags/Dooku%20%7C%20Darth%20Tyranus%20*a*%20Palpatine%20%7C%20Darth%20Sidious,r
Cosinga Palpatine & Palpatine | Darth Sidious,12,/tags/Cosinga%20Palpatine%20*a*%20Palpatine%20%7C%20Darth%20Sidious,r
Obi-Wan Kenobi/CT-7567 | Rex,501,/tags/Obi-Wan%20Kenobi*s*CT-7567%20%7C%20Rex,r
Sheev Palpatine | Darth Sidious,8817,/tags/Sheev%20Palpatine%20%7C%20Darth%20Sidious,c
Sheev Palpatine,1596,/tags/Sheev%20Palpatine,c
Ezra Bridger & Sheev Palpatine | Darth Sidious,6,/tags/Ezra%20Bridger%20*a*%20Sheev%20Palpatine%20%7C%20Darth%20Sidious,r
Death (Discworld) & Sheev Palpatine | Darth Sidious,0,/tags/Death%20(Discworld)%20*a*%20Sheev%20Palpatine%20%7C%20Darth%20Sidious,r
Sheev Palpatine & Thrawn | Mitth'raw'nuruodo,32,/tags/Sheev%20Palpatine%20*a*%20Thrawn%20%7C%20Mitth'raw'nuruodo,r
Sheev Palpatine & Other(s),0,/tags/Sheev%20Palpatine%20*a*%20Other(s),r
Obi-Wan Kenobi & Original Character(s),131,/tags/Obi-Wan%20Kenobi%20*a*%20Original%20Character(s),r
Agen Kolar,276,/tags/Agen%20Kolar,c
CC-2224 | Cody/Obi-Wan Kenobi/CT-7567 | Rex,243,/tags/CC-2224%20%7C%20Cody*s*Obi-Wan%20Kenobi*s*CT-7567%20%7C%20Rex,r
Padmé Amidala & Sheev Palpatine | Darth Sidious,55,/tags/Padm%C3%A9%20Amidala%20*a*%20Sheev%20Palpatine%20%7C%20Darth%20Sidious,r
Anakin Skywalker/Original Male Character(s),32,/tags/Anakin%20Skywalker*s*Original%20Male%20Character(s),r
