tag,count,href,category
Finral Roulacase,955,/tags/Finral%20Roulacase,c
Yami Sukehiro,1317,/tags/Yami%20Sukehiro,c
Yuno (Black Clover),1025,/tags/Yuno%20(Black%20Clover),c
Magna Swing/Noelle Silva,1,/tags/Magna%20Swing*s*Noelle%20Silva,r
Magna Swing,520,/tags/Magna%20Swing,c
Asta (Black Clover),1498,/tags/Asta%20(Black%20Clover),c
Noelle Silva,1021,/tags/Noelle%20Silva,c
Sister Lily (Black Clover),126,/tags/Sister%20Lily%20(Black%20Clover),c
Yuno (Black Clover)/Original Character(s),7,/tags/Yuno%20(Black%20Clover)*s*Original%20Character(s),r
Nozel Silva,524,/tags/Nozel%20Silva,c
Solid Silva,190,/tags/Solid%20Silva,c
Luck Voltia,501,/tags/Luck%20Voltia,c
Asta/Yuno (Black Clover),479,/tags/Asta*s*Yuno%20(Black%20Clover),r
Nash (Black Clover),39,/tags/Nash%20(Black%20Clover),c
Hollo (Black Clover),15,/tags/Hollo%20(Black%20Clover),c
Wizard King | Sorcery Emperor | Magic Emperor (Black Clover),41,/tags/Wizard%20King%20%7C%20Sorcery%20Emperor%20%7C%20Magic%20Emperor%20(Black%20Clover),c
Zeke (Black Clover),1,/tags/Zeke%20(Black%20Clover),c
Rebecca Scarlet,34,/tags/Rebecca%20Scarlet,c
Mimosa Vermillion,492,/tags/Mimosa%20Vermillion,c
Charlotte Roselei,444,/tags/Charlotte%20Roselei,c
Charlotte Roselei/Yami Sukehiro,519,/tags/Charlotte%20Roselei*s*Yami%20Sukehiro,r
Charmy Pappitson,330,/tags/Charmy%20Pappitson,c
William Vangeance,509,/tags/William%20Vangeance,c
Mereoleona Vermillion,283,/tags/Mereoleona%20Vermillion,c
Fuegoleon Vermillion,350,/tags/Fuegoleon%20Vermillion,c
Leopold Vermillion,268,/tags/Leopold%20Vermillion,c
Alecdora Sandler,47,/tags/Alecdora%20Sandler,c
Finral Roulacase & Yami Sukehiro,94,/tags/Finral%20Roulacase%20*a*%20Yami%20Sukehiro,r
Finral Roulacase/Yami Sukehiro,179,/tags/Finral%20Roulacase*s*Yami%20Sukehiro,r
Finral Roulacase/Nozel Silva,6,/tags/Finral%20Roulacase*s*Nozel%20Silva,r
Klaus Lunette,218,/tags/Klaus%20Lunette,c
Licht (Black Clover),94,/tags/Licht%20(Black%20Clover),c
Gordon Agrippa,230,/tags/Gordon%20Agrippa,c
Grey (Black Clover),276,/tags/Grey%20(Black%20Clover),c
Zora Ideale,371,/tags/Zora%20Ideale,c
Gauche Adlai,296,/tags/Gauche%20Adlai,c
Kirsch Vermillion,137,/tags/Kirsch%20Vermillion,c
Nebra Silva,202,/tags/Nebra%20Silva,c
Langris Vaude,411,/tags/Langris%20Vaude,c
Julius Novachrono,479,/tags/Julius%20Novachrono,c
Tsundere Noelle Silva,13,/tags/Tsundere%20Noelle%20Silva,f
Marie Adlai,42,/tags/Marie%20Adlai,c
Julius Novachrono & Yami Sukehiro & William Vangeance,23,/tags/Julius%20Novachrono%20*a*%20Yami%20Sukehiro%20*a*%20William%20Vangeance,r
Black Clover Ensemble,10,/tags/Black%20Clover%20Ensemble,c
Asta (Black Clover)/Reader,11,/tags/Asta%20(Black%20Clover)*s*Reader,r
Possessive Yuno (Black Clover),26,/tags/Possessive%20Yuno%20(Black%20Clover),f
Oblivious Asta (Black Clover),30,/tags/Oblivious%20Asta%20(Black%20Clover),f
Jack the Ripper/Nozel Silva,7,/tags/Jack%20the%20Ripper*s*Nozel%20Silva,r
Jack the Ripper (Black Clover),152,/tags/Jack%20the%20Ripper%20(Black%20Clover),c
Sylph (Black Clover),63,/tags/Sylph%20(Black%20Clover),c
Vanessa Enoteca,673,/tags/Vanessa%20Enoteca,c
Harry Potter/Leopold Vermillion,0,/tags/Harry%20Potter*s*Leopold%20Vermillion,r
Asta/Mimosa Vermillion,47,/tags/Asta*s*Mimosa%20Vermillion,r
Black Bulls Ensemble (Black Clover),472,/tags/Black%20Bulls%20Ensemble%20(Black%20Clover),c
Magic Knights Ensemble (Black Clover),97,/tags/Magic%20Knights%20Ensemble%20(Black%20Clover),c
Marx Francois,145,/tags/Marx%20Francois,c
Kahono (Black Clover),45,/tags/Kahono%20(Black%20Clover),c
Sylph & Yuno (Black Clover),4,/tags/Sylph%20*a*%20Yuno%20(Black%20Clover),r
Finral Roulacase & Langris Vaude,188,/tags/Finral%20Roulacase%20*a*%20Langris%20Vaude,r
Yami Sukehiro/Reader,65,/tags/Yami%20Sukehiro*s*Reader,r
Vanessa Enoteca/Yami Sukehiro,14,/tags/Vanessa%20Enoteca*s*Yami%20Sukehiro,r
Klaus Lunette & Mimosa Vermillion & Yuno,29,/tags/Klaus%20Lunette%20*a*%20Mimosa%20Vermillion%20*a*%20Yuno,r
Dorothy Unsworth,146,/tags/Dorothy%20Unsworth,c
Asta & Noelle Silva,106,/tags/Asta%20*a*%20Noelle%20Silva,r
Asta & Sister Lily (Black Clover),23,/tags/Asta%20*a*%20Sister%20Lily%20(Black%20Clover),r
Magna Swing & Luck Voltia,49,/tags/Magna%20Swing%20*a*%20Luck%20Voltia,r
Luck Voltia/Reader,14,/tags/Luck%20Voltia*s*Reader,r
Noelle Silva & Magna Swing,9,/tags/Noelle%20Silva%20*a*%20Magna%20Swing,r
Sister Lily & Yuno (Black Clover),4,/tags/Sister%20Lily%20*a*%20Yuno%20(Black%20Clover),r
Rebecca Scarlet/Noelle Silva,2,/tags/Rebecca%20Scarlet*s*Noelle%20Silva,r
Asta (Black Clover)/Other(s),2,/tags/Asta%20(Black%20Clover)*s*Other(s),r
Magna Swing/Luck Voltia,187,/tags/Magna%20Swing*s*Luck%20Voltia,r
William Vangeance/Yuno,4,/tags/William%20Vangeance*s*Yuno,r
