tag,count,href,category
Artemis Entreri,302,/tags/Artemis%20Entreri,c
Liriel Baenre,7,/tags/Liriel%20Baenre,c
Drizzt Do'Urden,456,/tags/Drizzt%20Do'Urden,c
Shar-Teel Dosan,16,/tags/Shar-Teel%20Dosan,c
Viconia DeVir,100,/tags/Viconia%20DeVir,c
Khalid (Baldur's Gate),55,/tags/Khalid%20(Baldur's%20Gate),c
Xan (Baldur's Gate),36,/tags/Xan%20(Baldur's%20Gate),c
Garrick (Baldur's Gate),11,/tags/Garrick%20(Baldur's%20Gate),c
Branwen (Baldur's Gate),24,/tags/Branwen%20(Baldur's%20Gate),c
Viconia DeVir/Shar-Teel Dosan,2,/tags/Viconia%20DeVir*s*Shar-Teel%20Dosan,r
Aerie (Baldur's Gate),56,/tags/Aerie%20(Baldur's%20Gate),c
Alustriel Silverhand,109,/tags/Alustriel%20Silverhand,c
Catti-brie/Drizzt Do'Urden,28,/tags/Catti-brie*s*Drizzt%20Do'Urden,r
Edwin Odesseiron,93,/tags/Edwin%20Odesseiron,c
Jan Jansen,34,/tags/Jan%20Jansen,c
Jon Irenicus,18,/tags/Jon%20Irenicus,c
Kivan (Baldur's Gate),38,/tags/Kivan%20(Baldur's%20Gate),c
Mazzy Fentan,21,/tags/Mazzy%20Fentan,c
Brilla Silvershield,1,/tags/Brilla%20Silvershield,c
Ajantis Ilvastarr,13,/tags/Ajantis%20Ilvastarr,c
Valygar Corthala,22,/tags/Valygar%20Corthala,c
Nalia de'Arnise,23,/tags/Nalia%20de'Arnise,c
Pharaun Mizzrym,21,/tags/Pharaun%20Mizzrym,c
Drizzt Do'Urden/Alustriel Silverhand,34,/tags/Drizzt%20Do'Urden*s*Alustriel%20Silverhand,r
Alora/Edwin Odesseiron,1,/tags/Alora*s*Edwin%20Odesseiron,r
Alora (Baldur's Gate),10,/tags/Alora%20(Baldur's%20Gate),c
Viconia DeVir/Imoen,2,/tags/Viconia%20DeVir*s*Imoen,r
Viconia DeVir/Montaron,0,/tags/Viconia%20DeVir*s*Montaron,r
Keldorn Firecam/Maria Firecam,3,/tags/Keldorn%20Firecam*s*Maria%20Firecam,r
Keldorn Firecam,27,/tags/Keldorn%20Firecam,c
Maria Firecam,1,/tags/Maria%20Firecam,c
Anomen Delryn,75,/tags/Anomen%20Delryn,c
Ammon Jerro,16,/tags/Ammon%20Jerro,c
Linu La'neral,13,/tags/Linu%20La'neral,c
Valen Shadowbreath,34,/tags/Valen%20Shadowbreath,c
Deekin Scalesinger,24,/tags/Deekin%20Scalesinger,c
Skie Silvershield,16,/tags/Skie%20Silvershield,c
Aarin Gend/Hero of Neverwinter,2,/tags/Aarin%20Gend*s*Hero%20of%20Neverwinter,r
Aarin Gend,7,/tags/Aarin%20Gend,c
Daelan Red Tiger,3,/tags/Daelan%20Red%20Tiger,c
Fenthick Moss,14,/tags/Fenthick%20Moss,c
Grobnar Gnomehands,13,/tags/Grobnar%20Gnomehands,c
Aribeth de Tylmarande,31,/tags/Aribeth%20de%20Tylmarande,c
Aribeth de Tylmarande/Hero of Neverwinter,5,/tags/Aribeth%20de%20Tylmarande*s*Hero%20of%20Neverwinter,r
