tag,count,href,category
Wanda Maximoff,40326,/tags/Wanda%20Maximoff,c
Monica Rambeau,1687,/tags/Monica%20Rambeau,c
Wanda Maximoff/Vision,6303,/tags/Wanda%20Maximoff*s*Vision,r
Jimmy Woo,535,/tags/Jimmy%20Woo,c
Darcy Lewis,23923,/tags/Darcy%20Lewis,c
Agatha Harkness,1416,/tags/Agatha%20Harkness,c
Billy Kaplan & Wanda Maximoff & Tommy Shepherd,100,/tags/Billy%20Kaplan%20*a*%20Wanda%20Maximoff%20*a*%20Tommy%20Shepherd,r
Wanda Maximoff/Simon Williams,7,/tags/Wanda%20Maximoff*s*Simon%20Williams,r
Vision (Marvel),13594,/tags/Vision%20(Marvel),c
Pietro Maximoff/Reader,981,/tags/Pietro%20Maximoff*s*Reader,r
Billy Maximoff,275,/tags/Billy%20Maximoff,c
Loki/Pietro Maximoff/Reader,0,/tags/Loki*s*Pietro%20Maximoff*s*Reader,r
"Darcy Lewis/Elena ""Yo-Yo"" Rodriguez",1,/tags/Darcy%20Lewis*s*Elena%20%22Yo-Yo%22%20Rodriguez,r
"Darcy Lewis & Elena ""Yo-Yo"" Rodriguez",1,/tags/Darcy%20Lewis%20*a*%20Elena%20%22Yo-Yo%22%20Rodriguez,r
Tommy Maximoff,273,/tags/Tommy%20Maximoff,c
Sparky (Marvel),13,/tags/Sparky%20(Marvel),c
Wanda Maximoff & Ramonda,1,/tags/Wanda%20Maximoff%20*a*%20Ramonda,r
Agatha Harkness & Wanda Maximoff,222,/tags/Agatha%20Harkness%20*a*%20Wanda%20Maximoff,r
"James ""Bucky"" Barnes & Clint Barton & Scott Lang & Wanda Maximoff & Steve Rogers & Sam Wilson",0,/tags/James%20%22Bucky%22%20Barnes%20*a*%20Clint%20Barton%20*a*%20Scott%20Lang%20*a*%20Wanda%20Maximoff%20*a*%20Steve%20Rogers%20*a*%20Sam%20Wilson,r
America Chavez & Monica Rambeau,1,/tags/America%20Chavez%20*a*%20Monica%20Rambeau,r
Michelle Jones & Darcy Lewis,0,/tags/Michelle%20Jones%20*a*%20Darcy%20Lewis,r
Dennis (WandaVision),1,/tags/Dennis%20(WandaVision),c
Scott Lang/Vision,0,/tags/Scott%20Lang*s*Vision,r
Wanda Maximoff/Ramonda,0,/tags/Wanda%20Maximoff*s*Ramonda,r
Tommy Shepherd/Original Male Character(s),0,/tags/Tommy%20Shepherd*s*Original%20Male%20Character(s),r
Darcy Lewis & Morgan Stark (Marvel Cinematic Universe),4,/tags/Darcy%20Lewis%20*a*%20Morgan%20Stark%20(Marvel%20Cinematic%20Universe),r
Clarice Ferguson | Clarice Fong/Wanda Maximoff,1,/tags/Clarice%20Ferguson%20%7C%20Clarice%20Fong*s*Wanda%20Maximoff,r
Clarice Ferguson | Clarice Fong & Pietro Maximoff & Wanda Maximoff,1,/tags/Clarice%20Ferguson%20%7C%20Clarice%20Fong%20*a*%20Pietro%20Maximoff%20*a*%20Wanda%20Maximoff,r
Darcy Lewis & Vlad Masters,2,/tags/Darcy%20Lewis%20*a*%20Vlad%20Masters,r
Darcy Lewis/Jimmy Woo,36,/tags/Darcy%20Lewis*s*Jimmy%20Woo,r
Darcy Lewis & Jimmy Woo,38,/tags/Darcy%20Lewis%20*a*%20Jimmy%20Woo,r
Darcy Lewis & Monica Rambeau & Jimmy Woo,39,/tags/Darcy%20Lewis%20*a*%20Monica%20Rambeau%20*a*%20Jimmy%20Woo,r
Señor Scratchy (Marvel),18,/tags/Se%C3%B1or%20Scratchy%20(Marvel),c
Loki & Pietro Maximoff & Wanda Maximoff & Peter Parker & Shuri,1,/tags/Loki%20*a*%20Pietro%20Maximoff%20*a*%20Wanda%20Maximoff%20*a*%20Peter%20Parker%20*a*%20Shuri,r
Danny Fenton & Darcy Lewis,0,/tags/Danny%20Fenton%20*a*%20Darcy%20Lewis,r
Jimmy Woo/Reader,14,/tags/Jimmy%20Woo*s*Reader,r
Evil Queen | Regina Mills/Wanda Maximoff,1,/tags/Evil%20Queen%20%7C%20Regina%20Mills*s*Wanda%20Maximoff,r
Wanda Maximoff/Riri Williams,0,/tags/Wanda%20Maximoff*s*Riri%20Williams,r
Tyler Hayward,114,/tags/Tyler%20Hayward,c
Monica Rambeau & Reader,6,/tags/Monica%20Rambeau%20*a*%20Reader,r
Darcy Lewis & Monica Rambeau,34,/tags/Darcy%20Lewis%20*a*%20Monica%20Rambeau,r
Neville Longbottom/Wanda Maximoff,0,/tags/Neville%20Longbottom*s*Wanda%20Maximoff,r
Peter Parker & Jimmy Woo,4,/tags/Peter%20Parker%20*a*%20Jimmy%20Woo,r
Earth-2 Laurel Lance/Wanda Maximoff,2,/tags/Earth-2%20Laurel%20Lance*s*Wanda%20Maximoff,r
Monica Rambeau & Jimmy Woo,32,/tags/Monica%20Rambeau%20*a*%20Jimmy%20Woo,r
Monica Rambeau/Reader,11,/tags/Monica%20Rambeau*s*Reader,r
Stephen Strange/Vision,3,/tags/Stephen%20Strange*s*Vision,r
Helen Cho & Jane Foster & Darcy Lewis & Betty Ross,0,/tags/Helen%20Cho%20*a*%20Jane%20Foster%20*a*%20Darcy%20Lewis%20*a*%20Betty%20Ross,r
Jimmy Woo/Original Female Character(s),2,/tags/Jimmy%20Woo*s*Original%20Female%20Character(s),r
Loki & Jimmy Woo,1,/tags/Loki%20*a*%20Jimmy%20Woo,r
Jean-Paul Beaubier & Wanda Maximoff,0,/tags/Jean-Paul%20Beaubier%20*a*%20Wanda%20Maximoff,r
Jeanne-Marie Beaubier & Wanda Maximoff,1,/tags/Jeanne-Marie%20Beaubier%20*a*%20Wanda%20Maximoff,r
Darcy Lewis/Neville Longbottom,1,/tags/Darcy%20Lewis*s*Neville%20Longbottom,r
Stan Nielson,0,/tags/Stan%20Nielson,c
Billy Kaplan/Tommy Shepherd/Original Male Character(s),0,/tags/Billy%20Kaplan*s*Tommy%20Shepherd*s*Original%20Male%20Character(s),r
Draco Malfoy & Wanda Maximoff,0,/tags/Draco%20Malfoy%20*a*%20Wanda%20Maximoff,r
"James ""Bucky"" Barnes/Clint Barton/Darcy Lewis/Natasha Romanov",6,/tags/James%20%22Bucky%22%20Barnes*s*Clint%20Barton*s*Darcy%20Lewis*s*Natasha%20Romanov,r
Darcy Lewis/Edmund Pevensie,1,/tags/Darcy%20Lewis*s*Edmund%20Pevensie,r
