tag,count,href,category
Becca Fisher,45,/tags/Becca%20Fisher,c
Alec Hardy,1990,/tags/Alec%20Hardy,c
Mark Latimer,75,/tags/Mark%20Latimer,c
Beth Latimer,213,/tags/Beth%20Latimer,c
Chloe Latimer,85,/tags/Chloe%20Latimer,c
Liz Roper,6,/tags/Liz%20Roper,c
Alec Hardy/Donna Noble,8,/tags/Alec%20Hardy*s*Donna%20Noble,r
Alec Hardy/Ellie Miller,923,/tags/Alec%20Hardy*s*Ellie%20Miller,r
Paul Coates,142,/tags/Paul%20Coates,c
Alec Hardy/Rose Tyler,248,/tags/Alec%20Hardy*s*Rose%20Tyler,r
Hannah Baxter/Alec Hardy,95,/tags/Hannah%20Baxter*s*Alec%20Hardy,r
Castiel (Supernatural)/Alec Hardy,0,/tags/Castiel%20(Supernatural)*s*Alec%20Hardy,r
Becca Fisher/Mark Latimer,1,/tags/Becca%20Fisher*s*Mark%20Latimer,r
Beth Latimer/Mark Latimer,20,/tags/Beth%20Latimer*s*Mark%20Latimer,r
Alec Hardy/Holly (True Love),2,/tags/Alec%20Hardy*s*Holly%20(True%20Love),r
Dean Thomas (Broadchurch),3,/tags/Dean%20Thomas%20(Broadchurch),c
Elaine Jenkinson,52,/tags/Elaine%20Jenkinson,c
Olly Stevens,68,/tags/Olly%20Stevens,c
Alec Hardy & Ellie Miller,521,/tags/Alec%20Hardy%20*a*%20Ellie%20Miller,r
Becca Fisher/Alec Hardy,2,/tags/Becca%20Fisher*s*Alec%20Hardy,r
Paul Coates/Alec Hardy,58,/tags/Paul%20Coates*s*Alec%20Hardy,r
Stella Gibson/Alec Hardy,1,/tags/Stella%20Gibson*s*Alec%20Hardy,r
Alec Hardy/Other(s),1,/tags/Alec%20Hardy*s*Other(s),r
Paul Coates/Beth Latimer,7,/tags/Paul%20Coates*s*Beth%20Latimer,r
Paul Coates/Becca Fisher,5,/tags/Paul%20Coates*s*Becca%20Fisher,r
Marvin Baxter,1,/tags/Marvin%20Baxter,c
Cate Gillespie,11,/tags/Cate%20Gillespie,c
Lucy Stevens (Broadchurch),77,/tags/Lucy%20Stevens%20(Broadchurch),c
Danny Latimer,26,/tags/Danny%20Latimer,c
Ellie Miller (Broadchurch),1268,/tags/Ellie%20Miller%20(Broadchurch),c
Tom Miller (Broadchurch),289,/tags/Tom%20Miller%20(Broadchurch),c
Broadchurch Spoilers,6,/tags/Broadchurch%20Spoilers,f
Alec Hardy (Broadchurch)/Sarah Postern (Big School),13,/tags/Alec%20Hardy%20(Broadchurch)*s*Sarah%20Postern%20(Big%20School),r
Alec Hardy/Karen White,0,/tags/Alec%20Hardy*s*Karen%20White,r
Jack Marshall,14,/tags/Jack%20Marshall,c
Donald Hardy,6,/tags/Donald%20Hardy,c
Karen White (Broadchurch),9,/tags/Karen%20White%20(Broadchurch),c
Brian Young,26,/tags/Brian%20Young,c
Paul Coates/Amy Pond (Doctor Who),1,/tags/Paul%20Coates*s*Amy%20Pond%20(Doctor%20Who),r
Pre-Broadchurch,4,/tags/Pre-Broadchurch,f
Alec Hardy/Reader,23,/tags/Alec%20Hardy*s*Reader,r
Claire Ripley,32,/tags/Claire%20Ripley,c
Lee Ashworth,54,/tags/Lee%20Ashworth,c
Lee Ashworth/Alec Hardy,27,/tags/Lee%20Ashworth*s*Alec%20Hardy,r
Alec Hardy/Claire Ripley,0,/tags/Alec%20Hardy*s*Claire%20Ripley,r
Daisy Hardy,457,/tags/Daisy%20Hardy,c
Emmett Carver/Alec Hardy,2,/tags/Emmett%20Carver*s*Alec%20Hardy,r
Jocelyn Knight/Maggie Radcliffe,124,/tags/Jocelyn%20Knight*s*Maggie%20Radcliffe,r
Jocelyn Knight,144,/tags/Jocelyn%20Knight,c
Maggie Radcliffe,153,/tags/Maggie%20Radcliffe,c
Ricky Gillespie,12,/tags/Ricky%20Gillespie,c
Pippa Gillespie,9,/tags/Pippa%20Gillespie,c
Tess Henchard,175,/tags/Tess%20Henchard,c
Abby Thompson,5,/tags/Abby%20Thompson,c
Susan Wright,11,/tags/Susan%20Wright,c
Sharon Bishop,11,/tags/Sharon%20Bishop,c
Lisa Newbury,5,/tags/Lisa%20Newbury,c
Alec Hardy/Tess Henchard,27,/tags/Alec%20Hardy*s*Tess%20Henchard,r
Timepetalsprompts,79,/tags/Timepetalsprompts,f
Alec Hardy/Jessica Jones,0,/tags/Alec%20Hardy*s*Jessica%20Jones,r
Alec Hardy & Rose Tyler,1,/tags/Alec%20Hardy%20*a*%20Rose%20Tyler,r
Danny Latimer/Tom Miller,2,/tags/Danny%20Latimer*s*Tom%20Miller,r
Alec Hardy/Dr Pete (The Field of Blood),0,/tags/Alec%20Hardy*s*Dr%20Pete%20(The%20Field%20of%20Blood),r
Ellie Miller (Broadchurch)/Other(s),1,/tags/Ellie%20Miller%20(Broadchurch)*s*Other(s),r
Alec Hardy/Original Character(s),3,/tags/Alec%20Hardy*s*Original%20Character(s),r
