tag,count,href,category
Duncan MacLeod,2607,/tags/Duncan%20MacLeod,c
Joe Dawson,1481,/tags/Joe%20Dawson,c
Connor MacLeod,315,/tags/Connor%20MacLeod,c
Richie Ryan,749,/tags/Richie%20Ryan,c
Anne Lindsey,33,/tags/Anne%20Lindsey,c
Tessa Noel,157,/tags/Tessa%20Noel,c
Michelle Webster,30,/tags/Michelle%20Webster,c
Robert de Valicourt,35,/tags/Robert%20de%20Valicourt,c
Gina de Valicourt,35,/tags/Gina%20de%20Valicourt,c
Jim Ellison/Duncan MacLeod,1,/tags/Jim%20Ellison*s*Duncan%20MacLeod,r
Duncan MacLeod/Tessa Noel,81,/tags/Duncan%20MacLeod*s*Tessa%20Noel,r
Hugh Fitzcairn,78,/tags/Hugh%20Fitzcairn,c
Amanda Darieux,782,/tags/Amanda%20Darieux,c
Amanda Darieux/Nick Wolfe,51,/tags/Amanda%20Darieux*s*Nick%20Wolfe,r
Rebecca Horne,107,/tags/Rebecca%20Horne,c
John Bowers/Rebecca Horne,2,/tags/John%20Bowers*s*Rebecca%20Horne,r
Episode: s05e13 Revelation 6:8,37,/tags/Episode:%20s05e13%20Revelation%206:8,f
Episode: s05e12 Comes a Horseman,31,/tags/Episode:%20s05e12%20Comes%20a%20Horseman,f
Amy Brennan-Thomas,28,/tags/Amy%20Brennan-Thomas,c
Amanda Darieux/Duncan MacLeod,78,/tags/Amanda%20Darieux*s*Duncan%20MacLeod,r
Cory Raines,89,/tags/Cory%20Raines,c
Mike Barrett,5,/tags/Mike%20Barrett,c
Matthew McCormick,84,/tags/Matthew%20McCormick,c
Alexa Bond,72,/tags/Alexa%20Bond,c
K'Immie,5,/tags/K'Immie,f
Nicholas Ward,1,/tags/Nicholas%20Ward,c
Amanda Darieux/Connor MacLeod,1,/tags/Amanda%20Darieux*s*Connor%20MacLeod,r
Rachel Ellenstein/Connor MacLeod,0,/tags/Rachel%20Ellenstein*s*Connor%20MacLeod,r
Kristin Gilles,4,/tags/Kristin%20Gilles,c
Benny Carbassa,6,/tags/Benny%20Carbassa,c
James Horton,26,/tags/James%20Horton,c
Duncan MacLeod/Cory Raines,5,/tags/Duncan%20MacLeod*s*Cory%20Raines,r
Jack Harkness/Duncan MacLeod,1,/tags/Jack%20Harkness*s*Duncan%20MacLeod,r
Amanda Darieux/Rebecca Horne,16,/tags/Amanda%20Darieux*s*Rebecca%20Horne,r
Marcus Constantine,31,/tags/Marcus%20Constantine,c
Amanda Darieux/Parker (Leverage),1,/tags/Amanda%20Darieux*s*Parker%20(Leverage),r
The Gathering,70,/tags/The%20Gathering,f
Quickening Tricks,12,/tags/Quickening%20Tricks,f
POV: Duncan MacLeod,14,/tags/POV:%20Duncan%20MacLeod,f
Amanda Darieux/Gwen Raiden,1,/tags/Amanda%20Darieux*s*Gwen%20Raiden,r
Amanda Darieux/Ezra Standish,3,/tags/Amanda%20Darieux*s*Ezra%20Standish,r
Jacob Galati,5,/tags/Jacob%20Galati,c
Rachel MacLeod,6,/tags/Rachel%20MacLeod,c
Amanda Darieux/Richie Ryan,2,/tags/Amanda%20Darieux*s*Richie%20Ryan,r
Episode: s06e13 Not to Be (2),9,/tags/Episode:%20s06e13%20Not%20to%20Be%20(2),f
Episode: s06e12 To Be (1),3,/tags/Episode:%20s06e12%20To%20Be%20(1),f
Episode: s05e20 Archangel,10,/tags/Episode:%20s05e20%20Archangel,f
Episode: s04e14 Deliverance,0,/tags/Episode:%20s04e14%20Deliverance,f
Non Canonical Immortal,206,/tags/Non%20Canonical%20Immortal,f
Debra Campbell,2,/tags/Debra%20Campbell,c
Little Deer,5,/tags/Little%20Deer,c
Amanda Darieux/Cory Raines,4,/tags/Amanda%20Darieux*s*Cory%20Raines,r
