tag,count,href,category
Qui-Gon Jinn,11028,/tags/Qui-Gon%20Jinn,c
Obi-Wan Kenobi,52290,/tags/Obi-Wan%20Kenobi,c
Han Solo,18261,/tags/Han%20Solo,c
Lando Calrissian,3063,/tags/Lando%20Calrissian,c
Boba Fett,6671,/tags/Boba%20Fett,c
Anakin Skywalker,34856,/tags/Anakin%20Skywalker,c
Qui-Gon Jinn/Obi-Wan Kenobi,4760,/tags/Qui-Gon%20Jinn*s*Obi-Wan%20Kenobi,r
Lando Calrissian/Han Solo,411,/tags/Lando%20Calrissian*s*Han%20Solo,r
Obi-Wan Kenobi/Darth Maul,653,/tags/Obi-Wan%20Kenobi*s*Darth%20Maul,r
Darth Sidious,593,/tags/Darth%20Sidious,c
Darth Vader,5048,/tags/Darth%20Vader,c
Bail Organa,3794,/tags/Bail%20Organa,c
Breha Organa,1207,/tags/Breha%20Organa,c
Bail Organa/Breha Organa,422,/tags/Bail%20Organa*s*Breha%20Organa,r
Garm Bel Iblis,72,/tags/Garm%20Bel%20Iblis,c
Darth Maul,4975,/tags/Darth%20Maul,c
Kit Fisto,1378,/tags/Kit%20Fisto,c
Mace Windu,7629,/tags/Mace%20Windu,c
Tia Organa,13,/tags/Tia%20Organa,c
Celly Organa,18,/tags/Celly%20Organa,c
Luke Skywalker,29871,/tags/Luke%20Skywalker,c
Leia Organa,32175,/tags/Leia%20Organa,c
Rouge Organa,25,/tags/Rouge%20Organa,c
Shmi Skywalker,2605,/tags/Shmi%20Skywalker,c
Obi-Wan Kenobi/Anakin Skywalker,12786,/tags/Obi-Wan%20Kenobi*s*Anakin%20Skywalker,r
Luke Skywalker/Han Solo,2023,/tags/Luke%20Skywalker*s*Han%20Solo,r
Qui-Gon Jinn/Mace Windu,24,/tags/Qui-Gon%20Jinn*s*Mace%20Windu,r
Padmé Amidala,15291,/tags/Padm%C3%A9%20Amidala,c
Padmé Amidala/Anakin Skywalker,9697,/tags/Padm%C3%A9%20Amidala*s*Anakin%20Skywalker,r
Qui-Gon Jinn/Shmi Skywalker,106,/tags/Qui-Gon%20Jinn*s*Shmi%20Skywalker,r
Noirah Na,3,/tags/Noirah%20Na,c
Qui-Gon Jinn/Original Male Character,5,/tags/Qui-Gon%20Jinn*s*Original%20Male%20Character,r
Bant Eerin,956,/tags/Bant%20Eerin,c
Quinlan Vos,3846,/tags/Quinlan%20Vos,c
Obi-Wan Kenobi/Quinlan Vos,546,/tags/Obi-Wan%20Kenobi*s*Quinlan%20Vos,r
Finis Valorum,95,/tags/Finis%20Valorum,c
Obi-Wan Kenobi/Garen Muln,15,/tags/Obi-Wan%20Kenobi*s*Garen%20Muln,r
Obi-Wan Kenobi/Siri Tachi,168,/tags/Obi-Wan%20Kenobi*s*Siri%20Tachi,r
Siri Tachi,658,/tags/Siri%20Tachi,c
Obi-Wan Kenobi/Bail Organa,190,/tags/Obi-Wan%20Kenobi*s*Bail%20Organa,r
Qui-Gon Jinn/Darth Maul,18,/tags/Qui-Gon%20Jinn*s*Darth%20Maul,r
The Force/Shmi Skywalker,28,/tags/The%20Force*s*Shmi%20Skywalker,r
Carlist Rieekan,185,/tags/Carlist%20Rieekan,c
Leia Organa/Han Solo,6717,/tags/Leia%20Organa*s*Han%20Solo,r
Crix Madine,103,/tags/Crix%20Madine,c
Crix Madine/Han Solo,1,/tags/Crix%20Madine*s*Han%20Solo,r
Leia Organa/Luke Skywalker/Han Solo,307,/tags/Leia%20Organa*s*Luke%20Skywalker*s*Han%20Solo,r
Mara Jade,2008,/tags/Mara%20Jade,c
Leia Organa/Luke Skywalker,382,/tags/Leia%20Organa*s*Luke%20Skywalker,r
Mara Jade/Luke Skywalker,1363,/tags/Mara%20Jade*s*Luke%20Skywalker,r
Xanatos (Star Wars),589,/tags/Xanatos%20(Star%20Wars),c
Bruck Chun,255,/tags/Bruck%20Chun,c
Bruck Chun/Obi-Wan Kenobi,37,/tags/Bruck%20Chun*s*Obi-Wan%20Kenobi,r
Winter Celchu,248,/tags/Winter%20Celchu,c
Winter Celchu/Leia Organa,9,/tags/Winter%20Celchu*s*Leia%20Organa,r
Jaina Solo,693,/tags/Jaina%20Solo,c
Jaina Solo/Tahiri Veila,8,/tags/Jaina%20Solo*s*Tahiri%20Veila,r
Anni Capstan,4,/tags/Anni%20Capstan,c
Anni Capstan/Jaina Solo,1,/tags/Anni%20Capstan*s*Jaina%20Solo,r
Depa Billaba,1215,/tags/Depa%20Billaba,c
Adi Gallia,520,/tags/Adi%20Gallia,c
Aayla Secura,1796,/tags/Aayla%20Secura,c
Shaak Ti,1620,/tags/Shaak%20Ti,c
Jacen Solo,453,/tags/Jacen%20Solo,c
Anakin Solo,244,/tags/Anakin%20Solo,c
Ahsoka Tano,20328,/tags/Ahsoka%20Tano,c
Allana Solo,109,/tags/Allana%20Solo,c
Mon Mothma,1803,/tags/Mon%20Mothma,c
Jamillia (Star Wars),16,/tags/Jamillia%20(Star%20Wars),c
Apailana (Star Wars),41,/tags/Apailana%20(Star%20Wars),c
Kylantha (Star Wars),5,/tags/Kylantha%20(Star%20Wars),c
Sabé (Star Wars),1134,/tags/Sab%C3%A9%20(Star%20Wars),c
Cordé (Star Wars),89,/tags/Cord%C3%A9%20(Star%20Wars),c
Raymus Antilles,29,/tags/Raymus%20Antilles,c
Rahm Kota,63,/tags/Rahm%20Kota,c
Padmé Amidala/Obi-Wan Kenobi,912,/tags/Padm%C3%A9%20Amidala*s*Obi-Wan%20Kenobi,r
Natasi Daala,89,/tags/Natasi%20Daala,c
Gilad Pellaeon,677,/tags/Gilad%20Pellaeon,c
Jango Fett,3908,/tags/Jango%20Fett,c
Pooja Naberrie,200,/tags/Pooja%20Naberrie,c
Ryoo Naberrie,133,/tags/Ryoo%20Naberrie,c
Sola Naberrie,313,/tags/Sola%20Naberrie,c
Owen Lars,1332,/tags/Owen%20Lars,c
Beru Whitesun,1142,/tags/Beru%20Whitesun,c
Nomi Sunrider,21,/tags/Nomi%20Sunrider,c
Tott Doneeta,4,/tags/Tott%20Doneeta,c
Exar Kun,68,/tags/Exar%20Kun,c
Etain Tur-Mukan,116,/tags/Etain%20Tur-Mukan,c
Obi-Wan Kenobi/Mace Windu,123,/tags/Obi-Wan%20Kenobi*s*Mace%20Windu,r
Ackmena (Star Wars),5,/tags/Ackmena%20(Star%20Wars),c
Luminara Unduli,1104,/tags/Luminara%20Unduli,c
Zekk (Star Wars),73,/tags/Zekk%20(Star%20Wars),c
Rostek Horn,13,/tags/Rostek%20Horn,c
Ferus Olin,344,/tags/Ferus%20Olin,c
Tenel Ka Djo/Jacen Solo,117,/tags/Tenel%20Ka%20Djo*s*Jacen%20Solo,r
Tholme (Star Wars),307,/tags/Tholme%20(Star%20Wars),c
Wedge Antilles,2141,/tags/Wedge%20Antilles,c
Roan Shryne,6,/tags/Roan%20Shryne,c
Obi-Wan Kenobi/Xanatos,32,/tags/Obi-Wan%20Kenobi*s*Xanatos,r
Bastila Shan,707,/tags/Bastila%20Shan,c
Canderous Ordo,350,/tags/Canderous%20Ordo,c
Darth Malak,79,/tags/Darth%20Malak,c
Saul Karath,51,/tags/Saul%20Karath,c
Jolee Bindo,187,/tags/Jolee%20Bindo,c
Padmé Amidala/Siri Tachi,1,/tags/Padm%C3%A9%20Amidala*s*Siri%20Tachi,r
The Force/Luke Skywalker,2,/tags/The%20Force*s*Luke%20Skywalker,r
Firmus Piett,1167,/tags/Firmus%20Piett,c
Wedge Antilles/Luke Skywalker,329,/tags/Wedge%20Antilles*s*Luke%20Skywalker,r
Qui-Gon Jinn/Jean-Luc Picard,0,/tags/Qui-Gon%20Jinn*s*Jean-Luc%20Picard,r
Kyp Durron,162,/tags/Kyp%20Durron,c
Valin Horn,33,/tags/Valin%20Horn,c
Kam Solusar,41,/tags/Kam%20Solusar,c
Ganner Rhysode,11,/tags/Ganner%20Rhysode,c
Obi-Wan Kenobi/Duncan MacLeod,1,/tags/Obi-Wan%20Kenobi*s*Duncan%20MacLeod,r
Padmé Amidala/Obi-Wan Kenobi/Anakin Skywalker,793,/tags/Padm%C3%A9%20Amidala*s*Obi-Wan%20Kenobi*s*Anakin%20Skywalker,r
Daniel Jackson/Obi-Wan Kenobi,0,/tags/Daniel%20Jackson*s*Obi-Wan%20Kenobi,r
Callista Ming/Luke Skywalker,29,/tags/Callista%20Ming*s*Luke%20Skywalker,r
Callista Ming,55,/tags/Callista%20Ming,c
Jagged Fel,138,/tags/Jagged%20Fel,c
Jagged Fel/Jaina Solo,111,/tags/Jagged%20Fel*s*Jaina%20Solo,r
Tionne Solusar,62,/tags/Tionne%20Solusar,c
Jim Ellison/Obi-Wan Kenobi/Blair Sandburg,0,/tags/Jim%20Ellison*s*Obi-Wan%20Kenobi*s*Blair%20Sandburg,r
Draco Malfoy/Darth Maul,0,/tags/Draco%20Malfoy*s*Darth%20Maul,r
Obi-Wan Kenobi/Severus Snape,0,/tags/Obi-Wan%20Kenobi*s*Severus%20Snape,r
