tag,count,href,category
Fox Mulder,16686,/tags/Fox%20Mulder,c
Melvin Frohike,510,/tags/Melvin%20Frohike,c
Dana Scully,16439,/tags/Dana%20Scully,c
Walter Skinner,2483,/tags/Walter%20Skinner,c
Alex Krycek,2220,/tags/Alex%20Krycek,c
John Doggett,765,/tags/John%20Doggett,c
Diana Fowley,431,/tags/Diana%20Fowley,c
Alvin Kersh,94,/tags/Alvin%20Kersh,c
Samantha Mulder,254,/tags/Samantha%20Mulder,c
Cassandra Spender,17,/tags/Cassandra%20Spender,c
Jeffrey Spender,142,/tags/Jeffrey%20Spender,c
Monica Reyes,743,/tags/Monica%20Reyes,c
Melissa Scully,372,/tags/Melissa%20Scully,c
Margaret Scully,977,/tags/Margaret%20Scully,c
Gibson Praise,72,/tags/Gibson%20Praise,c
Phoebe Green,64,/tags/Phoebe%20Green,c
Fox Mulder/Dana Scully,14538,/tags/Fox%20Mulder*s*Dana%20Scully,r
Lisa Cuddy/Dana Scully,1,/tags/Lisa%20Cuddy*s*Dana%20Scully,r
Marita Covarrubias,136,/tags/Marita%20Covarrubias,c
John Doggett/Monica Reyes,251,/tags/John%20Doggett*s*Monica%20Reyes,r
Ianto Jones/Alex Krycek,2,/tags/Ianto%20Jones*s*Alex%20Krycek,r
Jack Harkness/Alex Krycek,2,/tags/Jack%20Harkness*s*Alex%20Krycek,r
Alex Krycek/Samantha Mulder,3,/tags/Alex%20Krycek*s*Samantha%20Mulder,r
Diana Fowley/Fox Mulder,105,/tags/Diana%20Fowley*s*Fox%20Mulder,r
Alex Krycek/Fox Mulder,2162,/tags/Alex%20Krycek*s*Fox%20Mulder,r
Fox Mulder/Walter Skinner,770,/tags/Fox%20Mulder*s*Walter%20Skinner,r
John Doggett/Dana Scully,64,/tags/John%20Doggett*s*Dana%20Scully,r
Diana Fowley/Dana Scully,10,/tags/Diana%20Fowley*s*Dana%20Scully,r
Alex Krycek/Dana Scully,59,/tags/Alex%20Krycek*s*Dana%20Scully,r
Alex Krycek/Eric Weiss,1,/tags/Alex%20Krycek*s*Eric%20Weiss,r
Fox Mulder/Jeffrey Spender,3,/tags/Fox%20Mulder*s*Jeffrey%20Spender,r
Alex Krycek/Jeffrey Spender,16,/tags/Alex%20Krycek*s*Jeffrey%20Spender,r
Alex Krycek/Fox Mulder/Jeffrey Spender,1,/tags/Alex%20Krycek*s*Fox%20Mulder*s*Jeffrey%20Spender,r
Bill Patterson,6,/tags/Bill%20Patterson,c
Ethan Minette,59,/tags/Ethan%20Minette,c
Ethan Minette/Dana Scully,33,/tags/Ethan%20Minette*s*Dana%20Scully,r
William Mulder,113,/tags/William%20Mulder,c
Tyler Durden/Alex Krycek,0,/tags/Tyler%20Durden*s*Alex%20Krycek,r
Brad Follmer,28,/tags/Brad%20Follmer,c
Charlie Scully,197,/tags/Charlie%20Scully,c
Brad Follmer/Monica Reyes,12,/tags/Brad%20Follmer*s*Monica%20Reyes,r
Alex Krycek/Pendrell,2,/tags/Alex%20Krycek*s*Pendrell,r
Alex Krycek/Fox Mulder/Pendrell,3,/tags/Alex%20Krycek*s*Fox%20Mulder*s*Pendrell,r
Josh Lyman/Walter Skinner,2,/tags/Josh%20Lyman*s*Walter%20Skinner,r
Tom Hobbes/Alex Krycek,2,/tags/Tom%20Hobbes*s*Alex%20Krycek,r
Alex Krycek/Fox Mulder/Dana Scully,41,/tags/Alex%20Krycek*s*Fox%20Mulder*s*Dana%20Scully,r
William Scully,420,/tags/William%20Scully,c
Melvin Frohike/Fox Mulder,11,/tags/Melvin%20Frohike*s*Fox%20Mulder,r
Dana Scully/Walter Skinner,133,/tags/Dana%20Scully*s*Walter%20Skinner,r
Laura Roslin/Dana Scully,1,/tags/Laura%20Roslin*s*Dana%20Scully,r
Teena Mulder,183,/tags/Teena%20Mulder,c
Alex Krycek/Walter Skinner,474,/tags/Alex%20Krycek*s*Walter%20Skinner,r
Community: ds_c6d_bigbang,17,/tags/Community:%20ds_c6d_bigbang,f
Dana Scully/Jake Winters,1,/tags/Dana%20Scully*s*Jake%20Winters,r
Ed Jerse/Dana Scully,14,/tags/Ed%20Jerse*s*Dana%20Scully,r
John Doggett/Walter Skinner,53,/tags/John%20Doggett*s*Walter%20Skinner,r
Alex Krycek/Wesley Wyndam-Pryce,0,/tags/Alex%20Krycek*s*Wesley%20Wyndam-Pryce,r
Richard Matheson,3,/tags/Richard%20Matheson,c
Richard Matheson/Fox Mulder,0,/tags/Richard%20Matheson*s*Fox%20Mulder,r
Margaret Scully/Walter Skinner,9,/tags/Margaret%20Scully*s*Walter%20Skinner,r
Melvin Frohike/Dana Scully,42,/tags/Melvin%20Frohike*s*Dana%20Scully,r
Alex Krycek/Fox Mulder/Other(s),3,/tags/Alex%20Krycek*s*Fox%20Mulder*s*Other(s),r
Alex Krycek/Other(s),64,/tags/Alex%20Krycek*s*Other(s),r
Temperance Brennan/Dana Scully,1,/tags/Temperance%20Brennan*s*Dana%20Scully,r
Dana Scully/Other(s),242,/tags/Dana%20Scully*s*Other(s),r
Fox Mulder/Other(s),109,/tags/Fox%20Mulder*s*Other(s),r
Fox Mulder/Fox Mulder,2,/tags/Fox%20Mulder*s*Fox%20Mulder,r
Marita Covarrubias/Alex Krycek,69,/tags/Marita%20Covarrubias*s*Alex%20Krycek,r
Fox Mulder/Pendrell,2,/tags/Fox%20Mulder*s*Pendrell,r
Samuel Hartley,1,/tags/Samuel%20Hartley,c
Cigarette Smoking Man/Teena Mulder,20,/tags/Cigarette%20Smoking%20Man*s*Teena%20Mulder,r
Alex Krycek/Maximillian,2,/tags/Alex%20Krycek*s*Maximillian,r
