tag,count,href,category
Bakugou Katsuki/Midoriya Izuku,60413,/tags/Bakugou%20Katsuki*s*Midoriya%20Izuku,r
Bakugou Katsuki,145527,/tags/Bakugou%20Katsuki,c
Midoriya Izuku,162206,/tags/Midoriya%20Izuku,c
Kirishima Eijirou,72599,/tags/Kirishima%20Eijirou,c
Tokoyami Fumikage,12502,/tags/Tokoyami%20Fumikage,c
Iida Tenya,32347,/tags/Iida%20Tenya,c
Sero Hanta,28221,/tags/Sero%20Hanta,c
Uraraka Ochako,53451,/tags/Uraraka%20Ochako,c
Aoyama Yuuga,6710,/tags/Aoyama%20Yuuga,c
Shouji Mezou,5934,/tags/Shouji%20Mezou,c
Ojiro Mashirao,6579,/tags/Ojiro%20Mashirao,c
Ashido Mina,37806,/tags/Ashido%20Mina,c
Kaminari Denki,53294,/tags/Kaminari%20Denki,c
Jirou Kyouka,23307,/tags/Jirou%20Kyouka,c
Asui Tsuyu,18383,/tags/Asui%20Tsuyu,c
Mineta Minoru,6422,/tags/Mineta%20Minoru,c
Todoroki Shouto,83475,/tags/Todoroki%20Shouto,c
Hagakure Tooru,9224,/tags/Hagakure%20Tooru,c
Midoriya Izuku/Todoroki Shouto,30686,/tags/Midoriya%20Izuku*s*Todoroki%20Shouto,r
Bakugou Katsuki/Kirishima Eijirou,38964,/tags/Bakugou%20Katsuki*s*Kirishima%20Eijirou,r
Midoriya Izuku/Uraraka Ochako,9224,/tags/Midoriya%20Izuku*s*Uraraka%20Ochako,r
Monoma Neito,7234,/tags/Monoma%20Neito,c
Hatsume Mei,6388,/tags/Hatsume%20Mei,c
Shinsou Hitoshi,43101,/tags/Shinsou%20Hitoshi,c
Puella Magi Madoka Magica References,120,/tags/Puella%20Magi%20Madoka%20Magica%20References,f
Tetsutetsu Tetsutetsu,3521,/tags/Tetsutetsu%20Tetsutetsu,c
Bakugou Katsuki/Todoroki Shouto,16633,/tags/Bakugou%20Katsuki*s*Todoroki%20Shouto,r
Bakugou Katsuki/Reader,7533,/tags/Bakugou%20Katsuki*s*Reader,r
Midoriya Izuku/Reader,2966,/tags/Midoriya%20Izuku*s*Reader,r
Kirishima Eijirou/Reader,2334,/tags/Kirishima%20Eijirou*s*Reader,r
Tetsutetsu Tetsutetsu/Reader,91,/tags/Tetsutetsu%20Tetsutetsu*s*Reader,r
Todoroki Shouto/Reader,2856,/tags/Todoroki%20Shouto*s*Reader,r
Bakugou Katsuki/Uraraka Ochako,8107,/tags/Bakugou%20Katsuki*s*Uraraka%20Ochako,r
Kendou Itsuka,3338,/tags/Kendou%20Itsuka,c
Bakugou Katsuki & Midoriya Izuku,17784,/tags/Bakugou%20Katsuki%20*a*%20Midoriya%20Izuku,r
Iida Tenya & Midoriya Izuku,1687,/tags/Iida%20Tenya%20*a*%20Midoriya%20Izuku,r
Iida Tenya & Midoriya Izuku & Uraraka Ochako,865,/tags/Iida%20Tenya%20*a*%20Midoriya%20Izuku%20*a*%20Uraraka%20Ochako,r
Iida Tenya/Midoriya Izuku,1181,/tags/Iida%20Tenya*s*Midoriya%20Izuku,r
Iida Tenya/Midoriya Izuku/Uraraka Ochako,174,/tags/Iida%20Tenya*s*Midoriya%20Izuku*s*Uraraka%20Ochako,r
Midoriya Izuku/Shinsou Hitoshi,6286,/tags/Midoriya%20Izuku*s*Shinsou%20Hitoshi,r
Ishiyama Ken | Cementoss,1147,/tags/Ishiyama%20Ken%20%7C%20Cementoss,c
Monoma Neito/Shinsou Hitoshi,1206,/tags/Monoma%20Neito*s*Shinsou%20Hitoshi,r
Satou Rikidou,4506,/tags/Satou%20Rikidou,c
Kouda Kouji,3612,/tags/Kouda%20Kouji,c
Iida Tenya/Uraraka Ochako,1984,/tags/Iida%20Tenya*s*Uraraka%20Ochako,r
Kirishima Eijirou/Tetsutetsu Tetsutetsu,350,/tags/Kirishima%20Eijirou*s*Tetsutetsu%20Tetsutetsu,r
Toga Himiko,15560,/tags/Toga%20Himiko,c
Yaoyorozu Momo,27839,/tags/Yaoyorozu%20Momo,c
Aizawa Shouta | Eraserhead,81011,/tags/Aizawa%20Shouta%20%7C%20Eraserhead,c
Todoroki Enji | Endeavor,22606,/tags/Todoroki%20Enji%20%7C%20Endeavor,c
Todoroki Shouto/Yaoyorozu Momo,4417,/tags/Todoroki%20Shouto*s*Yaoyorozu%20Momo,r
Nedzu (My Hero Academia),8586,/tags/Nedzu%20(My%20Hero%20Academia),c
Hagakure Tooru/Ojiro Mashirao,1502,/tags/Hagakure%20Tooru*s*Ojiro%20Mashirao,r
Kayama Nemuri | Midnight,13958,/tags/Kayama%20Nemuri%20%7C%20Midnight,c
Tsukauchi Naomasa,6830,/tags/Tsukauchi%20Naomasa,c
Bakugou Katsuki/Original Character(s),595,/tags/Bakugou%20Katsuki*s*Original%20Character(s),r
Tokoyami Fumikage/Original Character(s),32,/tags/Tokoyami%20Fumikage*s*Original%20Character(s),r
Kaminari Denki/Original Character(s),133,/tags/Kaminari%20Denki*s*Original%20Character(s),r
Kirishima Eijirou/Original Character(s),196,/tags/Kirishima%20Eijirou*s*Original%20Character(s),r
Midoriya Izuku/Original Character(s),372,/tags/Midoriya%20Izuku*s*Original%20Character(s),r
Todoroki Shouto/Original Character(s),358,/tags/Todoroki%20Shouto*s*Original%20Character(s),r
Todoroki Fuyumi,9204,/tags/Todoroki%20Fuyumi,c
Kaminari Denki/Kirishima Eijirou,2283,/tags/Kaminari%20Denki*s*Kirishima%20Eijirou,r
Hatsume Mei/Uraraka Ochako,68,/tags/Hatsume%20Mei*s*Uraraka%20Ochako,r
Bakugou Katsuki/Everyone,131,/tags/Bakugou%20Katsuki*s*Everyone,r
Todoroki Shouto & Yaoyorozu Momo,1488,/tags/Todoroki%20Shouto%20*a*%20Yaoyorozu%20Momo,r
Midoriya Izuku & Todoroki Shouto,7694,/tags/Midoriya%20Izuku%20*a*%20Todoroki%20Shouto,r
Bakugou Katsuki & Kirishima Eijirou,5836,/tags/Bakugou%20Katsuki%20*a*%20Kirishima%20Eijirou,r
Bubaigawara Jin | Twice,6265,/tags/Bubaigawara%20Jin%20%7C%20Twice,c
Iguchi Shuuichi | Spinner,4223,/tags/Iguchi%20Shuuichi%20%7C%20Spinner,c
Sako Atsuhiro | Mr. Compress,4366,/tags/Sako%20Atsuhiro%20%7C%20Mr*d*%20Compress,c
Asui Tsuyu/Uraraka Ochako,3264,/tags/Asui%20Tsuyu*s*Uraraka%20Ochako,r
Shuuzenji Chiyo | Recovery Girl,5522,/tags/Shuuzenji%20Chiyo%20%7C%20Recovery%20Girl,c
Kurogiri (My Hero Academia),8056,/tags/Kurogiri%20(My%20Hero%20Academia),c
Akaguro Chizome | Stain,2654,/tags/Akaguro%20Chizome%20%7C%20Stain,c
Midoriya Inko,27568,/tags/Midoriya%20Inko,c
Aoyama Yuuga/Tokoyami Fumikage,164,/tags/Aoyama%20Yuuga*s*Tokoyami%20Fumikage,r
