tag,count,href,category
Billy Loomis,1475,/tags/Billy%20Loomis,c
Randy Meeks,394,/tags/Randy%20Meeks,c
Roman Bridger,81,/tags/Roman%20Bridger,c
Sidney Prescott,1077,/tags/Sidney%20Prescott,c
Stu Macher,1108,/tags/Stu%20Macher,c
Tatum Riley,349,/tags/Tatum%20Riley,c
Martha Meeks,25,/tags/Martha%20Meeks,c
Billy Loomis/Stu Macher,641,/tags/Billy%20Loomis*s*Stu%20Macher,r
Neil Prescott,39,/tags/Neil%20Prescott,c
Billy Loomis/Dean Winchester,0,/tags/Billy%20Loomis*s*Dean%20Winchester,r
Tatum Riley/Sam Winchester,0,/tags/Tatum%20Riley*s*Sam%20Winchester,r
Debbie Loomis,41,/tags/Debbie%20Loomis,c
Kirby Reed,234,/tags/Kirby%20Reed,c
Jill Roberts/Charlie Walker,6,/tags/Jill%20Roberts*s*Charlie%20Walker,r
Billy Loomis/Sidney Prescott,429,/tags/Billy%20Loomis*s*Sidney%20Prescott,r
Kirby Reed/Charlie Walker,7,/tags/Kirby%20Reed*s*Charlie%20Walker,r
Charlie Walker,63,/tags/Charlie%20Walker,c
Dewey Riley/Tatum Riley,0,/tags/Dewey%20Riley*s*Tatum%20Riley,r
Dewey Riley,453,/tags/Dewey%20Riley,c
Paul Callan/Sidney Prescott,0,/tags/Paul%20Callan*s*Sidney%20Prescott,r
Billy Loomis/Dean Winchester/Original Female Character(s),1,/tags/Billy%20Loomis*s*Dean%20Winchester*s*Original%20Female%20Character(s),r
Robbie Mercer,38,/tags/Robbie%20Mercer,c
Robbie Mercer/Trevor Sheldon,3,/tags/Robbie%20Mercer*s*Trevor%20Sheldon,r
Trevor Sheldon,30,/tags/Trevor%20Sheldon,c
Ghostface (Scream),603,/tags/Ghostface%20(Scream),c
Jill Roberts (Scream),100,/tags/Jill%20Roberts%20(Scream),c
Gale Weathers,523,/tags/Gale%20Weathers,c
Dewey Riley/Gale Weathers,191,/tags/Dewey%20Riley*s*Gale%20Weathers,r
Mark Kincaid,60,/tags/Mark%20Kincaid,c
Robbie Mercer/Charlie Walker,7,/tags/Robbie%20Mercer*s*Charlie%20Walker,r
Noah Foster/Original Female Character(s),4,/tags/Noah%20Foster*s*Original%20Female%20Character(s),r
Billy Loomis/Reader,316,/tags/Billy%20Loomis*s*Reader,r
Billy Loomis/Michael Myers,1,/tags/Billy%20Loomis*s*Michael%20Myers,r
Alternate Universe - Scream Fusion,54,/tags/Alternate%20Universe%20-%20Scream%20Fusion,f
Roman Bridger/Billy Loomis,3,/tags/Roman%20Bridger*s*Billy%20Loomis,r
"Casey ""Cici"" Cooper",12,/tags/Casey%20%22Cici%22%20Cooper,c
Billy Loomis/Original Female Character(s),30,/tags/Billy%20Loomis*s*Original%20Female%20Character(s),r
Stu Macher/Original Character(s),4,/tags/Stu%20Macher*s*Original%20Character(s),r
Billy Loomis/Randy Meeks,8,/tags/Billy%20Loomis*s*Randy%20Meeks,r
Movie: Scream (1996),306,/tags/Movie:%20Scream%20(1996),f
Movie: Scream 4 (2011),44,/tags/Movie:%20Scream%204%20(2011),f
Movie: Scream 2 (1997),63,/tags/Movie:%20Scream%202%20(1997),f
Movie: Scream 3 (2000),39,/tags/Movie:%20Scream%203%20(2000),f
Casey Becker,70,/tags/Casey%20Becker,c
Arthur Himbry,13,/tags/Arthur%20Himbry,c
Stu Macher/Tatum Riley,80,/tags/Stu%20Macher*s*Tatum%20Riley,r
Ghostface (Scream)/Original Character(s),17,/tags/Ghostface%20(Scream)*s*Original%20Character(s),r
Billy Loomis & Reader,43,/tags/Billy%20Loomis%20*a*%20Reader,r
Maureen Roberts Prescott,55,/tags/Maureen%20Roberts%20Prescott,c
Sidney Prescott/Tatum Riley,61,/tags/Sidney%20Prescott*s*Tatum%20Riley,r
Hallie McDaniel,27,/tags/Hallie%20McDaniel,c
Mickey Altieri,96,/tags/Mickey%20Altieri,c
Derek Feldman,40,/tags/Derek%20Feldman,c
Joel Jones,5,/tags/Joel%20Jones,c
Steve Orth,33,/tags/Steve%20Orth,c
Gus Gold,1,/tags/Gus%20Gold,c
Jennifer Jolie,25,/tags/Jennifer%20Jolie,c
Maureen Evans,2,/tags/Maureen%20Evans,c
Cotton Weary,28,/tags/Cotton%20Weary,c
Hank Loomis,42,/tags/Hank%20Loomis,c
Christine Hamilton,1,/tags/Christine%20Hamilton,c
Phil Stevens,0,/tags/Phil%20Stevens,c
Ghostface (Scream)/Reader,263,/tags/Ghostface%20(Scream)*s*Reader,r
Ghostface (Scream) & Reader,53,/tags/Ghostface%20(Scream)%20*a*%20Reader,r
Billy Loomis/You,87,/tags/Billy%20Loomis*s*You,r
Ghostface (Scream)/You,18,/tags/Ghostface%20(Scream)*s*You,r
Ghostface (Scream)/Freddy Krueger,1,/tags/Ghostface%20(Scream)*s*Freddy%20Krueger,r
"Casey ""Cici"" Cooper/Hallie McDaniel",0,/tags/Casey%20%22Cici%22%20Cooper*s*Hallie%20McDaniel,r
Stu Macher/Reader,264,/tags/Stu%20Macher*s*Reader,r
Sidney Prescott/Clarice Starling,1,/tags/Sidney%20Prescott*s*Clarice%20Starling,r
Sidney Prescott & Dewey Riley,23,/tags/Sidney%20Prescott%20*a*%20Dewey%20Riley,r
Bisexual Sidney Prescott,9,/tags/Bisexual%20Sidney%20Prescott,f
Ghostface (Scream)/Michael Myers,32,/tags/Ghostface%20(Scream)*s*Michael%20Myers,r
Randy Meeks/Sidney Prescott,22,/tags/Randy%20Meeks*s*Sidney%20Prescott,r
Billy Loomis/Ash Williams,0,/tags/Billy%20Loomis*s*Ash%20Williams,r
Fred the Janitor (Scream),1,/tags/Fred%20the%20Janitor%20(Scream),c
Jenny Randall,4,/tags/Jenny%20Randall,c
Olivia Morris,21,/tags/Olivia%20Morris,c
Trevor Sheldon/Charlie Walker,0,/tags/Trevor%20Sheldon*s*Charlie%20Walker,r
Jill Roberts/Trevor Sheldon,7,/tags/Jill%20Roberts*s*Trevor%20Sheldon,r
Jenny Randall/Trevor Sheldon,0,/tags/Jenny%20Randall*s*Trevor%20Sheldon,r
Billy Loomis/Stu Macher/Original Female Character(s),13,/tags/Billy%20Loomis*s*Stu%20Macher*s*Original%20Female%20Character(s),r
Mickey Altieri/Original Character(s),0,/tags/Mickey%20Altieri*s*Original%20Character(s),r
Mickey Altieri/Charlie Walker,0,/tags/Mickey%20Altieri*s*Charlie%20Walker,r
Olivia Morris/Trevor Sheldon,1,/tags/Olivia%20Morris*s*Trevor%20Sheldon,r
Marnie Cooper,4,/tags/Marnie%20Cooper,c
Randy Meeks/Original Female Character(s),11,/tags/Randy%20Meeks*s*Original%20Female%20Character(s),r
Derek Feldman/Sidney Prescott,11,/tags/Derek%20Feldman*s*Sidney%20Prescott,r
Ghostface (Scream)/Original Female Character(s),42,/tags/Ghostface%20(Scream)*s*Original%20Female%20Character(s),r
