tag,count,href,category
Liu Fei Long,613,/tags/Liu%20Fei%20Long,c
Yoh (Finder Series),175,/tags/Yoh%20(Finder%20Series),c
Kou (Finder Series),275,/tags/Kou%20(Finder%20Series),c
Takato (Finder Series),253,/tags/Takato%20(Finder%20Series),c
Tao (Finder Series),155,/tags/Tao%20(Finder%20Series),c
Takaba Akihito,1821,/tags/Takaba%20Akihito,c
Mikhail Arbatov,314,/tags/Mikhail%20Arbatov,c
Asami Ryuichi/Takaba Akihito,2376,/tags/Asami%20Ryuichi*s*Takaba%20Akihito,r
Asami Ryuichi,1890,/tags/Asami%20Ryuichi,c
Kirishima Kei,707,/tags/Kirishima%20Kei,c
Mikhail Arbatov/Fenris,1,/tags/Mikhail%20Arbatov*s*Fenris,r
Shouji (Finder Series),2,/tags/Shouji%20(Finder%20Series),c
Takaba Akihito/Yoh,3,/tags/Takaba%20Akihito*s*Yoh,r
Suoh Kazumi,553,/tags/Suoh%20Kazumi,c
Asami Ryuichi/Yoh,3,/tags/Asami%20Ryuichi*s*Yoh,r
Asami Ryuichi/Dean Winchester,1,/tags/Asami%20Ryuichi*s*Dean%20Winchester,r
Asami Ryuichi/Asami Ryuichi,2,/tags/Asami%20Ryuichi*s*Asami%20Ryuichi,r
Mikhail Arbatov/Takaba Akihito,14,/tags/Mikhail%20Arbatov*s*Takaba%20Akihito,r
Takaba Akihito/Tashiro | Roy Karstein-Tashiro,0,/tags/Takaba%20Akihito*s*Tashiro%20%7C%20Roy%20Karstein-Tashiro,r
Liu Fei Long/Harry Potter,3,/tags/Liu%20Fei%20Long*s*Harry%20Potter,r
Asami Ryuichi/Izumi Curtis,0,/tags/Asami%20Ryuichi*s*Izumi%20Curtis,r
Liu Fei Long/Original Character(s),6,/tags/Liu%20Fei%20Long*s*Original%20Character(s),r
Mikhail Arbatov/Original Character(s),7,/tags/Mikhail%20Arbatov*s*Original%20Character(s),r
Yoh (Finder Series)/Original Character(s),0,/tags/Yoh%20(Finder%20Series)*s*Original%20Character(s),r
Sudou Shuu,131,/tags/Sudou%20Shuu,c
Kuroda Shinji,88,/tags/Kuroda%20Shinji,c
Mitarai (Finder Series),39,/tags/Mitarai%20(Finder%20Series),c
Asami Ryuichi/Original Character(s),10,/tags/Asami%20Ryuichi*s*Original%20Character(s),r
Asami Ryuichi/Takaba Akihito/Original Character(s),8,/tags/Asami%20Ryuichi*s*Takaba%20Akihito*s*Original%20Character(s),r
Asami Ryuichi/Liu Fei Long/Takaba Akihito,45,/tags/Asami%20Ryuichi*s*Liu%20Fei%20Long*s*Takaba%20Akihito,r
Liu Fei Long/Takaba Akihito,8,/tags/Liu%20Fei%20Long*s*Takaba%20Akihito,r
Mikhail Arbatov/Asami Ryuichi,2,/tags/Mikhail%20Arbatov*s*Asami%20Ryuichi,r
Sakazaki (Finder Series),86,/tags/Sakazaki%20(Finder%20Series),c
Alex Krycek/Liu Fei Long,0,/tags/Alex%20Krycek*s*Liu%20Fei%20Long,r
Takaba Akihito/Original Character(s),14,/tags/Takaba%20Akihito*s*Original%20Character(s),r
Takaba Akihito/Original Male Character(s),6,/tags/Takaba%20Akihito*s*Original%20Male%20Character(s),r
Liu Fei Long/Orochimaru (Naruto),0,/tags/Liu%20Fei%20Long*s*Orochimaru%20(Naruto),r
Asami Ryuichi/Sudou Shuu,7,/tags/Asami%20Ryuichi*s*Sudou%20Shuu,r
Asami Ryuichi & Takaba Akihito,44,/tags/Asami%20Ryuichi%20*a*%20Takaba%20Akihito,r
Takaba Akihito & Original Character(s),1,/tags/Takaba%20Akihito%20*a*%20Original%20Character(s),r
Mikhail Arbatov/Liu Fei Long,186,/tags/Mikhail%20Arbatov*s*Liu%20Fei%20Long,r
Sakazaki/Takaba Akihito,1,/tags/Sakazaki*s*Takaba%20Akihito,r
Momohara Ai,31,/tags/Momohara%20Ai,c
Suoh Kazumi/Original Character(s),14,/tags/Suoh%20Kazumi*s*Original%20Character(s),r
Kou & Takaba Akihito,0,/tags/Kou%20*a*%20Takaba%20Akihito,r
Kirishima Kei/Original Character(s),22,/tags/Kirishima%20Kei*s*Original%20Character(s),r
Kirishima Kei/Suoh Kazumi,38,/tags/Kirishima%20Kei*s*Suoh%20Kazumi,r
"Valdrigr ""Vald"" Alsvieth/Asami Ryuichi",0,/tags/Valdrigr%20%22Vald%22%20Alsvieth*s*Asami%20Ryuichi,r
Liu Fei Long & Takaba Akihito,2,/tags/Liu%20Fei%20Long%20*a*%20Takaba%20Akihito,r
Liu Fei Long & Yoh,6,/tags/Liu%20Fei%20Long%20*a*%20Yoh,r
Mikhail Arbatov/Liu Fei Long/Yoh (Finder Series),2,/tags/Mikhail%20Arbatov*s*Liu%20Fei%20Long*s*Yoh%20(Finder%20Series),r
Mitsugu Onoda,1,/tags/Mitsugu%20Onoda,c
Yamazaki (Finder Series),11,/tags/Yamazaki%20(Finder%20Series),c
Master Liu (Finder Series),4,/tags/Master%20Liu%20(Finder%20Series),c
Mikhail Arbatov & Liu Fei Long,1,/tags/Mikhail%20Arbatov%20*a*%20Liu%20Fei%20Long,r
Mikhail Arbatov & Yuri Arbatov,0,/tags/Mikhail%20Arbatov%20*a*%20Yuri%20Arbatov,r
Liu Fei Long & Tao (Finder Series),2,/tags/Liu%20Fei%20Long%20*a*%20Tao%20(Finder%20Series),r
Takaba Akihito & Tao (Finder Series),0,/tags/Takaba%20Akihito%20*a*%20Tao%20(Finder%20Series),r
Top Takaba Akihito,2,/tags/Top%20Takaba%20Akihito,f
Orihara Izaya/Tao (Finder Series),0,/tags/Orihara%20Izaya*s*Tao%20(Finder%20Series),r
Mikhail Arbatov/Sudou Shuu,0,/tags/Mikhail%20Arbatov*s*Sudou%20Shuu,r
Riki (Ai no Kusabi)/Takaba Akihito,0,/tags/Riki%20(Ai%20no%20Kusabi)*s*Takaba%20Akihito,r
Kirishima Kei/Sakano (Gravitation),0,/tags/Kirishima%20Kei*s*Sakano%20(Gravitation),r
Liu Fei Long/Mibu Oriya,27,/tags/Liu%20Fei%20Long*s*Mibu%20Oriya,r
Mizuno Ayumu,1,/tags/Mizuno%20Ayumu,c
Hiyama Takahiro,0,/tags/Hiyama%20Takahiro,c
Asami Ryuichi/Bianchi (Katekyou Hitman Reborn!),0,/tags/Asami%20Ryuichi*s*Bianchi%20(Katekyou%20Hitman%20Reborn!),r
Kou (Finder Series) & Takaba Akihito & Takato (Finder Series),2,/tags/Kou%20(Finder%20Series)%20*a*%20Takaba%20Akihito%20*a*%20Takato%20(Finder%20Series),r
Liu Fei Long/Mibu Oriya/Muraki Kazutaka,0,/tags/Liu%20Fei%20Long*s*Mibu%20Oriya*s*Muraki%20Kazutaka,r
Sudou Shuu/Takato (Finder Series),0,/tags/Sudou%20Shuu*s*Takato%20(Finder%20Series),r
Alpha Asami Ryuichi,6,/tags/Alpha%20Asami%20Ryuichi,f
Omega Takaba Akihito,9,/tags/Omega%20Takaba%20Akihito,f
Aoki Mayu/Azumi Ryouko/Momohara Ai,0,/tags/Aoki%20Mayu*s*Azumi%20Ryouko*s*Momohara%20Ai,r
Mikhail Arbatov/Azumi Ryouko,0,/tags/Mikhail%20Arbatov*s*Azumi%20Ryouko,r
Asami Ryuichi/Azumi Ryouko,0,/tags/Asami%20Ryuichi*s*Azumi%20Ryouko,r
Yuri Arbatov/Liu Fei Long,2,/tags/Yuri%20Arbatov*s*Liu%20Fei%20Long,r
Liu Fei Long/Liu Yantsui,3,/tags/Liu%20Fei%20Long*s*Liu%20Yantsui,r
Kirishima Kei/Kuroda Shinji/Takato (Finder Series),1,/tags/Kirishima%20Kei*s*Kuroda%20Shinji*s*Takato%20(Finder%20Series),r
Takaba Akihito's Family,12,/tags/Takaba%20Akihito's%20Family,c
Asami Ryuichi/Liu Fei Long/Original Character(s),1,/tags/Asami%20Ryuichi*s*Liu%20Fei%20Long*s*Original%20Character(s),r
Asami Ryuichi/Takaba Akihito/Undisclosed,1,/tags/Asami%20Ryuichi*s*Takaba%20Akihito*s*Undisclosed,r
Takaba Akihito/Takato (Finder Series),0,/tags/Takaba%20Akihito*s*Takato%20(Finder%20Series),r
Takaba Akihito/Uchiha Izuna,0,/tags/Takaba%20Akihito*s*Uchiha%20Izuna,r
Hibari Kyouya/Yoshida (Finder Series),0,/tags/Hibari%20Kyouya*s*Yoshida%20(Finder%20Series),r
Baishe (Finder Series),1,/tags/Baishe%20(Finder%20Series),c
Michihiro (Finder Series),2,/tags/Michihiro%20(Finder%20Series),c
Kirishima Kei/Takato (Finder Series),1,/tags/Kirishima%20Kei*s*Takato%20(Finder%20Series),r
Kou (Finder Series)/Takato (Finder Series),1,/tags/Kou%20(Finder%20Series)*s*Takato%20(Finder%20Series),r
Kirishima Kei/Momohara Ai,0,/tags/Kirishima%20Kei*s*Momohara%20Ai,r
Momohara Ai/Suoh Kazumi,1,/tags/Momohara%20Ai*s*Suoh%20Kazumi,r
Asami Ryuichi/Draco Malfoy,10,/tags/Asami%20Ryuichi*s*Draco%20Malfoy,r
