tag,count,href,category
Duel Monster Characters,83,/tags/Duel%20Monster%20Characters,c
Tsukumo Yuuma,1148,/tags/Tsukumo%20Yuuma,c
Astral (Yu-Gi-Oh),473,/tags/Astral%20(Yu-Gi-Oh),c
Tsukumo Akari,124,/tags/Tsukumo%20Akari,c
Mizael/Shingetsu Rei,8,/tags/Mizael*s*Shingetsu%20Rei,r
Shingetsu Rei,111,/tags/Shingetsu%20Rei,c
Zexal Kinkmeme,1,/tags/Zexal%20Kinkmeme,f
Shingetsu Rei/Tsukumo Yuuma,34,/tags/Shingetsu%20Rei*s*Tsukumo%20Yuuma,r
Kamishiro Rio,442,/tags/Kamishiro%20Rio,c
Kamishiro Ryouga/Tenjou Kaito/Tsukumo Yuuma,39,/tags/Kamishiro%20Ryouga*s*Tenjou%20Kaito*s*Tsukumo%20Yuuma,r
Dr. Faker,54,/tags/Dr*d*%20Faker,c
Yagumo Kyouji,7,/tags/Yagumo%20Kyouji,c
Alit (Yu-Gi-Oh),226,/tags/Alit%20(Yu-Gi-Oh),c
Astral/Tsukumo Yuuma,243,/tags/Astral*s*Tsukumo%20Yuuma,r
Kamishiro Ryouga/Yagumo Kyouji,1,/tags/Kamishiro%20Ryouga*s*Yagumo%20Kyouji,r
Vector (Yu-Gi-Oh),633,/tags/Vector%20(Yu-Gi-Oh),c
The Arclight Brothers,24,/tags/The%20Arclight%20Brothers,c
Tsukumo Yuuma/Vector,158,/tags/Tsukumo%20Yuuma*s*Vector,r
Tenjou Haruto & Tenjou Kaito,14,/tags/Tenjou%20Haruto%20*a*%20Tenjou%20Kaito,r
Kamishiro Rio/Vector,41,/tags/Kamishiro%20Rio*s*Vector,r
Zexal AU Meme,0,/tags/Zexal%20AU%20Meme,f
Kamishiro Ryouga/Vector,13,/tags/Kamishiro%20Ryouga*s*Vector,r
Barian World,8,/tags/Barian%20World,f
Zexal Spoilers,12,/tags/Zexal%20Spoilers,f
Zexalloween,3,/tags/Zexalloween,f
Kamishiro Ryouga,836,/tags/Kamishiro%20Ryouga,c
Mizuki Kotori,286,/tags/Mizuki%20Kotori,c
Tenjou Brothers,12,/tags/Tenjou%20Brothers,c
Tenjou Haruto,179,/tags/Tenjou%20Haruto,c
Tenjou Kaito,847,/tags/Tenjou%20Kaito,c
Tron | Byron Arclight,139,/tags/Tron%20%7C%20Byron%20Arclight,c
V | Chris Arclight,329,/tags/V%20%7C%20Chris%20Arclight,c
IV | Thomas Arclight,420,/tags/IV%20%7C%20Thomas%20Arclight,c
Kamishiro Ryouga/Tsukumo Yuuma,260,/tags/Kamishiro%20Ryouga*s*Tsukumo%20Yuuma,r
Tenjou Kaito/Tsukumo Yuuma,98,/tags/Tenjou%20Kaito*s*Tsukumo%20Yuuma,r
Alit/Tsukumo Yuuma,33,/tags/Alit*s*Tsukumo%20Yuuma,r
Mizuki Kotori/Tsukumo Yuuma,37,/tags/Mizuki%20Kotori*s*Tsukumo%20Yuuma,r
Kamishiro Ryouga/Tenjou Kaito,94,/tags/Kamishiro%20Ryouga*s*Tenjou%20Kaito,r
Kamishiro Rio/Tenjou Kaito,5,/tags/Kamishiro%20Rio*s*Tenjou%20Kaito,r
Kamishiro Rio/Mizuki Kotori,25,/tags/Kamishiro%20Rio*s*Mizuki%20Kotori,r
Astral/Tenjou Kaito,27,/tags/Astral*s*Tenjou%20Kaito,r
Alit/Kamishiro Ryouga/Mizael,0,/tags/Alit*s*Kamishiro%20Ryouga*s*Mizael,r
Tenjou Kaito/Kamishiro Rio,2,/tags/Tenjou%20Kaito*s*Kamishiro%20Rio,r
Shark Drake,14,/tags/Shark%20Drake,c
Kamishiro Ryouga/Shark Drake,2,/tags/Kamishiro%20Ryouga*s*Shark%20Drake,r
Kamishiro Ryouga/Shingetsu Rei,4,/tags/Kamishiro%20Ryouga*s*Shingetsu%20Rei,r
Alit's Prince,19,/tags/Alit's%20Prince,c
Don Thousand,73,/tags/Don%20Thousand,c
Kamishiro Ryouga/Kamishiro Ryouga,1,/tags/Kamishiro%20Ryouga*s*Kamishiro%20Ryouga,r
Durbe/Kamishiro Ryouga,42,/tags/Durbe*s*Kamishiro%20Ryouga,r
Kamishiro Ryouga/Mizuki Kotori,11,/tags/Kamishiro%20Ryouga*s*Mizuki%20Kotori,r
Zexalmas,7,/tags/Zexalmas,f
Zexal Fanwork Marathon,4,/tags/Zexal%20Fanwork%20Marathon,f
Zexal Shark Week,7,/tags/Zexal%20Shark%20Week,f
Iris (Yu-Gi-Oh),26,/tags/Iris%20(Yu-Gi-Oh),c
Tsukumo Kazuma,45,/tags/Tsukumo%20Kazuma,c
Mr. Heartland/Tenjou Kaito,4,/tags/Mr*d*%20Heartland*s*Tenjou%20Kaito,r
Tenjou Kaito/Vector,11,/tags/Tenjou%20Kaito*s*Vector,r
Tsukumo Mirai,23,/tags/Tsukumo%20Mirai,c
Takeda Tetsuo,80,/tags/Takeda%20Tetsuo,c
Omoteura Tokunosuke,39,/tags/Omoteura%20Tokunosuke,c
Todoroki Takashi,66,/tags/Todoroki%20Takashi,c
Alit/Mizuki Kotori,15,/tags/Alit*s*Mizuki%20Kotori,r
Mizuki Kotori/Vector,6,/tags/Mizuki%20Kotori*s*Vector,r
Kamishiro Rio & Kamishiro Ryouga,35,/tags/Kamishiro%20Rio%20*a*%20Kamishiro%20Ryouga,r
Cathy/Kozuki Anna,1,/tags/Cathy*s*Kozuki%20Anna,r
Kozuki Anna,37,/tags/Kozuki%20Anna,c
Zexal Flash Bingo,42,/tags/Zexal%20Flash%20Bingo,f
Tenjou Haruto/Tenjou Kaito,1,/tags/Tenjou%20Haruto*s*Tenjou%20Kaito,r
Kamishiro Ryouga/Tenjou Haruto,0,/tags/Kamishiro%20Ryouga*s*Tenjou%20Haruto,r
Tsukumo Akari/Mizael,1,/tags/Tsukumo%20Akari*s*Mizael,r
Tsukumo Haru,43,/tags/Tsukumo%20Haru,c
Kamishiro Rio/Tenjou Haruto/Tenjou Kaito,0,/tags/Kamishiro%20Rio*s*Tenjou%20Haruto*s*Tenjou%20Kaito,r
Mizael/Tenjou Kaito,67,/tags/Mizael*s*Tenjou%20Kaito,r
Kitano Ukyou,7,/tags/Kitano%20Ukyou,c
Kamishiro Rio/Mizael,4,/tags/Kamishiro%20Rio*s*Mizael,r
Mizael/Tsukumo Haru,1,/tags/Mizael*s*Tsukumo%20Haru,r
Cathy/Kamishiro Rio,4,/tags/Cathy*s*Kamishiro%20Rio,r
Tsukumo Haru/Mizael,0,/tags/Tsukumo%20Haru*s*Mizael,r
Alit (Yu-Gi-Oh)/Dirk Strider,0,/tags/Alit%20(Yu-Gi-Oh)*s*Dirk%20Strider,r
Alit (Yu-Gi-Oh)/Jake English,0,/tags/Alit%20(Yu-Gi-Oh)*s*Jake%20English,r
Durbe/Kamishiro Rio,17,/tags/Durbe*s*Kamishiro%20Rio,r
Kozuki Anna/Vector,0,/tags/Kozuki%20Anna*s*Vector,r
Astral/Mizuki Kotori,1,/tags/Astral*s*Mizuki%20Kotori,r
Mizael/Undisclosed,0,/tags/Mizael*s*Undisclosed,r
Zexal Rarepair Challenge,3,/tags/Zexal%20Rarepair%20Challenge,f
Takeda Tetsuo/Vector,0,/tags/Takeda%20Tetsuo*s*Vector,r
Tenjou Kaito & Tsukumo Yuuma,9,/tags/Tenjou%20Kaito%20*a*%20Tsukumo%20Yuuma,r
Astral & Tsukumo Yuuma,46,/tags/Astral%20*a*%20Tsukumo%20Yuuma,r
Mach (Yu-Gi-Oh),11,/tags/Mach%20(Yu-Gi-Oh),c
Merag (Yu-Gi-Oh),103,/tags/Merag%20(Yu-Gi-Oh),c
Mizael (Yu-Gi-Oh),259,/tags/Mizael%20(Yu-Gi-Oh),c
Merag/Mizuki Kotori,1,/tags/Merag*s*Mizuki%20Kotori,r
Droite (Yu-Gi-Oh),44,/tags/Droite%20(Yu-Gi-Oh),c
Gauche (Yu-Gi-Oh),44,/tags/Gauche%20(Yu-Gi-Oh),c
Durbe (Yu-Gi-Oh),290,/tags/Durbe%20(Yu-Gi-Oh),c
Gilag (Yu-Gi-Oh),109,/tags/Gilag%20(Yu-Gi-Oh),c
Kiraku Souhachi,1,/tags/Kiraku%20Souhachi,c
Nasch (Yu-Gi-Oh),243,/tags/Nasch%20(Yu-Gi-Oh),c
