tag,count,href,category
Ensemble,5923,/tags/Ensemble,c
Original Characters,313986,/tags/Original%20Characters,c
Original Male Character/Original Male Character,19734,/tags/Original%20Male%20Character*s*Original%20Male%20Character,r
Reader,272369,/tags/Reader,c
Me,3716,/tags/Me,c
Original Fiction,10408,/tags/Original%20Fiction,f
Minor Characters,20858,/tags/Minor%20Characters,c
Original Character/Other(s),307,/tags/Original%20Character*s*Other(s),r
Original Character(s),90069,/tags/Original%20Character(s),f
Priest - Character,121,/tags/Priest%20-%20Character,c
Minor or Background Relationship(s),66689,/tags/Minor%20or%20Background%20Relationship(s),r
Original Character-centric,6082,/tags/Original%20Character-centric,f
Original Alien Character(s),3330,/tags/Original%20Alien%20Character(s),c
Original Animal Character(s),3064,/tags/Original%20Animal%20Character(s),c
Original Non-Human Character(s),13559,/tags/Original%20Non-Human%20Character(s),c
Original Female Character(s),273029,/tags/Original%20Female%20Character(s),c
Original Male Character(s),174060,/tags/Original%20Male%20Character(s),c
Original Troll Character(s),519,/tags/Original%20Troll%20Character(s),c
Original Male Character/Undisclosed,33,/tags/Original%20Male%20Character*s*Undisclosed,r
Original Female Character(s) - Freeform,6544,/tags/Original%20Female%20Character(s)%20-%20Freeform,f
Other Relationship Tags to Be Added,19519,/tags/Other%20Relationship%20Tags%20to%20Be%20Added,r
Original Robot Character(s),444,/tags/Original%20Robot%20Character(s),c
Undisclosed Character(s),852,/tags/Undisclosed%20Character(s),c
Original Dwarf Character(s),1026,/tags/Original%20Dwarf%20Character(s),c
Original Angel Character(s),980,/tags/Original%20Angel%20Character(s),c
Background & Cameo Characters,20613,/tags/Background%20*a*%20Cameo%20Characters,c
Original Dog Character(s),1731,/tags/Original%20Dog%20Character(s),c
Original Male Dog Character(s),390,/tags/Original%20Male%20Dog%20Character(s),c
Original Child Character(s),43324,/tags/Original%20Child%20Character(s),c
Original Cat Character(s),1664,/tags/Original%20Cat%20Character(s),c
Original Human Character(s),6333,/tags/Original%20Human%20Character(s),c
Original Demon Character(s),2031,/tags/Original%20Demon%20Character(s),c
Original Female Character(s) of Color,7046,/tags/Original%20Female%20Character(s)%20of%20Color,c
Original Male Character(s) of Color,2188,/tags/Original%20Male%20Character(s)%20of%20Color,c
Original Elf Character(s),2492,/tags/Original%20Elf%20Character(s),c
