tag,count,href,category
Gellert Grindelwald,7451,/tags/Gellert%20Grindelwald,c
Albus Dumbledore/Gellert Grindelwald,5522,/tags/Albus%20Dumbledore*s*Gellert%20Grindelwald,r
Newt Scamander,9809,/tags/Newt%20Scamander,c
Newt Scamander & Rolf Scamander,1,/tags/Newt%20Scamander%20*a*%20Rolf%20Scamander,r
Queenie Goldstein/Jacob Kowalski,1148,/tags/Queenie%20Goldstein*s*Jacob%20Kowalski,r
Queenie Goldstein,3330,/tags/Queenie%20Goldstein,c
Tina Goldstein,4839,/tags/Tina%20Goldstein,c
Jacob Kowalski,2288,/tags/Jacob%20Kowalski,c
Credence Barebone,4232,/tags/Credence%20Barebone,c
Credence Barebone/Gellert Grindelwald,206,/tags/Credence%20Barebone*s*Gellert%20Grindelwald,r
Tina Goldstein/Newt Scamander,2365,/tags/Tina%20Goldstein*s*Newt%20Scamander,r
Jacob Kowalski/Newt Scamander,178,/tags/Jacob%20Kowalski*s*Newt%20Scamander,r
Jacob Kowalski & Newt Scamander,113,/tags/Jacob%20Kowalski%20*a*%20Newt%20Scamander,r
Credence Barebone/Newt Scamander,726,/tags/Credence%20Barebone*s*Newt%20Scamander,r
Modesty Barebone,437,/tags/Modesty%20Barebone,c
Seraphina Picquery,1195,/tags/Seraphina%20Picquery,c
Leta Lestrange,976,/tags/Leta%20Lestrange,c
Leta Lestrange/Newt Scamander,133,/tags/Leta%20Lestrange*s*Newt%20Scamander,r
Tina Goldstein & Newt Scamander,660,/tags/Tina%20Goldstein%20*a*%20Newt%20Scamander,r
Queenie Goldstein & Newt Scamander,69,/tags/Queenie%20Goldstein%20*a*%20Newt%20Scamander,r
Asexual Newt Scamander,35,/tags/Asexual%20Newt%20Scamander,f
Post-Movie 1: Fantastic Beasts and Where to Find Them,405,/tags/Post-Movie%201:%20Fantastic%20Beasts%20and%20Where%20to%20Find%20Them,f
Movie 1: Fantastic Beasts and Where to Find Them,113,/tags/Movie%201:%20Fantastic%20Beasts%20and%20Where%20to%20Find%20Them,f
Mary Lou Barebone,450,/tags/Mary%20Lou%20Barebone,c
Chastity Barebone,268,/tags/Chastity%20Barebone,c
Original Percival Graves,5793,/tags/Original%20Percival%20Graves,c
Gnarlack (Fantastic Beasts),17,/tags/Gnarlack%20(Fantastic%20Beasts),c
Langdon Shaw,48,/tags/Langdon%20Shaw,c
Frank the Thunderbird (Fantastic Beasts),85,/tags/Frank%20the%20Thunderbird%20(Fantastic%20Beasts),c
Pickett the Bowtruckle (Fantastic Beasts),426,/tags/Pickett%20the%20Bowtruckle%20(Fantastic%20Beasts),c
Dougal the Demiguise (Fantastic Beasts),173,/tags/Dougal%20the%20Demiguise%20(Fantastic%20Beasts),c
Newt Scamander's Swooping Evil,16,/tags/Newt%20Scamander's%20Swooping%20Evil,c
Newt Scamander's Niffler,464,/tags/Newt%20Scamander's%20Niffler,c
Credence Barebone & Newt Scamander,216,/tags/Credence%20Barebone%20*a*%20Newt%20Scamander,r
Autistic Newt Scamander,204,/tags/Autistic%20Newt%20Scamander,f
Credence Barebone/Tom Riddle,1,/tags/Credence%20Barebone*s*Tom%20Riddle,r
Newt Scamander/Original Female Character(s),73,/tags/Newt%20Scamander*s*Original%20Female%20Character(s),r
Newt Scamander/Reader,376,/tags/Newt%20Scamander*s*Reader,r
Newt Scamander/You,141,/tags/Newt%20Scamander*s*You,r
MACUSA | Magical Congress of the United States of America,333,/tags/MACUSA%20%7C%20Magical%20Congress%20of%20the%20United%20States%20of%20America,f
Cinnamon Roll Newt Scamander,565,/tags/Cinnamon%20Roll%20Newt%20Scamander,f
Obscurus (Harry Potter),200,/tags/Obscurus%20(Harry%20Potter),f
Oblivious Newt Scamander,69,/tags/Oblivious%20Newt%20Scamander,f
Protective Newt Scamander,226,/tags/Protective%20Newt%20Scamander,f
Original Percival Graves/Seraphina Picquery,56,/tags/Original%20Percival%20Graves*s*Seraphina%20Picquery,r
Credence Barebone Needs a Hug,273,/tags/Credence%20Barebone%20Needs%20a%20Hug,f
Credence Barebone/Original Percival Graves,2575,/tags/Credence%20Barebone*s*Original%20Percival%20Graves,r
Original Percival Graves & Newt Scamander,116,/tags/Original%20Percival%20Graves%20*a*%20Newt%20Scamander,r
Original Percival Graves & Gellert Grindelwald,40,/tags/Original%20Percival%20Graves%20*a*%20Gellert%20Grindelwald,r
Original Percival Graves/Newt Scamander,5299,/tags/Original%20Percival%20Graves*s*Newt%20Scamander,r
Original Percival Graves/Gellert Grindelwald,280,/tags/Original%20Percival%20Graves*s*Gellert%20Grindelwald,r
Gay Credence Barebone,4,/tags/Gay%20Credence%20Barebone,f
Original Percival Graves/Original Character(s),6,/tags/Original%20Percival%20Graves*s*Original%20Character(s),r
Credence Barebone & Original Percival Graves,259,/tags/Credence%20Barebone%20*a*%20Original%20Percival%20Graves,r
Tina Goldstein/Original Percival Graves,181,/tags/Tina%20Goldstein*s*Original%20Percival%20Graves,r
Queenie Goldstein/Original Female Character(s),6,/tags/Queenie%20Goldstein*s*Original%20Female%20Character(s),r
Harry Potter & Newt Scamander,49,/tags/Harry%20Potter%20*a*%20Newt%20Scamander,r
Newt Scamander's Magical Beasts,694,/tags/Newt%20Scamander's%20Magical%20Beasts,c
Percival Graves | Gellert Grindelwald,993,/tags/Percival%20Graves%20%7C%20Gellert%20Grindelwald,c
Credence Barebone & Percival Graves | Gellert Grindelwald,28,/tags/Credence%20Barebone%20*a*%20Percival%20Graves%20%7C%20Gellert%20Grindelwald,r
Credence Barebone/Percival Graves | Gellert Grindelwald,558,/tags/Credence%20Barebone*s*Percival%20Graves%20%7C%20Gellert%20Grindelwald,r
Newt Scamander & Newt Scamander's Magical Beasts,161,/tags/Newt%20Scamander%20*a*%20Newt%20Scamander's%20Magical%20Beasts,r
Theseus Scamander,3749,/tags/Theseus%20Scamander,c
Pre-Movie 1: Fantastic Beasts and Where to Find Them,104,/tags/Pre-Movie%201:%20Fantastic%20Beasts%20and%20Where%20to%20Find%20Them,f
Original Percival Graves/Original Female Character(s),83,/tags/Original%20Percival%20Graves*s*Original%20Female%20Character(s),r
Mauler the Kneazle (Fantastic Beasts),16,/tags/Mauler%20the%20Kneazle%20(Fantastic%20Beasts),c
