tag,count,href,category
Katou Haru,2221,/tags/Katou%20Haru,c
Saeki Mahoro,427,/tags/Saeki%20Mahoro,c
Bratty Katou Haru,4,/tags/Bratty%20Katou%20Haru,f
Kambe Daisuke/Katou Haru,2694,/tags/Kambe%20Daisuke*s*Katou%20Haru,r
Kambe Daisuke,1919,/tags/Kambe%20Daisuke,c
Oblivious Katou Haru,72,/tags/Oblivious%20Katou%20Haru,f
Hoshino Ryou,518,/tags/Hoshino%20Ryou,c
Kamei Shinnosuke,540,/tags/Kamei%20Shinnosuke,c
Katou Haru/Reader,19,/tags/Katou%20Haru*s*Reader,r
Katou Haru & Reader,11,/tags/Katou%20Haru%20*a*%20Reader,r
BAMF Katou Haru,32,/tags/BAMF%20Katou%20Haru,f
Katou Haru Needs a Hug,19,/tags/Katou%20Haru%20Needs%20a%20Hug,f
Katou Haru is Bad at Feelings,10,/tags/Katou%20Haru%20is%20Bad%20at%20Feelings,f
Top Katou Haru,122,/tags/Top%20Katou%20Haru,f
Dom Katou Haru,6,/tags/Dom%20Katou%20Haru,f
Alpha Katou Haru,26,/tags/Alpha%20Katou%20Haru,f
Hoshino Ryou/Katou Haru,121,/tags/Hoshino%20Ryou*s*Katou%20Haru,r
Jealous Hoshino Ryou,6,/tags/Jealous%20Hoshino%20Ryou,f
Kiyomizu Yukihiro,164,/tags/Kiyomizu%20Yukihiro,c
Yumoto Teppei,153,/tags/Yumoto%20Teppei,c
Nakamoto Chousuke,81,/tags/Nakamoto%20Chousuke,c
Takei Katsuhiro,80,/tags/Takei%20Katsuhiro,c
Hoshino Ryou & Katou Haru,32,/tags/Hoshino%20Ryou%20*a*%20Katou%20Haru,r
Hoshino Ryou/Reader,3,/tags/Hoshino%20Ryou*s*Reader,r
Hoshino Ryou/Kamei Shinnosuke/Katou Haru,2,/tags/Hoshino%20Ryou*s*Kamei%20Shinnosuke*s*Katou%20Haru,r
Kambe Suzue,582,/tags/Kambe%20Suzue,c
Bottom Katou Haru,181,/tags/Bottom%20Katou%20Haru,f
Female Katou Haru,11,/tags/Female%20Katou%20Haru,f
Cute Katou Haru,145,/tags/Cute%20Katou%20Haru,f
Hoshino Ryou/Kamei Shinnosuke,47,/tags/Hoshino%20Ryou*s*Kamei%20Shinnosuke,r
Hoshino Ryou & Kamei Shinnosuke,16,/tags/Hoshino%20Ryou%20*a*%20Kamei%20Shinnosuke,r
Kamei Shinnosuke & Katou Haru,23,/tags/Kamei%20Shinnosuke%20*a*%20Katou%20Haru,r
Poor Kambe Daisuke,2,/tags/Poor%20Kambe%20Daisuke,f
Katou Haru/Original Character(s),9,/tags/Katou%20Haru*s*Original%20Character(s),r
Jealous Katou Haru,16,/tags/Jealous%20Katou%20Haru,f
Happy Birthday Katou Haru,13,/tags/Happy%20Birthday%20Katou%20Haru,f
Bottom Kambe Daisuke,126,/tags/Bottom%20Kambe%20Daisuke,f
Katou Haru & Everyone,2,/tags/Katou%20Haru%20*a*%20Everyone,r
Kamei Shinnosuke & Saeki Mahoro,5,/tags/Kamei%20Shinnosuke%20*a*%20Saeki%20Mahoro,r
Katou Haru & Saeki Mahoro,3,/tags/Katou%20Haru%20*a*%20Saeki%20Mahoro,r
Kambe Daisuke & Katou Haru,302,/tags/Kambe%20Daisuke%20*a*%20Katou%20Haru,r
Kambe Suzue & Katou Haru,24,/tags/Kambe%20Suzue%20*a*%20Katou%20Haru,r
Omega Katou Haru,37,/tags/Omega%20Katou%20Haru,f
Katou Haru & Natsume Takashi,0,/tags/Katou%20Haru%20*a*%20Natsume%20Takashi,r
Kambe Daisuke & Kambe Suzue,50,/tags/Kambe%20Daisuke%20*a*%20Kambe%20Suzue,r
HEUSC & Kikuemon Kambe,1,/tags/HEUSC%20*a*%20Kikuemon%20Kambe,r
HEUSC (Fugou Keiji),109,/tags/HEUSC%20(Fugou%20Keiji),c
Mita Akira,9,/tags/Mita%20Akira,c
Motoyama (Fugou Keiji),2,/tags/Motoyama%20(Fugou%20Keiji),c
MCPTF | Modern Crime Prevention Task Force (Fugou Keiji),54,/tags/MCPTF%20%7C%20Modern%20Crime%20Prevention%20Task%20Force%20(Fugou%20Keiji),c
Hoshino Ryou/Original Female Character(s),0,/tags/Hoshino%20Ryou*s*Original%20Female%20Character(s),r
Kamei Shinnosuke & Katou Haru & Saeki Mahoro,2,/tags/Kamei%20Shinnosuke%20*a*%20Katou%20Haru%20*a*%20Saeki%20Mahoro,r
Hiroshi (Fugou Keiji),2,/tags/Hiroshi%20(Fugou%20Keiji),c
Yoko (Fugou Keiji),4,/tags/Yoko%20(Fugou%20Keiji),c
Hiroshi/Yoko (Fugou Keiji),0,/tags/Hiroshi*s*Yoko%20(Fugou%20Keiji),r
Based on Fugou Keiji: Balance:UNLIMITED s01e01 and s01e02,3,/tags/Based%20on%20Fugou%20Keiji:%20Balance:UNLIMITED%20s01e01%20and%20s01e02,f
Discord: daiharu simp club,3,/tags/Discord:%20daiharu%20simp%20club,f
Hoshino Ryou & Kambe Daisuke,6,/tags/Hoshino%20Ryou%20*a*%20Kambe%20Daisuke,r
Han Jumin/Kambe Daisuke,0,/tags/Han%20Jumin*s*Kambe%20Daisuke,r
Hoshino Ryou/Kambe Daisuke,29,/tags/Hoshino%20Ryou*s*Kambe%20Daisuke,r
Kambe Suzue/Reader,1,/tags/Kambe%20Suzue*s*Reader,r
Hoshino Ryou/Kambe Daisuke/Katou Haru,53,/tags/Hoshino%20Ryou*s*Kambe%20Daisuke*s*Katou%20Haru,r
