tag,count,href,category
Scrooge McDuck,2903,/tags/Scrooge%20McDuck,c
Scrooge McDuck/Magica de Spell,61,/tags/Scrooge%20McDuck*s*Magica%20de%20Spell,r
Webby Vanderquack,2420,/tags/Webby%20Vanderquack,c
Dewey Duck & Huey Duck & Louie Duck & Webby Vanderquack,307,/tags/Dewey%20Duck%20*a*%20Huey%20Duck%20*a*%20Louie%20Duck%20*a*%20Webby%20Vanderquack,r
Donald Duck (Disney),1252,/tags/Donald%20Duck%20(Disney),c
Fenton Crackshell-Cabrera,1135,/tags/Fenton%20Crackshell-Cabrera,c
Fenton Crackshell-Cabrera/Gyro Gearloose,458,/tags/Fenton%20Crackshell-Cabrera*s*Gyro%20Gearloose,r
Dewey Duck & Huey Duck & Louie Duck & Scrooge McDuck,38,/tags/Dewey%20Duck%20*a*%20Huey%20Duck%20*a*%20Louie%20Duck%20*a*%20Scrooge%20McDuck,r
Fenton Crackshell-Cabrera/Donald Duck,38,/tags/Fenton%20Crackshell-Cabrera*s*Donald%20Duck,r
Della Duck & Scrooge McDuck,127,/tags/Della%20Duck%20*a*%20Scrooge%20McDuck,r
Louie Duck/Webby Vanderquack,18,/tags/Louie%20Duck*s*Webby%20Vanderquack,r
Emily Quackfaster,35,/tags/Emily%20Quackfaster,c
Poe de Spell,121,/tags/Poe%20de%20Spell,c
Lena (Disney: DuckTales),1362,/tags/Lena%20(Disney:%20DuckTales),c
Dewey Duck & Huey Duck & Louie Duck & Launchpad McQuack,1,/tags/Dewey%20Duck%20*a*%20Huey%20Duck%20*a*%20Louie%20Duck%20*a*%20Launchpad%20McQuack,r
Bentina Beakley & Dewey Duck & Huey Duck & Louie Duck,1,/tags/Bentina%20Beakley%20*a*%20Dewey%20Duck%20*a*%20Huey%20Duck%20*a*%20Louie%20Duck,r
Gabby McStabberson,11,/tags/Gabby%20McStabberson,c
Donald Duck/Gabby McStabberson,2,/tags/Donald%20Duck*s*Gabby%20McStabberson,r
Dewey Duck & Huey Duck & Louie Duck & Lena (Disney: DuckTales),9,/tags/Dewey%20Duck%20*a*%20Huey%20Duck%20*a*%20Louie%20Duck%20*a*%20Lena%20(Disney:%20DuckTales),r
Louie Duck/Lena (Disney: DuckTales),17,/tags/Louie%20Duck*s*Lena%20(Disney:%20DuckTales),r
Liu Hai (Disney),3,/tags/Liu%20Hai%20(Disney),c
Lena (Disney: DuckTales)/Webby Vanderquack,574,/tags/Lena%20(Disney:%20DuckTales)*s*Webby%20Vanderquack,r
Mark Beaks,350,/tags/Mark%20Beaks,c
Bentina Beakley & Lena (Disney: DuckTales),31,/tags/Bentina%20Beakley%20*a*%20Lena%20(Disney:%20DuckTales),r
Mark Beaks/Falcon Graves,163,/tags/Mark%20Beaks*s*Falcon%20Graves,r
Mark Beaks/Fenton Crackshell-Cabrera,11,/tags/Mark%20Beaks*s*Fenton%20Crackshell-Cabrera,r
Louie Duck & Webby Vanderquack,60,/tags/Louie%20Duck%20*a*%20Webby%20Vanderquack,r
Tumblebums (Disney),0,/tags/Tumblebums%20(Disney),c
Louie Duck & Gosalyn Mallard,6,/tags/Louie%20Duck%20*a*%20Gosalyn%20Mallard,r
Louie Duck & Gosalyn Mallard & Webby Vanderquack,0,/tags/Louie%20Duck%20*a*%20Gosalyn%20Mallard%20*a*%20Webby%20Vanderquack,r
Dewey Duck & Huey Duck & Louie Duck & Scrooge McDuck & Webby Vanderquack,46,/tags/Dewey%20Duck%20*a*%20Huey%20Duck%20*a*%20Louie%20Duck%20*a*%20Scrooge%20McDuck%20*a*%20Webby%20Vanderquack,r
Bentina Beakley & Louie Duck & Webby Vanderquack,0,/tags/Bentina%20Beakley%20*a*%20Louie%20Duck%20*a*%20Webby%20Vanderquack,r
Louie Duck & Nick Wilde,1,/tags/Louie%20Duck%20*a*%20Nick%20Wilde,r
Louie Duck & Finnick & Gladstone Gander & Nick Wilde,0,/tags/Louie%20Duck%20*a*%20Finnick%20*a*%20Gladstone%20Gander%20*a*%20Nick%20Wilde,r
Lena (Disney: DuckTales) & Webby Vanderquack,199,/tags/Lena%20(Disney:%20DuckTales)%20*a*%20Webby%20Vanderquack,r
Magica de Spell & Poe de Spell,18,/tags/Magica%20de%20Spell%20*a*%20Poe%20de%20Spell,r
Gladstone Gander & Magica de Spell & Poe de Spell,2,/tags/Gladstone%20Gander%20*a*%20Magica%20de%20Spell%20*a*%20Poe%20de%20Spell,r
Little Helper | Lil' Bulb (Disney),199,/tags/Little%20Helper%20%7C%20Lil'%20Bulb%20(Disney),c
Lena (Disney: DuckTales) & Everyone,12,/tags/Lena%20(Disney:%20DuckTales)%20*a*%20Everyone,r
Storkules (Disney),90,/tags/Storkules%20(Disney),c
Louie Duck & Scrooge McDuck,61,/tags/Louie%20Duck%20*a*%20Scrooge%20McDuck,r
Fenton Crackshell-Cabrera/Launchpad McQuack,16,/tags/Fenton%20Crackshell-Cabrera*s*Launchpad%20McQuack,r
Manny the Headless Man-Horse (Disney),134,/tags/Manny%20the%20Headless%20Man-Horse%20(Disney),c
Bentina Beakley & Louie Duck,5,/tags/Bentina%20Beakley%20*a*%20Louie%20Duck,r
Dewey Duck & Donald Duck & Huey Duck & Louie Duck & Scrooge McDuck & Webby Vanderquack,18,/tags/Dewey%20Duck%20*a*%20Donald%20Duck%20*a*%20Huey%20Duck%20*a*%20Louie%20Duck%20*a*%20Scrooge%20McDuck%20*a*%20Webby%20Vanderquack,r
Dewey Duck & Huey Duck & Louie Duck & Lena & Webby Vanderquack,73,/tags/Dewey%20Duck%20*a*%20Huey%20Duck%20*a*%20Louie%20Duck%20*a*%20Lena%20*a*%20Webby%20Vanderquack,r
José Carioca & Magica de Spell,0,/tags/Jos%C3%A9%20Carioca%20*a*%20Magica%20de%20Spell,r
Fenton Crackshell-Cabrera & Dewey Duck & Huey Duck & Louie Duck,0,/tags/Fenton%20Crackshell-Cabrera%20*a*%20Dewey%20Duck%20*a*%20Huey%20Duck%20*a*%20Louie%20Duck,r
Fenton Crackshell-Cabrera & Launchpad McQuack,8,/tags/Fenton%20Crackshell-Cabrera%20*a*%20Launchpad%20McQuack,r
Dewey Duck & Huey Duck & Louie Duck & Scrooge McDuck & Launchpad McQuack & Webby Vanderquack,3,/tags/Dewey%20Duck%20*a*%20Huey%20Duck%20*a*%20Louie%20Duck%20*a*%20Scrooge%20McDuck%20*a*%20Launchpad%20McQuack%20*a*%20Webby%20Vanderquack,r
Flintheart Glomgold/Manny the Headless Man-Horse,1,/tags/Flintheart%20Glomgold*s*Manny%20the%20Headless%20Man-Horse,r
Tenderfoot | Gavin the Bigfoot,2,/tags/Tenderfoot%20%7C%20Gavin%20the%20Bigfoot,c
Bentina Beakley/Black Heron,3,/tags/Bentina%20Beakley*s*Black%20Heron,r
Gladstone Gander & Lena (Disney: Ducktales),6,/tags/Gladstone%20Gander%20*a*%20Lena%20(Disney:%20Ducktales),r
Fenton Crackshell-Cabrera & Scrooge McDuck,5,/tags/Fenton%20Crackshell-Cabrera%20*a*%20Scrooge%20McDuck,r
Fenton Crackshell-Cabrera & Gyro Gearloose,168,/tags/Fenton%20Crackshell-Cabrera%20*a*%20Gyro%20Gearloose,r
