tag,count,href,category
Phil Coulson,41041,/tags/Phil%20Coulson,c
Carol Danvers,8950,/tags/Carol%20Danvers,c
Nick Fury,29872,/tags/Nick%20Fury,c
Monica Rambeau,1687,/tags/Monica%20Rambeau,c
Carol Danvers/Wanda Maximoff,150,/tags/Carol%20Danvers*s*Wanda%20Maximoff,r
Mar-Vell,82,/tags/Mar-Vell,c
Phil Coulson/Steve Rogers/Johnny Storm,2,/tags/Phil%20Coulson*s*Steve%20Rogers*s*Johnny%20Storm,r
Ronan the Accuser,436,/tags/Ronan%20the%20Accuser,c
Kree Supreme Intelligence,105,/tags/Kree%20Supreme%20Intelligence,c
Carol Danvers/Mar-Vell,10,/tags/Carol%20Danvers*s*Mar-Vell,r
Peggy Carter & Nick Fury,24,/tags/Peggy%20Carter%20*a*%20Nick%20Fury,r
Korath-Thak,97,/tags/Korath-Thak,c
Carol Danvers/Logan (X-Men),2,/tags/Carol%20Danvers*s*Logan%20(X-Men),r
"James ""Bucky"" Barnes & Carol Danvers",25,/tags/James%20%22Bucky%22%20Barnes%20*a*%20Carol%20Danvers,r
Bruce Banner & Carol Danvers,15,/tags/Bruce%20Banner%20*a*%20Carol%20Danvers,r
Steven Danvers,3,/tags/Steven%20Danvers,c
"Carol Danvers/James ""Rhodey"" Rhodes/Sam Wilson",4,/tags/Carol%20Danvers*s*James%20%22Rhodey%22%20Rhodes*s*Sam%20Wilson,r
Carol Danvers/Kurt Wagner,0,/tags/Carol%20Danvers*s*Kurt%20Wagner,r
Carol Danvers/Clark Kent,0,/tags/Carol%20Danvers*s*Clark%20Kent,r
Carol Danvers/Reader,437,/tags/Carol%20Danvers*s*Reader,r
Maria Rambeau,1426,/tags/Maria%20Rambeau,c
Phil Coulson & Tim Drake,1,/tags/Phil%20Coulson%20*a*%20Tim%20Drake,r
Carol Danvers & Peter Parker,179,/tags/Carol%20Danvers%20*a*%20Peter%20Parker,r
Carol Danvers/Natasha Romanov/Original Character(s),0,/tags/Carol%20Danvers*s*Natasha%20Romanov*s*Original%20Character(s),r
Carol Danvers/Skye | Daisy Johnson,31,/tags/Carol%20Danvers*s*Skye%20%7C%20Daisy%20Johnson,r
"Carol Danvers & James ""Rhodey"" Rhodes & Tony Stark",8,/tags/Carol%20Danvers%20*a*%20James%20%22Rhodey%22%20Rhodes%20*a*%20Tony%20Stark,r
Phil Coulson/Minerva McGonagall,0,/tags/Phil%20Coulson*s*Minerva%20McGonagall,r
Carol Danvers/Hope Van Dyne,8,/tags/Carol%20Danvers*s*Hope%20Van%20Dyne,r
Kate Bishop & Nick Fury,1,/tags/Kate%20Bishop%20*a*%20Nick%20Fury,r
Carol Danvers & Nick Fury,112,/tags/Carol%20Danvers%20*a*%20Nick%20Fury,r
Clint Barton & Carol Danvers,5,/tags/Clint%20Barton%20*a*%20Carol%20Danvers,r
Carol Danvers/Nebula,4,/tags/Carol%20Danvers*s*Nebula,r
Nick Fury/Donna Noble,2,/tags/Nick%20Fury*s*Donna%20Noble,r
Minn-Erva (Marvel),160,/tags/Minn-Erva%20(Marvel),c
Carol Danvers & SHIELD Agents & Staff,0,/tags/Carol%20Danvers%20*a*%20SHIELD%20Agents%20*a*%20Staff,r
Talos (Marvel),284,/tags/Talos%20(Marvel),c
Carol Danvers/Natasha Romanov/Original Female Character(s),1,/tags/Carol%20Danvers*s*Natasha%20Romanov*s*Original%20Female%20Character(s),r
Carol Danvers/Okoye,2,/tags/Carol%20Danvers*s*Okoye,r
Carol Danvers/Jaylah (Star Trek),1,/tags/Carol%20Danvers*s*Jaylah%20(Star%20Trek),r
"James ""Bucky"" Barnes/Carol Danvers/Steve Rogers",0,/tags/James%20%22Bucky%22%20Barnes*s*Carol%20Danvers*s*Steve%20Rogers,r
Phil Coulson & Nebula,0,/tags/Phil%20Coulson%20*a*%20Nebula,r
Carol Danvers/May Parker (Spider-Man),5,/tags/Carol%20Danvers*s*May%20Parker%20(Spider-Man),r
Phil Coulson & Everyone,4,/tags/Phil%20Coulson%20*a*%20Everyone,r
Nick Fury/Mantis,0,/tags/Nick%20Fury*s*Mantis,r
Carol Danvers & Reader,62,/tags/Carol%20Danvers%20*a*%20Reader,r
Carol Danvers/Maria Rambeau,1327,/tags/Carol%20Danvers*s*Maria%20Rambeau,r
Carol Danvers/Ava Starr,0,/tags/Carol%20Danvers*s*Ava%20Starr,r
Carol Danvers & Skye | Daisy Johnson,5,/tags/Carol%20Danvers%20*a*%20Skye%20%7C%20Daisy%20Johnson,r
Laura Barton/Carol Danvers,1,/tags/Laura%20Barton*s*Carol%20Danvers,r
Avengers Team & Carol Danvers,7,/tags/Avengers%20Team%20*a*%20Carol%20Danvers,r
