tag,count,href,category
Pokemon Journey,1457,/tags/Pokemon%20Journey,f
Silver (Pokemon),1465,/tags/Silver%20(Pokemon),c
Takeshi | Brock,1580,/tags/Takeshi%20%7C%20Brock,c
Kasumi | Misty,2243,/tags/Kasumi%20%7C%20Misty,c
Akagi | Cyrus,809,/tags/Akagi%20%7C%20Cyrus,c
Haruka | May,1609,/tags/Haruka%20%7C%20May,c
Hikari | Dawn,2258,/tags/Hikari%20%7C%20Dawn,c
Sakaki | Giovanni,1244,/tags/Sakaki%20%7C%20Giovanni,c
Kotone | Lyra,667,/tags/Kotone%20%7C%20Lyra,c
Cokodora | Aron,31,/tags/Cokodora%20%7C%20Aron,c
Purin | Jigglypuff,201,/tags/Purin%20%7C%20Jigglypuff,c
Pochama | Piplup,101,/tags/Pochama%20%7C%20Piplup,c
Red's Pikachu,242,/tags/Red's%20Pikachu,c
Kris (Pokemon),257,/tags/Kris%20(Pokemon),c
Natsume | Sabrina,371,/tags/Natsume%20%7C%20Sabrina,c
Red (Pokemon),2912,/tags/Red%20(Pokemon),c
Leaf (Pokemon),693,/tags/Leaf%20(Pokemon),c
Hibiki | Ethan,465,/tags/Hibiki%20%7C%20Ethan,c
Erika (Pokemon),222,/tags/Erika%20(Pokemon),c
Yuuki | Brendan,529,/tags/Yuuki%20%7C%20Brendan,c
Matsuba | Morty,303,/tags/Matsuba%20%7C%20Morty,c
Kris/Silver,52,/tags/Kris*s*Silver,r
Wataru | Lance,956,/tags/Wataru%20%7C%20Lance,c
Mikuri | Wallace,856,/tags/Mikuri%20%7C%20Wallace,c
Asuna | Flannery,148,/tags/Asuna%20%7C%20Flannery,c
Hayato | Falkner,177,/tags/Hayato%20%7C%20Falkner,c
Shirona | Cynthia,1600,/tags/Shirona%20%7C%20Cynthia,c
Natane | Gardenia,118,/tags/Natane%20%7C%20Gardenia,c
Sumomo | Maylene,134,/tags/Sumomo%20%7C%20Maylene,c
Maximum Mask | Crasher Wake,58,/tags/Maximum%20Mask%20%7C%20Crasher%20Wake,c
Melissa | Fantina,89,/tags/Melissa%20%7C%20Fantina,c
Tougan | Byron,98,/tags/Tougan%20%7C%20Byron,c
Suzuna | Candice,171,/tags/Suzuna%20%7C%20Candice,c
Denzi | Volkner,325,/tags/Denzi%20%7C%20Volkner,c
Ryou | Aaron,84,/tags/Ryou%20%7C%20Aaron,c
Kikuno | Bertha,71,/tags/Kikuno%20%7C%20Bertha,c
Jun | Barry,518,/tags/Jun%20%7C%20Barry,c
Ayako | Johanna,145,/tags/Ayako%20%7C%20Johanna,c
Cheren (Pokemon),659,/tags/Cheren%20(Pokemon),c
Kouki | Lucas,522,/tags/Kouki%20%7C%20Lucas,c
Pod | Chili,109,/tags/Pod%20%7C%20Chili,c
Corn | Cress,114,/tags/Corn%20%7C%20Cress,c
Dent | Cilan,441,/tags/Dent%20%7C%20Cilan,c
Touya | Hilbert,832,/tags/Touya%20%7C%20Hilbert,c
Touko | Hilda,989,/tags/Touko%20%7C%20Hilda,c
Iris (Pokemon),863,/tags/Iris%20(Pokemon),c
Kyou | Koga,174,/tags/Kyou%20%7C%20Koga,c
Anzu | Janine,142,/tags/Anzu%20%7C%20Janine,c
Hibiki | Ethan/Silver,133,/tags/Hibiki%20%7C%20Ethan*s*Silver,r
Kotone | Lyra/Silver,136,/tags/Kotone%20%7C%20Lyra*s*Silver,r
Kris/Wataru | Lance,2,/tags/Kris*s*Wataru%20%7C%20Lance,r
Mikan | Jasmine,174,/tags/Mikan%20%7C%20Jasmine,c
Utsugi-hakase | Professor Elm,95,/tags/Utsugi-hakase%20%7C%20Professor%20Elm,c
Erika/Natsume | Sabrina,15,/tags/Erika*s*Natsume%20%7C%20Sabrina,r
Apollo | Archer,194,/tags/Apollo%20%7C%20Archer,c
Athena | Ariana,159,/tags/Athena%20%7C%20Ariana,c
Bel | Bianca,601,/tags/Bel%20%7C%20Bianca,c
Akane | Whitney,161,/tags/Akane%20%7C%20Whitney,c
Adeku | Alder,306,/tags/Adeku%20%7C%20Alder,c
Cattleya | Caitlin,193,/tags/Cattleya%20%7C%20Caitlin,c
Hyouta | Roark,161,/tags/Hyouta%20%7C%20Roark,c
Matis | Lt. Surge,214,/tags/Matis%20%7C%20Lt*d*%20Surge,c
Matsubusa | Maxie,883,/tags/Matsubusa%20%7C%20Maxie,c
Lambda | Petrel,141,/tags/Lambda%20%7C%20Petrel,c
Lance | Proton,173,/tags/Lance%20%7C%20Proton,c
Shikimi | Shauntal,205,/tags/Shikimi%20%7C%20Shauntal,c
Tsuwabuki Daigo | Steven Stone,1537,/tags/Tsuwabuki%20Daigo%20%7C%20Steven%20Stone,c
Giima | Grimsley,335,/tags/Giima%20%7C%20Grimsley,c
Warrgle | Braviary,43,/tags/Warrgle%20%7C%20Braviary,c
Fushigidane | Bulbasaur,213,/tags/Fushigidane%20%7C%20Bulbasaur,c
Karakara | Cubone,88,/tags/Karakara%20%7C%20Cubone,c
Eievui | Eevee,766,/tags/Eievui%20%7C%20Eevee,c
Yonoir | Dusknoir,71,/tags/Yonoir%20%7C%20Dusknoir,c
Fuwante | Drifloon,40,/tags/Fuwante%20%7C%20Drifloon,c
Fuwaride | Drifblim,21,/tags/Fuwaride%20%7C%20Drifblim,c
Eifie | Espeon,326,/tags/Eifie%20%7C%20Espeon,c
Nassy | Exeggutor,7,/tags/Nassy%20%7C%20Exeggutor,c
Booster | Flareon,178,/tags/Booster%20%7C%20Flareon,c
Hitomoshi | Litwick,65,/tags/Hitomoshi%20%7C%20Litwick,c
Thunders | Jolteon,181,/tags/Thunders%20%7C%20Jolteon,c
Kairiky | Machamp,125,/tags/Kairiky%20%7C%20Machamp,c
Maril | Marill,41,/tags/Maril%20%7C%20Marill,c
Garagara | Marowak,39,/tags/Garagara%20%7C%20Marowak,c
Koduck | Psyduck,68,/tags/Koduck%20%7C%20Psyduck,c
Pigeot | Pidgeot,63,/tags/Pigeot%20%7C%20Pidgeot,c
Okutank | Octillery,12,/tags/Okutank%20%7C%20Octillery,c
Strike | Scyther,93,/tags/Strike%20%7C%20Scyther,c
Blacky | Umbreon,361,/tags/Blacky%20%7C%20Umbreon,c
Bangiras | Tyranitar,68,/tags/Bangiras%20%7C%20Tyranitar,c
Kabigon | Snorlax,93,/tags/Kabigon%20%7C%20Snorlax,c
Eneco | Skitty,101,/tags/Eneco%20%7C%20Skitty,c
Kameil | Wartortle,50,/tags/Kameil%20%7C%20Wartortle,c
Showers | Vaporeon,216,/tags/Showers%20%7C%20Vaporeon,c
Bakphoon | Typhlosion,180,/tags/Bakphoon%20%7C%20Typhlosion,c
Juptile | Grovyle,71,/tags/Juptile%20%7C%20Grovyle,c
Mitsuru | Wally,322,/tags/Mitsuru%20%7C%20Wally,c
Lila | Anabel,204,/tags/Lila%20%7C%20Anabel,c
Touki | Brawly,78,/tags/Touki%20%7C%20Brawly,c
Kokuran | Darach,37,/tags/Kokuran%20%7C%20Darach,c
Kudari | Emmet,2661,/tags/Kudari%20%7C%20Emmet,c
Minaki | Eusine,111,/tags/Minaki%20%7C%20Eusine,c
Ouba | Flint,219,/tags/Ouba%20%7C%20Flint,c
Nobori | Ingo,3378,/tags/Nobori%20%7C%20Ingo,c
Neziki | Thorton,15,/tags/Neziki%20%7C%20Thorton,c
Raikou (Pokemon),93,/tags/Raikou%20(Pokemon),c
Dosidon | Rhyperior,13,/tags/Dosidon%20%7C%20Rhyperior,c
Sayo | Ida,1,/tags/Sayo%20%7C%20Ida,c
Yoshinori | Bonita,6,/tags/Yoshinori%20%7C%20Bonita,c
Leafia | Leafeon,181,/tags/Leafia%20%7C%20Leafeon,c
Glacia | Glaceon,189,/tags/Glacia%20%7C%20Glaceon,c
Pokemon Center,23,/tags/Pokemon%20Center,f
Itsuki | Will,110,/tags/Itsuki%20%7C%20Will,c
Kamitsure | Elesa,1020,/tags/Kamitsure%20%7C%20Elesa,c
Nagi | Winona,173,/tags/Nagi%20%7C%20Winona,c
Tsutsuji | Roxanne,124,/tags/Tsutsuji%20%7C%20Roxanne,c
Kimawari | Sunflora,31,/tags/Kimawari%20%7C%20Sunflora,c
Dogohmb | Loudred,15,/tags/Dogohmb%20%7C%20Loudred,c
Hinoarashi | Cyndaquil,161,/tags/Hinoarashi%20%7C%20Cyndaquil,c
Pukurin | Wigglytuff,46,/tags/Pukurin%20%7C%20Wigglytuff,c
Digda | Diglett,24,/tags/Digda%20%7C%20Diglett,c
Chirean | Chimecho,23,/tags/Chirean%20%7C%20Chimecho,c
