tag,count,href,category
Anna (Fire Emblem),924,/tags/Anna%20(Fire%20Emblem),c
Anna/Guire | Gaius,1,/tags/Anna*s*Guire%20%7C%20Gaius,r
Sharon | Sharena,675,/tags/Sharon%20%7C%20Sharena,c
Alfonse (Fire Emblem),1056,/tags/Alfonse%20(Fire%20Emblem),c
Anna/Sharon | Sharena,11,/tags/Anna*s*Sharon%20%7C%20Sharena,r
Veronica (Fire Emblem),202,/tags/Veronica%20(Fire%20Emblem),c
Alfonse/Veronica (Fire Emblem),11,/tags/Alfonse*s*Veronica%20(Fire%20Emblem),r
Alfonse (Fire Emblem)/Reader,129,/tags/Alfonse%20(Fire%20Emblem)*s*Reader,r
Summoner | Eclat | Kiran,1964,/tags/Summoner%20%7C%20Eclat%20%7C%20Kiran,c
Abel/Summoner | Eclat | Kiran,0,/tags/Abel*s*Summoner%20%7C%20Eclat%20%7C%20Kiran,r
Anna & Summoner | Eclat | Kiran,9,/tags/Anna%20*a*%20Summoner%20%7C%20Eclat%20%7C%20Kiran,r
Alfonse/Summoner | Eclat | Kiran,438,/tags/Alfonse*s*Summoner%20%7C%20Eclat%20%7C%20Kiran,r
Marth/Summoner | Eclat | Kiran,6,/tags/Marth*s*Summoner%20%7C%20Eclat%20%7C%20Kiran,r
Alfonse/Marth (Fire Emblem),0,/tags/Alfonse*s*Marth%20(Fire%20Emblem),r
Sharon | Sharena/Summoner | Eclat | Kiran,47,/tags/Sharon%20%7C%20Sharena*s*Summoner%20%7C%20Eclat%20%7C%20Kiran,r
Marx | Xander/Summoner | Eclat | Kiran,13,/tags/Marx%20%7C%20Xander*s*Summoner%20%7C%20Eclat%20%7C%20Kiran,r
Jeorge/Summoner | Eclat | Kiran,2,/tags/Jeorge*s*Summoner%20%7C%20Eclat%20%7C%20Kiran,r
Camilla/Sharon | Sharena,2,/tags/Camilla*s*Sharon%20%7C%20Sharena,r
